E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,68.1108,16.396,1519.2,12.041,1531.2,0.0,0.6198
2.0104868,68.1016,16.311,1503.8,12.04,1515.8,0.0,0.6167
2.0205393,68.0916,16.226,1488.5,12.039,1500.6,0.0,0.6136
2.030642,68.0843,16.143,1473.5,12.038,1485.5,0.0,0.6106
2.0407952,68.0728,16.059,1458.6,12.037,1470.6,0.0,0.6075
2.0509992,68.0603,15.977,1443.8,12.036,1455.9,0.0,0.6045
2.0612542,68.047,15.895,1429.3,12.034,1441.3,0.0,0.6015
2.0715604,68.0329,15.813,1414.9,12.032,1426.9,0.0,0.5985
2.0819182,68.0179,15.732,1400.6,12.03,1412.7,0.0,0.5955
2.0923278,68.002,15.652,1386.6,12.028,1398.6,0.0,0.5926
2.1027895,67.9852,15.572,1372.6,12.025,1384.7,0.0,0.5896
2.1133034,67.9676,15.493,1358.9,12.023,1370.9,0.0,0.5867
2.1238699,67.949,15.414,1345.2,12.02,1357.3,0.0,0.5838
2.1344893,67.9296,15.336,1331.8,12.017,1343.8,0.0,0.5809
2.1451617,67.9092,15.259,1318.5,12.014,1330.5,0.0,0.578
2.1558875,67.8879,15.182,1305.3,12.01,1317.3,0.0,0.5751
2.166667,67.8721,15.105,1292.2,12.007,1304.2,0.0,0.5722
2.1775003,67.8491,15.028,1279.3,12.003,1291.3,0.0,0.5694
2.1883878,67.8251,14.952,1266.4,11.999,1278.4,0.0,0.5666
2.1993297,67.7999,14.877,1253.8,11.995,1265.8,0.0,0.5637
2.2103264,67.7736,14.801,1241.2,11.99,1253.2,0.0,0.5609
2.221378,67.7463,14.727,1228.8,11.986,1240.8,0.0,0.5581
2.2324849,67.7178,14.653,1216.6,11.981,1228.5,0.0,0.5554
2.2436473,67.6881,14.579,1204.4,11.976,1216.4,0.0,0.5526
2.2548656,67.6573,14.506,1192.4,11.971,1204.4,0.0,0.5499
2.2661399,67.6253,14.434,1180.6,11.966,1192.5,0.0,0.5471
2.2774706,67.5921,14.362,1168.8,11.96,1180.8,0.0,0.5444
2.2888579,67.5576,14.29,1157.2,11.954,1169.2,0.0,0.5417
2.3003022,67.5219,14.219,1145.7,11.948,1157.7,0.0,0.539
2.3118037,67.4849,14.149,1134.4,11.942,1146.3,0.0,0.5363
2.3233628,67.4466,14.079,1123.2,11.936,1135.1,0.0,0.5336
2.3349796,67.407,14.009,1112.1,11.93,1124.0,0.0,0.531
2.3466545,67.366,13.94,1101.1,11.923,1113.0,0.0,0.5283
2.3583878,67.3235,13.871,1090.2,11.916,1102.1,0.0,0.5257
2.3701797,67.2797,13.803,1079.5,11.909,1091.4,0.0,0.5231
2.3820306,67.2343,13.736,1068.8,11.902,1080.7,0.0,0.5205
2.3939407,67.1874,13.669,1058.3,11.894,1070.2,0.0,0.5179
2.4059104,67.139,13.602,1047.9,11.887,1059.8,0.0,0.5153
2.41794,67.0889,13.536,1037.6,11.879,1049.5,0.0,0.5128
2.4300297,67.0372,13.47,1027.4,11.871,1039.3,0.0,0.5102
2.4421798,66.9838,13.405,1017.4,11.863,1029.2,0.0,0.5077
2.4543907,66.9287,13.34,1007.4,11.855,1019.3,0.0,0.5052
2.4666627,66.8717,13.275,997.55,11.846,1009.4,0.0,0.5026
2.478996,66.8128,13.211,987.81,11.837,999.65,0.0,0.5001
2.491391,66.7521,13.148,978.17,11.828,990.0,0.0,0.4977
2.5038479,66.6893,13.085,968.63,11.819,980.45,0.0,0.4952
2.5163672,66.6245,13.022,959.2,11.81,971.01,0.0,0.4927
2.528949,66.5575,12.96,949.87,11.801,961.67,0.0,0.4903
2.5415938,66.4858,12.898,940.63,11.791,952.42,0.0,0.4878
2.5543017,66.4144,12.833,931.21,11.781,943.0,0.0,0.4854
2.5670732,66.34,12.764,921.64,11.771,933.41,0.0,0.483
2.5799086,66.2626,12.696,912.18,11.761,923.94,0.0,0.4806
2.5928082,66.1819,12.629,902.82,11.751,914.57,0.0,0.4782
2.6057722,66.098,12.562,893.57,11.741,905.31,0.0,0.4758
2.6188011,66.0107,12.496,884.41,11.73,896.14,0.0,0.4734
2.6318951,65.9198,12.43,875.37,11.719,887.08,0.0,0.4711
2.6450545,65.8253,12.364,866.42,11.708,878.13,0.0,0.4687
2.6582798,65.7269,12.299,857.57,11.697,869.27,0.0,0.4664
2.6715712,65.6183,12.234,848.82,11.685,860.5,0.0,0.4641
2.6849291,65.5116,12.17,840.17,11.674,851.84,0.0,0.4618
2.6983537,65.4006,12.106,831.61,11.662,843.27,0.0,0.4595
2.7118455,65.2848,12.039,822.87,11.65,834.52,0.0,0.4572
2.7254047,65.1638,11.972,814.19,11.638,825.83,0.0,0.4549
2.7390317,65.0374,11.905,805.62,11.626,817.25,0.0,0.4527
2.7527269,64.9053,11.839,797.14,11.614,808.76,0.0,0.4504
2.7664905,64.7671,11.773,788.76,11.601,800.36,0.0,0.4482
2.780323,64.6226,11.707,780.47,11.589,792.06,0.0,0.4459
2.7942246,64.4713,11.642,772.28,11.576,783.86,0.0,0.4437
2.8081957,64.3129,11.578,764.18,11.563,775.74,0.0,0.4415
2.8222367,64.1468,11.514,756.17,11.549,767.72,0.0,0.4393
2.8363479,63.9726,11.45,748.26,11.536,759.79,0.0,0.4371
2.8505296,63.7897,11.387,740.43,11.522,751.95,0.0,0.435
2.8647823,63.5974,11.324,732.69,11.509,744.19,0.0,0.4328
2.8791062,63.3951,11.262,725.03,11.495,736.53,0.0,0.4306
2.8935017,63.182,11.2,717.46,11.481,728.94,0.0,0.4285
2.9079692,62.9571,11.139,709.98,11.467,721.45,0.0,0.4264
2.9225091,62.7195,11.078,702.58,11.452,714.04,0.0,0.4242
2.9371216,62.4682,11.017,695.27,11.438,706.7,0.0,0.4221
2.9518072,62.2019,10.957,688.03,11.423,699.46,0.0,0.42
2.9665662,61.9195,10.897,680.88,11.408,692.29,0.0,0.4179
2.9813991,61.6199,10.838,673.81,11.393,685.2,0.0,0.4159
2.9963061,61.3048,10.779,666.81,11.378,678.19,0.0,0.4138
3.0112876,60.955,10.703,658.78,11.363,670.14,0.0,0.4117
3.026344,60.5592,10.621,650.47,11.348,661.82,0.0,0.4097
3.0414758,60.1236,10.539,642.28,11.332,653.61,0.0,0.4076
3.0566831,59.6434,10.459,634.2,11.316,645.52,0.0,0.4056
3.0719666,59.1109,10.379,626.23,11.3,637.53,0.0,0.4036
3.0873264,58.5155,10.299,618.34,11.284,629.63,0.0,0.4016
3.102763,57.8426,10.221,610.57,11.268,621.84,0.0,0.3996
3.1182768,57.0708,10.143,602.9,11.252,614.15,0.0,0.3976
3.1338682,56.1683,10.066,595.34,11.235,606.57,0.0,0.3956
3.1495376,55.0837,9.9892,587.87,11.219,599.09,0.0,0.3937
3.1652853,53.7253,9.9134,580.51,11.202,591.71,0.0,0.3917
3.1811117,51.9045,9.8384,573.25,11.185,584.43,0.0,0.3898
3.1970172,49.1126,9.764,566.09,11.168,577.25,0.0,0.3878
3.2130023,42.5973,9.6903,559.02,11.151,570.17,0.0,0.3859
3.2180698,33.365,9.6672,556.81,11.145,567.95,0.0,0.3853
3.2199304,33.107,25.185,1449.7,11.143,1460.9,0.0,0.3851
3.2290673,44.8301,25.065,1438.8,11.133,1449.9,0.0,0.384
3.2452127,49.3765,24.857,1419.7,11.116,1430.8,0.0,0.3821
3.2614387,51.4897,24.65,1400.9,11.098,1412.0,0.0,0.3802
3.2777459,52.7388,24.445,1382.3,11.08,1393.4,0.0,0.3783
3.2941347,53.4846,24.242,1364.0,11.062,1375.1,0.0,0.3764
3.3106053,53.8354,24.041,1346.0,11.044,1357.0,0.0,0.3745
3.3271584,53.7733,23.841,1328.2,11.026,1339.2,0.0,0.3726
3.3437941,53.0984,23.644,1310.6,11.008,1321.6,0.0,0.3708
3.3605131,50.7847,23.448,1293.3,10.989,1304.3,0.0,0.3689
3.3691316,44.4946,23.348,1284.5,10.98,1295.5,0.0,0.368
3.3712683,44.4122,32.752,1800.7,10.977,1811.7,0.0,0.3678
3.3773157,50.3172,32.686,1793.9,10.971,1804.9,0.0,0.3671
3.3942023,54.53,32.506,1775.1,10.952,1786.0,0.0,0.3653
3.4111733,56.6534,32.327,1756.5,10.933,1767.5,0.0,0.3635
3.4282291,58.1776,32.149,1738.2,10.914,1749.1,0.0,0.3617
3.4453703,59.4012,31.974,1720.1,10.895,1731.0,0.0,0.3599
3.4625971,60.4392,31.8,1702.2,10.876,1713.1,0.0,0.3581
3.4799101,61.3498,31.627,1684.6,10.856,1695.4,0.0,0.3563
3.4973097,62.1674,31.457,1667.2,10.837,1678.0,0.0,0.3545
3.5147962,62.9154,31.288,1650.0,10.817,1660.8,0.0,0.3527
3.5323702,63.6126,31.12,1633.0,10.797,1643.8,0.0,0.351
3.5500321,64.267,30.914,1614.1,10.777,1624.8,0.0,0.3492
3.5677822,64.8624,30.695,1594.6,10.757,1605.4,0.0,0.3475
3.5856211,65.4084,30.473,1575.3,10.737,1586.0,0.0,0.3458
3.6035492,65.9117,30.25,1556.0,10.717,1566.7,0.0,0.3441
3.621567,66.3767,30.026,1536.8,10.697,1547.4,0.0,0.3423
3.6396748,66.8065,29.801,1517.6,10.676,1528.3,0.0,0.3406
3.6578732,67.2032,29.575,1498.7,10.655,1509.3,0.0,0.339
3.6761626,67.5681,29.349,1479.8,10.635,1490.4,0.0,0.3373
3.6945434,67.902,29.122,1461.0,10.614,1471.6,0.0,0.3356
3.7130161,68.2049,28.894,1442.4,10.593,1453.0,0.0,0.3339
