E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,58.7556,12.138,1221.7,11.671,1233.4,0.0,0.6198
2.0104868,58.678,12.069,1208.7,11.668,1220.4,0.0,0.6167
2.0205393,58.5976,12.0,1195.9,11.666,1207.5,0.0,0.6136
2.030642,58.5141,11.932,1183.2,11.663,1194.8,0.0,0.6106
2.0407952,58.4292,11.864,1170.6,11.66,1182.3,0.0,0.6075
2.0509992,58.3394,11.797,1158.2,11.657,1169.8,0.0,0.6045
2.0612542,58.2464,11.73,1145.9,11.653,1157.6,0.0,0.6015
2.0715604,58.1498,11.664,1133.8,11.65,1145.4,0.0,0.5985
2.0819182,58.0497,11.598,1121.8,11.646,1133.4,0.0,0.5955
2.0923278,57.9459,11.533,1109.9,11.642,1121.6,0.0,0.5926
2.1027895,57.8381,11.468,1098.2,11.638,1109.8,0.0,0.5896
2.1133034,57.7263,11.404,1086.6,11.634,1098.2,0.0,0.5867
2.1238699,57.6102,11.34,1075.1,11.629,1086.8,0.0,0.5838
2.1344893,57.4896,11.277,1063.8,11.624,1075.4,0.0,0.5809
2.1451617,57.3644,11.214,1052.6,11.62,1064.2,0.0,0.578
2.1558875,57.2342,11.151,1041.5,11.615,1053.2,0.0,0.5751
2.166667,57.0989,11.089,1030.6,11.609,1042.2,0.0,0.5722
2.1775003,56.958,11.028,1019.8,11.604,1031.4,0.0,0.5694
2.1883878,56.8114,10.967,1009.1,11.598,1020.7,0.0,0.5666
2.1993297,56.6587,10.906,998.49,11.593,1010.1,0.0,0.5637
2.2103264,56.4995,10.845,988.01,11.587,999.6,0.0,0.5609
2.221378,56.3335,10.785,977.66,11.581,989.24,0.0,0.5581
2.2324849,56.16,10.726,967.42,11.574,979.0,0.0,0.5554
2.2436473,55.9788,10.667,957.3,11.568,968.87,0.0,0.5526
2.2548656,55.7891,10.608,947.29,11.561,958.85,0.0,0.5499
2.2661399,55.5905,10.55,937.39,11.555,948.95,0.0,0.5471
2.2774706,55.3822,10.492,927.61,11.548,939.16,0.0,0.5444
2.2888579,55.1635,10.434,917.94,11.54,929.48,0.0,0.5417
