E,f1,f2,PE,C+i,Total,K,lambda
2.080733,19.3001,1.3245,668.34,3.0085,671.35,0.0,0.5959
2.224304,19.2061,1.1839,558.8,2.9492,561.75,0.0,0.5574
2.377781,19.1059,1.0591,467.65,2.8832,470.53,0.0,0.5214
2.541848,18.9976,0.94843,391.75,2.8112,394.56,0.0,0.4878
2.717235,18.8776,0.85013,328.48,2.7339,331.21,0.0,0.4563
2.904724,18.7401,0.76275,275.69,2.6519,278.34,0.0,0.4268
3.10515,18.5764,0.67803,229.25,2.566,231.82,0.0,0.3993
3.319406,18.3498,0.59753,189.0,2.4767,191.48,0.0,0.3735
3.548445,18.008,0.52709,155.96,2.3848,158.34,0.0,0.3494
3.793288,17.3592,0.4654,128.81,2.2909,131.1,0.0,0.3269
3.957338,16.2338,0.43026,114.15,2.2306,116.38,0.0,0.3133
4.017909,14.7223,0.41835,109.32,2.2089,111.53,0.0,0.3086
4.034062,12.8987,0.41526,108.08,2.2031,110.28,0.0,0.3073
4.055024,14.547,4.0127,1039.0,2.1957,1041.2,932.5,0.3058
4.05829,14.7569,4.0068,1036.6,2.1945,1038.8,930.3,0.3055
4.118862,16.44,3.8997,994.05,2.1733,996.22,892.2,0.301
4.334821,18.059,3.564,863.21,2.0998,865.31,775.1,0.286
4.633924,18.8984,3.1991,724.83,2.0037,726.83,651.8,0.2676
4.953664,19.3754,2.882,610.83,1.908,612.74,550.3,0.2503
5.295467,19.6982,2.5972,514.93,1.8133,516.74,464.7,0.2341
5.660855,19.9227,2.3263,431.46,1.7199,433.18,389.8,0.219
6.051453,20.0785,2.0813,361.1,1.6283,362.73,326.4,0.2049
6.469004,20.1876,1.8605,301.95,1.5388,303.49,273.1,0.1917
6.915365,20.2632,1.6616,252.28,1.4519,253.73,228.3,0.1793
7.392525,20.3145,1.4837,210.72,1.3676,212.09,190.8,0.1677
7.902609,20.3488,1.3249,176.02,1.2864,177.31,159.5,0.1569
8.44789,20.409,1.1797,146.61,1.2083,147.82,132.9,0.1468
9.030794,20.4237,1.0471,121.73,1.1335,122.86,110.4,0.1373
9.653919,20.421,0.92433,100.52,1.0622,101.58,91.26,0.1284
10.32004,20.4108,0.81604,83.02,0.99438,84.014,75.44,0.1201
11.03212,20.396,0.72049,68.568,0.93008,69.498,62.36,0.1124
11.79334,20.378,0.63616,56.635,0.86934,57.504,51.55,0.1051
12.60708,20.3582,0.56174,46.781,0.81211,47.593,42.61,0.09834
13.47697,20.3376,0.49605,38.644,0.75836,39.402,35.22,0.092
14.40688,20.3166,0.43807,31.924,0.70801,32.632,29.11,0.08606
15.40095,20.2959,0.38688,26.374,0.66099,27.035,24.07,0.0805
16.46362,20.2759,0.34169,21.79,0.61718,22.407,19.89,0.07531
17.59961,20.2569,0.30162,17.993,0.57646,18.569,16.43,0.07045
18.81398,20.2384,0.26458,14.765,0.53872,15.304,13.48,0.0659
20.11215,20.2201,0.23209,12.116,0.5038,12.62,11.06,0.06165
21.49988,20.2026,0.20359,9.9419,0.47158,10.413,9.073,0.05767
22.98338,20.186,0.1786,8.1585,0.44189,8.6004,7.443,0.05395
24.56923,20.1706,0.15668,6.6953,0.41461,7.1099,6.106,0.05046
26.2645,20.1564,0.13745,5.4947,0.38956,5.8843,5.009,0.04721
28.07676,20.143,0.11986,4.482,0.36661,4.8486,4.086,0.04416
30.01405,20.1302,0.10431,3.6488,0.34562,3.9944,3.327,0.04131
32.08502,20.1182,0.090778,2.9705,0.32643,3.2969,2.709,0.03864
34.29889,20.1071,0.079005,2.4184,0.3089,2.7273,2.205,0.03615
36.66551,20.0969,0.06876,1.9689,0.29292,2.2618,1.796,0.03381
39.19543,20.0875,0.059846,1.6031,0.27834,1.8814,1.462,0.03163
41.89992,20.0789,0.052088,1.3052,0.26505,1.5702,1.19,0.02959
44.79101,20.0711,0.045337,1.0627,0.25294,1.3156,0.9691,0.02768
47.88159,20.0639,0.039461,0.86527,0.24188,1.1072,0.789,0.02589
51.18542,20.0575,0.034348,0.70454,0.23179,0.93633,0.6424,0.02422
54.71721,20.0516,0.029897,0.57367,0.22256,0.79623,0.523,0.02266
58.4927,20.0463,0.026024,0.46712,0.21411,0.68123,0.4259,0.0212
62.5287,20.0415,0.022653,0.38037,0.20636,0.58673,0.3467,0.01983
66.84318,20.0372,0.019719,0.30973,0.19923,0.50896,0.2823,0.01855
71.45536,20.0333,0.017165,0.25221,0.19265,0.44486,0.2298,0.01735
76.38578,20.0298,0.014942,0.20538,0.18656,0.39194,0.1871,0.01623
81.6564,20.0267,0.012994,0.16708,0.1809,0.34798,0.1522,0.01518
87.29069,20.0239,0.011274,0.13561,0.17562,0.31123,0.1236,0.0142
93.31374,20.0213,0.0097822,0.11006,0.17068,0.28074,0.1003,0.01329
99.75239,20.019,0.0084877,0.089334,0.16602,0.25535,0.0814,0.01243
106.6353,20.017,0.0073645,0.072509,0.16162,0.23413,0.06607,0.01163
113.9931,20.0151,0.00639,0.058853,0.15744,0.21629,0.05362,0.01088
121.8587,20.0135,0.0055445,0.04777,0.15345,0.20122,0.04352,0.01017
130.2669,20.012,0.0048109,0.038774,0.14963,0.1884,0.03533,0.009518
139.2553,20.0107,0.0041744,0.031473,0.14595,0.17742,0.02867,0.008903
148.864,20.0095,0.0036222,0.025547,0.14239,0.16794,0.02327,0.008329
159.1356,20.0084,0.003143,0.020736,0.13893,0.15967,0.01889,0.007791
170.1159,20.0075,0.0027273,0.016832,0.13557,0.1524,0.01533,0.007288
181.8539,20.0067,0.0023665,0.013663,0.13228,0.14594,0.01245,0.006818
194.4018,20.0059,0.0020535,0.01109,0.12906,0.14015,0.0101,0.006378
207.8156,20.0053,0.0017819,0.0090025,0.12591,0.13491,0.008199,0.005966
222.1548,20.0047,0.0015463,0.0073076,0.1228,0.13011,0.006655,0.005581
237.4835,20.0041,0.0013418,0.0059319,0.11974,0.12567,0.005401,0.005221
253.8699,20.0037,0.0011643,0.0048152,0.11672,0.12154,0.004384,0.004884
