E,f1,f2,PE,C+i,Total,K,lambda
2.080733,42.6965,6.9297,1246.7,7.0298,1253.7,0.0,0.5959
2.224304,42.4829,6.3148,1062.8,6.9525,1069.8,0.0,0.5574
2.377781,42.2148,5.7641,907.47,6.856,914.33,0.0,0.5214
2.541848,41.8768,5.257,774.22,6.7415,780.96,0.0,0.4878
2.717235,41.4267,4.7781,658.27,6.6102,664.88,0.0,0.4563
2.904724,40.8113,4.3441,559.84,6.4634,566.3,0.0,0.4268
3.10515,39.9196,3.9055,470.84,6.3024,477.14,0.0,0.3993
3.319406,38.0892,3.4718,391.53,6.1288,397.66,0.0,0.3735
3.46675,35.1406,3.2183,347.52,6.0097,353.53,0.0,0.3576
3.519812,31.687,3.1345,333.37,5.967,339.34,0.0,0.3522
3.533962,27.7885,3.1128,329.74,5.9556,335.7,0.0,0.3508
3.548445,30.356,10.619,1120.3,5.944,1126.2,0.0,0.3494
3.555187,31.4895,10.592,1115.2,5.9386,1121.1,0.0,0.3487
3.60825,34.5292,10.378,1076.6,5.8961,1082.5,0.0,0.3436
3.65246,35.2329,10.205,1045.9,5.8609,1051.8,0.0,0.3395
3.708365,34.6373,9.9942,1008.9,5.8165,1014.7,0.0,0.3343
3.723273,32.9486,9.9338,998.77,5.8047,1004.6,0.0,0.333
3.745635,35.1307,13.575,1356.7,5.7871,1362.5,0.0,0.331
3.793288,37.1821,13.324,1314.9,5.7496,1320.6,0.0,0.3269
3.80154,37.3998,13.281,1307.8,5.7431,1313.5,0.0,0.3261
3.93764,39.3697,12.588,1196.7,5.6371,1202.3,0.0,0.3149
3.99791,39.2963,12.284,1150.2,5.5907,1155.8,0.0,0.3101
4.013982,38.5238,12.204,1138.2,5.5784,1143.8,0.0,0.3089
4.03809,39.7007,13.936,1291.9,5.56,1297.5,0.0,0.307
4.055024,40.229,13.848,1278.4,5.5471,1283.9,0.0,0.3058
4.09836,41.0801,13.626,1244.6,5.5142,1250.1,0.0,0.3025
4.334821,43.4595,12.493,1078.8,5.3381,1084.1,0.0,0.286
4.633924,45.0537,11.248,908.63,5.124,913.75,0.0,0.2676
4.953664,46.0867,10.11,763.98,4.9064,768.89,0.0,0.2503
5.295467,46.7933,9.0844,642.2,4.6867,646.89,0.0,0.2341
5.660855,47.2835,8.1591,539.55,4.4661,544.02,0.0,0.219
6.051453,47.625,7.3317,453.55,4.246,457.8,0.0,0.2049
6.469004,47.8624,6.5913,381.42,4.0275,385.45,0.0,0.1917
6.915365,48.0258,5.9281,320.91,3.8117,324.72,0.0,0.1793
7.392525,48.2126,5.3234,269.57,3.5996,273.17,0.0,0.1677
7.902609,48.3099,4.7715,226.03,3.3921,229.42,0.0,0.1569
8.44789,48.3643,4.2744,189.41,3.1899,192.6,0.0,0.1468
9.030794,48.3786,3.8216,158.41,2.9937,161.4,0.0,0.1373
9.653919,48.3459,3.3892,131.42,2.8041,134.22,0.0,0.1284
10.32004,48.2818,3.0085,109.13,2.6215,111.75,0.0,0.1201
11.03212,48.2016,2.6731,90.706,2.4464,93.152,0.0,0.1124
11.79334,48.1115,2.3769,75.447,2.279,77.726,0.0,0.1051
12.60708,48.0147,2.1138,62.766,2.1195,64.885,0.0,0.09834
13.47697,47.9129,1.8813,52.257,1.968,54.225,0.0,0.092
14.40688,47.8076,1.6761,43.551,1.8246,45.376,0.0,0.08606
15.40095,47.6992,1.4934,36.299,1.6893,37.988,0.0,0.0805
16.46362,47.585,1.3271,30.175,1.5619,31.737,0.0,0.07531
17.59961,47.4612,1.1782,25.061,1.4424,26.503,0.0,0.07045
18.81398,47.3218,1.0427,20.747,1.3307,22.078,0.0,0.0659
20.11215,47.1592,0.92363,17.192,1.2263,18.418,0.0,0.06165
21.49988,46.959,0.81889,14.258,1.1293,15.387,0.0,0.05767
22.98338,46.687,0.72667,11.836,1.0391,12.875,0.0,0.05395
24.56923,46.2404,0.64542,9.8338,0.95568,10.789,0.0,0.05046
26.17698,45.0549,0.57713,8.2533,0.88228,9.1356,0.0,0.04736
26.2645,44.8946,0.57375,8.1777,0.87857,9.0563,0.0,0.04721
26.57764,43.7823,0.56193,7.9149,0.86551,8.7804,0.0,0.04665
26.68449,42.2514,0.55799,7.8279,0.86113,8.689,0.0,0.04646
26.84476,43.8062,3.5688,49.766,0.85464,50.621,42.08,0.04619
27.24542,45.2128,3.478,47.787,0.83878,48.626,40.43,0.04551
28.07676,46.1921,3.3013,44.016,0.80749,44.823,37.28,0.04416
30.01405,47.0987,2.9524,36.824,0.74211,37.566,31.3,0.04131
32.08502,47.5564,2.6447,30.857,0.68211,31.539,26.32,0.03864
34.29889,47.8434,2.3707,25.874,0.62715,26.501,22.14,0.03615
36.66551,48.0376,2.1173,21.618,0.57691,22.195,18.55,0.03381
39.19543,48.1669,1.8884,18.035,0.53106,18.566,15.51,0.03163
41.89992,48.2538,1.6831,15.037,0.48929,15.526,12.96,0.02959
44.79101,48.3108,1.4993,12.53,0.4513,12.981,10.81,0.02768
47.88159,48.3465,1.3351,10.438,0.4168,10.855,9.021,0.02589
51.18542,48.367,1.1886,8.6932,0.3855,9.0787,7.524,0.02422
54.71721,48.4096,1.0564,7.2273,0.35715,7.5844,6.261,0.02266
58.4927,48.4082,0.93595,5.99,0.33149,6.3215,5.191,0.0212
62.5287,48.3995,0.82931,4.9649,0.30829,5.2732,4.304,0.01983
66.84318,48.3861,0.73488,4.1156,0.28732,4.4029,3.569,0.01855
71.45536,48.3697,0.65126,3.4119,0.26837,3.6803,2.959,0.01735
76.38578,48.3515,0.57719,2.8287,0.25126,3.08,2.453,0.01623
81.6564,48.333,0.51076,2.3415,0.2358,2.5773,2.031,0.01518
87.29069,48.3135,0.45045,1.9318,0.22183,2.1536,1.677,0.0142
93.31374,48.293,0.39729,1.5938,0.2092,1.803,1.384,0.01329
99.75239,48.2726,0.35043,1.3151,0.19776,1.5129,1.142,0.01243
106.6353,48.2525,0.30911,1.0851,0.18739,1.2725,0.9428,0.01163
113.9931,48.2333,0.27268,0.89548,0.17797,1.0734,0.7782,0.01088
121.8587,48.2149,0.2404,0.73849,0.16939,0.90788,0.6418,0.01017
130.2669,48.1974,0.2119,0.60893,0.16157,0.7705,0.5292,0.009518
139.2553,48.1809,0.18679,0.50213,0.15441,0.65654,0.4363,0.008903
148.864,48.1654,0.16466,0.41408,0.14784,0.56192,0.3597,0.008329
159.1356,48.151,0.14517,0.34149,0.14179,0.48328,0.2966,0.007791
170.1159,48.1376,0.12798,0.28164,0.13619,0.41783,0.2446,0.007288
181.8539,48.1252,0.11284,0.23229,0.13099,0.36328,0.2017,0.006818
194.4018,48.1138,0.099495,0.19159,0.12614,0.31773,0.1663,0.006378
207.8156,48.1033,0.087731,0.15803,0.1216,0.27963,0.1371,0.005966
222.1548,48.0936,0.077361,0.13036,0.11733,0.24769,0.113,0.005581
237.4835,48.0848,0.06822,0.10754,0.1133,0.22084,0.0932,0.005221
253.8699,48.0767,0.060162,0.088712,0.10947,0.19818,0.07685,0.004884
271.3869,48.0694,0.053057,0.073187,0.10583,0.17902,0.06336,0.004569
290.1126,48.0627,0.046794,0.06038,0.10234,0.16272,0.05224,0.004274
310.1304,48.0566,0.041271,0.049817,0.098999,0.14882,0.04308,0.003998
331.5294,48.051,0.036402,0.041103,0.09578,0.13688,0.03552,0.00374
354.4049,48.046,0.032108,0.033914,0.092673,0.12659,0.02929,0.003498
378.8588,48.0414,0.028321,0.027984,0.089665,0.11765,0.02415,0.003273
405.0001,48.0373,0.024982,0.023092,0.086747,0.10984,0.01991,0.003061
432.9451,48.0335,0.022038,0.019055,0.08391,0.10296,0.01642,0.002864
