E,f1,f2,PE,C+i,Total,K,lambda
2.080733,28.8419,5.878,1870.7,4.6193,1875.3,0.0,0.5959
2.224304,28.9864,5.2957,1576.6,4.5411,1581.1,0.0,0.5574
2.377781,29.0462,4.7581,1325.1,4.4516,1329.6,0.0,0.5214
2.541848,29.069,4.2769,1114.2,4.3517,1118.6,0.0,0.4878
2.717235,29.0677,3.847,937.54,4.2424,941.78,0.0,0.4563
2.904724,29.0575,3.4633,789.54,4.1246,793.66,0.0,0.4268
3.10515,29.0457,3.1014,661.4,3.9994,665.4,0.0,0.3993
3.319406,28.9922,2.7637,551.34,3.8678,555.21,0.0,0.3735
3.548445,28.9262,2.465,460.01,3.731,463.74,0.0,0.3494
3.793288,28.8535,2.1976,383.63,3.5899,387.22,0.0,0.3269
4.055024,28.7704,1.9496,318.38,3.4456,321.83,0.0,0.3058
4.334821,28.6782,1.7317,264.55,3.2992,267.85,0.0,0.286
4.633924,28.5808,1.5402,220.1,3.1514,223.25,0.0,0.2676
4.953664,28.479,1.367,182.75,3.0033,185.75,0.0,0.2503
5.295467,28.3686,1.2121,151.58,2.8557,154.44,0.0,0.2341
5.660855,28.2491,1.0758,125.84,2.7094,128.55,0.0,0.219
6.051453,28.1175,0.95563,104.57,2.5651,107.14,0.0,0.2049
6.469004,27.9683,0.84971,86.981,2.4234,89.404,0.0,0.1917
6.915365,27.7902,0.75624,72.416,2.285,74.701,0.0,0.1793
7.392525,27.561,0.67369,60.347,2.1504,62.497,0.0,0.1677
7.902609,27.227,0.60071,50.336,2.0199,52.356,0.0,0.1569
8.44789,26.5993,0.53613,42.025,1.894,43.919,0.0,0.1468
8.799322,25.5649,0.50037,37.656,1.8194,39.475,0.0,0.1409
8.934005,24.1493,0.48721,36.113,1.7921,37.905,0.0,0.1388
8.969921,22.4326,0.4834,35.687,1.785,37.472,0.0,0.1382
9.030794,24.3489,3.8582,282.91,1.7729,284.68,247.9,0.1373
9.158478,25.7726,3.754,271.43,1.7481,273.18,237.9,0.1354
9.653919,27.312,3.4054,233.59,1.657,235.25,204.8,0.1284
10.32004,28.0727,3.0504,195.73,1.5463,197.28,172.1,0.1201
11.03212,28.5046,2.7462,164.84,1.441,166.28,145.4,0.1124
11.79334,28.7985,2.4736,138.89,1.3412,140.23,122.9,0.1051
12.60708,29.0017,2.2129,116.23,1.2468,117.48,103.0,0.09834
13.47697,29.1413,1.9766,97.122,1.1579,98.28,86.23,0.092
14.40688,29.2373,1.7631,81.041,1.0743,82.115,72.05,0.08606
15.40095,29.3017,1.5712,67.557,0.99606,68.553,60.12,0.0805
16.46362,29.3434,1.3994,56.288,0.92294,57.211,50.14,0.07531
17.59961,29.3688,1.2463,46.894,0.85481,47.749,41.81,0.07045
18.81398,29.4189,1.1059,38.925,0.7915,39.716,34.72,0.0659
20.11215,29.4195,0.97986,32.262,0.7328,32.995,28.78,0.06165
21.49988,29.4125,0.86826,26.743,0.67851,27.422,23.86,0.05767
22.98338,29.4006,0.76945,22.169,0.62842,22.797,19.78,0.05395
24.56923,29.3855,0.68155,18.37,0.58229,18.952,16.4,0.05046
26.2645,29.3684,0.60363,15.219,0.53991,15.759,13.6,0.04721
28.07676,29.3516,0.53216,12.551,0.50104,13.052,11.22,0.04416
30.01405,29.3316,0.46847,10.336,0.46546,10.801,9.252,0.04131
32.08502,29.3106,0.41242,8.512,0.43295,8.945,7.626,0.03864
34.29889,29.2896,0.3631,7.0103,0.40328,7.4136,6.286,0.03615
36.66551,29.2692,0.31969,5.7738,0.37624,6.15,5.182,0.03381
39.19543,29.2497,0.28131,4.7527,0.35164,5.1043,4.268,0.03163
41.89992,29.2308,0.24628,3.8924,0.32926,4.2217,3.496,0.02959
44.79101,29.2123,0.21563,3.1879,0.30894,3.4968,2.863,0.02768
47.88159,29.1946,0.1888,2.6111,0.29049,2.9016,2.345,0.02589
51.18542,29.1779,0.16531,2.1387,0.27374,2.4124,1.921,0.02422
54.71721,29.1623,0.14475,1.7519,0.25853,2.0104,1.573,0.02266
58.4927,29.1478,0.12675,1.4349,0.24473,1.6796,1.288,0.0212
62.5287,29.1344,0.11098,1.1754,0.23219,1.4076,1.055,0.01983
66.84318,29.122,0.097185,0.96279,0.22079,1.1836,0.8643,0.01855
71.45536,29.1106,0.085104,0.78869,0.21041,0.9991,0.7079,0.01735
76.38578,29.1001,0.074527,0.64609,0.20094,0.84703,0.5798,0.01623
81.6564,29.0907,0.06518,0.52858,0.19229,0.72087,0.4741,0.01518
87.29069,29.0821,0.056834,0.43116,0.18437,0.61553,0.3865,0.0142
93.31374,29.0741,0.049559,0.3517,0.17709,0.52879,0.315,0.01329
99.75239,29.0668,0.043217,0.28689,0.17038,0.45727,0.2567,0.01243
106.6353,29.0601,0.037687,0.23403,0.16418,0.39821,0.2092,0.01163
113.9931,29.0541,0.032866,0.19092,0.15842,0.34934,0.1705,0.01088
121.8587,29.0486,0.028662,0.15576,0.15306,0.30882,0.139,0.01017
130.2669,29.0436,0.024997,0.12707,0.14805,0.27512,0.1133,0.009518
139.2553,29.0391,0.021801,0.10367,0.14333,0.247,0.09234,0.008903
148.864,29.035,0.019015,0.084585,0.13888,0.22346,0.07526,0.008329
159.1356,29.0313,0.016585,0.069013,0.13467,0.20368,0.06134,0.007791
170.1159,29.028,0.014466,0.05631,0.13066,0.18697,0.05,0.007288
181.8539,29.0251,0.012618,0.045946,0.12683,0.17278,0.04075,0.006818
194.4018,29.0224,0.011006,0.037491,0.12315,0.16064,0.03321,0.006378
207.8156,29.02,0.0096007,0.030592,0.11962,0.15021,0.02707,0.005966
222.1548,29.0179,0.0083749,0.024964,0.1162,0.14116,0.02206,0.005581
237.4835,29.0159,0.0073058,0.020372,0.1129,0.13327,0.01798,0.005221
253.8699,29.0142,0.0063734,0.016625,0.1097,0.12632,0.01466,0.004884
271.3869,29.0127,0.0055601,0.013567,0.10658,0.12015,0.01195,0.004569
290.1126,29.0113,0.0048507,0.011072,0.10354,0.11461,0.009737,0.004274
310.1304,29.0101,0.0042319,0.0090362,0.10057,0.10961,0.007936,0.003998
331.5294,29.009,0.0036922,0.0073748,0.097675,0.10505,0.006468,0.00374
354.4049,29.008,0.0032214,0.0060191,0.094839,0.10086,0.005272,0.003498
378.8588,29.0071,0.0028106,0.0049127,0.092064,0.096977,0.004297,0.003273
405.0001,29.0063,0.0024524,0.0040098,0.089345,0.093355,0.003502,0.003061
432.9451,29.0056,0.0021398,0.0032729,0.08668,0.089953,0.002855,0.002864
