E,f1,f2,PE,C+i,Total,K,lambda
2.0035635,53.0912,25.641,3314.1,9.3561,3323.4,0.0,0.6188
2.0135813,53.1611,25.474,3276.0,9.3516,3285.4,0.0,0.6157
2.0236492,53.1904,25.308,3238.5,9.347,3247.9,0.0,0.6127
2.0337675,53.1357,25.144,3201.6,9.3422,3210.9,0.0,0.6096
2.0432385,52.7952,24.994,3167.6,9.3376,3177.0,0.0,0.6068
2.0439363,52.7239,24.983,3165.2,9.3373,3174.5,0.0,0.6066
2.0503613,52.8942,26.064,3291.8,9.3341,3301.2,0.0,0.6047
2.054156,53.2252,26.003,3278.1,9.3322,3287.4,0.0,0.6036
2.0644268,53.7063,25.84,3241.2,9.327,3250.6,0.0,0.6006
2.0747489,54.0275,25.678,3204.9,9.3217,3214.2,0.0,0.5976
2.0851227,54.2903,25.518,3169.1,9.3162,3178.4,0.0,0.5946
2.0955483,54.5215,25.359,3133.7,9.3106,3143.0,0.0,0.5917
2.106026,54.7324,25.202,3098.8,9.3048,3108.1,0.0,0.5887
2.1165562,54.9288,25.046,3064.3,9.2989,3073.6,0.0,0.5858
2.1271389,55.1141,24.892,3030.3,9.2929,3039.6,0.0,0.5829
2.1377746,55.2905,24.739,2996.7,9.2867,3006.0,0.0,0.58
2.1484635,55.4593,24.587,2963.5,9.2804,2972.8,0.0,0.5771
2.1592058,55.6224,24.438,2930.9,9.2739,2940.2,0.0,0.5742
2.1700018,55.781,24.291,2898.7,9.2673,2908.0,0.0,0.5714
2.1808519,55.936,24.143,2866.8,9.2606,2876.0,0.0,0.5685
2.1917561,56.0858,23.991,2834.6,9.2537,2843.8,0.0,0.5657
2.2027149,56.2307,23.841,2802.8,9.2467,2812.0,0.0,0.5629
2.2137285,56.3713,23.691,2771.4,9.2395,2780.6,0.0,0.5601
2.2247971,56.5079,23.543,2740.3,9.2322,2749.5,0.0,0.5573
2.2359211,56.6409,23.396,2709.6,9.2248,2718.9,0.0,0.5545
2.2471007,56.7706,23.25,2679.3,9.2172,2688.5,0.0,0.5518
2.2583362,56.8971,23.105,2649.4,9.2095,2658.6,0.0,0.549
2.2696279,57.0207,22.961,2619.7,9.2017,2628.9,0.0,0.5463
2.280976,57.1417,22.818,2590.5,9.1937,2599.7,0.0,0.5436
2.2923809,57.26,22.676,2561.5,9.1856,2570.7,0.0,0.5409
2.3038428,57.3759,22.535,2532.9,9.1774,2542.1,0.0,0.5382
2.315362,57.4896,22.395,2504.7,9.169,2513.8,0.0,0.5355
2.3269388,57.6011,22.255,2476.7,9.1605,2485.9,0.0,0.5328
2.3385735,57.7105,22.117,2449.1,9.1519,2458.2,0.0,0.5302
2.3502664,57.8181,21.98,2421.7,9.1431,2430.9,0.0,0.5275
2.3620177,57.9238,21.843,2394.7,9.1342,2403.9,0.0,0.5249
2.3738278,58.0279,21.707,2368.0,9.1252,2377.1,0.0,0.5223
2.385697,58.1305,21.573,2341.6,9.116,2350.7,0.0,0.5197
2.3976254,58.2317,21.438,2315.4,9.1067,2324.5,0.0,0.5171
2.4096136,58.3307,21.301,2289.2,9.0973,2298.3,0.0,0.5145
2.4216616,58.4276,21.166,2263.3,9.0878,2272.4,0.0,0.512
2.4337699,58.5224,21.031,2237.7,9.0781,2246.8,0.0,0.5094
2.4459388,58.6153,20.897,2212.4,9.0683,2221.5,0.0,0.5069
2.4581685,58.7064,20.764,2187.4,9.0584,2196.5,0.0,0.5044
2.4704593,58.7958,20.632,2162.7,9.0483,2171.7,0.0,0.5019
2.4828116,58.8835,20.5,2138.2,9.0381,2147.2,0.0,0.4994
2.4952257,58.9696,20.37,2114.0,9.0278,2123.0,0.0,0.4969
2.5077018,59.0542,20.24,2090.1,9.0174,2099.1,0.0,0.4944
2.5202403,59.1374,20.111,2066.4,9.0069,2075.4,0.0,0.492
2.5328415,59.2191,19.983,2043.0,8.9962,2052.0,0.0,0.4895
2.5455057,59.2994,19.855,2019.9,8.9854,2028.9,0.0,0.4871
2.5582333,59.3784,19.728,1997.0,8.9745,2006.0,0.0,0.4846
2.5710244,59.4562,19.602,1974.4,8.9634,1983.3,0.0,0.4822
2.5838796,59.5328,19.477,1952.0,8.9523,1961.0,0.0,0.4798
2.596799,59.828,19.351,1929.7,8.941,1938.6,0.0,0.4775
2.6097829,59.9021,19.223,1907.4,8.9296,1916.3,0.0,0.4751
2.6228319,59.9746,19.096,1885.4,8.9181,1894.3,0.0,0.4727
2.635946,60.0456,18.97,1863.6,8.9064,1872.5,0.0,0.4704
2.6491257,60.1154,18.845,1842.1,8.8947,1851.0,0.0,0.468
2.6623714,60.1838,18.721,1820.9,8.8828,1829.8,0.0,0.4657
2.6756832,60.3943,18.594,1799.6,8.8708,1808.5,0.0,0.4634
2.6890617,60.4596,18.469,1778.5,8.8587,1787.4,0.0,0.4611
2.702507,60.5233,18.344,1757.7,8.8465,1766.5,0.0,0.4588
2.7160195,60.5855,18.22,1737.1,8.8341,1746.0,0.0,0.4565
2.7295996,60.6463,18.096,1716.8,8.8217,1725.6,0.0,0.4542
2.7432476,60.7057,17.974,1696.7,8.8091,1705.5,0.0,0.452
2.7569638,60.7638,17.853,1676.8,8.7964,1685.6,0.0,0.4497
2.7707486,60.8207,17.732,1657.2,8.7836,1666.0,0.0,0.4475
2.7846024,60.8763,17.612,1637.9,8.7707,1646.6,0.0,0.4452
2.7985254,60.9309,17.493,1618.7,8.7577,1627.5,0.0,0.443
2.812518,60.9843,17.376,1599.8,8.7446,1608.6,0.0,0.4408
2.8265806,61.0368,17.259,1581.1,8.7313,1589.9,0.0,0.4386
2.8407135,61.0882,17.142,1562.7,8.718,1571.4,0.0,0.4365
2.8549171,61.1387,17.027,1544.5,8.7045,1553.2,0.0,0.4343
2.8691917,61.1884,16.913,1526.5,8.691,1535.1,0.0,0.4321
2.8835376,61.2372,16.799,1508.7,8.6773,1517.4,0.0,0.43
2.8979553,61.2854,16.686,1491.1,8.6635,1499.7,0.0,0.4278
2.9124451,61.3328,16.572,1473.5,8.6496,1482.1,0.0,0.4257
2.9270073,61.3795,16.458,1456.1,8.6357,1464.7,0.0,0.4236
2.9416424,61.4255,16.345,1438.9,8.6216,1447.5,0.0,0.4215
2.9563506,61.4711,16.234,1422.0,8.6074,1430.6,0.0,0.4194
2.9711323,61.5162,16.123,1405.2,8.5931,1413.8,0.0,0.4173
2.985988,61.5613,16.013,1388.7,8.5787,1397.3,0.0,0.4152
3.0009179,61.6075,15.903,1372.3,8.5642,1380.8,0.0,0.4132
3.0159225,61.6638,15.778,1354.7,8.5496,1363.3,0.0,0.4111
3.0310021,61.7137,15.654,1337.4,8.5349,1345.9,0.0,0.4091
3.0461571,61.7593,15.531,1320.3,8.5201,1328.8,0.0,0.407
3.0613879,61.8015,15.41,1303.5,8.5052,1312.0,0.0,0.405
3.0766949,61.841,15.289,1286.8,8.4902,1295.3,0.0,0.403
3.0920783,61.8782,15.17,1270.4,8.4751,1278.9,0.0,0.401
3.1075387,61.9134,15.051,1254.3,8.4599,1262.7,0.0,0.399
3.1230764,61.9468,14.934,1238.3,8.4446,1246.7,0.0,0.397
3.1386918,61.9786,14.818,1222.6,8.4292,1231.0,0.0,0.395
3.1543853,62.0089,14.703,1207.0,8.4138,1215.4,0.0,0.3931
3.1701572,62.0378,14.589,1191.7,8.3982,1200.1,0.0,0.3911
3.186008,62.0654,14.476,1176.6,8.3825,1185.0,0.0,0.3892
3.201938,62.0918,14.364,1161.7,8.3668,1170.1,0.0,0.3872
3.2179477,62.1171,14.253,1147.0,8.3509,1155.3,0.0,0.3853
3.2340374,62.1413,14.143,1132.5,8.335,1140.8,0.0,0.3834
3.2502076,62.1646,14.035,1118.2,8.319,1126.5,0.0,0.3815
3.2664587,62.1868,13.927,1104.1,8.3028,1112.4,0.0,0.3796
3.282791,62.2082,13.82,1090.1,8.2866,1098.4,0.0,0.3777
3.2992049,62.2287,13.714,1076.4,8.2704,1084.7,0.0,0.3758
3.3157009,62.2484,13.609,1062.8,8.254,1071.1,0.0,0.3739
3.3322794,62.2674,13.505,1049.5,8.2375,1057.7,0.0,0.3721
3.3489408,62.2856,13.402,1036.3,8.221,1044.5,0.0,0.3702
3.3656856,62.4074,13.296,1023.0,8.2043,1031.2,0.0,0.3684
3.382514,62.4245,13.191,1009.9,8.1876,1018.1,0.0,0.3665
3.3994265,62.4405,13.087,996.95,8.1708,1005.1,0.0,0.3647
3.4164237,62.4556,12.984,984.18,8.1539,992.33,0.0,0.3629
3.4335058,62.4697,12.882,971.58,8.1369,979.72,0.0,0.3611
3.4506733,62.4829,12.781,959.15,8.1199,967.27,0.0,0.3593
3.4679267,62.4953,12.681,946.89,8.1028,955.0,0.0,0.3575
3.4852663,62.5068,12.581,934.8,8.0856,942.88,0.0,0.3557
3.5026927,62.5176,12.483,922.87,8.0683,930.94,0.0,0.354
3.5202061,62.5276,12.385,911.1,8.0509,919.15,0.0,0.3522
3.5378072,62.5369,12.289,899.49,8.0335,907.52,0.0,0.3505
3.5554962,62.5456,12.193,888.04,8.0159,896.05,0.0,0.3487
3.5732737,62.5535,12.098,876.74,7.9984,884.73,0.0,0.347
3.59114,62.5608,12.004,865.59,7.9807,873.57,0.0,0.3453
3.6090957,62.5675,11.911,854.59,7.9629,862.55,0.0,0.3435
3.6271412,62.5737,11.818,843.74,7.9451,851.69,0.0,0.3418
3.6452769,62.5792,11.727,833.04,7.9272,840.97,0.0,0.3401
3.6635033,62.5843,11.636,822.48,7.9093,830.39,0.0,0.3384
