E,f1,f2,PE,C+i,Total,K,lambda
2.080733,9.36013,0.72104,767.55,1.431,768.98,729.2,0.5959
2.224304,9.34689,0.64132,638.62,1.3843,640.0,606.7,0.5574
2.377781,9.33207,0.57033,531.27,1.3361,532.61,504.6,0.5214
2.541848,9.31652,0.50714,441.92,1.2868,443.21,419.7,0.4878
2.717235,9.30109,0.45093,367.58,1.2368,368.82,349.1,0.4563
2.904724,9.28588,0.39862,303.96,1.1863,305.15,288.5,0.4268
3.10515,9.26977,0.35055,250.05,1.1358,251.19,237.3,0.3993
3.319406,9.25188,0.30702,204.87,1.0855,205.96,194.4,0.3735
3.548445,9.23378,0.26891,167.85,1.0356,168.89,159.3,0.3494
3.793288,9.21598,0.23553,137.53,0.98651,138.52,130.5,0.3269
4.055024,9.19881,0.20629,112.68,0.93836,113.62,106.9,0.3058
4.334821,9.18245,0.18068,92.321,0.89138,93.212,87.6,0.286
4.633924,9.167,0.15825,75.642,0.84575,76.488,71.78,0.2676
4.953664,9.15253,0.13861,61.977,0.80161,62.779,58.81,0.2503
5.295467,9.13905,0.12141,50.782,0.7591,51.541,48.18,0.2341
5.660855,9.12654,0.10634,41.609,0.71832,42.327,39.48,0.219
6.051453,9.115,0.093147,34.093,0.67934,34.772,32.34,0.2049
6.469004,9.10438,0.08159,27.936,0.64223,28.578,26.5,0.1917
6.915365,9.09464,0.071467,22.89,0.60701,23.497,21.71,0.1793
7.392525,9.08575,0.062601,18.757,0.57371,19.331,17.79,0.1677
7.902609,9.07766,0.054836,15.369,0.54232,15.911,14.57,0.1569
8.44789,9.07041,0.048034,12.594,0.51282,13.107,11.94,0.1468
9.030794,9.06412,0.041998,10.301,0.48518,10.786,9.765,0.1373
9.653919,9.05787,0.036478,8.3693,0.45936,8.8287,7.934,0.1284
10.32004,9.05214,0.031684,6.8001,0.4353,7.2354,6.446,0.1201
11.03212,9.04693,0.02752,5.5252,0.41293,5.9381,5.238,0.1124
11.79334,9.04219,0.023903,4.4893,0.39218,4.8815,4.255,0.1051
12.60708,9.0379,0.020762,3.6477,0.37297,4.0207,3.458,0.09834
13.47697,9.03403,0.01798,2.955,0.35523,3.3102,2.8,0.092
14.40688,9.0305,0.015549,2.3905,0.33886,2.7294,2.265,0.08606
15.40095,9.02731,0.013445,1.9337,0.32377,2.2575,1.832,0.0805
16.46362,9.02442,0.011626,1.5641,0.30988,1.874,1.482,0.07531
17.59961,9.02183,0.010053,1.2652,0.2971,1.5623,1.198,0.07045
18.81398,9.01949,0.0086933,1.0234,0.28534,1.3087,0.9691,0.0659
20.11215,9.01739,0.0075172,0.82787,0.27453,1.1024,0.7838,0.06165
21.49988,9.01551,0.0065003,0.66967,0.26456,0.93423,0.6339,0.05767
22.98338,9.01382,0.005621,0.5417,0.25538,0.79708,0.5127,0.05395
24.56923,9.01231,0.0048606,0.43819,0.2469,0.68509,0.4147,0.05046
26.2645,9.01096,0.0042031,0.35446,0.23905,0.59351,0.3354,0.04721
28.07676,9.00976,0.0036202,0.28559,0.23178,0.51737,0.2702,0.04416
30.01405,9.00868,0.0031141,0.22981,0.225,0.45481,0.2174,0.04131
32.08502,9.00772,0.0026787,0.18492,0.21868,0.4036,0.1749,0.03864
34.29889,9.00685,0.0023042,0.1488,0.21275,0.36155,0.1407,0.03615
36.66551,9.00608,0.0019821,0.11974,0.20718,0.32692,0.1132,0.03381
39.19543,9.00539,0.001705,0.096351,0.20191,0.29826,0.09106,0.03163
41.89992,9.00478,0.0014667,0.077532,0.1969,0.27443,0.07326,0.02959
44.79101,9.00424,0.0012616,0.062389,0.19213,0.25452,0.05894,0.02768
47.88159,9.00375,0.0010853,0.050203,0.18756,0.23776,0.04742,0.02589
51.18542,9.00332,0.00093356,0.040398,0.18317,0.22357,0.03815,0.02422
54.71721,9.00294,0.00080306,0.032508,0.17893,0.21144,0.03069,0.02266
58.4927,9.0026,0.00069081,0.026159,0.17482,0.20098,0.02469,0.0212
62.5287,9.0023,0.00059424,0.02105,0.17082,0.19187,0.01987,0.01983
66.84318,9.00204,0.00051118,0.016939,0.16693,0.18387,0.01598,0.01855
71.45536,9.0018,0.00043973,0.01363,0.16312,0.17675,0.01286,0.01735
76.38578,9.00159,0.00037826,0.010968,0.15939,0.17036,0.01035,0.01623
81.6564,9.0014,0.00032542,0.008827,0.15573,0.16456,0.008324,0.01518
87.29069,9.00124,0.00028001,0.007105,0.15214,0.15924,0.006699,0.0142
93.31374,9.0011,0.00024094,0.005719,0.1486,0.15432,0.005391,0.01329
99.75239,9.00097,0.00020732,0.0046033,0.14512,0.14972,0.004339,0.01243
