E,f1,f2,PE,C+i,Total,K,lambda
2.0089931,30.0812,8.0162,2408.3,4.7661,2413.1,0.0,0.6171
2.0190381,30.1077,7.9563,2378.4,4.7614,2383.2,0.0,0.6141
2.0291333,30.1337,7.8969,2348.9,4.7566,2353.7,0.0,0.611
2.039279,30.1591,7.8379,2319.8,4.7518,2324.5,0.0,0.608
2.0494754,30.1839,7.7793,2291.0,4.7469,2295.7,0.0,0.605
2.0597227,30.2083,7.7212,2262.6,4.7419,2267.3,0.0,0.6019
2.0700213,30.2321,7.6636,2234.5,4.7369,2239.2,0.0,0.599
2.0803714,30.2554,7.6064,2206.8,4.7318,2211.5,0.0,0.596
2.0907733,30.2782,7.5496,2179.4,4.7266,2184.1,0.0,0.593
2.1012272,30.3006,7.4932,2152.4,4.7214,2157.1,0.0,0.5901
2.1117333,30.3225,7.4373,2125.7,4.716,2130.4,0.0,0.5871
2.122292,30.3439,7.3818,2099.3,4.7106,2104.0,0.0,0.5842
2.1329034,30.3649,7.3268,2073.3,4.7052,2078.0,0.0,0.5813
2.143568,30.3855,7.2721,2047.6,4.6996,2052.3,0.0,0.5784
2.1542858,30.4057,7.2179,2022.2,4.694,2026.9,0.0,0.5755
2.1650572,30.4255,7.1641,1997.2,4.6884,2001.8,0.0,0.5727
2.1758825,30.4448,7.1107,1972.4,4.6826,1977.1,0.0,0.5698
2.1867619,30.4639,7.0577,1948.0,4.6768,1952.6,0.0,0.567
2.1976957,30.4825,7.0051,1923.8,4.6709,1928.5,0.0,0.5642
2.2086842,30.5008,6.9529,1900.0,4.665,1904.7,0.0,0.5613
2.2197276,30.5188,6.9011,1876.5,4.659,1881.1,0.0,0.5586
2.2308263,30.6455,6.8497,1853.2,4.6529,1857.9,0.0,0.5558
2.2419804,30.6628,6.7967,1829.7,4.6467,1834.4,0.0,0.553
2.2531903,30.6796,6.7441,1806.6,4.6405,1811.2,0.0,0.5503
2.2644562,30.6959,6.692,1783.7,4.6343,1788.3,0.0,0.5475
2.2757785,30.7117,6.6403,1761.1,4.6279,1765.7,0.0,0.5448
2.2871574,30.7822,6.5887,1738.7,4.6215,1743.3,0.0,0.5421
2.2985932,30.7971,6.5368,1716.4,4.615,1721.0,0.0,0.5394
2.3100862,30.8114,6.4853,1694.4,4.6085,1699.0,0.0,0.5367
2.3216366,30.8253,6.4343,1672.7,4.6019,1677.3,0.0,0.534
2.3332448,30.8387,6.3836,1651.3,4.5952,1655.9,0.0,0.5314
2.344911,30.8516,6.3333,1630.2,4.5885,1634.7,0.0,0.5287
2.3566356,30.8641,6.2835,1609.3,4.5817,1613.9,0.0,0.5261
2.3684187,30.8762,6.234,1588.7,4.5749,1593.2,0.0,0.5235
2.3802608,30.8879,6.1849,1568.3,4.5679,1572.9,0.0,0.5209
2.3921621,30.8991,6.1363,1548.2,4.561,1552.8,0.0,0.5183
2.404123,30.91,6.088,1528.4,4.5539,1533.0,0.0,0.5157
2.4161436,30.9206,6.0401,1508.8,4.5468,1513.4,0.0,0.5131
2.4282243,30.9307,5.9926,1489.5,4.5397,1494.1,0.0,0.5106
2.4403654,30.9406,5.9455,1470.5,4.5324,1475.0,0.0,0.5081
2.4525672,30.9501,5.8987,1451.6,4.5252,1456.2,0.0,0.5055
2.4648301,30.9593,5.8523,1433.1,4.5178,1437.6,0.0,0.503
2.4771542,30.9682,5.8064,1414.7,4.5104,1419.2,0.0,0.5005
2.48954,30.9768,5.7607,1396.6,4.503,1401.1,0.0,0.498
2.5019877,30.985,5.7155,1378.8,4.4955,1383.3,0.0,0.4955
2.5144976,30.9931,5.6706,1361.1,4.4879,1365.6,0.0,0.4931
2.5270701,31.0008,5.6261,1343.7,4.4803,1348.2,0.0,0.4906
2.5397055,31.0083,5.582,1326.6,4.4726,1331.0,0.0,0.4882
2.552404,31.0155,5.5382,1309.6,4.4648,1314.1,0.0,0.4858
2.565166,31.0225,5.4947,1292.9,4.457,1297.3,0.0,0.4833
2.5779919,31.0293,5.4517,1276.3,4.4492,1280.8,0.0,0.4809
2.5908818,31.0358,5.409,1260.0,4.4413,1264.5,0.0,0.4785
2.6038362,31.0839,5.3661,1243.8,4.4333,1248.3,0.0,0.4762
2.6168554,31.0901,5.3233,1227.8,4.4253,1232.2,0.0,0.4738
2.6299397,31.0961,5.2809,1211.9,4.4172,1216.4,0.0,0.4714
2.6430894,31.1018,5.2388,1196.3,4.4091,1200.7,0.0,0.4691
2.6563048,31.1072,5.197,1180.9,4.4009,1185.3,0.0,0.4668
2.6695863,31.1124,5.1556,1165.6,4.3926,1170.0,0.0,0.4644
2.6829343,31.1173,5.1146,1150.6,4.3844,1155.0,0.0,0.4621
2.6963489,31.122,5.0739,1135.8,4.376,1140.1,0.0,0.4598
2.7098307,31.1265,5.0335,1121.1,4.3676,1125.5,0.0,0.4575
2.7233798,31.1308,4.9935,1106.7,4.3592,1111.0,0.0,0.4553
2.7369967,31.135,4.9538,1092.4,4.3507,1096.8,0.0,0.453
2.7506817,31.1389,4.9145,1078.3,4.3421,1082.7,0.0,0.4507
2.7644351,31.1426,4.8754,1064.5,4.3335,1068.8,0.0,0.4485
2.7782573,31.1462,4.8367,1050.7,4.3249,1055.1,0.0,0.4463
2.7921486,31.1496,4.7983,1037.2,4.3162,1041.5,0.0,0.444
2.8061093,31.1529,4.7603,1023.9,4.3075,1028.2,0.0,0.4418
2.8201399,31.1561,4.7225,1010.7,4.2987,1015.0,0.0,0.4396
2.8342406,31.1591,4.6851,997.71,4.2898,1002.0,0.0,0.4375
2.8484118,31.1621,4.648,984.88,4.281,989.16,0.0,0.4353
2.8626539,31.1649,4.6112,972.22,4.272,976.5,0.0,0.4331
2.8769671,31.1677,4.5747,959.73,4.263,964.0,0.0,0.431
2.891352,31.1705,4.5385,947.4,4.254,951.66,0.0,0.4288
2.9058087,31.1732,4.5026,935.24,4.245,939.48,0.0,0.4267
2.9203378,31.1759,4.4671,923.23,4.2358,927.47,0.0,0.4246
2.9349394,31.1787,4.4318,911.39,4.2267,915.61,0.0,0.4224
2.9496141,31.1817,4.3968,899.7,4.2175,903.91,0.0,0.4203
2.9643622,31.1848,4.3621,888.16,4.2082,892.37,0.0,0.4182
2.979184,31.1882,4.3277,876.75,4.1989,880.95,0.0,0.4162
2.9940799,31.1921,4.2934,865.49,4.1896,869.68,0.0,0.4141
3.0090503,31.1967,4.2573,853.93,4.1802,858.11,0.0,0.412
3.0240956,31.2005,4.22,842.25,4.1708,846.42,0.0,0.41
3.0392161,31.2033,4.1831,830.73,4.1613,834.9,0.0,0.4079
3.0544122,31.2054,4.1466,819.38,4.1518,823.53,0.0,0.4059
3.0696842,31.2068,4.1104,808.18,4.1423,812.32,0.0,0.4039
3.0850326,31.2078,4.0745,797.14,4.1327,801.27,0.0,0.4019
3.1004578,31.2083,4.0389,786.26,4.1231,790.38,0.0,0.3999
3.1159601,31.2084,4.0037,775.52,4.1134,779.64,0.0,0.3979
3.1315399,31.2082,3.9688,764.94,4.1037,769.04,0.0,0.3959
3.1471976,31.2077,3.9343,754.51,4.094,758.6,0.0,0.394
3.1629336,31.2068,3.9,744.22,4.0842,748.3,0.0,0.392
3.1787482,31.2057,3.8661,734.07,4.0744,738.15,0.0,0.39
3.194642,31.2044,3.8325,724.07,4.0645,728.13,0.0,0.3881
3.2106152,31.2028,3.7992,714.21,4.0546,718.26,0.0,0.3862
3.2266683,31.201,3.7662,704.48,4.0447,708.52,0.0,0.3842
3.2428016,31.199,3.7335,694.89,4.0347,698.93,0.0,0.3823
3.2590156,31.1968,3.7011,685.43,4.0247,689.46,0.0,0.3804
3.2753107,31.1944,3.669,676.11,4.0147,680.13,0.0,0.3785
3.2916873,31.1919,3.6372,666.92,4.0046,670.92,0.0,0.3767
3.3081457,31.1891,3.6057,657.85,3.9945,661.85,0.0,0.3748
3.3246864,31.1862,3.5745,648.91,3.9844,652.9,0.0,0.3729
3.3413099,31.1832,3.5436,640.1,3.9742,644.07,0.0,0.3711
3.3580164,31.18,3.5129,631.41,3.964,635.37,0.0,0.3692
3.3748065,31.1767,3.4826,622.84,3.9538,626.79,0.0,0.3674
3.3916805,31.1733,3.4525,614.39,3.9435,618.33,0.0,0.3656
3.4086389,31.1697,3.4227,606.05,3.9332,609.99,0.0,0.3637
3.4256821,31.166,3.3932,597.84,3.9229,601.76,0.0,0.3619
3.4428105,31.1622,3.3639,589.73,3.9125,593.65,0.0,0.3601
3.4600246,31.1582,3.3349,581.74,3.9022,585.65,0.0,0.3583
3.4773247,31.1542,3.3062,573.86,3.8917,577.76,0.0,0.3566
3.4947113,31.15,3.2778,566.1,3.8813,569.98,0.0,0.3548
3.5121849,31.1458,3.2496,558.43,3.8708,562.3,0.0,0.353
3.5297458,31.1414,3.2216,550.88,3.8603,554.74,0.0,0.3513
3.5473945,31.137,3.194,543.43,3.8498,547.28,0.0,0.3495
3.5651315,31.1325,3.1665,536.08,3.8392,539.92,0.0,0.3478
3.5829572,31.1279,3.1394,528.84,3.8286,532.67,0.0,0.346
3.6008719,31.1232,3.1124,521.69,3.818,525.51,0.0,0.3443
3.6188763,31.1184,3.0858,514.65,3.8074,518.46,0.0,0.3426
3.6369707,31.1135,3.0593,507.7,3.7967,511.5,0.0,0.3409
3.6551555,31.1086,3.0331,500.85,3.786,504.64,0.0,0.3392
3.6734313,31.1036,3.0072,494.09,3.7753,497.87,0.0,0.3375
3.6917985,31.0985,2.9815,487.43,3.7645,491.2,0.0,0.3358
3.7102575,31.0933,2.956,480.86,3.7538,484.62,0.0,0.3342
3.7288088,31.0881,2.9307,474.38,3.743,478.13,0.0,0.3325
3.7474528,31.0828,2.9057,467.99,3.7322,471.73,0.0,0.3308
3.7661901,31.0775,2.8809,461.69,3.7213,465.41,0.0,0.3292
3.785021,31.0721,2.8564,455.48,3.7105,459.19,0.0,0.3276
3.8039461,31.0666,2.832,449.35,3.6996,453.05,0.0,0.3259
3.8229659,31.0611,2.8079,443.31,3.6887,447.0,0.0,0.3243
3.8420807,31.0556,2.784,437.35,3.6778,441.03,0.0,0.3227
3.8612911,31.0499,2.7603,431.47,3.6668,435.14,0.0,0.3211
3.8805975,31.0443,2.7369,425.68,3.6559,429.33,0.0,0.3195
3.9000005,31.0386,2.7136,419.96,3.6449,423.6,0.0,0.3179
3.9195005,31.0328,2.6906,414.32,3.6339,417.96,0.0,0.3163
3.939098,31.027,2.6678,408.76,3.6229,412.39,0.0,0.3148
3.9587935,31.0211,2.6451,403.28,3.6118,406.89,0.0,0.3132
3.9785875,31.0153,2.6227,397.87,3.6008,401.47,0.0,0.3116
3.9984804,31.0093,2.6005,392.54,3.5897,396.13,0.0,0.3101
4.0184728,31.0034,2.5785,387.28,3.5786,390.86,0.0,0.3085
4.0385652,30.9974,2.5567,382.09,3.5675,385.66,0.0,0.307
4.058758,30.9913,2.5351,376.98,3.5564,380.54,0.0,0.3055
4.0790518,30.9853,2.5136,371.93,3.5452,375.48,0.0,0.304
