E,f1,f2,PE,C+i,Total,K,lambda
2.080733,2.00331,0.0010919,5.5165,0.36855,5.885,5.516,0.5959
2.224304,2.00294,0.00092851,4.3882,0.35844,4.7466,4.388,0.5574
2.377781,2.0026,0.00078905,3.4884,0.34825,3.8366,3.488,0.5214
2.541848,2.00231,0.00067012,2.7714,0.33807,3.1095,2.771,0.4878
2.717235,2.00204,0.00056878,2.2005,0.32801,2.5285,2.2,0.4563
2.904724,2.00181,0.00048249,1.7461,0.31816,2.0643,1.746,0.4268
3.10515,2.0016,0.00040907,1.3849,0.30858,1.6935,1.385,0.3993
3.319406,2.00141,0.00034664,1.0978,0.29936,1.3972,1.098,0.3735
3.548445,2.00125,0.0002936,0.86978,0.29055,1.1603,0.8698,0.3494
3.793288,2.0011,0.00024855,0.68881,0.2822,0.97101,0.6888,0.3269
4.055024,2.00097,0.00021033,0.54525,0.27435,0.8196,0.5453,0.3058
4.334821,2.00086,0.00017791,0.43144,0.26703,0.69847,0.4314,0.286
4.633924,2.00076,0.00015043,0.34124,0.26024,0.60148,0.3412,0.2676
4.953664,2.00067,0.00012714,0.26981,0.25401,0.52382,0.2698,0.2503
5.295467,2.00059,0.00010743,0.21326,0.24832,0.46158,0.2133,0.2341
5.660855,2.00052,9.074e-05,0.1685,0.24318,0.41168,0.1685,0.219
6.051453,2.00046,7.6624e-05,0.13311,0.23857,0.37168,0.1331,0.2049
6.469004,2.0004,6.4687e-05,0.10512,0.23446,0.33958,0.1051,0.1917
6.915365,2.00035,5.4596e-05,0.082993,0.23083,0.31382,0.08299,0.1793
7.392525,2.00031,4.607e-05,0.065512,0.22764,0.29315,0.06551,0.1677
7.902609,2.00027,3.8868e-05,0.051704,0.22487,0.27657,0.0517,0.1569
8.44789,2.00024,3.2787e-05,0.040799,0.22247,0.26327,0.0408,0.1468
9.030794,2.00021,2.7654e-05,0.03219,0.2204,0.25259,0.03219,0.1373
9.653919,2.00019,2.3322e-05,0.025395,0.21863,0.24402,0.0254,0.1284
10.32004,2.00016,1.9667e-05,0.020033,0.21711,0.23714,0.02003,0.1201
11.03212,2.00014,1.6584e-05,0.015802,0.2158,0.2316,0.0158,0.1124
11.79334,2.00013,1.3984e-05,0.012465,0.21466,0.22712,0.01246,0.1051
12.60708,2.00011,1.1791e-05,0.0098319,0.21365,0.22348,0.009832,0.09834
13.47697,2.0001,9.9427e-06,0.0077554,0.21273,0.22049,0.007755,0.092
14.40688,2.00009,8.3843e-06,0.0061177,0.21187,0.21799,0.006118,0.08606
15.40095,2.00007,7.0708e-06,0.0048263,0.21104,0.21587,0.004826,0.0805
16.46362,2.00007,5.9636e-06,0.0038078,0.2102,0.21401,0.003808,0.07531
17.59961,2.00006,5.0304e-06,0.0030047,0.20933,0.21233,0.003005,0.07045
18.81398,2.00005,4.2439e-06,0.0023713,0.20841,0.21078,0.002371,0.0659
20.11215,2.00004,3.581e-06,0.0018717,0.2074,0.20927,0.001872,0.06165
21.49988,2.00004,3.0223e-06,0.0014777,0.20631,0.20779,0.001478,0.05767
22.98338,2.00003,2.5513e-06,0.0011669,0.2051,0.20627,0.001167,0.05395
24.56923,2.00003,2.1543e-06,0.00092172,0.20377,0.20469,0.0009217,0.05046
26.2645,2.00003,1.8195e-06,0.00072825,0.20231,0.20304,0.0007283,0.04721
28.07676,2.00002,1.5373e-06,0.00057557,0.20071,0.20129,0.0005756,0.04416
30.01405,2.00002,1.2992e-06,0.00045505,0.19896,0.19942,0.000455,0.04131
32.08502,2.00002,1.0984e-06,0.00035989,0.19707,0.19743,0.0003599,0.03864
34.29889,2.00002,9.2904e-07,0.00028474,0.19504,0.19532,0.0002847,0.03615
36.66551,2.00001,7.8609e-07,0.00022538,0.19287,0.1931,0.0002254,0.03381
39.19543,2.00001,6.6542e-07,0.00017847,0.19055,0.19073,0.0001785,0.03163
41.89992,2.00001,5.6354e-07,0.00014138,0.18811,0.18825,0.0001414,0.02959
44.79101,2.00001,4.7748e-07,0.00011206,0.18554,0.18565,0.0001121,0.02768
47.88159,2.00001,4.0478e-07,8.8867e-05,0.18284,0.18293,8.887e-05,0.02589
51.18542,2.00001,3.4333e-07,7.0511e-05,0.18004,0.18011,7.051e-05,0.02422
54.71721,2.00001,2.9137e-07,5.5978e-05,0.17714,0.1772,5.598e-05,0.02266
