E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,51.9057,10.361,1086.5,11.421,1097.9,0.0,0.6198
2.0104868,51.7041,10.299,1074.7,11.418,1086.1,0.0,0.6167
2.0205393,51.4927,10.238,1062.9,11.414,1074.4,0.0,0.6136
2.030642,51.2709,10.177,1051.4,11.41,1062.8,0.0,0.6106
2.0407952,51.0388,10.117,1040.0,11.407,1051.4,0.0,0.6075
2.0509992,50.7935,10.057,1028.7,11.403,1040.1,0.0,0.6045
2.0612542,50.535,9.9978,1017.5,11.398,1028.9,0.0,0.6015
2.0715604,50.2621,9.939,1006.5,11.394,1017.9,0.0,0.5985
2.0819182,49.9733,9.8808,995.63,11.389,1007.0,0.0,0.5955
2.0923278,49.6672,9.823,984.88,11.385,996.26,0.0,0.5926
2.1027895,49.3418,9.7657,974.26,11.38,985.64,0.0,0.5896
2.1133034,48.995,9.7088,963.77,11.375,975.15,0.0,0.5867
2.1238699,48.6243,9.6524,953.41,11.37,964.78,0.0,0.5838
2.1344893,48.2267,9.5965,943.17,11.364,954.53,0.0,0.5809
2.1451617,47.7985,9.5411,933.06,11.359,944.41,0.0,0.578
2.1558875,47.3353,9.4861,923.06,11.353,934.41,0.0,0.5751
2.166667,46.8315,9.4315,913.19,11.347,924.54,0.0,0.5722
2.1775003,46.2802,9.3774,903.43,11.341,914.77,0.0,0.5694
2.1883878,45.6724,9.3238,893.79,11.334,905.13,0.0,0.5666
2.1993297,44.9963,9.2706,884.27,11.328,895.6,0.0,0.5637
2.2103264,44.2358,9.2178,874.86,11.321,886.18,0.0,0.5609
2.221378,43.3681,9.1654,865.56,11.315,876.88,0.0,0.5581
2.2324849,42.3593,9.1135,856.38,11.308,867.68,0.0,0.5554
2.2436473,41.1558,9.0619,847.3,11.3,858.6,0.0,0.5526
2.2548656,39.6644,9.0108,838.33,11.293,849.62,0.0,0.5499
2.2661399,37.6989,8.9601,829.46,11.286,840.75,0.0,0.5471
2.2774706,34.7858,8.9098,820.7,11.278,831.98,0.0,0.5444
2.2888579,28.8037,8.859,811.96,11.27,823.23,0.0,0.5417
2.2942849,16.2146,8.8346,807.81,11.266,819.07,0.0,0.5404
2.295515,15.9129,26.029,2378.7,11.265,2390.0,0.0,0.5401
2.3003022,27.7369,25.949,2366.5,11.262,2377.7,0.0,0.539
2.3118037,33.6852,25.758,2337.3,11.254,2348.6,0.0,0.5363
2.3233628,36.1133,25.568,2308.6,11.246,2319.9,0.0,0.5336
2.3349796,37.4118,25.38,2280.2,11.237,2291.5,0.0,0.531
2.3466545,38.0194,25.194,2252.2,11.228,2263.5,0.0,0.5283
2.3583878,37.9796,25.009,2224.6,11.22,2235.8,0.0,0.5257
2.3701797,36.9517,24.826,2197.3,11.211,2208.5,0.0,0.5231
2.3820306,32.0152,24.644,2170.3,11.202,2181.5,0.0,0.5205
2.3842276,26.9354,24.61,2165.4,11.2,2176.6,0.0,0.52
2.3855726,26.8547,35.97,3163.1,11.199,3174.3,0.0,0.5197
2.3939407,36.8932,35.781,3135.5,11.192,3146.7,0.0,0.5179
2.4059104,40.7295,35.513,3096.5,11.183,3107.7,0.0,0.5153
2.41794,43.0624,35.247,3058.1,11.173,3069.3,0.0,0.5128
2.4300297,44.8169,34.984,3020.1,11.163,3031.3,0.0,0.5102
2.4421798,46.2493,34.722,2982.7,11.153,2993.8,0.0,0.5077
2.4543907,47.4704,34.463,2945.7,11.143,2956.8,0.0,0.5052
2.4666627,48.5392,34.206,2909.1,11.133,2920.3,0.0,0.5026
2.478996,49.4914,33.951,2873.1,11.122,2884.2,0.0,0.5001
2.491391,50.3506,33.698,2837.5,11.112,2848.6,0.0,0.4977
2.5038479,51.1332,33.447,2802.3,11.101,2813.4,0.0,0.4952
2.5163672,51.851,33.198,2767.6,11.09,2778.7,0.0,0.4927
2.528949,52.5131,32.95,2733.3,11.079,2744.4,0.0,0.4903
2.5415938,53.1265,32.705,2699.5,11.068,2710.6,0.0,0.4878
2.5543017,53.6965,32.462,2666.1,11.056,2677.1,0.0,0.4854
2.5670732,54.2277,32.221,2633.1,11.045,2644.2,0.0,0.483
2.5799086,54.7234,31.982,2600.5,11.033,2611.6,0.0,0.4806
2.5928082,55.1867,31.744,2568.4,11.021,2579.4,0.0,0.4782
2.6057722,55.6197,31.509,2536.7,11.009,2547.7,0.0,0.4758
2.6188011,56.0245,31.275,2505.3,10.997,2516.3,0.0,0.4734
2.6318951,56.4023,31.043,2474.4,10.985,2485.4,0.0,0.4711
2.6450545,56.7544,30.813,2443.8,10.972,2454.8,0.0,0.4687
2.6582798,57.0814,30.585,2413.7,10.96,2424.6,0.0,0.4664
2.6715712,57.3837,30.359,2383.9,10.947,2394.8,0.0,0.4641
2.6849291,57.6613,30.134,2354.5,10.934,2365.4,0.0,0.4618
2.6983537,57.9137,29.911,2325.4,10.921,2336.4,0.0,0.4595
2.7118455,58.1399,29.69,2296.8,10.908,2307.7,0.0,0.4572
2.7254047,58.338,29.47,2268.4,10.894,2279.3,0.0,0.4549
2.7390317,58.5052,29.252,2240.4,10.881,2251.3,0.0,0.4527
2.7527269,58.6369,29.035,2212.7,10.867,2223.6,0.0,0.4504
