E,f1,f2,PE,C+i,Total,K,lambda
2.080733,48.489,10.626,1693.3,7.4674,1700.8,0.0,0.5959
2.224304,48.5412,9.7173,1448.6,7.3912,1456.0,0.0,0.5574
2.377781,48.5293,8.8857,1239.1,7.2948,1246.4,0.0,0.5214
2.541848,48.478,8.1102,1058.0,7.1792,1065.2,0.0,0.4878
2.717235,48.3604,7.3706,899.45,7.0457,906.5,0.0,0.4563
2.904724,48.2078,6.7093,765.9,6.8956,772.8,0.0,0.4268
3.10515,48.065,6.0553,646.62,6.7303,653.35,0.0,0.3993
3.319406,47.6838,5.424,541.83,6.5512,548.38,0.0,0.3735
3.548445,47.1716,4.8629,454.43,6.36,460.79,0.0,0.3494
3.793288,46.4591,4.3446,379.79,6.1583,385.95,0.0,0.3269
4.055024,45.3714,3.8793,317.22,5.9476,323.17,0.0,0.3058
4.334821,43.2826,3.4694,265.39,5.7295,271.12,0.0,0.286
4.465958,41.0615,3.3023,245.19,5.6302,250.82,0.0,0.2776
4.534314,37.7027,3.2206,235.52,5.5791,241.1,0.0,0.2734
4.552543,33.8351,3.1994,233.03,5.5656,238.6,0.0,0.2723
4.579885,37.6379,10.667,772.32,5.5454,777.87,0.0,0.2707
4.633924,40.4735,10.391,743.58,5.5057,749.09,0.0,0.2676
4.648242,40.836,10.32,736.21,5.4952,741.71,0.0,0.2667
4.755058,41.9574,9.8092,684.04,5.4179,689.46,0.0,0.2607
4.827839,41.0845,9.5109,653.24,5.366,658.61,0.0,0.2568
4.847248,39.3389,9.4389,645.7,5.3522,651.05,0.0,0.2558
4.87636,41.4727,13.062,888.21,5.3317,893.54,0.0,0.2543
4.953664,43.6693,12.66,847.42,5.2776,852.7,0.0,0.2503
5.084338,44.9619,12.036,784.94,5.1878,790.13,0.0,0.2439
5.162159,44.8502,11.713,752.39,5.1352,757.53,0.0,0.2402
5.182912,44.0786,11.631,744.14,5.1213,749.26,0.0,0.2392
5.21404,45.2183,13.332,847.83,5.1005,852.93,0.0,0.2378
5.295467,46.5711,13.013,814.85,5.0467,819.9,0.0,0.2341
5.660855,49.0314,11.779,689.97,4.8145,694.78,0.0,0.219
6.051453,50.4303,10.679,585.14,4.5823,589.72,0.0,0.2049
6.469004,51.3802,9.6346,493.85,4.3513,498.2,0.0,0.1917
6.915365,52.0355,8.6656,415.52,4.1228,419.64,0.0,0.1793
7.392525,52.4876,7.7844,349.17,3.8977,353.07,0.0,0.1677
7.902609,52.7994,6.9929,293.42,3.6769,297.1,0.0,0.1569
8.44789,53.015,6.2859,246.73,3.4615,250.19,0.0,0.1468
9.030794,53.1826,5.6458,207.3,3.2521,210.55,0.0,0.1373
9.653919,53.3587,5.0279,172.7,3.0493,175.75,0.0,0.1284
10.32004,53.4298,4.4712,143.66,2.8536,146.51,0.0,0.1201
11.03212,53.4524,3.9684,119.28,2.6656,121.95,0.0,0.1124
11.79334,53.4062,3.5241,99.085,2.4855,101.57,0.0,0.1051
12.60708,53.3387,3.1314,82.363,2.3136,84.677,0.0,0.09834
13.47697,53.2571,2.785,68.524,2.1501,70.674,0.0,0.092
14.40688,53.1664,2.4792,57.062,1.995,59.057,0.0,0.08606
15.40095,53.0697,2.209,47.56,1.8484,49.408,0.0,0.0805
16.46362,52.9691,1.9699,39.676,1.7101,41.386,0.0,0.07531
17.59961,52.8653,1.7569,33.102,1.5801,34.682,0.0,0.07045
18.81398,52.7582,1.5678,27.632,1.4583,29.09,0.0,0.0659
20.11215,52.6473,1.3991,23.067,1.3444,24.411,0.0,0.06165
21.49988,52.5289,1.2463,19.222,1.2382,20.46,0.0,0.05767
22.98338,52.3987,1.1086,15.995,1.1395,17.134,0.0,0.05395
24.56923,52.2486,0.98355,13.274,1.0478,14.322,0.0,0.05046
26.2645,52.0687,0.87336,11.026,0.96303,11.989,0.0,0.04721
28.07676,51.833,0.76881,9.0797,0.8847,9.9644,0.0,0.04416
30.01405,51.4549,0.67523,7.4598,0.81252,8.2723,0.0,0.04131
32.08502,50.5798,0.59354,6.134,0.74616,6.8802,0.0,0.03864
32.50601,50.158,0.57883,5.9045,0.73384,6.6383,0.0,0.03814
33.00355,48.9195,0.56217,5.6482,0.71975,6.368,0.0,0.03757
33.13623,47.4332,0.55785,5.5824,0.71607,6.2985,0.0,0.03742
33.33525,48.9383,3.4787,34.603,0.71062,35.314,29.12,0.03719
33.83279,50.2993,3.3951,33.275,0.69732,33.972,28.02,0.03665
34.29889,50.8358,3.3198,32.095,0.68526,32.78,27.05,0.03615
36.66551,51.9788,2.9745,26.9,0.62949,27.529,22.74,0.03381
39.19543,52.492,2.6643,22.54,0.5785,23.118,19.11,0.03163
41.89992,52.8009,2.3861,18.883,0.53198,19.415,16.06,0.02959
44.79101,53.0062,2.1326,15.787,0.48959,16.277,13.45,0.02768
47.88159,53.1422,1.9025,13.175,0.45103,13.626,11.25,0.02589
51.18542,53.2332,1.6966,10.991,0.41601,11.407,9.396,0.02422
54.71721,53.2932,1.5126,9.1664,0.38423,9.5506,7.847,0.02266
58.4927,53.3312,1.3483,7.6433,0.35543,7.9987,6.55,0.0212
62.5287,53.3535,1.2017,6.3726,0.32936,6.702,5.467,0.01983
66.84318,53.3967,1.0706,5.3109,0.30578,5.6167,4.56,0.01855
71.45536,53.3976,0.95063,4.4114,0.28446,4.6959,3.788,0.01735
76.38578,53.3913,0.84419,3.6646,0.26518,3.9298,3.147,0.01623
81.6564,53.3819,0.74857,3.0398,0.24777,3.2876,2.611,0.01518
87.29069,53.3679,0.66149,2.5128,0.23203,2.7448,2.16,0.0142
93.31374,53.35,0.5846,2.0774,0.21781,2.2952,1.786,0.01329
99.75239,53.3303,0.51669,1.7175,0.20494,1.9224,1.478,0.01243
