E,f1,f2,PE,C+i,Total,K,lambda
2.080733,44.0835,7.6005,1338.7,7.1271,1345.8,0.0,0.5959
2.224304,43.911,6.912,1138.9,7.0522,1146.0,0.0,0.5574
2.377781,43.6841,6.2955,970.33,6.9579,977.29,0.0,0.5214
2.541848,43.4025,5.7429,828.02,6.845,834.86,0.0,0.4878
2.717235,43.0533,5.2385,706.54,6.7149,713.25,0.0,0.4563
2.904724,42.6007,4.7633,600.98,6.5687,607.55,0.0,0.4268
3.10515,41.9395,4.279,505.04,6.408,511.45,0.0,0.3993
3.319406,40.8316,3.8064,420.25,6.2341,426.48,0.0,0.3735
3.548445,38.6509,3.3869,349.81,6.0487,355.86,0.0,0.3494
3.655498,36.3248,3.2169,322.52,5.9628,328.48,0.0,0.3392
3.711449,32.8236,3.1337,309.44,5.9182,315.36,0.0,0.3341
3.72637,28.8247,3.1121,306.08,5.9063,311.99,0.0,0.3327
3.74875,32.7064,10.81,1056.8,5.8885,1062.7,0.0,0.3307
3.793288,35.574,10.551,1019.4,5.8533,1025.3,0.0,0.3269
3.804702,35.917,10.487,1010.1,5.8443,1015.9,0.0,0.3259
3.85924,36.7476,10.186,967.28,5.8014,973.08,0.0,0.3213
3.91831,36.0579,9.8767,923.79,5.7552,929.55,0.0,0.3164
3.934062,34.3002,9.8038,913.3,5.7429,919.04,0.0,0.3152
3.95769,36.5333,13.528,1252.8,5.7245,1258.5,0.0,0.3133
4.01676,38.8109,13.157,1200.4,5.6788,1206.1,0.0,0.3087
4.055024,39.5586,12.926,1168.3,5.6494,1173.9,0.0,0.3058
4.15275,40.6024,12.377,1092.3,5.5749,1097.9,0.0,0.2986
4.216313,40.4916,12.056,1047.9,5.5269,1053.4,0.0,0.2941
4.233263,39.7108,11.973,1036.6,5.5142,1042.1,0.0,0.2929
4.258688,40.8706,13.698,1178.8,5.4952,1184.3,0.0,0.2911
4.32225,42.2127,13.387,1135.1,5.4479,1140.5,0.0,0.2869
4.334821,42.3881,13.327,1126.7,5.4386,1132.1,0.0,0.286
4.633924,44.8579,12.054,953.36,5.2225,958.58,0.0,0.2676
4.953664,46.2849,10.916,807.57,5.0025,812.57,0.0,0.2503
5.295467,47.2544,9.8417,681.12,4.7801,685.9,0.0,0.2341
5.660855,47.927,8.8515,573.05,4.5567,577.61,0.0,0.219
6.051453,48.3927,7.9492,481.42,4.3335,485.75,0.0,0.2049
6.469004,48.7137,7.1376,404.37,4.1118,408.48,0.0,0.1917
6.915365,48.9322,6.4106,339.74,3.8926,343.63,0.0,0.1793
7.392525,49.0788,5.7615,285.63,3.677,289.31,0.0,0.1677
7.902609,49.2898,5.1709,239.8,3.4659,243.27,0.0,0.1569
8.44789,49.3396,4.6378,201.2,3.2602,204.46,0.0,0.1468
9.030794,49.4159,4.1462,168.26,3.0604,171.32,0.0,0.1373
9.653919,49.3952,3.6763,139.56,2.8671,142.43,0.0,0.1284
10.32004,49.3405,3.2627,115.87,2.681,118.55,0.0,0.1201
11.03212,49.2665,2.8984,96.285,2.5024,98.787,0.0,0.1124
11.79334,49.1806,2.5771,80.086,2.3315,82.418,0.0,0.1051
12.60708,49.087,2.2933,66.667,2.1686,68.836,0.0,0.09834
13.47697,48.9881,2.0411,55.505,2.0139,57.519,0.0,0.092
14.40688,48.885,1.8179,46.244,1.8673,48.111,0.0,0.08606
15.40095,48.7786,1.6207,38.567,1.7289,40.296,0.0,0.0805
16.46362,48.6691,1.4441,32.147,1.5987,33.746,0.0,0.07531
17.59961,48.5527,1.2838,26.734,1.4764,28.21,0.0,0.07045
18.81398,48.4256,1.1395,22.197,1.362,23.559,0.0,0.0659
20.11215,48.2806,1.0092,18.389,1.2552,19.644,0.0,0.06165
21.49988,48.109,0.8945,15.248,1.1557,16.404,0.0,0.05767
