E,f1,f2,PE,C+i,Total,K,lambda
2.0089931,29.3165,13.855,3463.2,5.308,3468.5,0.0,0.6171
2.0190381,29.5207,13.751,3420.1,5.3032,3425.4,0.0,0.6141
2.0291333,29.7142,13.65,3377.9,5.2982,3383.2,0.0,0.611
2.039279,29.8985,13.549,3336.3,5.2932,3341.6,0.0,0.608
2.0494754,30.0744,13.449,3295.3,5.288,3300.6,0.0,0.605
2.0597227,30.2428,13.351,3254.8,5.2829,3260.1,0.0,0.6019
2.0700213,30.4043,13.253,3214.9,5.2776,3220.2,0.0,0.599
2.0803714,30.5596,13.156,3175.5,5.2722,3180.8,0.0,0.596
2.0907733,30.7091,13.06,3136.7,5.2668,3141.9,0.0,0.593
2.1012272,30.8532,12.965,3098.3,5.2613,3103.6,0.0,0.5901
2.1117333,30.9923,12.87,3060.5,5.2557,3065.7,0.0,0.5871
2.122292,31.1269,12.777,3023.1,5.2501,3028.4,0.0,0.5842
2.1329034,31.2571,12.684,2986.3,5.2443,2991.5,0.0,0.5813
2.143568,31.3834,12.592,2949.9,5.2385,2955.1,0.0,0.5784
2.1542858,31.5059,12.501,2914.0,5.2326,2919.2,0.0,0.5755
2.1650572,31.6249,12.411,2878.6,5.2267,2883.8,0.0,0.5727
2.1758825,31.7407,12.322,2843.6,5.2206,2848.8,0.0,0.5698
2.1867619,31.8532,12.231,2808.7,5.2145,2813.9,0.0,0.567
2.1976957,31.9623,12.142,2774.2,5.2083,2779.4,0.0,0.5642
2.2086842,32.0683,12.053,2740.2,5.2021,2745.4,0.0,0.5613
2.2197276,32.1713,11.964,2706.6,5.1957,2711.8,0.0,0.5586
2.2308263,32.2715,11.877,2673.4,5.1893,2678.6,0.0,0.5558
2.2419804,32.369,11.79,2640.7,5.1829,2645.8,0.0,0.553
2.2531903,32.464,11.703,2608.2,5.1763,2613.3,0.0,0.5503
2.2644562,32.5564,11.617,2576.0,5.1697,2581.2,0.0,0.5475
2.2757785,32.6462,11.531,2544.3,5.163,2549.5,0.0,0.5448
2.2871574,32.7336,11.446,2512.9,5.1562,2518.1,0.0,0.5421
2.2985932,32.8188,11.361,2482.0,5.1494,2487.1,0.0,0.5394
2.3100862,32.9017,11.277,2451.4,5.1425,2456.6,0.0,0.5367
2.3216366,32.9825,11.194,2421.2,5.1355,2426.4,0.0,0.534
2.3332448,33.0613,11.112,2391.4,5.1285,2396.6,0.0,0.5314
2.344911,33.1382,11.03,2362.0,5.1214,2367.1,0.0,0.5287
2.3566356,33.2132,10.948,2332.9,5.1142,2338.0,0.0,0.5261
2.3684187,33.2864,10.868,2304.2,5.1069,2309.3,0.0,0.5235
2.3802608,33.3578,10.788,2275.8,5.0996,2280.9,0.0,0.5209
2.3921621,33.4275,10.708,2247.8,5.0922,2252.9,0.0,0.5183
2.404123,33.4957,10.629,2220.1,5.0848,2225.2,0.0,0.5157
2.4161436,33.5622,10.551,2192.8,5.0773,2197.9,0.0,0.5131
2.4282243,33.6273,10.473,2165.8,5.0697,2170.9,0.0,0.5106
2.4403654,33.6909,10.396,2139.1,5.062,2144.2,0.0,0.5081
2.4525672,33.7531,10.319,2112.8,5.0543,2117.9,0.0,0.5055
2.4648301,33.814,10.243,2086.8,5.0465,2091.8,0.0,0.503
