E,f1,f2,PE,C+i,Total,K,lambda
2.080733,12.0708,2.0422,1699.3,1.8779,1701.2,1589.0,0.5959
2.224304,12.1624,1.8378,1430.5,1.8344,1432.3,1339.0,0.5574
2.377781,12.2323,1.6539,1204.2,1.7873,1206.0,1128.0,0.5214
2.541848,12.2852,1.4866,1012.6,1.7371,1014.3,949.0,0.4878
2.717235,12.3707,1.3291,846.87,1.684,848.55,793.9,0.4563
2.904724,12.3918,1.185,706.29,1.6287,707.92,662.2,0.4268
3.10515,12.4049,1.0522,586.7,1.5716,588.27,550.3,0.3993
3.319406,12.4053,0.93089,485.54,1.513,487.05,455.7,0.3735
3.548445,12.3973,0.82358,401.84,1.4534,403.29,377.3,0.3494
3.793288,12.3843,0.72867,332.58,1.3931,333.97,312.5,0.3269
4.055024,12.3682,0.64473,275.27,1.3327,276.6,258.7,0.3058
4.334821,12.3501,0.57048,227.85,1.2724,229.12,214.3,0.286
4.633924,12.331,0.50479,188.6,1.2125,189.81,177.4,0.2676
4.953664,12.3116,0.44669,156.12,1.1535,157.27,146.9,0.2503
5.295467,12.2924,0.39528,129.24,1.0954,130.34,121.7,0.2341
5.660855,12.274,0.34977,106.97,1.0387,108.01,100.7,0.219
6.051453,12.2558,0.30719,87.889,0.98349,88.872,82.75,0.2049
6.469004,12.2374,0.26981,72.21,0.92997,73.14,67.97,0.1917
6.915365,12.2194,0.23698,59.33,0.87831,60.208,55.83,0.1793
7.392525,12.2022,0.20815,48.749,0.82864,49.578,45.86,0.1677
7.902609,12.186,0.18283,40.055,0.78105,40.836,37.67,0.1569
8.44789,12.171,0.1606,32.913,0.73564,33.649,30.95,0.1468
9.030794,12.157,0.14079,26.991,0.69243,27.683,25.37,0.1373
9.653919,12.1436,0.12254,21.977,0.65148,22.628,20.66,0.1284
10.32004,12.1308,0.10666,17.894,0.61277,18.507,16.82,0.1201
11.03212,12.1189,0.092844,14.571,0.57631,15.147,13.7,0.1124
11.79334,12.1078,0.080816,11.864,0.54206,12.406,11.15,0.1051
12.60708,12.0976,0.070348,9.6609,0.50999,10.171,9.082,0.09834
13.47697,12.0882,0.061236,7.8668,0.48003,8.3468,7.395,0.092
14.40688,12.0796,0.053306,6.406,0.45211,6.8581,6.022,0.08606
15.40095,12.0718,0.046403,5.2165,0.42618,5.6427,4.903,0.0805
16.46362,12.0646,0.040394,4.2479,0.40213,4.65,3.993,0.07531
17.59961,12.0581,0.035164,3.4592,0.37988,3.8391,3.251,0.07045
18.81398,12.0522,0.030611,2.817,0.35934,3.1763,2.647,0.0659
20.11215,12.0469,0.026648,2.294,0.34041,2.6344,2.156,0.06165
21.49988,12.0421,0.023199,1.8682,0.323,2.1912,1.755,0.05767
22.98338,12.0378,0.020196,1.5214,0.307,1.8284,1.429,0.05395
24.56923,12.0339,0.017582,1.239,0.29232,1.5313,1.164,0.05046
26.2645,12.0304,0.015306,1.009,0.27886,1.2879,0.9477,0.04721
28.07676,12.0272,0.013269,0.81823,0.26653,1.0848,0.7685,0.04416
30.01405,12.0244,0.011454,0.66071,0.25525,0.91596,0.6203,0.04131
32.08502,12.0218,0.0098871,0.53352,0.24491,0.77843,0.5008,0.03864
34.29889,12.0195,0.0085347,0.43082,0.23544,0.66626,0.4043,0.03615
36.66551,12.0174,0.0073674,0.34789,0.22675,0.57464,0.3264,0.03381
39.19543,12.0155,0.0063597,0.28092,0.21878,0.4997,0.2635,0.03163
41.89992,12.0138,0.0054892,0.22682,0.21145,0.43827,0.2127,0.02959
44.79101,12.0123,0.0047372,0.18311,0.2047,0.38781,0.1717,0.02768
47.88159,12.0109,0.0040882,0.14783,0.19845,0.34628,0.1386,0.02589
51.18542,12.0097,0.0035282,0.11934,0.19267,0.31201,0.1119,0.02422
54.71721,12.0086,0.0030449,0.096344,0.18729,0.28363,0.09032,0.02266
58.4927,12.0077,0.0026278,0.07778,0.18226,0.26004,0.07292,0.0212
62.5287,12.0068,0.0022678,0.062793,0.17754,0.24033,0.05886,0.01983
66.84318,12.006,0.0019572,0.050693,0.1731,0.22379,0.04752,0.01855
71.45536,12.0053,0.0016891,0.040926,0.16889,0.20982,0.03836,0.01735
