E,f1,f2,PE,C+i,Total,K,lambda
2.080733,7.23046,0.27654,399.29,1.0613,400.35,381.0,0.5959
2.224304,7.21328,0.24352,328.92,1.0223,329.94,313.7,0.5574
2.377781,7.19688,0.21445,270.95,0.98301,271.93,258.3,0.5214
2.541848,7.18139,0.18884,223.2,0.94375,224.14,212.7,0.4878
2.717235,7.16696,0.1663,183.87,0.90472,184.77,175.2,0.4563
2.904724,7.15398,0.14645,151.47,0.86609,152.34,144.3,0.4268
3.10515,7.14238,0.12829,124.13,0.82806,124.96,118.2,0.3993
3.319406,7.13003,0.11184,101.23,0.79078,102.02,96.38,0.3735
3.548445,7.11843,0.097505,82.553,0.75439,83.307,78.6,0.3494
3.793288,7.10763,0.085005,67.324,0.71903,68.043,64.1,0.3269
4.055024,7.09763,0.074107,54.905,0.68479,55.59,52.27,0.3058
4.334821,7.08842,0.064606,44.776,0.65178,45.428,42.63,0.286
4.633924,7.07996,0.056324,36.516,0.62007,37.136,34.76,0.2676
4.953664,7.07222,0.049103,29.78,0.58971,30.37,28.35,0.2503
5.295467,7.06516,0.042809,24.287,0.56074,24.848,23.12,0.2341
5.660855,7.05874,0.037321,19.807,0.53321,20.34,18.85,0.219
6.051453,7.0529,0.032537,16.153,0.5071,16.66,15.37,0.2049
6.469004,7.04762,0.028366,13.174,0.48244,13.656,12.54,0.1917
6.915365,7.04284,0.02473,10.744,0.45921,11.203,10.22,0.1793
7.392525,7.03853,0.02156,8.762,0.43739,9.1994,8.338,0.1677
7.902609,7.03465,0.018724,7.1183,0.41695,7.5352,6.772,0.1569
8.44789,7.03113,0.016235,5.7735,0.39785,6.1714,5.49,0.1468
9.030794,7.02795,0.01406,4.6775,0.38004,5.0575,4.447,0.1373
9.653919,7.02503,0.012128,3.7741,0.36348,4.1376,3.587,0.1284
10.32004,7.02238,0.010461,3.0452,0.34811,3.3933,2.894,0.1201
11.03212,7.02,0.0090226,2.4571,0.33387,2.791,2.334,0.1124
11.79334,7.01785,0.0077825,1.9825,0.32069,2.3032,1.883,0.1051
12.60708,7.01591,0.0067122,1.5995,0.30852,1.908,1.519,0.09834
13.47697,7.01418,0.0057889,1.2905,0.29729,1.5878,1.225,0.092
14.40688,7.01263,0.0049927,1.0411,0.28693,1.328,0.9886,0.08606
15.40095,7.01123,0.004306,0.83998,0.27738,1.1174,0.7975,0.0805
16.46362,7.00999,0.0037138,0.67769,0.26857,0.94626,0.6433,0.07531
17.59961,7.00888,0.003203,0.54676,0.26045,0.80721,0.519,0.07045
