E,f1,f2,PE,C+i,Total,K,lambda
2.080733,31.5783,3.3776,735.23,6.0412,741.27,0.0,0.5959
2.224304,29.5666,3.0723,625.61,5.9621,631.57,0.0,0.5574
2.32309,26.27,2.8904,563.53,5.9024,569.43,0.0,0.5337
2.358648,22.3765,2.8297,543.38,5.8801,549.26,0.0,0.5257
2.36813,17.9815,2.8139,538.19,5.8741,544.06,0.0,0.5236
2.377781,20.8709,11.274,2147.6,5.8679,2153.5,0.0,0.5214
2.382353,22.1655,11.232,2135.4,5.865,2141.3,0.0,0.5204
2.415406,25.3224,10.933,2050.1,5.8437,2055.9,0.0,0.5133
2.41791,25.4136,10.911,2043.8,5.842,2049.6,0.0,0.5128
2.452376,25.2771,10.612,1960.0,5.8194,1965.8,0.0,0.5056
2.462235,23.4796,10.53,1936.9,5.8129,1942.7,0.0,0.5035
2.477023,26.045,14.574,2665.0,5.8031,2670.8,0.0,0.5005
2.513994,28.7649,14.182,2555.1,5.7784,2560.9,0.0,0.4932
2.541848,29.8378,13.909,2478.4,5.7595,2484.2,0.0,0.4878
2.643746,31.7857,13.024,2231.4,5.6894,2237.1,0.0,0.469
2.684212,31.6513,12.715,2145.6,5.6612,2151.3,0.0,0.4619
2.695002,30.8499,12.636,2123.6,5.6536,2129.3,0.0,0.4601
2.711189,32.0413,14.411,2407.4,5.6422,2413.0,0.0,0.4573
2.717235,32.3528,14.364,2394.3,5.638,2399.9,0.0,0.4563
2.751654,33.4274,14.102,2321.3,5.6137,2326.9,0.0,0.4506
2.904724,35.7728,13.054,2035.5,5.5044,2041.0,0.0,0.4268
3.10515,37.5651,11.824,1724.7,5.36,1730.1,0.0,0.3993
3.319406,38.7342,10.626,1450.0,5.206,1455.2,0.0,0.3735
3.548445,39.5227,9.5442,1218.2,5.0436,1223.2,0.0,0.3494
3.793288,40.0708,8.5721,1023.5,4.8741,1028.4,0.0,0.3269
4.055024,40.4564,7.7022,860.31,4.6987,865.01,0.0,0.3058
4.334821,40.7284,6.9255,723.62,4.5187,728.14,0.0,0.286
4.633924,40.9221,6.2323,609.16,4.3353,613.5,0.0,0.2676
4.953664,41.1966,5.5898,511.09,4.1497,515.24,0.0,0.2503
5.295467,41.2671,4.9939,427.14,3.9629,431.1,0.0,0.2341
5.660855,41.3296,4.4558,356.52,3.776,360.3,0.0,0.219
6.051453,41.3149,3.9755,297.56,3.5901,301.15,0.0,0.2049
6.469004,41.275,3.5503,248.57,3.406,251.98,0.0,0.1917
6.915365,41.2187,3.1728,207.81,3.2245,211.03,0.0,0.1793
7.392525,41.1509,2.8352,173.71,3.0465,176.76,0.0,0.1677
7.902609,41.0753,2.5355,145.32,2.8726,148.19,0.0,0.1569
8.44789,40.9963,2.2696,121.68,2.7034,124.38,0.0,0.1468
9.030794,40.9235,2.0284,101.73,2.5394,104.27,0.0,0.1373
9.653919,40.8335,1.7989,84.401,2.381,86.782,0.0,0.1284
10.32004,40.7336,1.5966,70.071,2.2287,72.3,0.0,0.1201
11.03212,40.626,1.4125,57.992,2.0826,60.075,0.0,0.1124
11.79334,40.509,1.2492,47.978,1.943,49.921,0.0,0.1051
12.60708,40.3794,1.1014,39.569,1.81,41.379,0.0,0.09834
13.47697,40.2325,0.97189,32.663,1.6837,34.347,0.0,0.092
14.40688,40.061,0.85843,26.988,1.5642,28.552,0.0,0.08606
15.40095,39.8477,0.75891,22.319,1.4513,23.77,0.0,0.0805
16.46362,39.5528,0.67149,18.473,1.3451,19.818,0.0,0.07531
17.59961,39.0503,0.59468,15.304,1.2454,16.549,0.0,0.07045
18.60589,37.8959,0.5378,13.092,1.1672,14.259,0.0,0.06664
18.81398,37.1442,0.52714,12.69,1.152,13.842,0.0,0.0659
18.89067,36.5692,0.52329,12.547,1.1465,13.694,0.0,0.06563
18.96661,34.9713,0.51953,12.407,1.1412,13.548,0.0,0.06537
19.08053,36.5985,3.6636,86.967,1.1331,88.1,74.77,0.06498
19.36531,38.0702,3.5646,83.372,1.1136,84.486,71.67,0.06402
20.11215,39.2483,3.3283,74.955,1.0649,76.02,64.42,0.06165
21.49988,40.0917,2.9812,62.803,0.98367,63.787,54.05,0.05767
22.98338,40.54,2.6792,52.799,0.90822,53.707,45.52,0.05395
24.56923,40.8303,2.408,44.392,0.83827,45.23,38.34,0.05046
26.2645,41.0302,2.1563,37.185,0.77357,37.959,32.14,0.04721
28.07676,41.1681,1.9214,30.997,0.71386,31.711,26.84,0.04416
30.01405,41.2581,1.71,25.805,0.65886,26.464,22.4,0.04131
32.08502,41.3169,1.522,21.485,0.60831,22.093,18.68,0.03864
34.29889,41.354,1.3548,17.891,0.56192,18.453,15.59,0.03615
36.66551,41.3762,1.2062,14.9,0.51944,15.419,13.0,0.03381
39.19543,41.4228,1.07,12.364,0.4806,12.845,10.8,0.03163
41.89992,41.4217,0.94541,10.22,0.44514,10.665,8.934,0.02959
44.79101,41.4125,0.83542,8.4478,0.41282,8.8606,7.387,0.02768
47.88159,41.3981,0.73828,6.9837,0.3834,7.3671,6.109,0.02589
51.18542,41.3804,0.65247,5.7736,0.35664,6.1302,5.051,0.02422
54.71721,41.3607,0.57661,4.773,0.33233,5.1053,4.177,0.02266
58.4927,41.3401,0.50951,3.9453,0.31026,4.2556,3.454,0.0212
62.5287,41.3189,0.45,3.2596,0.29024,3.5498,2.856,0.01983
66.84318,41.2979,0.39747,2.6933,0.27209,2.9654,2.362,0.01855
71.45536,41.2773,0.3511,2.2255,0.25562,2.4811,1.953,0.01735
76.38578,41.2575,0.31015,1.8391,0.24069,2.0798,1.615,0.01623
81.6564,41.2389,0.27365,1.5179,0.22715,1.745,1.334,0.01518
87.29069,41.2208,0.24026,1.2467,0.21484,1.4615,1.095,0.0142
93.31374,41.2031,0.2109,1.0237,0.20366,1.2274,0.8992,0.01329
99.75239,41.1862,0.18514,0.84063,0.19349,1.0341,0.7383,0.01243
106.6353,41.1703,0.16253,0.69034,0.18421,0.87455,0.6061,0.01163
113.9931,41.1553,0.14269,0.56695,0.17573,0.74268,0.4976,0.01088
121.8587,41.1415,0.12528,0.46564,0.16796,0.6336,0.4086,0.01017
130.2669,41.1286,0.10999,0.38245,0.16083,0.54328,0.3354,0.009518
139.2553,41.1167,0.096581,0.31413,0.15425,0.46838,0.2754,0.008903
148.864,41.1058,0.084806,0.25803,0.14817,0.4062,0.2261,0.008329
159.1356,41.0958,0.07447,0.21196,0.14253,0.35449,0.1856,0.007791
170.1159,41.0866,0.065397,0.17412,0.13728,0.3114,0.1524,0.007288
181.8539,41.0783,0.057431,0.14304,0.13237,0.27541,0.1251,0.006818
194.4018,41.0706,0.050438,0.11751,0.12775,0.24526,0.1027,0.006378
207.8156,41.0637,0.044297,0.096546,0.1234,0.21995,0.08434,0.005966
222.1548,41.0574,0.038906,0.079322,0.11927,0.19859,0.06924,0.005581
237.4835,41.0517,0.034172,0.065174,0.11535,0.18052,0.05685,0.005221
253.8699,41.0465,0.030015,0.053551,0.11161,0.16516,0.04667,0.004884
271.3869,41.0418,0.026365,0.044002,0.10803,0.15203,0.03832,0.004569
290.1126,41.0375,0.023159,0.036157,0.10458,0.14074,0.03146,0.004274
310.1304,41.0337,0.020344,0.029712,0.10126,0.13097,0.02583,0.003998
331.5294,41.0303,0.017872,0.024416,0.098042,0.12246,0.02121,0.00374
354.4049,41.0271,0.0157,0.020065,0.094927,0.11499,0.01741,0.003498
378.8588,41.0243,0.013793,0.01649,0.091901,0.10839,0.01429,0.003273
405.0001,41.0218,0.012118,0.013552,0.088955,0.10251,0.01173,0.003061
432.9451,41.0195,0.010647,0.011138,0.086084,0.097222,0.009634,0.002864
