E,f1,f2,PE,C+i,Total,K,lambda
2.0035635,53.4743,19.005,2767.3,8.4418,2775.8,0.0,0.6188
2.0135813,53.5425,18.879,2735.2,8.4373,2743.7,0.0,0.6157
2.0236492,53.6094,18.753,2703.5,8.4328,2711.9,0.0,0.6127
2.0337675,53.675,18.628,2672.1,8.4281,2680.6,0.0,0.6096
2.0439363,53.7394,18.504,2641.1,8.4233,2649.6,0.0,0.6066
2.054156,53.8025,18.38,2610.4,8.4183,2618.8,0.0,0.6036
2.0644268,53.8641,18.257,2580.0,8.4133,2588.4,0.0,0.6006
2.0747489,53.9243,18.134,2549.9,8.4081,2558.3,0.0,0.5976
2.0851227,53.9832,18.012,2520.1,8.4027,2528.5,0.0,0.5946
2.0955483,54.0407,17.891,2490.7,8.3973,2499.1,0.0,0.5917
2.106026,54.0969,17.77,2461.6,8.3917,2470.0,0.0,0.5887
2.1165562,54.152,17.651,2432.9,8.3859,2441.3,0.0,0.5858
2.1271389,54.2057,17.532,2404.5,8.3801,2412.9,0.0,0.5829
2.1377746,54.2583,17.414,2376.4,8.3741,2384.8,0.0,0.58
2.1484635,54.3098,17.296,2348.7,8.368,2357.0,0.0,0.5771
2.1592058,54.3601,17.18,2321.2,8.3618,2329.6,0.0,0.5742
2.1700018,54.4093,17.064,2294.1,8.3554,2302.5,0.0,0.5714
2.1808519,54.4575,16.949,2267.3,8.3489,2275.7,0.0,0.5685
2.1917561,54.5045,16.835,2240.8,8.3423,2249.2,0.0,0.5657
2.2027149,54.5506,16.721,2214.7,8.3356,2223.0,0.0,0.5629
2.2137285,54.5957,16.607,2188.6,8.3287,2196.9,0.0,0.5601
2.2247971,54.6397,16.492,2162.7,8.3217,2171.0,0.0,0.5573
2.2359211,54.6827,16.379,2137.1,8.3146,2145.4,0.0,0.5545
2.2471007,54.7246,16.266,2111.8,8.3074,2120.1,0.0,0.5518
2.2583362,54.7654,16.154,2086.8,8.3,2095.1,0.0,0.549
2.2696279,54.8053,16.042,2062.1,8.2925,2070.4,0.0,0.5463
2.280976,54.8442,15.932,2037.7,8.2849,2046.0,0.0,0.5436
2.2923809,54.8821,15.822,2013.6,8.2772,2021.9,0.0,0.5409
2.3038428,54.9191,15.713,1989.8,8.2694,1998.1,0.0,0.5382
2.315362,54.9552,15.605,1966.3,8.2614,1974.5,0.0,0.5355
2.3269388,54.9904,15.498,1943.0,8.2533,1951.3,0.0,0.5328
2.3385735,55.0247,15.391,1920.1,8.2451,1928.3,0.0,0.5302
2.3502664,55.0582,15.286,1897.4,8.2368,1905.7,0.0,0.5275
2.3620177,55.0909,15.181,1875.0,8.2283,1883.2,0.0,0.5249
2.3738278,55.1227,15.077,1852.9,8.2197,1861.1,0.0,0.5223
2.385697,55.1538,14.973,1831.0,8.211,1839.3,0.0,0.5197
2.3976254,55.1841,14.871,1809.5,8.2022,1817.7,0.0,0.5171
2.4096136,55.2137,14.769,1788.1,8.1933,1796.3,0.0,0.5145
2.4216616,55.2426,14.668,1767.1,8.1843,1775.3,0.0,0.512
2.4337699,55.2707,14.568,1746.3,8.1751,1754.5,0.0,0.5094
2.4459388,55.2982,14.469,1725.7,8.1659,1733.9,0.0,0.5069
2.4581685,55.3251,14.37,1705.5,8.1565,1713.6,0.0,0.5044
2.4704593,55.3513,14.272,1685.4,8.147,1693.6,0.0,0.5019
2.4828116,55.3768,14.175,1665.6,8.1374,1673.8,0.0,0.4994
2.4952257,55.4018,14.079,1646.1,8.1276,1654.2,0.0,0.4969
2.5077018,55.4262,13.983,1626.8,8.1178,1634.9,0.0,0.4944
2.5202403,55.4501,13.888,1607.7,8.1078,1615.8,0.0,0.492
2.5328415,55.4734,13.794,1588.9,8.0978,1597.0,0.0,0.4895
2.5455057,55.4962,13.701,1570.3,8.0876,1578.3,0.0,0.4871
2.5582333,55.5185,13.608,1551.9,8.0773,1560.0,0.0,0.4846
2.5710244,55.5404,13.517,1533.8,8.0669,1541.8,0.0,0.4822
2.5838796,55.5618,13.425,1515.8,8.0564,1523.9,0.0,0.4798
2.596799,55.6852,13.335,1498.1,8.0458,1506.1,0.0,0.4775
2.6097829,55.7063,13.243,1480.4,8.0351,1488.4,0.0,0.4751
2.6228319,55.7268,13.152,1462.9,8.0242,1470.9,0.0,0.4727
2.635946,55.7467,13.061,1445.6,8.0133,1453.6,0.0,0.4704
2.6491257,55.7661,12.972,1428.5,8.0022,1436.5,0.0,0.468
2.6623714,55.7849,12.883,1411.7,7.9911,1419.7,0.0,0.4657
2.6756832,55.8032,12.794,1395.0,7.9798,1403.0,0.0,0.4634
2.6890617,55.8211,12.707,1378.6,7.9685,1386.5,0.0,0.4611
2.702507,55.8385,12.62,1362.3,7.957,1370.3,0.0,0.4588
2.7160195,55.8555,12.534,1346.3,7.9454,1354.2,0.0,0.4565
2.7295996,55.8721,12.448,1330.4,7.9337,1338.4,0.0,0.4542
2.7432476,55.8884,12.363,1314.8,7.922,1322.7,0.0,0.452
2.7569638,55.9043,12.279,1299.4,7.9101,1307.3,0.0,0.4497
2.7707486,55.92,12.196,1284.1,7.8981,1292.0,0.0,0.4475
2.7846024,55.9354,12.113,1269.0,7.886,1276.9,0.0,0.4452
2.7985254,55.9506,12.03,1254.1,7.8738,1262.0,0.0,0.443
2.812518,56.0125,11.948,1239.4,7.8615,1247.2,0.0,0.4408
2.8265806,56.0276,11.866,1224.8,7.8492,1232.6,0.0,0.4386
2.8407135,56.0425,11.785,1210.3,7.8367,1218.1,0.0,0.4365
2.8549171,56.0573,11.704,1196.0,7.8241,1203.9,0.0,0.4343
2.8691917,56.072,11.624,1181.9,7.8114,1189.8,0.0,0.4321
2.8835376,56.0868,11.545,1168.0,7.7987,1175.8,0.0,0.43
2.8979553,56.1016,11.466,1154.3,7.7858,1162.1,0.0,0.4278
2.9124451,56.1167,11.388,1140.7,7.7728,1148.5,0.0,0.4257
2.9270073,56.1323,11.31,1127.3,7.7598,1135.1,0.0,0.4236
2.9416424,56.1642,11.233,1114.0,7.7466,1121.8,0.0,0.4215
2.9563506,56.1826,11.157,1101.0,7.7334,1108.7,0.0,0.4194
2.9711323,56.2027,11.081,1088.0,7.72,1095.8,0.0,0.4173
2.985988,56.2254,11.006,1075.3,7.7066,1083.0,0.0,0.4152
3.0009179,56.2662,10.93,1062.6,7.6931,1070.3,0.0,0.4132
3.0159225,56.2762,10.844,1049.0,7.6795,1056.7,0.0,0.4111
3.0310021,56.2847,10.758,1035.5,7.6658,1043.2,0.0,0.4091
3.0461571,56.292,10.674,1022.2,7.652,1029.9,0.0,0.407
3.0613879,56.2981,10.589,1009.1,7.6381,1016.8,0.0,0.405
3.0766949,56.3033,10.506,996.2,7.6241,1003.8,0.0,0.403
3.0920783,56.3075,10.423,983.43,7.6101,991.04,0.0,0.401
3.1075387,56.3109,10.341,970.84,7.596,978.44,0.0,0.399
3.1230764,56.3136,10.26,958.41,7.5817,965.99,0.0,0.397
3.1386918,56.3154,10.179,946.15,7.5674,953.72,0.0,0.395
3.1543853,56.3367,10.099,934.03,7.553,941.59,0.0,0.3931
3.1701572,56.3375,10.019,922.03,7.5385,929.57,0.0,0.3911
3.186008,56.3375,9.94,910.19,7.524,917.72,0.0,0.3892
3.201938,56.3368,9.8615,898.51,7.5093,906.02,0.0,0.3872
3.2179477,56.3355,9.7836,886.98,7.4946,894.48,0.0,0.3853
3.2340374,56.3336,9.7064,875.6,7.4798,883.08,0.0,0.3834
3.2502076,56.331,9.6299,864.38,7.4649,871.84,0.0,0.3815
3.2664587,56.3279,9.554,853.3,7.4499,860.75,0.0,0.3796
3.282791,56.3242,9.4788,842.37,7.4349,849.8,0.0,0.3777
3.2992049,56.32,9.4042,831.58,7.4198,839.0,0.0,0.3758
3.3157009,56.3152,9.3302,820.94,7.4046,828.34,0.0,0.3739
3.3322794,56.31,9.2569,810.43,7.3893,817.82,0.0,0.3721
3.3489408,56.3042,9.1842,800.07,7.3739,807.44,0.0,0.3702
3.3656856,56.2979,9.1121,789.84,7.3585,797.2,0.0,0.3684
3.382514,56.2912,9.0407,779.75,7.343,787.09,0.0,0.3665
3.3994265,56.284,8.9699,769.79,7.3274,777.12,0.0,0.3647
3.4164237,56.2763,8.8996,759.96,7.3118,767.28,0.0,0.3629
3.4335058,56.2682,8.83,750.27,7.296,757.56,0.0,0.3611
3.4506733,56.2597,8.761,740.7,7.2802,747.98,0.0,0.3593
3.4679267,56.2507,8.6925,731.26,7.2644,738.52,0.0,0.3575
3.4852663,56.2413,8.6247,721.94,7.2484,729.19,0.0,0.3557
3.5026927,56.2315,8.5574,712.75,7.2324,719.98,0.0,0.354
3.5202061,56.2213,8.4907,703.67,7.2163,710.89,0.0,0.3522
3.5378072,56.2107,8.4246,694.72,7.2002,701.92,0.0,0.3505
3.5554962,56.1997,8.3591,685.89,7.184,693.07,0.0,0.3487
3.5732737,56.1883,8.2941,677.17,7.1677,684.34,0.0,0.347
3.59114,56.1766,8.2297,668.57,7.1513,675.72,0.0,0.3453
3.6090957,56.1645,8.1658,660.08,7.1349,667.21,0.0,0.3435
3.6271412,56.152,8.1025,651.7,7.1184,658.82,0.0,0.3418
3.6452769,56.1391,8.0397,643.43,7.1019,650.54,0.0,0.3401
3.6635033,56.1259,7.9775,635.28,7.0853,642.36,0.0,0.3384
3.6818208,56.1124,7.9158,627.23,7.0686,634.3,0.0,0.3367
3.7002299,56.0985,7.8546,619.28,7.0519,626.34,0.0,0.3351
3.7187311,56.0842,7.794,611.45,7.0351,618.48,0.0,0.3334
3.7373247,56.0696,7.7339,603.71,7.0182,610.73,0.0,0.3317
3.7560114,56.0547,7.6743,596.08,7.0013,603.08,0.0,0.3301
3.7747914,56.0394,7.6152,588.55,6.9844,595.53,0.0,0.3285
3.7936654,56.0239,7.5566,581.11,6.9673,588.08,0.0,0.3268
3.8126337,56.008,7.4985,573.78,6.9502,580.73,0.0,0.3252
