E,f1,f2,PE,C+i,Total,K,lambda
2.080733,10.3896,1.0721,1074.5,1.7318,1076.2,1018.0,0.5959
2.224304,10.389,0.9549,895.25,1.6816,896.93,848.2,0.5574
2.377781,10.383,0.85029,745.72,1.6287,747.35,706.5,0.5214
2.541848,10.3731,0.75695,621.01,1.5737,622.58,588.3,0.4878
2.717235,10.3599,0.6737,517.03,1.5171,518.55,489.8,0.4563
2.904724,10.3456,0.5995,430.39,1.4592,431.85,407.6,0.4268
3.10515,10.3349,0.53135,356.85,1.4004,358.25,338.0,0.3993
3.319406,10.3186,0.46926,294.8,1.3412,296.14,279.4,0.3735
3.548445,10.3011,0.41343,242.97,1.282,244.25,230.3,0.3494
3.793288,10.2822,0.36257,199.32,1.223,200.54,189.0,0.3269
4.055024,10.2628,0.31798,163.53,1.1647,164.69,155.0,0.3058
4.334821,10.2434,0.27888,134.16,1.1073,135.27,127.2,0.286
4.633924,10.2247,0.24459,110.07,1.0511,111.12,104.3,0.2676
4.953664,10.2067,0.21452,90.306,0.99634,91.302,85.61,0.2503
5.295467,10.1896,0.18815,74.093,0.94321,75.036,70.23,0.2341
5.660855,10.1736,0.16502,60.791,0.8919,61.683,57.62,0.219
6.051453,10.1586,0.14474,49.879,0.84254,50.722,47.27,0.2049
6.469004,10.1447,0.12696,40.925,0.79526,41.72,38.78,0.1917
6.915365,10.1319,0.11136,33.58,0.75014,34.33,31.82,0.1793
7.392525,10.12,0.097675,27.553,0.70723,28.26,26.1,0.1677
7.902609,10.1091,0.085676,22.608,0.66658,23.275,21.42,0.1569
8.44789,10.0992,0.075151,18.551,0.62818,19.179,17.57,0.1468
9.030794,10.0903,0.065788,15.192,0.59205,15.784,14.39,0.1373
9.653919,10.0818,0.057186,12.353,0.55814,12.911,11.7,0.1284
10.32004,10.074,0.049709,10.045,0.52642,10.571,9.513,0.1201
11.03212,10.0668,0.04321,8.1677,0.49682,8.6645,7.735,0.1124
11.79334,10.0602,0.037561,6.6416,0.46928,7.1109,6.29,0.1051
12.60708,10.0542,0.03265,5.4007,0.44372,5.8444,5.115,0.09834
13.47697,10.0487,0.028382,4.3917,0.42004,4.8117,4.159,0.092
14.40688,10.0438,0.024672,3.5712,0.39816,3.9694,3.382,0.08606
15.40095,10.0393,0.021447,2.904,0.37797,3.282,2.75,0.0805
16.46362,10.0353,0.01863,2.3598,0.35938,2.7192,2.234,0.07531
17.59961,10.0316,0.016125,1.9106,0.34227,2.2529,1.809,0.07045
18.81398,10.0283,0.013956,1.5469,0.32655,1.8734,1.464,0.0659
20.11215,10.0253,0.012079,1.2525,0.31211,1.5646,1.185,0.06165
21.49988,10.0226,0.010454,1.0139,0.29886,1.3128,0.9591,0.05767
22.98338,10.0202,0.0090465,0.82082,0.28669,1.1075,0.7763,0.05395
24.56923,10.018,0.0078288,0.66448,0.27552,0.94,0.6283,0.05046
26.2645,10.0161,0.006775,0.53792,0.26524,0.80316,0.5086,0.04721
28.07676,10.0144,0.0058415,0.43387,0.25578,0.68965,0.4101,0.04416
30.01405,10.0128,0.0050307,0.34953,0.24706,0.59659,0.3304,0.04131
32.08502,10.0114,0.0043323,0.28158,0.239,0.52058,0.2661,0.03864
34.29889,10.0101,0.003731,0.22684,0.23152,0.45836,0.2143,0.03615
36.66551,10.009,0.0032131,0.18275,0.22457,0.40732,0.1726,0.03381
39.19543,10.008,0.0027671,0.14722,0.21809,0.36531,0.1391,0.03163
41.89992,10.0071,0.002383,0.1186,0.21202,0.33062,0.112,0.02959
44.79101,10.0063,0.0020523,0.095549,0.20631,0.30186,0.09022,0.02768
47.88159,10.0056,0.0017674,0.076976,0.20091,0.27789,0.07267,0.02589
51.18542,10.005,0.0015221,0.062013,0.1958,0.25781,0.05853,0.02422
54.71721,10.0044,0.0013109,0.049959,0.19092,0.24088,0.04715,0.02266
58.4927,10.0039,0.0011289,0.040248,0.18626,0.22651,0.03797,0.0212
62.5287,10.0034,0.00097225,0.032425,0.18178,0.2142,0.03059,0.01983
66.84318,10.0031,0.00083732,0.026122,0.17746,0.20358,0.02464,0.01855
71.45536,10.0027,0.00072111,0.021045,0.17327,0.19432,0.01984,0.01735
76.38578,10.0024,0.00062104,0.016954,0.16921,0.18616,0.01598,0.01623
81.6564,10.0021,0.00053516,0.013667,0.16526,0.17893,0.01288,0.01518
87.29069,10.0019,0.00046175,0.011031,0.1614,0.17243,0.0104,0.0142
93.31374,10.0016,0.0003984,0.0089035,0.15763,0.16653,0.008391,0.01329
99.75239,10.0015,0.00034375,0.0071863,0.15394,0.16113,0.006772,0.01243
106.6353,10.0013,0.0002966,0.0058003,0.15031,0.15611,0.005466,0.01163
113.9931,10.0011,0.00025591,0.0046816,0.14675,0.15143,0.004411,0.01088
121.8587,10.001,0.00022081,0.0037787,0.14326,0.14704,0.00356,0.01017
130.2669,10.0009,0.00019052,0.0030499,0.13982,0.14287,0.002873,0.009518
139.2553,10.0008,0.00016439,0.0024617,0.13645,0.13891,0.002319,0.008903
148.864,10.0007,0.00014184,0.001987,0.13313,0.13512,0.001871,0.008329
159.1356,10.0006,0.00012238,0.0016037,0.12987,0.13147,0.00151,0.007791
170.1159,10.0005,0.0001056,0.0012945,0.12667,0.12796,0.001219,0.007288
181.8539,10.0005,9.1113e-05,0.0010448,0.12352,0.12456,0.0009838,0.006818
194.4018,10.0004,7.8615e-05,0.00084331,0.12044,0.12128,0.000794,0.006378
207.8156,10.0004,6.7832e-05,0.00068067,0.11742,0.1181,0.0006408,0.005966
222.1548,10.0003,5.8528e-05,0.0005494,0.11446,0.11501,0.0005171,0.005581
237.4835,10.0003,5.05e-05,0.00044344,0.11157,0.11201,0.0004174,0.005221
253.8699,10.0003,4.3573e-05,0.00035792,0.10874,0.1091,0.0003368,0.004884
271.3869,10.0002,3.7597e-05,0.0002889,0.10599,0.10628,0.0002718,0.004569
290.1126,10.0002,3.244e-05,0.00023318,0.1033,0.10353,0.0002194,0.004274
310.1304,10.0002,2.799e-05,0.00018821,0.10068,0.10087,0.0001771,0.003998
331.5294,10.0002,2.4151e-05,0.00015191,0.098129,0.098281,0.0001429,0.00374
354.4049,10.0001,2.0839e-05,0.00012262,0.095654,0.095777,0.0001153,0.003498
378.8588,10.0001,1.798e-05,9.897e-05,0.093253,0.093352,9.308e-05,0.003273
405.0001,10.0001,1.5514e-05,7.9883e-05,0.090926,0.091006,7.512e-05,0.003061
432.9451,10.0001,1.3386e-05,6.4478e-05,0.088675,0.088739,6.063e-05,0.002864
