E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,31.3542,24.801,2742.9,10.804,2753.7,0.0,0.6198
2.0104868,31.2867,24.628,2710.2,10.8,2721.0,0.0,0.6167
2.0205393,29.9555,24.456,2677.9,10.797,2688.7,0.0,0.6136
2.0299512,21.723,24.297,2648.1,10.793,2658.9,0.0,0.6108
2.030642,15.5705,24.285,2646.0,10.793,2656.7,0.0,0.6106
2.031649,21.7027,35.899,3909.3,10.792,3920.1,0.0,0.6103
2.0407952,31.685,35.668,3866.7,10.788,3877.5,0.0,0.6075
2.0509992,35.1111,35.413,3820.0,10.784,3830.8,0.0,0.6045
2.0612542,37.3616,35.16,3773.9,10.78,3784.6,0.0,0.6015
2.0715604,39.0993,34.909,3728.3,10.775,3739.1,0.0,0.5985
2.0819182,40.5368,34.66,3683.3,10.77,3694.1,0.0,0.5955
2.0923278,41.7719,34.413,3638.8,10.765,3649.6,0.0,0.5926
2.1027895,42.859,34.168,3594.9,10.76,3605.7,0.0,0.5896
2.1133034,43.8315,33.924,3551.6,10.754,3562.3,0.0,0.5867
2.1238699,44.7118,33.683,3508.7,10.749,3519.5,0.0,0.5838
2.1344893,45.516,33.443,3466.4,10.743,3477.2,0.0,0.5809
2.1451617,46.2557,33.205,3424.6,10.737,3435.4,0.0,0.578
2.1558875,46.9397,32.969,3383.4,10.731,3394.1,0.0,0.5751
2.166667,47.5751,32.735,3342.6,10.725,3353.3,0.0,0.5722
2.1775003,48.1673,32.502,3302.3,10.719,3313.1,0.0,0.5694
2.1883878,48.7207,32.271,3262.5,10.712,3273.3,0.0,0.5666
2.1993297,49.239,32.041,3223.2,10.706,3233.9,0.0,0.5637
2.2103264,49.7251,31.812,3184.3,10.699,3195.0,0.0,0.5609
2.221378,50.1815,31.586,3145.9,10.692,3156.5,0.0,0.5581
2.2324849,50.6101,31.361,3107.9,10.685,3118.6,0.0,0.5554
2.2436473,51.0126,31.138,3070.4,10.678,3081.1,0.0,0.5526
2.2548656,51.3903,30.916,3033.4,10.67,3044.1,0.0,0.5499
2.2661399,51.7444,30.696,2996.8,10.663,3007.5,0.0,0.5471
2.2774706,52.0754,30.478,2960.7,10.655,2971.4,0.0,0.5444
