E,f1,f2,PE,C+i,Total,K,lambda
2.080733,70.8077,17.607,1541.3,12.356,1553.7,0.0,0.5959
2.224304,70.7175,16.348,1338.6,12.314,1350.9,0.0,0.5574
2.377781,70.4533,15.209,1165.0,12.237,1177.2,0.0,0.5214
2.541848,69.9855,14.174,1015.6,12.125,1027.7,0.0,0.4878
2.717235,69.2284,13.23,886.8,11.981,898.78,0.0,0.4563
2.904724,68.0338,12.341,773.82,11.805,785.62,0.0,0.4268
3.10515,66.0065,11.284,661.91,11.6,673.51,0.0,0.3993
3.319406,60.9274,10.182,558.71,11.367,570.08,0.0,0.3735
3.372964,58.1306,9.938,536.64,11.308,547.95,0.0,0.3676
3.424591,52.0006,9.7128,516.58,11.25,527.83,0.0,0.362
3.438358,45.548,9.6543,511.41,11.234,522.64,0.0,0.3606
3.459009,50.8881,21.709,1143.1,11.211,1154.3,0.0,0.3584
3.510636,54.8531,22.103,1146.8,11.152,1158.0,0.0,0.3532
3.538976,55.2403,22.332,1149.4,11.12,1160.5,0.0,0.3503
3.548445,55.2074,22.411,1150.3,11.109,1161.4,0.0,0.3494
3.593144,52.9824,22.795,1155.5,11.058,1166.6,0.0,0.3451
3.607589,48.3109,22.924,1157.4,11.042,1168.4,0.0,0.3437
3.629256,54.411,33.167,1664.5,11.017,1675.5,0.0,0.3416
3.683424,60.7885,32.669,1615.4,10.955,1626.4,0.0,0.3366
3.793288,66.3647,31.445,1509.9,10.828,1520.7,0.0,0.3269
4.055024,71.8484,28.132,1263.6,10.527,1274.1,0.0,0.3058
4.090324,71.9797,27.673,1232.3,10.486,1242.8,0.0,0.3031
4.152931,71.0026,26.869,1178.4,10.414,1188.8,0.0,0.2985
4.169626,68.9424,26.657,1164.4,10.395,1174.8,0.0,0.2974
4.194669,71.5401,30.837,1339.0,10.367,1349.4,0.0,0.2956
4.257276,74.3148,30.01,1283.9,10.295,1294.2,0.0,0.2912
4.334821,76.0516,29.026,1219.6,10.207,1229.8,0.0,0.286
4.633924,79.3694,25.821,1014.9,9.8715,1024.8,0.0,0.2676
4.900882,80.5241,23.541,874.89,9.5798,884.47,0.0,0.253
4.953664,80.4272,23.135,850.64,9.5231,860.16,0.0,0.2503
4.975895,80.2284,22.968,840.74,9.4993,850.24,0.0,0.2492
4.995899,79.5584,22.82,831.97,9.4779,841.45,0.0,0.2482
5.025904,80.4156,24.078,872.57,9.446,882.02,0.0,0.2467
5.100918,81.3388,23.547,840.78,9.3666,850.15,0.0,0.2431
5.259562,82.148,22.501,779.2,9.2011,788.4,0.0,0.2357
5.295467,82.2146,22.277,766.21,9.164,775.37,0.0,0.2341
5.340065,82.1358,22.004,750.49,9.1183,759.61,0.0,0.2322
5.361533,81.7427,21.874,743.1,9.0964,752.2,0.0,0.2312
5.393734,82.3772,22.649,764.81,9.0636,773.87,0.0,0.2299
5.474238,83.1425,22.178,737.9,8.9822,746.88,0.0,0.2265
5.660855,84.1112,21.15,680.49,8.7969,689.29,0.0,0.219
6.051453,85.3779,19.257,579.61,8.424,588.03,0.0,0.2049
6.469004,86.2622,17.544,493.96,8.0477,502.01,0.0,0.1917
