E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,56.7957,11.547,1172.3,11.532,1183.8,0.0,0.6198
2.0104868,56.6916,11.482,1159.9,11.529,1171.4,0.0,0.6167
2.0205393,56.5837,11.417,1147.6,11.526,1159.1,0.0,0.6136
2.030642,56.4717,11.353,1135.5,11.523,1147.0,0.0,0.6106
2.0407952,56.3556,11.29,1123.5,11.52,1135.0,0.0,0.6075
2.0509992,56.235,11.227,1111.7,11.516,1123.2,0.0,0.6045
2.0612542,56.1098,11.164,1099.9,11.513,1111.5,0.0,0.6015
2.0715604,55.9797,11.102,1088.4,11.509,1099.9,0.0,0.5985
2.0819182,55.8445,11.04,1076.9,11.505,1088.4,0.0,0.5955
2.0923278,55.704,10.978,1065.6,11.5,1077.1,0.0,0.5926
2.1027895,55.5577,10.917,1054.4,11.496,1065.9,0.0,0.5896
2.1133034,55.4054,10.857,1043.4,11.491,1054.8,0.0,0.5867
2.1238699,55.2467,10.797,1032.4,11.487,1043.9,0.0,0.5838
2.1344893,55.0813,10.737,1021.6,11.482,1033.1,0.0,0.5809
2.1451617,54.9086,10.678,1010.9,11.477,1022.4,0.0,0.578
2.1558875,54.7283,10.619,1000.3,11.471,1011.8,0.0,0.5751
2.166667,54.5397,10.561,989.89,11.466,1001.4,0.0,0.5722
2.1775003,54.3424,10.503,979.56,11.46,991.02,0.0,0.5694
2.1883878,54.1355,10.445,969.34,11.454,980.79,0.0,0.5666
2.1993297,53.9185,10.388,959.24,11.448,970.68,0.0,0.5637
2.2103264,53.6905,10.331,949.25,11.442,960.69,0.0,0.5609
2.221378,53.4505,10.275,939.37,11.436,950.81,0.0,0.5581
2.2324849,53.1975,10.219,929.6,11.429,941.03,0.0,0.5554
2.2436473,52.9304,10.163,919.95,11.423,931.37,0.0,0.5526
2.2548656,52.6477,10.108,910.4,11.416,921.81,0.0,0.5499
2.2661399,52.3478,10.053,900.95,11.409,912.36,0.0,0.5471
2.2774706,52.029,9.9987,891.62,11.401,903.02,0.0,0.5444
2.2888579,51.6891,9.9446,882.38,11.394,893.78,0.0,0.5417
2.3003022,51.3286,9.8909,873.25,11.386,884.64,0.0,0.539
2.3118037,50.9384,9.8376,864.23,11.379,875.6,0.0,0.5363
2.3233628,50.5178,9.7847,855.3,11.371,866.67,0.0,0.5336
2.3349796,50.0624,9.7321,846.47,11.363,857.83,0.0,0.531
2.3466545,49.5667,9.6799,837.74,11.355,849.1,0.0,0.5283
2.3583878,49.0235,9.628,829.11,11.346,840.46,0.0,0.5257
