E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,66.7703,15.808,1471.1,11.867,1483.0,0.0,0.6198
2.0104868,66.7542,15.727,1456.3,11.866,1468.2,0.0,0.6167
2.0205393,66.7371,15.646,1441.7,11.865,1453.5,0.0,0.6136
2.030642,66.7191,15.566,1427.2,11.864,1439.0,0.0,0.6106
2.0407952,66.7003,15.487,1412.8,11.862,1424.7,0.0,0.6075
2.0509992,66.6805,15.408,1398.6,11.861,1410.5,0.0,0.6045
2.0612542,66.6598,15.33,1384.6,11.859,1396.5,0.0,0.6015
2.0715604,66.6382,15.253,1370.8,11.857,1382.6,0.0,0.5985
2.0819182,66.6156,15.176,1357.1,11.854,1368.9,0.0,0.5955
2.0923278,66.5921,15.099,1343.5,11.852,1355.4,0.0,0.5926
2.1027895,66.5676,15.023,1330.1,11.849,1342.0,0.0,0.5896
2.1133034,66.5422,14.948,1316.9,11.846,1328.7,0.0,0.5867
2.1238699,66.5246,14.873,1303.7,11.843,1315.5,0.0,0.5838
2.1344893,66.4974,14.797,1290.7,11.84,1302.5,0.0,0.5809
2.1451617,66.469,14.723,1277.8,11.837,1289.6,0.0,0.578
2.1558875,66.4394,14.649,1265.0,11.833,1276.8,0.0,0.5751
2.166667,66.4087,14.575,1252.4,11.829,1264.2,0.0,0.5722
2.1775003,66.3767,14.502,1239.9,11.825,1251.7,0.0,0.5694
2.1883878,66.3436,14.429,1227.6,11.821,1239.4,0.0,0.5666
2.1993297,66.3092,14.357,1215.4,11.816,1227.2,0.0,0.5637
2.2103264,66.2736,14.286,1203.3,11.812,1215.1,0.0,0.5609
2.221378,66.2367,14.215,1191.4,11.807,1203.2,0.0,0.5581
2.2324849,66.1985,14.145,1179.6,11.802,1191.4,0.0,0.5554
2.2436473,66.159,14.075,1167.9,11.797,1179.7,0.0,0.5526
2.2548656,66.1181,14.005,1156.3,11.792,1168.1,0.0,0.5499
2.2661399,66.0759,13.936,1144.9,11.786,1156.7,0.0,0.5471
2.2774706,66.0322,13.868,1133.6,11.78,1145.4,0.0,0.5444
2.2888579,65.987,13.8,1122.5,11.774,1134.3,0.0,0.5417
2.3003022,65.9404,13.732,1111.4,11.768,1123.2,0.0,0.539
2.3118037,65.8922,13.665,1100.5,11.762,1112.3,0.0,0.5363
2.3233628,65.8425,13.599,1089.7,11.756,1101.5,0.0,0.5336
2.3349796,65.7911,13.533,1079.0,11.749,1090.8,0.0,0.531
2.3466545,65.7381,13.467,1068.5,11.742,1080.2,0.0,0.5283
2.3583878,65.6834,13.402,1058.0,11.735,1069.7,0.0,0.5257
2.3701797,65.6269,13.338,1047.7,11.728,1059.4,0.0,0.5231
2.3820306,65.5686,13.274,1037.4,11.72,1049.2,0.0,0.5205
2.3939407,65.5084,13.21,1027.3,11.713,1039.0,0.0,0.5179
2.4059104,65.4463,13.147,1017.3,11.705,1029.0,0.0,0.5153
2.41794,65.3789,13.079,1007.1,11.697,1018.8,0.0,0.5128
2.4300297,65.3122,13.009,996.65,11.689,1008.3,0.0,0.5102
2.4421798,65.2426,12.939,986.36,11.681,998.04,0.0,0.5077
2.4543907,65.1702,12.869,976.18,11.672,987.85,0.0,0.5052
2.4666627,65.0948,12.8,966.11,11.664,977.77,0.0,0.5026
2.478996,65.0164,12.732,956.16,11.655,967.81,0.0,0.5001
2.491391,64.9349,12.664,946.32,11.646,957.96,0.0,0.4977
2.5038479,64.8501,12.596,936.59,11.637,948.22,0.0,0.4952
2.5163672,64.7619,12.529,926.97,11.627,938.59,0.0,0.4927
