E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,39.4024,34.76,3926.7,10.736,3937.4,0.0,0.6198
2.0104868,40.6159,34.512,3879.3,10.733,3890.0,0.0,0.6167
2.0205393,41.689,34.266,3832.5,10.729,3843.2,0.0,0.6136
2.030642,42.6523,34.022,3786.2,10.725,3797.0,0.0,0.6106
2.0407952,43.5266,33.779,3740.6,10.72,3751.3,0.0,0.6075
2.0509992,44.3268,33.539,3695.4,10.716,3706.2,0.0,0.6045
2.0612542,45.0641,33.3,3650.9,10.711,3661.6,0.0,0.6015
2.0715604,45.7469,33.063,3606.9,10.707,3617.6,0.0,0.5985
2.0819182,46.3818,32.827,3563.3,10.702,3574.0,0.0,0.5955
2.0923278,46.9742,32.593,3520.2,10.697,3530.9,0.0,0.5926
2.1027895,47.5283,32.36,3477.7,10.691,3488.4,0.0,0.5896
2.1133034,48.0476,32.129,3435.7,10.686,3446.4,0.0,0.5867
2.1238699,48.5352,31.9,3394.3,10.68,3405.0,0.0,0.5838
2.1344893,48.9933,31.673,3353.3,10.675,3364.0,0.0,0.5809
2.1451617,49.424,31.447,3312.8,10.669,3323.5,0.0,0.578
2.1558875,49.829,31.223,3272.9,10.663,3283.5,0.0,0.5751
2.166667,50.2095,31.001,3233.4,10.656,3244.1,0.0,0.5722
2.1775003,50.5667,30.78,3194.4,10.65,3205.1,0.0,0.5694
2.1883878,50.9012,30.561,3155.9,10.644,3166.6,0.0,0.5666
2.1993297,51.2137,30.344,3117.9,10.637,3128.5,0.0,0.5637
2.2103264,51.5044,30.128,3080.3,10.63,3090.9,0.0,0.5609
2.221378,51.7732,29.914,3043.2,10.623,3053.8,0.0,0.5581
2.2324849,52.0198,29.701,3006.6,10.616,3017.2,0.0,0.5554
2.2436473,52.2434,29.49,2970.4,10.608,2981.0,0.0,0.5526
2.2548656,52.4425,29.281,2934.6,10.601,2945.2,0.0,0.5499
2.2661399,52.6152,29.073,2899.3,10.593,2909.9,0.0,0.5471
2.2774706,52.7583,28.867,2864.4,10.586,2875.0,0.0,0.5444
2.2888579,52.867,28.662,2829.9,10.578,2840.5,0.0,0.5417
2.3003022,52.934,28.459,2795.9,10.569,2806.5,0.0,0.539
2.3118037,52.9471,28.258,2762.3,10.561,2772.9,0.0,0.5363
2.3233628,52.8855,28.058,2729.1,10.553,2739.6,0.0,0.5336
2.3349796,52.7075,27.859,2696.3,10.544,2706.8,0.0,0.531
2.3466545,52.3133,27.662,2663.9,10.535,2674.4,0.0,0.5283
2.3583878,51.329,27.466,2631.9,10.527,2642.4,0.0,0.5257
2.3649801,49.4646,27.357,2614.2,10.522,2624.7,0.0,0.5243
2.36962,49.5016,32.0,3051.7,10.518,3062.3,0.0,0.5232
2.3701797,49.8406,31.988,3050.0,10.518,3060.5,0.0,0.5231
2.3820306,52.5668,31.753,3012.4,10.508,3023.0,0.0,0.5205
2.3939407,53.7078,31.519,2975.4,10.499,2985.9,0.0,0.5179
2.4059104,54.5014,31.287,2938.8,10.49,2949.3,0.0,0.5153
2.41794,55.1326,31.057,2902.7,10.48,2913.2,0.0,0.5128
2.4300297,55.667,30.829,2867.0,10.47,2877.5,0.0,0.5102
2.4421798,56.1356,30.603,2831.8,10.46,2842.3,0.0,0.5077
2.4543907,56.5546,30.374,2796.6,10.45,2807.1,0.0,0.5052
2.4666627,56.9319,30.142,2761.5,10.44,2772.0,0.0,0.5026
2.478996,57.2732,29.913,2726.9,10.43,2737.3,0.0,0.5001
2.491391,57.5828,29.695,2693.6,10.419,2704.0,0.0,0.4977
2.5038479,57.8726,29.486,2661.3,10.408,2671.7,0.0,0.4952
2.5163672,58.1446,29.28,2629.6,10.398,2640.0,0.0,0.4927
2.528949,58.3997,29.076,2598.3,10.387,2608.7,0.0,0.4903
2.5415938,58.6382,28.872,2567.1,10.376,2577.5,0.0,0.4878
2.5543017,58.8592,28.667,2536.3,10.364,2546.6,0.0,0.4854
2.5670732,59.0629,28.465,2505.8,10.353,2516.2,0.0,0.483
2.5799086,59.2488,28.265,2475.8,10.341,2486.2,0.0,0.4806
2.5928082,59.4157,28.066,2446.2,10.33,2456.6,0.0,0.4782
2.6057722,59.5611,27.87,2417.1,10.318,2427.4,0.0,0.4758
2.6188011,59.6808,27.676,2388.3,10.306,2398.6,0.0,0.4734
2.6318951,59.767,27.484,2359.9,10.294,2370.2,0.0,0.4711
2.6450545,59.8035,27.293,2331.8,10.282,2342.1,0.0,0.4687
2.6582798,59.7515,27.104,2304.2,10.269,2314.5,0.0,0.4664
2.6715712,59.4635,26.917,2276.9,10.257,2287.1,0.0,0.4641
2.6780604,58.9517,26.826,2263.7,10.251,2274.0,0.0,0.463
2.6849291,58.9966,28.579,2405.5,10.244,2415.7,0.0,0.4618
