E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,63.536,14.127,1338.5,11.709,1350.2,0.0,0.6198
2.0104868,63.5059,14.06,1325.6,11.708,1337.3,0.0,0.6167
2.0205393,63.4748,13.995,1312.9,11.706,1324.6,0.0,0.6136
2.030642,63.4426,13.929,1300.2,11.704,1311.9,0.0,0.6106
2.0407952,63.4093,13.864,1287.7,11.702,1299.4,0.0,0.6075
2.0509992,63.3749,13.8,1275.4,11.699,1287.1,0.0,0.6045
2.0612542,63.3393,13.736,1263.1,11.697,1274.8,0.0,0.6015
2.0715604,63.3025,13.672,1251.0,11.694,1262.7,0.0,0.5985
2.0819182,63.2646,13.609,1239.1,11.691,1250.8,0.0,0.5955
2.0923278,63.2254,13.547,1227.2,11.688,1238.9,0.0,0.5926
2.1027895,63.1849,13.484,1215.5,11.685,1227.2,0.0,0.5896
2.1133034,63.1432,13.422,1203.9,11.681,1215.6,0.0,0.5867
2.1238699,63.1002,13.361,1192.4,11.677,1204.1,0.0,0.5838
2.1344893,63.0558,13.3,1181.1,11.674,1192.8,0.0,0.5809
2.1451617,63.01,13.24,1169.9,11.67,1181.5,0.0,0.578
2.1558875,62.9627,13.173,1158.2,11.665,1169.9,0.0,0.5751
2.166667,62.9132,13.105,1146.5,11.661,1158.1,0.0,0.5722
2.1775003,62.8616,13.037,1134.9,11.656,1146.5,0.0,0.5694
2.1883878,62.8078,12.97,1123.4,11.652,1135.0,0.0,0.5666
2.1993297,62.7472,12.902,1112.0,11.647,1123.7,0.0,0.5637
2.2103264,62.689,12.836,1100.7,11.641,1112.4,0.0,0.5609
2.221378,62.6284,12.769,1089.6,11.636,1101.2,0.0,0.5581
2.2324849,62.5654,12.703,1078.6,11.63,1090.2,0.0,0.5554
2.2436473,62.5,12.637,1067.7,11.625,1079.3,0.0,0.5526
2.2548656,62.4319,12.572,1056.8,11.619,1068.5,0.0,0.5499
2.2661399,62.3613,12.507,1046.2,11.613,1057.8,0.0,0.5471
2.2774706,62.2877,12.437,1035.1,11.607,1046.7,0.0,0.5444
2.2888579,62.2108,12.367,1024.2,11.6,1035.8,0.0,0.5417
2.3003022,62.1306,12.298,1013.4,11.594,1025.0,0.0,0.539
2.3118037,62.0527,12.229,1002.7,11.587,1014.3,0.0,0.5363
2.3233628,61.9656,12.16,992.11,11.58,1003.7,0.0,0.5336
2.3349796,61.8747,12.093,981.66,11.573,993.23,0.0,0.531
2.3466545,61.7801,12.025,971.33,11.565,982.89,0.0,0.5283
2.3583878,61.6816,11.958,961.11,11.558,972.67,0.0,0.5257
2.3701797,61.5789,11.892,951.01,11.55,962.56,0.0,0.5231
2.3820306,61.472,11.826,941.03,11.542,952.57,0.0,0.5205
2.3939407,61.3607,11.76,931.15,11.534,942.69,0.0,0.5179
2.4059104,61.2447,11.695,921.39,11.526,932.92,0.0,0.5153
2.41794,61.1238,11.63,911.74,11.517,923.26,0.0,0.5128
2.4300297,60.9978,11.566,902.19,11.509,913.7,0.0,0.5102
2.4421798,60.8664,11.502,892.76,11.5,904.26,0.0,0.5077
2.4543907,60.7293,11.439,883.42,11.491,894.92,0.0,0.5052
2.4666627,60.5863,11.376,874.2,11.482,885.68,0.0,0.5026
2.478996,60.4369,11.314,865.07,11.473,876.55,0.0,0.5001
2.491391,60.2808,11.252,856.05,11.463,867.52,0.0,0.4977
2.5038479,60.1175,11.19,847.13,11.454,858.59,0.0,0.4952
2.5163672,59.9466,11.129,838.31,11.444,849.76,0.0,0.4927
2.528949,59.7675,11.068,829.59,11.434,841.02,0.0,0.4903
2.5415938,59.5797,11.008,820.96,11.424,832.39,0.0,0.4878
2.5543017,59.3825,10.948,812.44,11.414,823.85,0.0,0.4854
2.5670732,59.1752,10.889,804.0,11.403,815.4,0.0,0.483
2.5799086,58.9569,10.829,795.66,11.393,807.05,0.0,0.4806
2.5928082,58.7268,10.771,787.41,11.382,798.8,0.0,0.4782
2.6057722,58.4837,10.713,779.26,11.371,790.63,0.0,0.4758
2.6188011,58.2264,10.655,771.19,11.36,782.55,0.0,0.4734
2.6318951,57.9537,10.597,763.22,11.348,774.57,0.0,0.4711
2.6450545,57.6637,10.54,755.33,11.337,766.67,0.0,0.4687
2.6582798,57.3547,10.483,747.53,11.325,758.86,0.0,0.4664
2.6715712,57.0244,10.427,739.82,11.313,751.13,0.0,0.4641
2.6849291,56.6701,10.371,732.19,11.302,743.49,0.0,0.4618
2.6983537,56.2888,10.316,724.65,11.289,735.94,0.0,0.4595
2.7118455,55.8765,10.261,717.19,11.277,728.47,0.0,0.4572
2.7254047,55.4284,10.206,709.81,11.265,721.08,0.0,0.4549
2.7390317,54.9385,10.151,702.52,11.252,713.77,0.0,0.4527
2.7527269,54.3992,10.097,695.3,11.239,706.54,0.0,0.4504
2.7664905,53.8004,10.044,688.17,11.226,699.39,0.0,0.4482
2.780323,53.1286,9.9905,681.11,11.213,692.32,0.0,0.4459
2.7942246,52.3638,9.9375,674.13,11.2,685.33,0.0,0.4437
2.8081957,51.4805,9.885,667.23,11.187,678.41,0.0,0.4415
2.8222367,50.4349,9.8328,660.4,11.173,671.57,0.0,0.4393
2.8363479,49.1554,9.7809,653.65,11.16,664.81,0.0,0.4371
2.8505296,47.5069,9.7294,646.97,11.146,658.12,0.0,0.435
2.8647823,45.1815,9.6781,640.36,11.132,651.49,0.0,0.4328
2.8791062,41.1545,9.6271,633.82,11.117,644.93,0.0,0.4306
2.8915873,25.9768,9.5831,628.2,11.105,639.3,0.0,0.4288
2.8935017,27.3618,26.619,1743.8,11.103,1754.9,0.0,0.4285
