E,f1,f2,PE,C+i,Total,K,lambda
2.080733,37.2619,4.692,938.86,6.4772,945.34,0.0,0.5959
2.224304,36.7266,4.2654,798.41,6.3972,804.81,0.0,0.5574
2.377781,35.9697,3.8813,679.61,6.3005,685.91,0.0,0.5214
2.541848,34.7747,3.532,578.54,6.1881,584.73,0.0,0.4878
2.717235,32.2942,3.2179,493.06,6.0609,499.12,0.0,0.4563
2.781142,30.2369,3.1159,466.46,6.0134,472.47,0.0,0.4458
2.82371,26.5904,3.0513,449.9,5.9815,455.88,0.0,0.4391
2.835062,22.4727,3.0344,445.63,5.973,451.6,0.0,0.4373
2.852089,26.378,10.932,1595.9,5.9602,1601.9,0.0,0.4347
2.894658,29.5073,10.698,1538.7,5.928,1544.6,0.0,0.4283
2.904724,29.7685,10.643,1525.6,5.9204,1531.5,0.0,0.4268
2.907562,29.8248,10.628,1521.9,5.9182,1527.8,0.0,0.4264
2.952066,29.449,10.395,1466.0,5.8844,1471.9,0.0,0.42
2.963933,27.6815,10.334,1451.6,5.8754,1457.5,0.0,0.4183
2.981735,29.9606,14.292,1995.6,5.8618,2001.5,0.0,0.4158
3.026238,32.7712,14.151,1946.9,5.8279,1952.7,0.0,0.4097
3.10515,34.9892,13.295,1782.6,5.7676,1788.4,0.0,0.3993
3.15952,35.6507,12.738,1678.5,5.7261,1684.2,0.0,0.3924
3.20788,35.5236,12.272,1592.8,5.6891,1598.5,0.0,0.3865
3.220776,34.7222,12.154,1571.1,5.6793,1576.8,0.0,0.385
3.24012,35.884,13.854,1780.3,5.6645,1786.0,0.0,0.3827
3.28848,37.1842,13.431,1700.5,5.6276,1706.1,0.0,0.377
3.319406,37.6671,13.184,1653.6,5.6041,1659.2,0.0,0.3735
3.548445,39.5868,11.858,1391.4,5.431,1396.8,0.0,0.3494
3.793288,40.8496,11.047,1212.5,5.2499,1217.8,0.0,0.3269
4.055024,42.0086,10.035,1030.3,5.0621,1035.4,0.0,0.3058
4.334821,42.7363,9.0167,866.03,4.8689,870.9,0.0,0.286
4.633924,43.2299,8.0998,727.75,4.6717,732.42,0.0,0.2676
4.953664,43.573,7.2799,611.86,4.4718,616.33,0.0,0.2503
5.295467,43.8127,6.5464,514.7,4.2704,518.97,0.0,0.2341
5.660855,43.9808,5.8883,433.08,4.0687,437.15,0.0,0.219
6.051453,44.2178,5.2718,362.71,3.8678,366.58,0.0,0.2049
6.469004,44.3028,4.7148,303.45,3.6687,307.12,0.0,0.1917
6.915365,44.3118,4.2116,253.57,3.4723,257.04,0.0,0.1793
7.392525,44.29,3.7656,212.08,3.2796,215.36,0.0,0.1677
7.902609,44.2488,3.37,177.55,3.0912,180.64,0.0,0.1569
8.44789,44.1964,3.0188,148.78,2.9078,151.69,0.0,0.1468
9.030794,44.1479,2.6988,124.42,2.73,127.15,0.0,0.1373
9.653919,44.0745,2.3932,103.21,2.5583,105.77,0.0,0.1284
10.32004,43.9861,2.1242,85.697,2.3931,88.09,0.0,0.1201
11.03212,43.8895,1.8872,71.222,2.2347,73.457,0.0,0.1124
11.79334,43.7875,1.6774,59.217,2.0833,61.3,0.0,0.1051
12.60708,43.6812,1.4903,49.218,1.9391,51.157,0.0,0.09834
13.47697,43.5675,1.321,40.811,1.8021,42.613,0.0,0.092
14.40688,43.444,1.1691,33.786,1.6725,35.458,0.0,0.08606
15.40095,43.3048,1.0329,27.923,1.5502,29.473,0.0,0.0805
16.46362,43.1438,0.91336,23.098,1.4351,24.533,0.0,0.07531
17.59961,42.9479,0.8084,19.124,1.3271,20.451,0.0,0.07045
18.81398,42.6871,0.71616,15.848,1.226,17.074,0.0,0.0659
20.11215,42.2765,0.63499,13.145,1.1317,14.277,0.0,0.06165
21.49988,41.2619,0.56348,10.912,1.0438,11.956,0.0,0.05767
21.67486,40.9604,0.5554,10.668,1.0336,11.702,0.0,0.0572
22.00661,39.6567,0.54057,10.227,1.0147,11.242,0.0,0.05634
22.09508,38.0877,0.53673,10.114,1.0097,11.124,0.0,0.05611
22.22779,39.6841,3.6233,67.868,1.0024,68.87,57.92,0.05578
22.55954,41.1276,3.5276,65.103,0.9844,66.087,55.56,0.05496
22.98338,41.8441,3.4109,61.789,0.96226,62.751,52.72,0.05395
24.56923,42.9361,3.0547,51.765,0.88667,52.652,44.23,0.05046
26.2645,43.4577,2.7483,43.567,0.81679,44.384,37.29,0.04721
28.07676,43.7905,2.4608,36.492,0.75234,37.244,31.32,0.04416
30.01405,44.0056,2.194,30.434,0.69303,31.127,26.19,0.04131
32.08502,44.1468,1.954,25.355,0.63854,25.994,21.87,0.03864
