E,f1,f2,PE,C+i,Total,K,lambda
2.080733,46.4584,9.0959,1510.9,7.2298,1518.1,0.0,0.5959
2.224304,46.4054,8.2687,1284.9,7.1566,1292.1,0.0,0.5574
2.377781,46.2816,7.5066,1091.1,7.0636,1098.2,0.0,0.5214
2.541848,46.0945,6.8253,928.07,6.9518,935.02,0.0,0.4878
2.717235,45.8465,6.2155,790.61,6.8223,797.43,0.0,0.4563
2.904724,45.5381,5.6689,674.54,6.6766,681.22,0.0,0.4268
3.10515,45.1717,5.118,569.68,6.516,576.2,0.0,0.3993
3.319406,44.619,4.5597,474.77,6.3419,481.11,0.0,0.3735
3.548445,43.7679,4.0612,395.57,6.1559,401.73,0.0,0.3494
3.793288,42.3394,3.623,330.11,5.9596,336.07,0.0,0.3269
4.049556,38.6985,3.2402,276.55,5.7588,282.31,0.0,0.3062
4.055024,38.5259,3.2328,275.54,5.7546,281.29,0.0,0.3058
4.111539,35.2495,3.1579,265.46,5.7111,271.17,0.0,0.3016
4.128068,31.2844,3.1365,262.61,5.6984,268.31,0.0,0.3003
4.152861,35.1768,10.786,897.66,5.6795,903.34,0.0,0.2986
4.214844,38.4252,10.425,854.87,5.6324,860.5,0.0,0.2942
4.292792,39.4207,9.996,804.82,5.5737,810.39,0.0,0.2888
4.334821,39.2292,9.7756,779.44,5.5423,784.98,0.0,0.286
4.358498,38.6196,9.6715,766.95,5.5248,772.47,0.0,0.2845
4.37602,36.8523,9.5967,757.97,5.5118,763.48,0.0,0.2833
4.402302,39.0524,13.294,1043.7,5.4924,1049.2,0.0,0.2816
4.468008,41.2611,12.901,997.97,5.4441,1003.4,0.0,0.2775
4.604334,42.8218,12.162,912.95,5.3456,918.3,0.0,0.2693
4.633924,42.9076,12.022,896.72,5.3245,902.04,0.0,0.2676
4.674808,42.7008,11.837,875.13,5.2955,880.43,0.0,0.2652
4.693602,41.9213,11.754,865.52,5.2822,870.8,0.0,0.2642
4.721791,43.069,13.468,985.82,5.2623,991.08,0.0,0.2626
4.792266,44.3895,13.158,948.96,5.2131,954.17,0.0,0.2587
4.953664,45.8807,12.511,872.93,5.1025,878.03,0.0,0.2503
5.295467,47.6632,11.356,741.19,4.8779,746.07,0.0,0.2341
5.660855,48.8405,10.281,627.71,4.652,632.36,0.0,0.219
6.051453,49.6541,9.262,529.0,4.4261,533.43,0.0,0.2049
6.469004,50.2187,8.3229,444.68,4.2015,448.88,0.0,0.1917
6.915365,50.607,7.4727,373.49,3.9793,377.47,0.0,0.1793
7.392525,50.8727,6.7098,313.71,3.7606,317.47,0.0,0.1677
7.902609,51.0531,6.0285,263.66,3.5463,267.21,0.0,0.1569
8.44789,51.2517,5.4184,221.68,3.3371,225.02,0.0,0.1468
9.030794,51.3849,4.8549,185.81,3.1339,188.94,0.0,0.1373
9.653919,51.4451,4.3109,154.34,2.9372,157.28,0.0,0.1284
10.32004,51.4241,3.8246,128.09,2.7476,130.84,0.0,0.1201
11.03212,51.3726,3.3957,106.39,2.5655,108.96,0.0,0.1124
