E,f1,f2,PE,C+i,Total,K,lambda
2.0089931,30.9433,11.224,2977.4,5.013,2982.5,0.0,0.6171
2.0190381,31.0208,11.141,2940.8,5.0083,2945.8,0.0,0.6141
2.0291333,31.0964,11.059,2904.6,5.0035,2909.6,0.0,0.611
2.039279,31.1702,10.978,2868.9,4.9987,2873.9,0.0,0.608
2.0494754,31.2423,10.897,2833.6,4.9937,2838.6,0.0,0.605
2.0597227,31.3127,10.817,2798.8,4.9887,2803.7,0.0,0.6019
2.0700213,31.3815,10.737,2764.3,4.9836,2769.3,0.0,0.599
2.0803714,31.4487,10.658,2730.3,4.9785,2735.3,0.0,0.596
2.0907733,31.5144,10.58,2696.8,4.9733,2701.7,0.0,0.593
2.1012272,31.5787,10.502,2663.6,4.968,2668.6,0.0,0.5901
2.1117333,31.6416,10.425,2630.8,4.9626,2635.8,0.0,0.5871
2.122292,31.7031,10.348,2598.5,4.9571,2603.4,0.0,0.5842
2.1329034,31.7634,10.272,2566.5,4.9516,2571.5,0.0,0.5813
2.143568,31.8225,10.196,2535.0,4.946,2539.9,0.0,0.5784
2.1542858,31.8805,10.121,2503.7,4.9404,2508.6,0.0,0.5755
2.1650572,31.937,10.045,2472.6,4.9346,2477.5,0.0,0.5727
2.1758825,31.992,9.9697,2441.8,4.9288,2446.8,0.0,0.5698
2.1867619,32.0458,9.895,2411.5,4.923,2416.4,0.0,0.567
2.1976957,32.0982,9.8209,2381.5,4.917,2386.4,0.0,0.5642
2.2086842,32.1494,9.7473,2351.9,4.911,2356.8,0.0,0.5613
2.2197276,32.1994,9.6742,2322.7,4.9049,2327.6,0.0,0.5586
2.2308263,32.2482,9.6016,2293.8,4.8988,2298.7,0.0,0.5558
2.2419804,32.2959,9.5296,2265.2,4.8926,2270.1,0.0,0.553
2.2531903,32.3425,9.4581,2237.1,4.8863,2241.9,0.0,0.5503
2.2644562,32.388,9.3871,2209.2,4.8799,2214.1,0.0,0.5475
2.2757785,32.4325,9.3166,2181.7,4.8735,2186.6,0.0,0.5448
2.2871574,32.476,9.2467,2154.6,4.867,2159.4,0.0,0.5421
2.2985932,32.5185,9.1772,2127.8,4.8604,2132.6,0.0,0.5394
2.3100862,32.5601,9.1083,2101.3,4.8538,2106.1,0.0,0.5367
2.3216366,32.6007,9.0399,2075.1,4.8471,2079.9,0.0,0.534
2.3332448,32.6404,8.9719,2049.3,4.8404,2054.1,0.0,0.5314
2.344911,32.6792,8.9045,2023.7,4.8335,2028.6,0.0,0.5287
2.3566356,32.7172,8.8376,1998.5,4.8267,2003.4,0.0,0.5261
2.3684187,32.7543,8.7711,1973.6,4.8197,1978.5,0.0,0.5235
2.3802608,32.7906,8.7052,1949.1,4.8127,1953.9,0.0,0.5209
2.3921621,32.8261,8.6397,1924.8,4.8056,1929.6,0.0,0.5183
2.404123,32.8608,8.5747,1900.8,4.7985,1905.6,0.0,0.5157
2.4161436,32.8947,8.5102,1877.1,4.7913,1881.9,0.0,0.5131
2.4282243,32.9279,8.4462,1853.7,4.784,1858.5,0.0,0.5106
2.4403654,32.9604,8.3826,1830.6,4.7767,1835.4,0.0,0.5081
2.4525672,32.9922,8.3195,1807.8,4.7693,1812.6,0.0,0.5055
2.4648301,33.0232,8.2569,1785.3,4.7618,1790.0,0.0,0.503
2.4771542,33.0536,8.1948,1763.0,4.7543,1767.8,0.0,0.5005
2.48954,33.0834,8.1331,1741.0,4.7467,1745.8,0.0,0.498
2.5019877,33.1125,8.0719,1719.3,4.7391,1724.1,0.0,0.4955
2.5144976,33.1409,8.0112,1697.9,4.7314,1702.7,0.0,0.4931
2.5270701,33.1688,7.9509,1676.8,4.7236,1681.5,0.0,0.4906
2.5397055,33.196,7.8911,1655.9,4.7158,1660.6,0.0,0.4882
2.552404,33.2227,7.8317,1635.2,4.7079,1639.9,0.0,0.4858
2.565166,33.2488,7.7728,1614.8,4.7,1619.5,0.0,0.4833
2.5779919,33.2743,7.7143,1594.7,4.692,1599.4,0.0,0.4809
2.5908818,33.2993,7.6562,1574.9,4.6839,1579.5,0.0,0.4785
2.6038362,33.3238,7.5986,1555.2,4.6758,1559.9,0.0,0.4762
2.6168554,33.3478,7.5415,1535.9,4.6676,1540.5,0.0,0.4738
2.6299397,33.3712,7.4848,1516.7,4.6594,1521.4,0.0,0.4714
2.6430894,33.3942,7.4285,1497.8,4.6511,1502.5,0.0,0.4691
2.6563048,33.4167,7.3726,1479.2,4.6428,1483.8,0.0,0.4668
2.6695863,33.4388,7.3172,1460.7,4.6344,1465.4,0.0,0.4644
2.6829343,33.4604,7.2622,1442.5,4.626,1447.2,0.0,0.4621
2.6963489,33.4816,7.2076,1424.6,4.6175,1429.2,0.0,0.4598
2.7098307,33.5024,7.1535,1406.8,4.6089,1411.5,0.0,0.4575
2.7233798,33.5228,7.0998,1389.3,4.6003,1393.9,0.0,0.4553
2.7369967,33.5427,7.0464,1372.0,4.5916,1376.6,0.0,0.453
2.7506817,33.5624,6.9935,1355.0,4.5829,1359.5,0.0,0.4507
2.7644351,33.5816,6.9411,1338.1,4.5742,1342.7,0.0,0.4485
2.7782573,33.6006,6.889,1321.5,4.5654,1326.0,0.0,0.4463
2.7921486,33.6192,6.8373,1305.0,4.5565,1309.6,0.0,0.444
2.8061093,33.6375,6.786,1288.8,4.5476,1293.3,0.0,0.4418
2.8201399,33.6555,6.7352,1272.8,4.5386,1277.3,0.0,0.4396
2.8342406,33.6732,6.6847,1256.9,4.5296,1261.5,0.0,0.4375
2.8484118,33.6907,6.6346,1241.3,4.5205,1245.8,0.0,0.4353
2.8626539,33.708,6.5849,1225.9,4.5114,1230.4,0.0,0.4331
2.8769671,33.8286,6.5352,1210.6,4.5022,1215.1,0.0,0.431
2.891352,33.8455,6.4853,1195.4,4.493,1199.9,0.0,0.4288
2.9058087,33.8621,6.4357,1180.3,4.4837,1184.8,0.0,0.4267
2.9203378,33.8785,6.3865,1165.5,4.4744,1169.9,0.0,0.4246
2.9349394,33.8948,6.3377,1150.8,4.4651,1155.3,0.0,0.4224
2.9496141,33.911,6.2893,1136.3,4.4557,1140.8,0.0,0.4203
2.9643622,33.9811,6.2408,1122.0,4.4462,1126.4,0.0,0.4182
2.979184,33.9974,6.1927,1107.8,4.4367,1112.2,0.0,0.4162
2.9940799,34.014,6.1449,1093.8,4.4272,1098.2,0.0,0.4141
3.0090503,34.0286,6.0945,1079.4,4.4176,1083.8,0.0,0.412
3.0240956,34.0413,6.0426,1064.9,4.4079,1069.3,0.0,0.41
3.0392161,34.0534,5.9911,1050.6,4.3983,1055.0,0.0,0.4079
3.0544122,34.0649,5.9398,1036.4,4.3886,1040.8,0.0,0.4059
3.0696842,34.0758,5.8889,1022.4,4.3788,1026.8,0.0,0.4039
3.0850326,34.0862,5.8385,1008.6,4.369,1012.9,0.0,0.4019
3.1004578,34.0961,5.7885,994.98,4.3591,999.34,0.0,0.3999
3.1159601,34.1055,5.739,981.56,4.3492,985.91,0.0,0.3979
3.1315399,34.1144,5.69,968.34,4.3393,972.68,0.0,0.3959
3.1471976,34.1229,5.6414,955.29,4.3293,959.62,0.0,0.394
3.1629336,34.131,5.5932,942.42,4.3193,946.74,0.0,0.392
3.1787482,34.1387,5.5454,929.71,4.3093,934.02,0.0,0.39
3.194642,34.146,5.498,917.18,4.2992,921.47,0.0,0.3881
3.2106152,34.1529,5.451,904.81,4.289,909.1,0.0,0.3862
3.2266683,34.1594,5.4045,892.63,4.2789,896.91,0.0,0.3842
3.2428016,34.1657,5.3584,880.61,4.2687,884.88,0.0,0.3823
3.2590156,34.1715,5.3127,868.76,4.2584,873.02,0.0,0.3804
3.2753107,34.1771,5.2674,857.07,4.2481,861.32,0.0,0.3785
3.2916873,34.1824,5.2226,845.55,4.2378,849.79,0.0,0.3767
3.3081457,34.2289,5.1781,834.18,4.2275,838.41,0.0,0.3748
3.3246864,34.2338,5.133,822.79,4.2171,827.01,0.0,0.3729
3.3413099,34.2383,5.0882,811.56,4.2066,815.76,0.0,0.3711
3.3580164,34.2424,5.0438,800.48,4.1962,804.68,0.0,0.3692
3.3748065,34.2462,4.9999,789.56,4.1857,793.75,0.0,0.3674
3.3916805,34.2496,4.9564,778.79,4.1751,782.97,0.0,0.3656
3.4086389,34.2527,4.9133,768.17,4.1646,772.34,0.0,0.3637
3.4256821,34.2555,4.8705,757.71,4.154,761.86,0.0,0.3619
3.4428105,34.258,4.8282,747.38,4.1434,751.53,0.0,0.3601
3.4600246,34.2602,4.7862,737.2,4.1327,741.34,0.0,0.3583
3.4773247,34.2621,4.7447,727.17,4.122,731.29,0.0,0.3566
3.4947113,34.2637,4.7035,717.27,4.1113,721.38,0.0,0.3548
3.5121849,34.2651,4.6627,707.51,4.1005,711.61,0.0,0.353
3.5297458,34.2662,4.6223,697.89,4.0897,701.98,0.0,0.3513
3.5473945,34.2671,4.5823,688.4,4.0789,692.48,0.0,0.3495
3.5651315,34.2678,4.5426,679.05,4.068,683.11,0.0,0.3478
3.5829572,34.2682,4.5033,669.82,4.0572,673.88,0.0,0.346
3.6008719,34.2684,4.4643,660.72,4.0463,664.77,0.0,0.3443
3.6188763,34.2684,4.4257,651.75,4.0353,655.79,0.0,0.3426
3.6369707,34.2682,4.3875,642.91,4.0244,646.93,0.0,0.3409
3.6551555,34.2678,4.3496,634.19,4.0134,638.2,0.0,0.3392
3.6734313,34.2671,4.3121,625.58,4.0023,629.59,0.0,0.3375
3.6917985,34.2663,4.2749,617.1,3.9913,621.09,0.0,0.3358
3.7102575,34.2654,4.238,608.74,3.9802,612.72,0.0,0.3342
3.7288088,34.2642,4.2015,600.49,3.9691,604.46,0.0,0.3325
3.7474528,34.2629,4.1653,592.36,3.958,596.32,0.0,0.3308
3.7661901,34.2614,4.1295,584.34,3.9469,588.29,0.0,0.3292
3.785021,34.2597,4.094,576.43,3.9357,580.37,0.0,0.3276
3.8039461,34.2579,4.0588,568.63,3.9245,572.56,0.0,0.3259
3.8229659,34.2559,4.0239,560.94,3.9133,564.86,0.0,0.3243
3.8420807,34.2538,3.9894,553.36,3.902,557.26,0.0,0.3227
3.8612911,34.2516,3.9551,545.88,3.8908,549.77,0.0,0.3211
3.8805975,34.2492,3.9212,538.51,3.8795,542.39,0.0,0.3195
3.9000005,34.2466,3.8876,531.24,3.8682,535.1,0.0,0.3179
3.9195005,34.244,3.8543,524.06,3.8568,527.92,0.0,0.3163
3.939098,34.2412,3.8213,516.99,3.8455,520.84,0.0,0.3148
3.9587935,34.2382,3.7886,510.02,3.8341,513.85,0.0,0.3132
3.9785875,34.2352,3.7562,503.14,3.8227,506.96,0.0,0.3116
3.9984804,34.232,3.7241,496.36,3.8113,500.17,0.0,0.3101
4.0184728,34.2288,3.6923,489.67,3.7999,493.47,0.0,0.3085
4.0385652,34.2254,3.6607,483.07,3.7884,486.86,0.0,0.307
4.058758,34.2219,3.6295,476.57,3.777,480.35,0.0,0.3055
4.0790518,34.2183,3.5986,470.16,3.7655,473.92,0.0,0.304
4.0994471,34.2146,3.5679,463.83,3.754,467.58,0.0,0.3024
4.1199443,34.2108,3.5375,457.59,3.7425,461.33,0.0,0.3009
4.140544,34.2069,3.5074,451.44,3.7309,455.17,0.0,0.2994
4.1612467,34.2029,3.4775,445.37,3.7194,449.09,0.0,0.2979
4.182053,34.1989,3.448,439.39,3.7078,443.09,0.0,0.2965
4.2029632,34.1947,3.4187,433.49,3.6962,437.18,0.0,0.295
4.2239781,34.1905,3.3896,427.67,3.6846,431.35,0.0,0.2935
4.245098,34.1861,3.3609,421.93,3.673,425.6,0.0,0.2921
4.2663234,34.1817,3.3324,416.27,3.6614,419.93,0.0,0.2906
4.2876551,34.1772,3.3041,410.68,3.6497,414.33,0.0,0.2892
4.3090933,34.1727,3.2761,405.18,3.6381,408.82,0.0,0.2877
4.3306388,34.168,3.2484,399.75,3.6264,403.37,0.0,0.2863
4.352292,34.1633,3.2209,394.39,3.6147,398.0,0.0,0.2849
4.3740535,34.1586,3.1935,389.09,3.6031,392.7,0.0,0.2835
4.3959237,34.1537,3.1664,383.87,3.5914,387.46,0.0,0.282
4.4179033,34.1488,3.1395,378.72,3.5796,382.3,0.0,0.2806
4.4399929,34.1438,3.1129,373.64,3.5679,377.21,0.0,0.2792
4.4621928,34.1388,3.0865,368.63,3.5562,372.19,0.0,0.2779
4.4845038,34.1337,3.0604,363.69,3.5444,367.24,0.0,0.2765
4.5069263,34.1285,3.0345,358.82,3.5327,362.35,0.0,0.2751
4.5294609,34.1233,3.0088,354.02,3.5209,357.54,0.0,0.2737
4.5521082,34.118,2.9834,349.28,3.5091,352.79,0.0,0.2724
4.5748688,34.1127,2.9582,344.6,3.4974,348.1,0.0,0.271
4.5977431,34.1073,2.9332,339.99,3.4856,343.48,0.0,0.2697
4.6207318,34.1018,2.9085,335.45,3.4738,338.92,0.0,0.2683
4.6438355,34.0963,2.8839,330.96,3.462,334.43,0.0,0.267
4.6670547,34.0908,2.8596,326.54,3.4502,329.99,0.0,0.2657
4.69039,34.0852,2.8355,322.18,3.4383,325.62,0.0,0.2643
4.7138419,34.0795,2.8117,317.88,3.4265,321.3,0.0,0.263
4.7374111,34.0738,2.788,313.63,3.4147,317.05,0.0,0.2617
4.7610982,34.0681,2.7645,309.45,3.4029,312.85,0.0,0.2604
4.7849037,34.0623,2.7413,305.32,3.391,308.71,0.0,0.2591
4.8088282,34.0565,2.7183,301.25,3.3792,304.63,0.0,0.2578
4.8328723,34.0507,2.6955,297.24,3.3673,300.6,0.0,0.2565
4.8570367,34.0448,2.6729,293.28,3.3555,296.63,0.0,0.2553
4.8813219,34.0389,2.6504,289.37,3.3436,292.71,0.0,0.254
4.9057285,34.0329,2.6282,285.52,3.3318,288.85,0.0,0.2527
4.9302571,34.0269,2.6062,281.72,3.3199,285.04,0.0,0.2515
4.9549084,34.0209,2.5844,277.97,3.308,281.28,0.0,0.2502
4.9796829,34.0148,2.5628,274.27,3.2962,277.57,0.0,0.249
5.0045814,34.0087,2.5414,270.63,3.2843,273.91,0.0,0.2477
5.0296043,34.0026,2.5201,267.03,3.2724,270.3,0.0,0.2465
5.0547523,33.9964,2.4991,263.48,3.2606,266.74,0.0,0.2453
5.080026,33.9903,2.4782,259.98,3.2487,263.23,0.0,0.2441
5.1054262,33.9841,2.4576,256.53,3.2368,259.77,0.0,0.2428
5.1309533,33.9778,2.4371,253.13,3.225,256.35,0.0,0.2416
5.1566081,33.9716,2.4168,249.77,3.2131,252.98,0.0,0.2404
5.1823911,33.9653,2.3967,246.46,3.2012,249.66,0.0,0.2392
5.2083031,33.959,2.3767,243.19,3.1894,246.38,0.0,0.2381
5.2343446,33.9527,2.3569,239.97,3.1775,243.15,0.0,0.2369
5.2605163,33.9463,2.3374,236.79,3.1656,239.96,0.0,0.2357
5.2868189,33.94,2.3179,233.66,3.1538,236.81,0.0,0.2345
5.313253,33.9336,2.2987,230.57,3.1419,233.71,0.0,0.2333
5.3398192,33.9272,2.2796,227.52,3.1301,230.65,0.0,0.2322
5.3665183,33.9207,2.2607,224.51,3.1182,227.63,0.0,0.231
5.3933509,33.9143,2.242,221.54,3.1064,224.65,0.0,0.2299
5.4203177,33.9078,2.2234,218.61,3.0946,221.71,0.0,0.2287
5.4474193,33.9014,2.205,215.72,3.0827,218.81,0.0,0.2276
5.4746564,33.8949,2.1868,212.88,3.0709,215.95,0.0,0.2265
5.5020297,33.8884,2.1687,210.07,3.0591,213.13,0.0,0.2253
5.5295398,33.8819,2.1508,207.29,3.0472,210.34,0.0,0.2242
5.5571875,33.8753,2.1331,204.56,3.0354,207.6,0.0,0.2231
5.5849734,33.8688,2.1155,201.86,3.0236,204.89,0.0,0.222
5.6128983,33.8623,2.098,199.2,3.0118,202.22,0.0,0.2209
5.6409628,33.8557,2.0807,196.58,3.0,199.58,0.0,0.2198
5.6691676,33.8491,2.0636,193.99,2.9882,196.98,0.0,0.2187
5.6975135,33.8425,2.0466,191.44,2.9765,194.41,0.0,0.2176
5.726001,33.8359,2.0298,188.92,2.9647,191.88,0.0,0.2165
5.754631,33.8293,2.0131,186.43,2.9529,189.39,0.0,0.2155
5.7834042,33.8227,1.9966,183.98,2.9412,186.92,0.0,0.2144
5.8123212,33.8161,1.9802,181.56,2.9294,184.49,0.0,0.2133
5.8413828,33.8095,1.9639,179.18,2.9177,182.1,0.0,0.2123
5.8705897,33.8029,1.9478,176.83,2.9059,179.73,0.0,0.2112
5.8999427,33.7963,1.9319,174.5,2.8942,177.4,0.0,0.2101
5.9294424,33.7896,1.9161,172.21,2.8825,175.1,0.0,0.2091
5.9590896,33.783,1.9004,169.96,2.8708,172.83,0.0,0.2081
5.988885,33.7764,1.8848,167.73,2.8591,170.59,0.0,0.207
6.0188295,33.7697,1.8694,165.53,2.8475,168.38,0.0,0.206
6.0489236,33.7631,1.8542,163.36,2.8358,166.2,0.0,0.205
6.0791682,33.7565,1.839,161.22,2.8241,164.04,0.0,0.2039
6.1095641,33.7498,1.824,159.11,2.8125,161.92,0.0,0.2029
6.1401119,33.7432,1.8092,157.03,2.8009,159.83,0.0,0.2019
6.1708125,33.7366,1.7944,154.97,2.7892,157.76,0.0,0.2009
6.2016665,33.7299,1.7798,152.95,2.7776,155.72,0.0,0.1999
6.2326749,33.7233,1.7651,150.93,2.766,153.69,0.0,0.1989
6.2638382,33.7167,1.7502,148.91,2.7545,151.66,0.0,0.1979
6.2951574,33.71,1.7354,146.91,2.7429,149.65,0.0,0.197
6.3266332,33.7033,1.7207,144.94,2.7313,147.68,0.0,0.196
6.3582664,33.6966,1.7061,143.0,2.7198,145.72,0.0,0.195
6.3900577,33.6898,1.6917,141.09,2.7083,143.8,0.0,0.194
6.422008,33.683,1.6772,139.18,2.6968,141.88,0.0,0.1931
6.454118,33.6761,1.6628,137.3,2.6853,139.99,0.0,0.1921
6.4863886,33.6692,1.6485,135.44,2.6738,138.12,0.0,0.1911
6.5188206,33.6622,1.6343,133.61,2.6623,136.27,0.0,0.1902
6.5514147,33.6552,1.6203,131.8,2.6509,134.45,0.0,0.1892
6.5841717,33.6482,1.6064,130.02,2.6395,132.66,0.0,0.1883
6.915365,33.5926,1.4764,113.78,2.5817,116.36,0.0,0.1793
7.392525,33.4882,1.3147,94.78,2.4357,97.216,0.0,0.1677
7.902609,33.3744,1.1689,78.825,2.2936,81.119,0.0,0.1569
8.44789,33.2495,1.0402,65.619,2.1558,67.775,0.0,0.1468
9.030794,33.1131,0.92336,54.49,2.0227,56.513,0.0,0.1373
9.653919,32.9468,0.8104,44.737,1.8946,46.632,0.0,0.1284
10.32004,32.7281,0.71195,36.766,1.7717,38.538,0.0,0.1201
11.03212,32.4168,0.62607,30.244,1.6543,31.898,0.0,0.1124
11.79334,31.8669,0.55107,24.903,1.5424,26.445,0.0,0.1051
12.40464,30.7234,0.50063,21.508,1.4615,22.97,0.0,0.09995
12.60708,29.1062,0.48552,20.524,1.4362,21.96,0.0,0.09834
12.64514,27.6562,0.48276,20.346,1.4316,21.778,0.0,0.09805
12.72109,29.3734,3.7868,158.64,1.4223,160.06,138.6,0.09746
12.91096,30.9258,3.6719,151.57,1.3997,152.97,132.4,0.09603
13.47697,32.2506,3.3722,133.35,1.3357,134.69,116.4,0.092
14.40688,33.0616,3.0123,111.43,1.2408,112.67,97.45,0.08606
15.40095,33.5009,2.7116,93.833,1.1514,94.984,82.28,0.0805
16.46362,33.7958,2.4478,79.237,1.0676,80.305,69.68,0.07531
17.59961,34.0028,2.1904,66.327,0.98906,67.316,58.41,0.07045
18.81398,34.1433,1.9566,55.422,0.91576,56.338,48.86,0.0659
20.11215,34.2391,1.7451,46.243,0.8475,47.09,40.8,0.06165
21.49988,34.3029,1.5552,38.55,0.78408,39.334,34.03,0.05767
22.98338,34.3439,1.3856,32.128,0.72529,32.853,28.37,0.05395
24.56923,34.3689,1.2347,26.782,0.67092,27.453,23.66,0.05046
26.2645,34.4192,1.0988,22.295,0.62074,22.916,19.7,0.04721
28.07676,34.4238,0.97157,18.442,0.57453,19.017,16.3,0.04416
30.01405,34.4171,0.85771,15.23,0.53205,15.762,13.47,0.04131
32.08502,34.4042,0.75718,12.577,0.49307,13.07,11.13,0.03864
34.29889,34.3873,0.66844,10.386,0.45736,10.843,9.195,0.03615
36.66551,34.368,0.5899,8.5742,0.42471,8.9989,7.598,0.03381
39.19543,34.3473,0.52047,7.0768,0.39488,7.4717,6.278,0.03163
41.89992,34.326,0.45925,5.8412,0.36769,6.2089,5.187,0.02959
44.79101,34.3046,0.40525,4.8217,0.34291,5.1646,4.286,0.02768
47.88159,34.2837,0.35762,3.9804,0.32036,4.3008,3.542,0.02589
51.18542,34.2635,0.31561,3.2861,0.29985,3.586,2.926,0.02422
54.71721,34.2444,0.27856,2.7131,0.28121,2.9943,2.418,0.02266
58.4927,34.2261,0.24442,2.2269,0.26427,2.4912,1.985,0.0212
62.5287,34.2081,0.21442,1.8275,0.24888,2.0764,1.629,0.01983
66.84318,34.191,0.18812,1.4998,0.2349,1.7347,1.337,0.01855
71.45536,34.1749,0.16505,1.231,0.22219,1.4532,1.097,0.01735
76.38578,34.1598,0.14481,1.0103,0.21062,1.2209,0.9001,0.01623
81.6564,34.1459,0.12692,0.82837,0.20009,1.0285,0.7377,0.01518
87.29069,34.1328,0.11097,0.67749,0.19048,0.86797,0.603,0.0142
93.31374,34.1207,0.097022,0.55411,0.1817,0.73581,0.4929,0.01329
99.75239,34.1094,0.084831,0.45322,0.17367,0.62689,0.4029,0.01243
106.6353,34.099,0.074175,0.37071,0.16629,0.537,0.3294,0.01163
113.9931,34.0895,0.06486,0.30323,0.15951,0.46274,0.2692,0.01088
121.8587,34.0808,0.056717,0.24804,0.15324,0.40128,0.2201,0.01017
130.2669,34.0729,0.049598,0.20291,0.14744,0.35035,0.1799,0.009518
139.2553,34.0657,0.043374,0.16599,0.14205,0.30804,0.1471,0.008903
148.864,34.0591,0.037932,0.1358,0.13702,0.27282,0.1202,0.008329
159.1356,34.0531,0.033174,0.1111,0.13231,0.24341,0.09826,0.007791
170.1159,34.0477,0.029014,0.090892,0.12789,0.21878,0.08032,0.007288
181.8539,34.0429,0.025376,0.074365,0.12371,0.19808,0.06565,0.006818
194.4018,34.0385,0.022195,0.060845,0.11975,0.1806,0.05367,0.006378
207.8156,34.0345,0.019413,0.049784,0.11599,0.16577,0.04387,0.005966
222.1548,34.0309,0.016981,0.040735,0.1124,0.15314,0.03586,0.005581
237.4835,34.0277,0.014853,0.033332,0.10897,0.1423,0.02931,0.005221
253.8699,34.0248,0.012993,0.027275,0.10566,0.13294,0.02396,0.004884
271.3869,34.0221,0.011366,0.02232,0.10248,0.1248,0.01959,0.004569
290.1126,34.0198,0.0099429,0.018265,0.099413,0.11768,0.01601,0.004274
310.1304,34.0177,0.0086982,0.014947,0.09644,0.11139,0.01309,0.003998
331.5294,34.0158,0.0076096,0.012232,0.093557,0.10579,0.0107,0.00374
354.4049,34.0141,0.0066574,0.010011,0.090754,0.10076,0.008745,0.003498
378.8588,34.0126,0.0058245,0.0081932,0.088027,0.09622,0.007148,0.003273
405.0001,34.0112,0.0050959,0.0067056,0.08537,0.092076,0.005843,0.003061
432.9451,34.01,0.0044586,0.0054883,0.082779,0.088267,0.004776,0.002864
