E,f1,f2,PE,C+i,Total,K,lambda
2.080733,45.3446,8.3312,1419.6,7.1506,1426.8,0.0,0.5959
2.224304,45.2231,7.5618,1205.3,7.0773,1212.4,0.0,0.5574
2.377781,45.0418,6.8741,1025.0,6.9844,1032.0,0.0,0.5214
2.541848,44.8028,6.2588,872.99,6.8729,879.86,0.0,0.4878
2.717235,44.5039,5.7068,744.61,6.7439,751.35,0.0,0.4563
2.904724,44.135,5.2058,635.4,6.5988,642.0,0.0,0.4268
3.10515,43.6444,4.6802,534.37,6.439,540.81,0.0,0.3993
3.319406,42.8802,4.1619,444.53,6.2659,450.8,0.0,0.3735
3.548445,41.6355,3.7073,370.41,6.0811,376.49,0.0,0.3494
3.793288,38.9148,3.3031,308.73,5.8861,314.62,0.0,0.3269
3.850224,37.5113,3.2198,296.49,5.8413,302.33,0.0,0.322
3.909156,34.0273,3.1372,284.53,5.7953,290.33,0.0,0.3172
3.924871,30.0304,3.1158,281.46,5.783,287.24,0.0,0.3159
3.948444,33.9408,10.82,971.58,5.7647,977.34,0.0,0.314
4.007376,37.1907,10.465,925.9,5.7191,931.62,0.0,0.3094
4.055024,37.9931,10.191,891.03,5.6825,896.71,0.0,0.3058
4.072978,38.1101,10.09,878.34,5.6688,884.01,0.0,0.3044
4.135319,37.3576,9.7618,836.93,5.6213,842.55,0.0,0.2998
4.151944,35.5879,9.6868,827.17,5.6087,832.78,0.0,0.2986
4.17688,37.8115,13.408,1138.1,5.5898,1143.7,0.0,0.2968
4.239222,40.0581,13.018,1088.7,5.543,1094.2,0.0,0.2925
4.334821,41.4391,12.464,1019.4,5.4719,1024.9,0.0,0.286
4.375406,41.7235,12.248,992.48,5.442,997.92,0.0,0.2834
4.442377,41.6034,11.923,951.59,5.393,956.98,0.0,0.2791
4.460236,40.8219,11.84,941.18,5.3801,946.56,0.0,0.278
4.487024,41.974,13.561,1071.5,5.3607,1076.9,0.0,0.2763
4.553994,43.3023,13.25,1031.5,5.3125,1036.8,0.0,0.2723
4.633924,44.1919,12.901,987.05,5.2557,992.31,0.0,0.2676
4.953664,46.2573,11.694,836.98,5.0356,842.02,0.0,0.2503
5.295467,47.5557,10.597,709.51,4.8129,714.32,0.0,0.2341
5.660855,48.4498,9.5551,598.43,4.5891,603.02,0.0,0.219
6.051453,49.0715,8.5908,503.31,4.3653,507.68,0.0,0.2049
6.469004,49.5,7.7135,422.74,4.143,426.88,0.0,0.1917
6.915365,49.7938,6.9246,355.01,3.923,358.93,0.0,0.1793
7.392525,49.9926,6.219,298.26,3.7066,301.97,0.0,0.1677
7.902609,50.2028,5.5891,250.75,3.4946,254.24,0.0,0.1569
8.44789,50.3272,5.0166,210.53,3.2878,213.82,0.0,0.1468
9.030794,50.4269,4.4908,176.31,3.0869,179.4,0.0,0.1373
9.653919,50.4277,3.9815,146.22,2.8926,149.11,0.0,0.1284
10.32004,50.3869,3.5329,121.37,2.7053,124.08,0.0,0.1201
11.03212,50.3224,3.1377,100.84,2.5255,103.37,0.0,0.1124
11.79334,50.2428,2.7892,83.852,2.3534,86.205,0.0,0.1051
12.60708,50.1534,2.4818,69.794,2.1894,71.983,0.0,0.09834
13.47697,50.0578,2.2102,58.144,2.0334,60.177,0.0,0.092
14.40688,49.9577,1.9686,48.446,1.8857,50.332,0.0,0.08606
15.40095,49.8538,1.7545,40.39,1.7461,42.136,0.0,0.0805
16.46362,49.7468,1.5653,33.708,1.6147,35.323,0.0,0.07531
17.59961,49.6362,1.3947,28.096,1.4913,29.587,0.0,0.07045
18.81398,49.5174,1.2404,23.375,1.3758,24.751,0.0,0.0659
20.11215,49.3865,1.1005,19.401,1.2679,20.669,0.0,0.06165
21.49988,49.235,0.97529,16.083,1.1674,17.25,0.0,0.05767
22.98338,49.0522,0.86507,13.344,1.0741,14.418,0.0,0.05395
24.56923,48.8135,0.76798,11.082,0.98758,12.07,0.0,0.05046
26.2645,48.4518,0.6824,9.2116,0.90762,10.119,0.0,0.04721
28.07676,47.6648,0.60051,7.583,0.83387,8.4169,0.0,0.04416
28.6161,47.0981,0.57853,7.1678,0.81393,7.9817,0.0,0.04333
29.0541,45.8386,0.56159,6.853,0.79835,7.6514,0.0,0.04267
29.1709,44.325,0.55721,6.7722,0.79429,7.5665,0.0,0.0425
29.3461,45.8608,3.5328,42.681,0.78826,43.469,36.03,0.04225
29.7841,47.2498,3.4443,41.0,0.77353,41.774,34.63,0.04163
30.01405,47.5904,3.3992,40.153,0.766,40.919,33.93,0.04131
32.08502,48.8917,3.0381,33.571,0.70367,34.275,28.46,0.03864
34.29889,49.4402,2.7208,28.124,0.64655,28.771,23.92,0.03615
36.66551,49.7671,2.4382,23.577,0.5943,24.171,20.11,0.03381
39.19543,49.9853,2.1809,19.727,0.5466,20.274,16.87,0.03163
41.89992,50.1305,1.9457,16.463,0.50313,16.966,14.11,0.02959
44.79101,50.2279,1.7347,13.731,0.46358,14.195,11.79,0.02768
47.88159,50.2924,1.5459,11.446,0.42764,11.874,9.845,0.02589
51.18542,50.3335,1.3771,9.5388,0.39503,9.9338,8.216,0.02422
54.71721,50.3579,1.2266,7.9476,0.36549,8.3131,6.854,0.02266
58.4927,50.4028,1.0924,6.6212,0.33874,6.9599,5.716,0.0212
62.5287,50.4047,0.96868,5.4924,0.31455,5.8069,4.743,0.01983
66.84318,50.3982,0.85903,4.5563,0.29269,4.849,3.936,0.01855
71.45536,50.3866,0.76186,3.7801,0.27294,4.053,3.266,0.01735
76.38578,50.3718,0.67575,3.1364,0.25511,3.3915,2.71,0.01623
