E,f1,f2,PE,C+i,Total,K,lambda
2.0035635,48.0794,31.157,3616.4,10.449,3626.8,0.0,0.6188
2.0135813,48.4337,30.931,3572.3,10.446,3582.7,0.0,0.6157
2.0236492,48.7662,30.706,3528.7,10.442,3539.2,0.0,0.6127
2.0337675,49.0774,30.484,3485.7,10.437,3496.1,0.0,0.6096
2.0439363,49.3674,30.263,3443.2,10.433,3453.7,0.0,0.6066
2.054156,49.6364,30.043,3401.3,10.429,3411.7,0.0,0.6036
2.0644268,49.884,29.826,3359.9,10.424,3370.3,0.0,0.6006
2.0747489,50.1095,29.61,3318.9,10.419,3329.4,0.0,0.5976
2.0851227,50.3117,29.396,3278.5,10.414,3288.9,0.0,0.5946
2.0955483,50.4889,29.183,3238.6,10.409,3249.0,0.0,0.5917
2.106026,50.6384,28.972,3199.2,10.404,3209.6,0.0,0.5887
2.1165562,50.7562,28.763,3160.3,10.398,3170.7,0.0,0.5858
2.1271389,50.8362,28.555,3121.8,10.392,3132.2,0.0,0.5829
2.1377746,50.8686,28.349,3083.9,10.387,3094.3,0.0,0.58
2.1484635,50.8373,28.144,3046.4,10.381,3056.8,0.0,0.5771
2.1592058,50.7121,27.941,3009.4,10.375,3019.7,0.0,0.5742
2.1700018,50.4274,27.74,2972.8,10.368,2983.2,0.0,0.5714
2.1808519,49.7924,27.54,2936.7,10.362,2947.0,0.0,0.5685
2.1917561,47.3967,27.341,2901.0,10.355,2911.4,0.0,0.5657
2.1963695,47.5241,32.008,3389.1,10.353,3399.4,0.0,0.5645
2.2027149,49.6584,31.866,3364.3,10.349,3374.6,0.0,0.5629
2.2137285,51.1518,31.621,3321.8,10.342,3332.1,0.0,0.5601
2.2247971,52.064,31.377,3279.8,10.335,3290.2,0.0,0.5573
2.2359211,52.7545,31.136,3238.4,10.328,3248.8,0.0,0.5545
2.2471007,53.3238,30.897,3197.6,10.32,3207.9,0.0,0.5518
2.2583362,53.8141,30.658,3157.1,10.313,3167.4,0.0,0.549
