E,f1,f2,PE,C+i,Total,K,lambda
2.080733,69.504,16.713,1456.6,12.009,1468.6,0.0,0.5959
2.224304,69.3177,15.559,1268.5,11.967,1280.5,0.0,0.5574
2.377781,68.9539,14.51,1106.7,11.89,1118.6,0.0,0.5214
2.541848,68.3469,13.55,966.76,11.781,978.54,0.0,0.4878
2.717235,67.397,12.67,845.64,11.64,857.28,0.0,0.4563
2.904724,65.8273,11.779,735.37,11.468,746.84,0.0,0.4268
3.10515,62.7555,10.766,628.75,11.267,640.02,0.0,0.3993
3.26536,56.4413,9.9671,553.55,11.098,564.65,0.0,0.3797
3.31534,49.8314,9.7405,532.81,11.044,543.85,0.0,0.374
3.319406,48.5588,9.7225,531.17,11.04,542.21,0.0,0.3735
3.328668,42.6554,9.6817,527.47,11.03,538.5,0.0,0.3725
3.34866,48.9995,23.222,1257.6,11.008,1268.6,0.0,0.3703
3.39864,53.8257,23.169,1236.3,10.954,1247.3,0.0,0.3648
3.420984,54.3109,23.148,1227.1,10.929,1238.0,0.0,0.3624
3.473346,52.1394,23.103,1206.3,10.871,1217.2,0.0,0.357
3.487309,47.2186,23.093,1200.9,10.856,1211.8,0.0,0.3555
3.508254,53.6217,33.748,1744.5,10.833,1755.3,0.0,0.3534
3.548445,59.1957,33.101,1691.7,10.788,1702.5,0.0,0.3494
3.560616,60.2205,32.903,1675.8,10.775,1686.6,0.0,0.3482
3.793288,68.991,29.417,1406.4,10.514,1416.9,0.0,0.3269
3.965178,70.7696,27.185,1243.3,10.321,1253.6,0.0,0.3127
4.02587,69.6889,26.448,1191.4,10.253,1201.7,0.0,0.308
4.042054,67.6045,26.257,1178.0,10.235,1188.2,0.0,0.3067
4.055024,68.8475,30.612,1369.1,10.22,1379.3,0.0,0.3058
4.066331,70.174,30.47,1358.9,10.207,1369.1,0.0,0.3049
4.127022,72.8891,29.725,1306.2,10.139,1316.3,0.0,0.3004
4.334821,76.4784,27.409,1146.7,9.9084,1156.6,0.0,0.286
4.633924,78.8363,24.678,965.79,9.5817,975.37,0.0,0.2676
4.733792,79.134,23.854,913.83,9.4745,923.3,0.0,0.2619
4.806248,78.8658,23.286,878.64,9.3974,888.04,0.0,0.258
4.82557,78.1943,23.139,869.59,9.3769,878.97,0.0,0.2569
4.854552,79.0758,24.418,912.18,9.3463,921.53,0.0,0.2554
4.927008,80.0402,23.885,879.14,9.2702,888.41,0.0,0.2516
4.953664,80.2534,23.694,867.43,9.2423,876.67,0.0,0.2503
5.078654,80.9038,22.836,815.45,9.1128,824.56,0.0,0.2441
5.156389,80.9152,22.329,785.33,9.0332,794.36,0.0,0.2404
5.177118,80.5251,22.198,777.57,9.0121,786.58,0.0,0.2395
5.208212,81.1716,22.975,799.99,8.9806,808.97,0.0,0.2381
5.285946,81.9615,22.498,771.87,8.9022,780.77,0.0,0.2346
5.295467,82.0302,22.44,768.5,8.8927,777.39,0.0,0.2341
5.660855,83.7431,20.4,653.52,8.5353,662.06,0.0,0.219
6.051453,84.8168,18.549,555.88,8.1724,564.05,0.0,0.2049
6.469004,85.5864,16.866,472.81,7.8062,480.62,0.0,0.1917
6.915365,86.2858,15.296,401.12,7.4389,408.56,0.0,0.1793
7.392525,86.7388,13.846,339.66,7.0725,346.73,0.0,0.1677
7.902609,86.9518,12.553,288.06,6.7088,294.77,0.0,0.1569
8.44789,87.1749,11.388,244.47,6.3496,250.82,0.0,0.1468
9.030794,87.3194,10.307,206.98,5.9964,212.98,0.0,0.1373
9.653919,87.2509,9.2288,173.37,5.6506,179.02,0.0,0.1284
10.32004,87.1265,8.2609,145.17,5.3134,150.48,0.0,0.1201
11.03212,86.8947,7.3993,121.63,4.9861,126.62,0.0,0.1124
11.79334,86.5667,6.6379,102.07,4.6694,106.74,0.0,0.1051
12.60708,86.1496,5.9644,85.796,4.3641,90.16,0.0,0.09834
13.47697,85.6059,5.3635,72.173,4.0709,76.244,0.0,0.092
14.40688,84.8326,4.8281,60.776,3.7903,64.566,0.0,0.08606
15.40095,83.4505,4.34,51.104,3.5225,54.626,0.0,0.0805
15.97429,81.6017,4.0941,46.479,3.3813,49.86,0.0,0.07761
16.2188,79.0611,3.9969,44.691,3.3238,48.015,0.0,0.07644
16.284,76.0712,3.9716,44.231,3.3088,47.54,0.0,0.07614
