E,f1,f2,PE,C+i,Total,K,lambda
2.080733,16.8476,0.82805,419.2,2.5737,421.77,0.0,0.5959
2.224304,16.7157,0.7418,351.3,2.5146,353.81,0.0,0.5574
2.377781,16.5595,0.66517,294.68,2.4505,297.13,0.0,0.5214
2.541848,16.3623,0.59704,247.42,2.382,249.8,0.0,0.4878
2.717235,16.0891,0.53641,207.95,2.3098,210.26,0.0,0.4563
2.904724,15.644,0.4824,174.94,2.2342,177.17,0.0,0.4268
3.10515,14.5379,0.42981,145.81,2.1561,147.97,0.0,0.3993
3.138842,14.0901,0.42124,141.37,2.1432,143.51,0.0,0.395
3.186885,12.5541,0.40949,135.35,2.125,137.48,0.0,0.389
3.199697,10.706,0.40644,133.81,2.1202,135.93,0.0,0.3875
3.218914,12.5778,4.0445,1323.6,2.113,1325.7,1192.0,0.3852
3.266958,14.2753,3.9547,1275.1,2.0951,1277.2,1149.0,0.3795
3.319406,15.0333,3.8605,1225.1,2.0758,1227.2,1105.0,0.3735
3.548445,16.4395,3.4785,1032.6,1.994,1034.6,933.0,0.3494
3.793288,17.1011,3.1275,868.48,1.9112,870.39,786.0,0.3269
4.055024,17.5109,2.8093,729.77,1.8279,731.6,661.4,0.3058
4.334821,17.7899,2.5178,611.83,1.7447,613.57,555.2,0.286
4.633924,17.9817,2.2529,512.14,1.6619,513.8,465.1,0.2676
4.953664,18.1162,2.0148,428.45,1.5799,430.03,389.5,0.2503
5.295467,18.2108,1.8015,358.36,1.4993,359.86,326.1,0.2341
5.660855,18.2767,1.6105,299.68,1.4202,301.1,272.9,0.219
6.051453,18.322,1.4394,250.55,1.3431,251.89,228.3,0.2049
6.469004,18.3939,1.2843,209.12,1.2682,210.39,190.8,0.1917
6.915365,18.4089,1.1397,173.6,1.1956,174.8,158.5,0.1793
7.392525,18.412,1.0114,144.12,1.1257,145.25,131.6,0.1677
7.902609,18.4075,0.89769,119.66,1.0585,120.72,109.3,0.1569
8.44789,18.3978,0.79678,99.352,0.99414,100.35,90.82,0.1468
9.030794,18.3906,0.70619,82.371,0.93278,83.304,75.33,0.1373
9.653919,18.3744,0.62255,67.929,0.87443,68.803,62.17,0.1284
10.32004,18.3552,0.54885,56.022,0.81911,56.841,51.31,0.1201
11.03212,18.3348,0.4839,46.204,0.76684,46.971,42.35,0.1124
11.79334,18.3139,0.42666,38.109,0.71759,38.827,34.95,0.1051
12.60708,18.2932,0.37619,31.432,0.67131,32.103,28.85,0.09834
13.47697,18.2732,0.33171,25.927,0.62794,26.555,23.81,0.092
14.40688,18.2541,0.29142,21.307,0.58741,21.894,19.57,0.08606
15.40095,18.235,0.25528,17.461,0.54962,18.011,16.04,0.0805
16.46362,18.2165,0.22364,14.309,0.51447,14.823,13.14,0.07531
17.59961,18.1987,0.19592,11.726,0.48185,12.208,10.77,0.07045
18.81398,18.1819,0.17165,9.6104,0.45163,10.062,8.824,0.0659
20.11215,18.1662,0.15039,7.8765,0.42371,8.3002,7.23,0.06165
21.49988,18.1516,0.13176,6.4556,0.39795,6.8536,5.925,0.05767
22.98338,18.138,0.11545,5.2912,0.37422,5.6654,4.855,0.05395
24.56923,18.1255,0.10116,4.3369,0.3524,4.6893,3.978,0.05046
26.2645,18.114,0.088636,3.5549,0.33236,3.8873,3.26,0.04721
28.07676,18.1044,0.077197,2.8963,0.31397,3.2103,2.656,0.04416
30.01405,18.0947,0.067103,2.355,0.29712,2.6521,2.16,0.04131
32.08502,18.0856,0.05833,1.915,0.28168,2.1967,1.756,0.03864
34.29889,18.0773,0.050704,1.5572,0.26755,1.8248,1.428,0.03615
36.66551,18.0696,0.044077,1.2663,0.25461,1.5209,1.161,0.03381
39.19543,18.0627,0.038316,1.0297,0.24276,1.2725,0.9445,0.03163
41.89992,18.0563,0.033309,0.8374,0.23191,1.0693,0.7681,0.02959
44.79101,18.0506,0.028957,0.68099,0.22196,0.90295,0.6246,0.02768
47.88159,18.0454,0.025173,0.5538,0.21282,0.76662,0.508,0.02589
