E,f1,f2,PE,C+i,Total,K,lambda
2.0089931,30.9178,10.066,2814.1,4.9818,2819.1,0.0,0.6171
2.0190381,30.9719,9.9906,2779.2,4.9771,2784.2,0.0,0.6141
2.0291333,31.0246,9.9161,2744.7,4.9723,2749.7,0.0,0.611
2.039279,31.0762,9.8421,2710.7,4.9674,2715.7,0.0,0.608
2.0494754,31.1265,9.7686,2677.1,4.9625,2682.1,0.0,0.605
2.0597227,31.1757,9.6957,2643.9,4.9575,2648.8,0.0,0.6019
2.0700213,31.2237,9.6233,2611.1,4.9524,2616.0,0.0,0.599
2.0803714,31.2706,9.5514,2578.7,4.9472,2583.6,0.0,0.596
2.0907733,31.3165,9.4801,2546.7,4.942,2551.6,0.0,0.593
2.1012272,31.3613,9.4093,2515.1,4.9367,2520.0,0.0,0.5901
2.1117333,31.4051,9.339,2483.9,4.9313,2488.8,0.0,0.5871
2.122292,31.4479,9.2692,2453.1,4.9258,2458.0,0.0,0.5842
2.1329034,31.4898,9.1999,2422.6,4.9203,2427.5,0.0,0.5813
2.143568,31.5308,9.1311,2392.5,4.9147,2397.4,0.0,0.5784
2.1542858,31.5708,9.0628,2362.8,4.909,2367.7,0.0,0.5755
2.1650572,31.6099,8.9951,2333.5,4.9033,2338.4,0.0,0.5727
2.1758825,31.6482,8.9278,2304.5,4.8975,2309.4,0.0,0.5698
2.1867619,31.6856,8.861,2275.9,4.8916,2280.8,0.0,0.567
2.1976957,31.7222,8.7947,2247.6,4.8856,2252.5,0.0,0.5642
2.2086842,31.758,8.7289,2219.7,4.8796,2224.6,0.0,0.5613
2.2197276,31.793,8.6636,2192.2,4.8735,2197.0,0.0,0.5586
2.2308263,31.8272,8.5988,2164.9,4.8674,2169.8,0.0,0.5558
2.2419804,31.8607,8.5344,2138.0,4.8611,2142.9,0.0,0.553
2.2531903,31.8935,8.4705,2111.5,4.8548,2116.3,0.0,0.5503
2.2644562,31.9255,8.4071,2085.2,4.8485,2090.1,0.0,0.5475
2.2757785,31.9569,8.3442,2059.3,4.842,2064.2,0.0,0.5448
2.2871574,31.9875,8.2817,2033.7,4.8355,2038.6,0.0,0.5421
2.2985932,32.0175,8.2197,2008.5,4.829,2013.3,0.0,0.5394
2.3100862,32.0468,8.1582,1983.5,4.8223,1988.3,0.0,0.5367
2.3216366,32.0755,8.0971,1958.9,4.8156,1963.7,0.0,0.534
2.3332448,32.1036,8.0365,1934.5,4.8089,1939.4,0.0,0.5314
2.344911,32.1311,7.9763,1910.5,4.802,1915.3,0.0,0.5287
2.3566356,32.158,7.9166,1886.8,4.7951,1891.6,0.0,0.5261
2.3684187,32.1843,7.8574,1863.3,4.7882,1868.1,0.0,0.5235
2.3802608,32.21,7.7985,1840.2,4.7812,1845.0,0.0,0.5209
2.3921621,32.2352,7.7402,1817.3,4.7741,1822.1,0.0,0.5183
2.404123,32.2598,7.6822,1794.7,4.7669,1799.5,0.0,0.5157
2.4161436,32.284,7.6247,1772.4,4.7597,1777.2,0.0,0.5131
2.4282243,32.3076,7.5677,1750.4,4.7524,1755.2,0.0,0.5106
2.4403654,32.3307,7.511,1728.7,4.7451,1733.4,0.0,0.5081
2.4525672,32.3533,7.4548,1707.2,4.7377,1712.0,0.0,0.5055
2.4648301,32.3754,7.3991,1686.0,4.7302,1690.7,0.0,0.503
2.4771542,32.3971,7.3437,1665.1,4.7227,1669.8,0.0,0.5005
2.48954,32.4184,7.2888,1644.4,4.7151,1649.1,0.0,0.498
2.5019877,32.4392,7.2343,1624.0,4.7075,1628.7,0.0,0.4955
2.5144976,32.4595,7.1802,1603.8,4.6997,1608.5,0.0,0.4931
2.5270701,32.4795,7.1265,1583.9,4.692,1588.6,0.0,0.4906
2.5397055,32.499,7.0732,1564.3,4.6841,1568.9,0.0,0.4882
2.552404,32.5182,7.0204,1544.8,4.6763,1549.5,0.0,0.4858
2.565166,32.537,6.9679,1525.7,4.6683,1530.3,0.0,0.4833
2.5779919,32.5554,6.9159,1506.7,4.6603,1511.4,0.0,0.4809
2.5908818,32.5735,6.8642,1488.0,4.6523,1492.7,0.0,0.4785
2.6038362,32.5912,6.813,1469.6,4.6441,1474.2,0.0,0.4762
2.6168554,32.6086,6.7621,1451.4,4.636,1456.0,0.0,0.4738
2.6299397,32.6257,6.7117,1433.4,4.6277,1438.0,0.0,0.4714
2.6430894,32.6425,6.6614,1415.5,4.6195,1420.2,0.0,0.4691
2.6563048,32.7635,6.6101,1397.7,4.6111,1402.3,0.0,0.4668
2.6695863,32.7794,6.559,1380.0,4.6027,1384.6,0.0,0.4644
2.6829343,32.7949,6.5082,1362.5,4.5943,1367.1,0.0,0.4621
2.6963489,32.8099,6.4579,1345.2,4.5858,1349.8,0.0,0.4598
2.7098307,32.8246,6.408,1328.2,4.5772,1332.7,0.0,0.4575
2.7233798,32.8894,6.3581,1311.3,4.5686,1315.8,0.0,0.4553
2.7369967,32.9031,6.3083,1294.5,4.5599,1299.1,0.0,0.453
2.7506817,32.9164,6.2589,1278.0,4.5512,1282.5,0.0,0.4507
2.7644351,32.9293,6.2096,1261.6,4.5424,1266.2,0.0,0.4485
2.7782573,32.9418,6.1607,1245.5,4.5336,1250.0,0.0,0.4463
2.7921486,32.9538,6.1122,1229.5,4.5247,1234.0,0.0,0.444
2.8061093,32.9656,6.0642,1213.8,4.5158,1218.3,0.0,0.4418
2.8201399,32.9769,6.0165,1198.2,4.5068,1202.7,0.0,0.4396
2.8342406,32.988,5.9692,1182.9,4.4978,1187.4,0.0,0.4375
2.8484118,32.9987,5.9223,1167.8,4.4887,1172.3,0.0,0.4353
2.8626539,33.0091,5.8757,1152.8,4.4796,1157.3,0.0,0.4331
2.8769671,33.0192,5.8296,1138.1,4.4704,1142.6,0.0,0.431
2.891352,33.029,5.7838,1123.5,4.4612,1128.0,0.0,0.4288
2.9058087,33.0386,5.7385,1109.2,4.452,1113.6,0.0,0.4267
2.9203378,33.0479,5.6935,1095.0,4.4426,1099.4,0.0,0.4246
2.9349394,33.057,5.6489,1081.0,4.4333,1085.5,0.0,0.4224
2.9496141,33.0659,5.6046,1067.2,4.4239,1071.6,0.0,0.4203
2.9643622,33.0747,5.5607,1053.6,4.4144,1058.0,0.0,0.4182
2.979184,33.0835,5.5172,1040.2,4.4049,1044.6,0.0,0.4162
2.9940799,33.094,5.4741,1026.9,4.3954,1031.3,0.0,0.4141
3.0090503,33.1145,5.4288,1013.3,4.3858,1017.7,0.0,0.412
3.0240956,33.1264,5.3822,999.62,4.3762,1004.0,0.0,0.41
3.0392161,33.1367,5.336,986.12,4.3665,990.49,0.0,0.4079
3.0544122,33.1882,5.2902,972.79,4.3568,977.15,0.0,0.4059
