E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,62.1804,13.472,1349.5,12.101,1361.6,0.0,0.6198
2.0104868,62.1396,13.402,1335.7,12.099,1347.8,0.0,0.6167
2.0205393,62.0971,13.332,1322.1,12.097,1334.2,0.0,0.6136
2.030642,62.0529,13.262,1308.7,12.094,1320.8,0.0,0.6106
2.0407952,62.0071,13.193,1295.4,12.092,1307.5,0.0,0.6075
2.0509992,61.9595,13.124,1282.2,12.089,1294.3,0.0,0.6045
2.0612542,61.91,13.056,1269.2,12.086,1281.3,0.0,0.6015
2.0715604,61.8588,12.988,1256.3,12.083,1268.4,0.0,0.5985
2.0819182,61.8057,12.92,1243.6,12.079,1255.7,0.0,0.5955
2.0923278,61.7467,12.853,1230.9,12.076,1243.0,0.0,0.5926
2.1027895,61.6898,12.786,1218.4,12.072,1230.5,0.0,0.5896
2.1133034,61.6309,12.72,1206.1,12.068,1218.1,0.0,0.5867
2.1238699,61.5699,12.654,1193.8,12.064,1205.9,0.0,0.5838
2.1344893,61.5067,12.587,1181.7,12.06,1193.7,0.0,0.5809
2.1451617,61.441,12.516,1169.1,12.055,1181.2,0.0,0.578
2.1558875,61.3725,12.445,1156.8,12.051,1168.8,0.0,0.5751
2.166667,61.3012,12.375,1144.5,12.046,1156.6,0.0,0.5722
2.1775003,61.227,12.306,1132.4,12.041,1144.5,0.0,0.5694
2.1883878,61.1498,12.236,1120.4,12.035,1132.5,0.0,0.5666
2.1993297,61.0695,12.168,1108.6,12.03,1120.7,0.0,0.5637
2.2103264,60.9861,12.1,1096.9,12.024,1109.0,0.0,0.5609
2.221378,60.9045,12.032,1085.4,12.019,1097.4,0.0,0.5581
2.2324849,60.8145,11.965,1073.9,12.013,1085.9,0.0,0.5554
2.2436473,60.721,11.898,1062.6,12.006,1074.6,0.0,0.5526
2.2548656,60.6238,11.832,1051.5,12.0,1063.5,0.0,0.5499
2.2661399,60.5229,11.766,1040.4,11.993,1052.4,0.0,0.5471
2.2774706,60.418,11.701,1029.5,11.987,1041.5,0.0,0.5444
2.2888579,60.309,11.636,1018.7,11.98,1030.7,0.0,0.5417
2.3003022,60.1957,11.572,1008.0,11.973,1020.0,0.0,0.539
2.3118037,60.0779,11.508,997.46,11.965,1009.4,0.0,0.5363
2.3233628,59.9554,11.444,987.02,11.958,998.98,0.0,0.5336
2.3349796,59.828,11.381,976.7,11.95,988.65,0.0,0.531
2.3466545,59.6953,11.318,966.49,11.942,978.44,0.0,0.5283
2.3583878,59.5571,11.256,956.4,11.934,968.34,0.0,0.5257
2.3701797,59.4131,11.195,946.43,11.926,958.35,0.0,0.5231
2.3820306,59.263,11.133,936.56,11.917,948.48,0.0,0.5205
2.3939407,59.1063,11.072,926.81,11.909,938.72,0.0,0.5179
