E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,48.6861,9.6311,1028.6,11.362,1039.9,0.0,0.6198
2.0104868,48.377,9.5759,1017.6,11.358,1028.9,0.0,0.6167
2.0205393,48.0488,9.5212,1006.7,11.355,1018.1,0.0,0.6136
2.030642,47.6993,9.4668,996.0,11.351,1007.3,0.0,0.6106
2.0407952,47.3259,9.4129,985.39,11.347,996.74,0.0,0.6075
2.0509992,46.9257,9.3594,974.92,11.343,986.26,0.0,0.6045
2.0612542,46.495,9.3063,964.57,11.338,975.91,0.0,0.6015
2.0715604,46.0294,9.2537,954.34,11.334,965.67,0.0,0.5985
2.0819182,45.5233,9.2015,944.23,11.329,955.56,0.0,0.5955
2.0923278,44.97,9.1496,934.25,11.324,945.57,0.0,0.5926
2.1027895,44.3604,9.0983,924.38,11.319,935.7,0.0,0.5896
2.1133034,43.6829,9.0473,914.62,11.314,925.94,0.0,0.5867
2.1238699,42.9216,8.9967,904.98,11.308,916.29,0.0,0.5838
2.1344893,42.0539,8.9465,895.46,11.303,906.76,0.0,0.5809
2.1451617,41.0468,8.8967,886.05,11.297,897.34,0.0,0.578
2.1558875,39.8476,8.8473,876.74,11.291,888.04,0.0,0.5751
2.166667,38.3658,8.7983,867.55,11.285,878.84,0.0,0.5722
2.1775003,36.4219,8.7497,858.47,11.278,869.74,0.0,0.5694
2.1883878,33.5677,8.7003,849.37,11.272,860.64,0.0,0.5666
2.1993297,27.8928,8.6506,840.32,11.265,851.58,0.0,0.5637
2.2051132,14.718,8.6246,835.59,11.262,846.85,0.0,0.5623
2.2062866,14.4147,25.848,2503.0,11.261,2514.2,0.0,0.562
2.2103264,25.6735,25.78,2491.8,11.259,2503.1,0.0,0.5609
2.221378,32.0631,25.595,2461.6,11.252,2472.8,0.0,0.5581
2.2324849,34.5666,25.411,2431.7,11.244,2443.0,0.0,0.5554
2.2436473,35.8899,25.228,2402.2,11.237,2413.5,0.0,0.5526
2.2548656,36.5015,25.047,2373.1,11.23,2384.3,0.0,0.5499
2.2661399,36.4465,24.867,2344.4,11.222,2355.6,0.0,0.5471
2.2774706,35.3612,24.689,2316.0,11.214,2327.2,0.0,0.5444
2.2888579,29.7952,24.512,2287.9,11.206,2299.2,0.0,0.5417
2.2904585,25.3813,24.487,2284.0,11.205,2295.3,0.0,0.5413
2.2917415,25.2987,35.886,3345.4,11.204,3356.6,0.0,0.541
2.3003022,35.6491,35.689,3314.7,11.198,3325.9,0.0,0.539
2.3118037,39.3788,35.427,3274.0,11.19,3285.2,0.0,0.5363
2.3233628,41.6868,35.168,3233.8,11.181,3245.0,0.0,0.5336
2.3349796,43.4321,34.91,3194.1,11.173,3205.3,0.0,0.531
2.3466545,44.8607,34.654,3154.9,11.164,3166.1,0.0,0.5283
2.3583878,46.0806,34.4,3116.2,11.155,3127.4,0.0,0.5257
2.3701797,47.1495,34.148,3078.0,11.146,3089.2,0.0,0.5231
2.3820306,48.1028,33.898,3040.3,11.136,3051.5,0.0,0.5205
2.3939407,48.9635,33.65,3003.1,11.127,3014.2,0.0,0.5179
2.4059104,49.748,33.405,2966.3,11.117,2977.4,0.0,0.5153
2.41794,50.468,33.16,2930.0,11.107,2941.1,0.0,0.5128
2.4300297,51.1326,32.918,2894.1,11.097,2905.2,0.0,0.5102
2.4421798,51.7487,32.678,2858.7,11.087,2869.8,0.0,0.5077
2.4543907,52.3217,32.44,2823.7,11.077,2834.8,0.0,0.5052
2.4666627,52.8561,32.203,2789.2,11.067,2800.2,0.0,0.5026
2.478996,53.3553,31.968,2755.1,11.056,2766.1,0.0,0.5001
2.491391,53.8222,31.736,2721.4,11.045,2732.4,0.0,0.4977
2.5038479,54.2592,31.504,2688.1,11.034,2699.2,0.0,0.4952
2.5163672,54.6683,31.275,2655.3,11.023,2666.3,0.0,0.4927
2.528949,55.0508,31.048,2622.9,11.012,2633.9,0.0,0.4903
2.5415938,55.4079,30.822,2590.8,11.001,2601.8,0.0,0.4878
2.5543017,55.7405,30.598,2559.2,10.989,2570.2,0.0,0.4854
