E,f1,f2,PE,C+i,Total,K,lambda
2.080733,51.1484,13.6,2002.8,7.5397,2010.3,0.0,0.5959
2.224304,51.485,12.407,1709.2,7.4676,1716.7,0.0,0.5574
2.377781,51.6848,11.31,1457.4,7.3752,1464.8,0.0,0.5214
2.541848,51.7595,10.315,1243.5,7.2635,1250.8,0.0,0.4878
2.717235,51.7921,9.4155,1061.8,7.1337,1068.9,0.0,0.4563
2.904724,51.7628,8.6035,907.57,6.987,914.56,0.0,0.4268
3.10515,51.7419,7.8048,770.18,6.825,777.0,0.0,0.3993
3.319406,51.5927,6.9934,645.56,6.6489,652.21,0.0,0.3735
3.548445,51.3222,6.2655,541.05,6.4604,547.51,0.0,0.3494
3.793288,50.9469,5.6213,454.08,6.261,460.34,0.0,0.3269
4.055024,50.4516,5.0525,381.79,6.0522,387.84,0.0,0.3058
4.334821,49.7836,4.5498,321.61,5.8357,327.45,0.0,0.286
4.633924,48.8026,4.1024,271.27,5.613,276.88,0.0,0.2676
4.953664,46.9999,3.6853,227.96,5.3856,233.35,0.0,0.2503
5.14206,44.543,3.4671,206.61,5.2569,211.87,0.0,0.2411
5.220765,41.3094,3.3825,198.53,5.2043,203.73,0.0,0.2375
5.241753,37.5721,3.3605,196.45,5.1904,201.64,0.0,0.2365
5.273235,41.2613,10.586,615.13,5.1696,620.3,0.0,0.2351
5.295467,42.6868,10.489,606.95,5.155,612.1,0.0,0.2341
5.35194,44.3928,10.25,586.83,5.1181,591.95,0.0,0.2317
5.511128,45.6654,9.6197,534.85,5.0161,539.87,0.0,0.225
5.595482,44.7233,9.3495,511.99,4.9632,516.95,0.0,0.2216
5.617976,43.0095,9.2804,506.18,4.9492,511.13,0.0,0.2207
5.651718,45.0562,12.8,693.98,4.9283,698.91,0.0,0.2194
5.660855,45.4367,12.76,690.66,4.9226,695.58,0.0,0.219
5.736072,47.0616,12.435,664.27,4.8766,669.15,0.0,0.2161
5.869024,48.191,11.901,621.32,4.7966,626.12,0.0,0.2113
5.958856,48.0966,11.578,595.35,4.7436,600.09,0.0,0.2081
5.982811,47.3384,11.497,588.82,4.7296,593.55,0.0,0.2072
6.018744,48.4624,13.172,670.59,4.7088,675.3,0.0,0.206
6.051453,49.0789,13.061,661.33,4.6899,666.02,0.0,0.2049
6.108576,49.7589,12.872,645.67,4.6571,650.33,0.0,0.203
6.469004,51.9659,11.807,559.24,4.4579,563.7,0.0,0.1917
6.915365,53.4251,10.692,473.75,4.228,477.98,0.0,0.1793
7.392525,54.3968,9.6457,399.81,4.0012,403.81,0.0,0.1677
7.902609,55.066,8.6788,336.51,3.7784,340.29,0.0,0.1569
8.44789,55.5333,7.8032,283.03,3.5606,286.59,0.0,0.1468
9.030794,55.888,7.0067,237.74,3.3485,241.09,0.0,0.1373
9.653919,56.112,6.2554,198.55,3.1428,201.69,0.0,0.1284
10.32004,56.2453,5.5897,165.97,2.9441,168.91,0.0,0.1201
11.03212,56.3911,4.9844,138.44,2.7527,141.19,0.0,0.1124
11.79334,56.4523,4.4369,115.28,2.5691,117.85,0.0,0.1051
12.60708,56.4722,3.94,95.763,2.3936,98.157,0.0,0.09834
13.47697,56.4235,3.4989,79.553,2.2263,81.779,0.0,0.092
14.40688,56.3541,3.1098,66.143,2.0674,68.21,0.0,0.08606
15.40095,56.2713,2.7659,55.031,1.917,56.948,0.0,0.0805
