E,f1,f2,PE,C+i,Total,K,lambda
2.0089931,30.5691,12.465,3267.5,5.2522,3272.8,0.0,0.6171
2.0190381,30.6852,12.374,3227.7,5.2473,3232.9,0.0,0.6141
2.0291333,30.7978,12.284,3188.1,5.2423,3193.4,0.0,0.611
2.039279,30.907,12.194,3149.0,5.2373,3154.3,0.0,0.608
2.0494754,31.0132,12.105,3110.5,5.2322,3115.7,0.0,0.605
2.0597227,31.1164,12.016,3072.4,5.227,3077.6,0.0,0.6019
2.0700213,31.2169,11.929,3034.8,5.2217,3040.0,0.0,0.599
2.0803714,31.3147,11.841,2997.5,5.2164,3002.7,0.0,0.596
2.0907733,31.4098,11.754,2960.6,5.2109,2965.8,0.0,0.593
2.1012272,31.5023,11.667,2924.1,5.2054,2929.3,0.0,0.5901
2.1117333,31.5922,11.581,2888.1,5.1998,2893.3,0.0,0.5871
2.122292,31.6798,11.496,2852.6,5.1942,2857.7,0.0,0.5842
2.1329034,31.765,11.411,2817.4,5.1884,2822.6,0.0,0.5813
2.143568,31.8481,11.327,2782.8,5.1826,2788.0,0.0,0.5784
2.1542858,31.9291,11.243,2748.5,5.1768,2753.7,0.0,0.5755
2.1650572,32.0081,11.16,2714.7,5.1708,2719.9,0.0,0.5727
2.1758825,32.0851,11.078,2681.3,5.1648,2686.5,0.0,0.5698
2.1867619,32.1603,10.997,2648.3,5.1587,2653.5,0.0,0.567
2.1976957,32.2336,10.916,2615.7,5.1525,2620.9,0.0,0.5642
2.2086842,32.3052,10.835,2583.6,5.1462,2588.7,0.0,0.5613
2.2197276,32.3752,10.756,2551.8,5.1399,2556.9,0.0,0.5586
2.2308263,32.4435,10.676,2520.4,5.1335,2525.5,0.0,0.5558
2.2419804,32.5103,10.598,2489.4,5.1271,2494.5,0.0,0.553
2.2531903,32.5755,10.52,2458.8,5.1205,2463.9,0.0,0.5503
2.2644562,32.6394,10.442,2428.6,5.1139,2433.7,0.0,0.5475
2.2757785,32.7018,10.366,2398.7,5.1072,2403.8,0.0,0.5448
2.2871574,32.7629,10.289,2369.2,5.1005,2374.3,0.0,0.5421
2.2985932,32.8227,10.214,2340.0,5.0937,2345.1,0.0,0.5394
2.3100862,32.8814,10.138,2311.3,5.0868,2316.3,0.0,0.5367
2.3216366,32.9389,10.063,2282.7,5.0798,2287.8,0.0,0.534
2.3332448,32.9949,9.9879,2254.4,5.0728,2259.4,0.0,0.5314
2.344911,33.0495,9.9131,2226.4,5.0657,2231.4,0.0,0.5287
2.3566356,33.1028,9.8389,2198.7,5.0585,2203.8,0.0,0.5261
2.3684187,33.1548,9.7652,2171.4,5.0513,2176.4,0.0,0.5235
2.3802608,33.2056,9.6921,2144.4,5.044,2149.4,0.0,0.5209
2.3921621,33.2552,9.6195,2117.7,5.0366,2122.8,0.0,0.5183
2.404123,33.3037,9.5474,2091.4,5.0292,2096.4,0.0,0.5157
2.4161436,33.351,9.4758,2065.4,5.0217,2070.4,0.0,0.5131
2.4282243,33.3972,9.4048,2039.7,5.0141,2044.7,0.0,0.5106
2.4403654,33.4424,9.3342,2014.3,5.0065,2019.4,0.0,0.5081
2.4525672,33.4866,9.2642,1989.3,4.9988,1994.3,0.0,0.5055
2.4648301,33.5297,9.1947,1964.5,4.991,1969.5,0.0,0.503
2.4771542,33.5719,9.1257,1940.1,4.9832,1945.1,0.0,0.5005
2.48954,33.6131,9.0572,1916.0,4.9753,1920.9,0.0,0.498
2.5019877,33.6534,8.9892,1892.1,4.9674,1897.1,0.0,0.4955
2.5144976,33.6928,8.9217,1868.6,4.9594,1873.5,0.0,0.4931
2.5270701,33.7314,8.8547,1845.3,4.9513,1850.3,0.0,0.4906
2.5397055,33.769,8.7882,1822.3,4.9431,1827.3,0.0,0.4882
2.552404,33.8059,8.7222,1799.6,4.9349,1804.6,0.0,0.4858
2.565166,33.8419,8.6567,1777.2,4.9267,1782.2,0.0,0.4833
2.5779919,33.8771,8.5917,1755.1,4.9184,1760.0,0.0,0.4809
2.5908818,33.9116,8.5271,1733.3,4.91,1738.2,0.0,0.4785
2.6038362,33.9453,8.4631,1711.7,4.9015,1716.6,0.0,0.4762
2.6168554,33.9783,8.3995,1690.4,4.893,1695.3,0.0,0.4738
2.6299397,34.0105,8.3364,1669.3,4.8845,1674.2,0.0,0.4714
2.6430894,34.0421,8.2737,1648.5,4.8758,1653.4,0.0,0.4691
2.6563048,34.073,8.2116,1628.0,4.8672,1632.9,0.0,0.4668
2.6695863,34.1032,8.1499,1607.7,4.8584,1612.6,0.0,0.4644
2.6829343,34.1328,8.0887,1587.7,4.8496,1592.6,0.0,0.4621
2.6963489,34.1617,8.0279,1568.0,4.8408,1572.8,0.0,0.4598
2.7098307,34.19,7.9676,1548.5,4.8319,1553.3,0.0,0.4575
2.7233798,34.2177,7.9078,1529.2,4.8229,1534.0,0.0,0.4553
2.7369967,34.2449,7.8484,1510.1,4.8139,1515.0,0.0,0.453
2.7506817,34.2715,7.7895,1491.4,4.8048,1496.2,0.0,0.4507
2.7644351,34.2975,7.731,1472.8,4.7957,1477.6,0.0,0.4485
2.7782573,34.323,7.673,1454.5,4.7865,1459.3,0.0,0.4463
2.7921486,34.348,7.6155,1436.4,4.7773,1441.2,0.0,0.444
2.8061093,34.3725,7.5583,1418.5,4.768,1423.3,0.0,0.4418
2.8201399,34.3964,7.5017,1400.9,4.7586,1405.6,0.0,0.4396
2.8342406,34.42,7.4454,1383.4,4.7492,1388.2,0.0,0.4375
2.8484118,34.4431,7.3896,1366.2,4.7398,1371.0,0.0,0.4353
2.8626539,34.4657,7.3342,1349.3,4.7303,1354.0,0.0,0.4331
2.8769671,34.4879,7.2793,1332.5,4.7207,1337.2,0.0,0.431
2.891352,34.5098,7.2248,1315.9,4.7111,1320.6,0.0,0.4288
2.9058087,34.5312,7.1707,1299.6,4.7015,1304.3,0.0,0.4267
2.9203378,34.5523,7.1171,1283.4,4.6918,1288.1,0.0,0.4246
2.9349394,34.5731,7.0638,1267.5,4.682,1272.2,0.0,0.4224
2.9496141,34.5937,7.011,1251.8,4.6722,1256.4,0.0,0.4203
2.9643622,34.6139,6.9586,1236.2,4.6624,1240.9,0.0,0.4182
2.979184,34.6341,6.9066,1220.9,4.6525,1225.6,0.0,0.4162
2.9940799,34.6541,6.8551,1205.8,4.6425,1210.4,0.0,0.4141
3.0090503,34.6779,6.8016,1190.4,4.6325,1195.0,0.0,0.412
3.0240956,34.7003,6.7472,1175.0,4.6225,1179.6,0.0,0.41
3.0392161,34.7205,6.6931,1159.8,4.6124,1164.4,0.0,0.4079
3.0544122,34.7395,6.6395,1144.8,4.6023,1149.4,0.0,0.4059
3.0696842,34.7576,6.5864,1130.0,4.5921,1134.6,0.0,0.4039
3.0850326,34.7751,6.5337,1115.3,4.5819,1119.9,0.0,0.4019
3.1004578,34.8925,6.4813,1100.9,4.5716,1105.5,0.0,0.3999
3.1159601,34.9089,6.4271,1086.3,4.5613,1090.8,0.0,0.3979
3.1315399,34.9247,6.3735,1071.8,4.551,1076.4,0.0,0.3959
3.1471976,34.9397,6.3203,1057.6,4.5406,1062.1,0.0,0.394
3.1629336,34.9542,6.2676,1043.6,4.5301,1048.1,0.0,0.392
3.1787482,34.9681,6.2154,1029.7,4.5196,1034.2,0.0,0.39
3.194642,35.0325,6.1634,1016.0,4.5091,1020.5,0.0,0.3881
3.2106152,35.0453,6.1109,1002.4,4.4986,1006.9,0.0,0.3862
3.2266683,35.0576,6.0589,988.9,4.488,993.39,0.0,0.3842
3.2428016,35.0692,6.0074,975.61,4.4773,980.09,0.0,0.3823
3.2590156,35.0803,5.9564,962.51,4.4666,966.98,0.0,0.3804
3.2753107,35.0908,5.9058,949.59,4.4559,954.04,0.0,0.3785
3.2916873,35.1008,5.8557,936.85,4.4452,941.29,0.0,0.3767
3.3081457,35.1104,5.806,924.28,4.4344,928.72,0.0,0.3748
3.3246864,35.1195,5.7568,911.89,4.4235,916.31,0.0,0.3729
3.3413099,35.1282,5.7081,899.67,4.4126,904.09,0.0,0.3711
3.3580164,35.1365,5.6598,887.62,4.4017,892.02,0.0,0.3692
3.3748065,35.1443,5.612,875.74,4.3908,880.13,0.0,0.3674
3.3916805,35.1518,5.5645,864.02,4.3798,868.4,0.0,0.3656
3.4086389,35.159,5.5176,852.47,4.3688,856.83,0.0,0.3637
3.4256821,35.1658,5.4707,841.02,4.3577,845.37,0.0,0.3619
3.4428105,35.1722,5.4242,829.73,4.3466,834.07,0.0,0.3601
3.4600246,35.1783,5.3782,818.59,4.3355,822.93,0.0,0.3583
3.4773247,35.1841,5.3326,807.61,4.3244,811.94,0.0,0.3566
3.4947113,35.1896,5.2874,796.79,4.3132,801.1,0.0,0.3548
3.5121849,35.1948,5.2426,786.11,4.3019,790.41,0.0,0.353
3.5297458,35.1998,5.1983,775.58,4.2907,779.87,0.0,0.3513
3.5473945,35.2045,5.1543,765.2,4.2794,769.48,0.0,0.3495
3.5651315,35.2495,5.1106,754.93,4.2681,759.2,0.0,0.3478
3.5829572,35.2539,5.0661,744.63,4.2567,748.88,0.0,0.346
3.6008719,35.2579,5.0219,734.46,4.2454,738.71,0.0,0.3443
3.6188763,35.2616,4.9782,724.44,4.2339,728.68,0.0,0.3426
3.6369707,35.2649,4.9348,714.56,4.2225,718.79,0.0,0.3409
3.6551555,35.2678,4.8919,704.82,4.211,709.03,0.0,0.3392
3.6734313,35.2705,4.8493,695.22,4.1995,699.41,0.0,0.3375
3.6917985,35.2728,4.8072,685.74,4.188,689.93,0.0,0.3358
3.7102575,35.2749,4.7654,676.4,4.1765,680.58,0.0,0.3342
3.7288088,35.2767,4.724,667.19,4.1649,671.36,0.0,0.3325
3.7474528,35.2782,4.683,658.11,4.1533,662.27,0.0,0.3308
3.7661901,35.2794,4.6424,649.16,4.1417,653.3,0.0,0.3292
3.785021,35.2804,4.6022,640.33,4.13,644.46,0.0,0.3276
3.8039461,35.2812,4.5623,631.62,4.1183,635.74,0.0,0.3259
3.8229659,35.2817,4.5228,623.04,4.1066,627.14,0.0,0.3243
3.8420807,35.282,4.4836,614.57,4.0949,618.67,0.0,0.3227
3.8612911,35.2821,4.4448,606.23,4.0831,610.31,0.0,0.3211
3.8805975,35.2819,4.4064,597.99,4.0713,602.07,0.0,0.3195
3.9000005,35.2816,4.3683,589.88,4.0595,593.94,0.0,0.3179
3.9195005,35.281,4.3306,581.87,4.0477,585.92,0.0,0.3163
3.939098,35.2803,4.2932,573.98,4.0359,578.02,0.0,0.3148
3.9587935,35.2794,4.2562,566.2,4.024,570.22,0.0,0.3132
3.9785875,35.2783,4.2195,558.52,4.0121,562.54,0.0,0.3116
3.9984804,35.277,4.1831,550.96,4.0002,554.96,0.0,0.3101
4.0184728,35.2755,4.1471,543.49,3.9883,547.48,0.0,0.3085
4.0385652,35.2739,4.1114,536.14,3.9763,540.11,0.0,0.307
4.058758,35.2722,4.076,528.88,3.9643,532.84,0.0,0.3055
4.0790518,35.2702,4.041,521.72,3.9523,525.68,0.0,0.304
4.0994471,35.2681,4.0063,514.67,3.9403,518.61,0.0,0.3024
4.1199443,35.2659,3.9719,507.71,3.9283,511.64,0.0,0.3009
4.140544,35.2635,3.9378,500.85,3.9163,504.76,0.0,0.2994
4.1612467,35.261,3.904,494.08,3.9042,497.98,0.0,0.2979
4.182053,35.2584,3.8705,487.41,3.8921,491.3,0.0,0.2965
4.2029632,35.2556,3.8374,480.82,3.88,484.7,0.0,0.295
4.2239781,35.2527,3.8045,474.34,3.8679,478.2,0.0,0.2935
4.245098,35.2497,3.7719,467.94,3.8558,471.79,0.0,0.2921
4.2663234,35.2466,3.7397,461.62,3.8437,465.47,0.0,0.2906
4.2876551,35.2433,3.7077,455.4,3.8315,459.23,0.0,0.2892
4.3090933,35.2399,3.676,449.26,3.8193,453.08,0.0,0.2877
4.3306388,35.2364,3.6446,443.21,3.8071,447.02,0.0,0.2863
4.352292,35.2329,3.6135,437.24,3.7949,441.04,0.0,0.2849
4.3740535,35.2292,3.5827,431.36,3.7827,435.14,0.0,0.2835
4.3959237,35.2254,3.5521,425.55,3.7705,429.32,0.0,0.282
4.4179033,35.2215,3.5219,419.83,3.7583,423.58,0.0,0.2806
4.4399929,35.2175,3.4919,414.18,3.746,417.93,0.0,0.2792
4.4621928,35.2134,3.4622,408.61,3.7338,412.35,0.0,0.2779
4.4845038,35.2093,3.4327,403.12,3.7215,406.84,0.0,0.2765
4.5069263,35.205,3.4035,397.71,3.7092,401.41,0.0,0.2751
4.5294609,35.2007,3.3746,392.36,3.6969,396.06,0.0,0.2737
4.5521082,35.1963,3.346,387.1,3.6846,390.78,0.0,0.2724
4.5748688,35.1918,3.3176,381.9,3.6723,385.58,0.0,0.271
4.5977431,35.1872,3.2894,376.78,3.66,380.44,0.0,0.2697
