E,f1,f2,PE,C+i,Total,K,lambda
2.080733,6.15192,0.1465,246.67,0.85298,247.52,235.8,0.5959
2.224304,6.13897,0.12883,202.92,0.82201,203.74,193.9,0.5574
2.377781,6.12696,0.1133,166.94,0.79106,167.73,159.5,0.5214
2.541848,6.11588,0.099638,137.33,0.76028,138.09,131.2,0.4878
2.717235,6.10571,0.087625,112.98,0.72982,113.71,107.9,0.4563
2.904724,6.09643,0.077061,92.946,0.69982,93.646,88.75,0.4268
3.10515,6.0879,0.06742,76.069,0.6704,76.739,72.63,0.3993
3.319406,6.07984,0.058701,61.956,0.64168,62.598,59.15,0.3735
3.548445,6.07234,0.051109,50.461,0.61373,51.075,48.18,0.3494
3.793288,6.06543,0.044499,41.099,0.58666,41.686,39.24,0.3269
4.055024,6.05909,0.038744,33.474,0.56054,34.035,31.96,0.3058
4.334821,6.05329,0.033733,27.264,0.53541,27.799,26.03,0.286
4.633924,6.04802,0.02937,22.206,0.51132,22.717,21.21,0.2676
4.953664,6.04323,0.025572,18.086,0.48832,18.574,17.27,0.2503
5.295467,6.0389,0.022265,14.731,0.46642,15.197,14.07,0.2341
5.660855,6.03498,0.019289,11.938,0.44563,12.384,11.4,0.219
6.051453,6.0314,0.016703,9.6701,0.42596,10.096,9.231,0.2049
6.469004,6.02815,0.014463,7.8329,0.40741,8.2403,7.475,0.1917
6.915365,6.0252,0.012524,6.3448,0.38995,6.7348,6.054,0.1793
7.392525,6.02255,0.010844,5.1394,0.37356,5.513,4.902,0.1677
7.902609,6.02016,0.0093904,4.163,0.35823,4.5212,3.97,0.1569
8.44789,6.01801,0.0081313,3.3722,0.3439,3.7161,3.215,0.1468
9.030794,6.0161,0.0070314,2.7278,0.33056,3.0584,2.6,0.1373
9.653919,6.01439,0.0060514,2.1961,0.31815,2.5142,2.093,0.1284
10.32004,6.01284,0.0052079,1.768,0.30663,2.0746,1.685,0.1201
11.03212,6.01144,0.004482,1.4234,0.29595,1.7194,1.356,0.1124
11.79334,6.01018,0.0038573,1.1459,0.28607,1.432,1.092,0.1051
12.60708,6.00906,0.0033197,0.92254,0.27693,1.1995,0.8788,0.09834
13.47697,6.00805,0.002857,0.74271,0.26848,1.0112,0.7074,0.092
14.40688,6.00715,0.0024588,0.59793,0.26068,0.85861,0.5694,0.08606
15.40095,6.00635,0.0021161,0.48138,0.25347,0.73485,0.4583,0.0805
16.46362,6.00563,0.0018212,0.38755,0.2468,0.63435,0.3689,0.07531
17.59961,6.00499,0.0015673,0.312,0.24063,0.55263,0.297,0.07045
18.81398,6.00443,0.0013489,0.25119,0.23491,0.4861,0.2391,0.0659
20.11215,6.00392,0.0011609,0.20222,0.22959,0.43181,0.1924,0.06165
21.49988,6.00348,0.00099909,0.16281,0.22464,0.38745,0.1549,0.05767
22.98338,6.00308,0.00085985,0.13107,0.22002,0.35109,0.1247,0.05395
24.56923,6.00272,0.00074001,0.10552,0.21568,0.3212,0.1004,0.05046
26.2645,6.00241,0.00063687,0.084954,0.21159,0.29654,0.08079,0.04721
28.07676,6.00213,0.00054642,0.068184,0.20772,0.2759,0.06483,0.04416
30.01405,6.00189,0.00046835,0.054669,0.20404,0.25871,0.05197,0.04131
32.08502,6.00167,0.00040143,0.043834,0.20052,0.24435,0.04166,0.03864
34.29889,6.00148,0.00034407,0.035146,0.19714,0.23229,0.03339,0.03615
36.66551,6.0013,0.00029491,0.02818,0.19388,0.22206,0.02677,0.03381
39.19543,6.00115,0.00025277,0.022594,0.19071,0.2133,0.02146,0.03163
41.89992,6.00102,0.00021666,0.018116,0.18761,0.20573,0.0172,0.02959
44.79101,6.0009,0.0001857,0.014525,0.18458,0.1991,0.01379,0.02768
47.88159,6.00079,0.00015917,0.011646,0.1816,0.19325,0.01105,0.02589
51.18542,6.0007,0.00013643,0.0093381,0.17865,0.18799,0.008861,0.02422
54.71721,6.00062,0.00011694,0.0074873,0.17573,0.18322,0.007103,0.02266
58.4927,6.00054,0.00010023,0.0060033,0.17283,0.17883,0.005694,0.0212
62.5287,6.00048,8.5909e-05,0.0048135,0.16993,0.17474,0.004564,0.01983
66.84318,6.00042,7.3635e-05,0.0038595,0.16705,0.17091,0.003659,0.01855
