E,f1,f2,PE,C+i,Total,K,lambda
2.080733,15.5299,0.64014,365.16,2.5448,367.7,0.0,0.5959
2.224304,15.3369,0.57382,306.2,2.4876,308.69,0.0,0.5574
2.377781,15.072,0.51489,257.02,2.4253,259.45,0.0,0.5214
2.541848,14.649,0.4625,215.97,2.3585,218.33,0.0,0.4878
2.717235,13.6771,0.41585,181.65,2.2879,183.94,0.0,0.4563
2.765952,13.0165,0.40432,173.5,2.2685,175.77,0.0,0.4483
2.808288,11.4668,0.39473,166.83,2.2517,169.08,0.0,0.4415
2.819578,9.60284,0.39224,165.12,2.2473,167.37,0.0,0.4397
2.836512,11.4882,4.0625,1700.0,2.2406,1702.2,1537.0,0.4371
2.878848,13.2,3.9785,1640.3,2.224,1642.5,1484.0,0.4307
2.904724,13.6816,3.9285,1605.3,2.2139,1607.5,1452.0,0.4268
3.10515,15.3069,3.541,1353.5,2.1372,1355.6,1226.0,0.3993
3.319406,16.0128,3.1795,1136.9,2.0584,1139.0,1031.0,0.3735
3.548445,16.443,2.8622,957.38,1.9779,959.36,869.9,0.3494
3.793288,16.743,2.5699,804.13,1.8964,806.03,731.7,0.3269
4.055024,16.9472,2.2984,672.76,1.8143,674.57,612.8,0.3058
4.334821,17.0895,2.0558,562.91,1.7322,564.64,513.3,0.286
4.633924,17.1898,1.839,471.05,1.6505,472.7,429.9,0.2676
4.953664,17.2603,1.6453,394.22,1.5697,395.79,360.1,0.2503
5.295467,17.3095,1.4714,329.81,1.49,331.3,301.6,0.2341
5.660855,17.3868,1.3153,275.78,1.4119,277.19,252.5,0.219
6.051453,17.4057,1.1664,228.78,1.3357,230.12,209.6,0.2049
6.469004,17.411,1.0345,189.8,1.2617,191.06,174.0,0.1917
6.915365,17.4076,0.91748,157.47,1.19,158.66,144.4,0.1793
7.392525,17.3984,0.81377,130.66,1.1209,131.78,119.8,0.1677
7.902609,17.3854,0.72183,108.41,1.0545,109.46,99.46,0.1569
8.44789,17.3702,0.64026,89.957,0.99094,90.948,82.55,0.1468
9.030794,17.3541,0.56708,74.532,0.93033,75.462,68.42,0.1373
9.653919,17.3362,0.49958,61.423,0.87271,62.296,56.43,0.1284
10.32004,17.3166,0.44014,50.622,0.8181,51.44,46.54,0.1201
11.03212,17.2966,0.38779,41.722,0.7665,42.488,38.39,0.1124
11.79334,17.2769,0.34169,34.389,0.71791,35.107,31.66,0.1051
12.60708,17.2579,0.30019,28.262,0.67226,28.934,26.03,0.09834
13.47697,17.2389,0.2628,23.145,0.6295,23.774,21.32,0.092
14.40688,17.2202,0.23008,18.956,0.58955,19.546,17.46,0.08606
