E,f1,f2,PE,C+i,Total,K,lambda
2.080733,23.8307,2.7971,1087.9,3.6169,1091.5,0.0,0.5959
2.224304,23.7813,2.5207,917.14,3.5444,920.68,0.0,0.5574
2.377781,23.7276,2.2658,771.17,3.4639,774.63,0.0,0.5214
2.541848,23.6639,2.0299,646.31,3.3762,649.69,0.0,0.4878
2.717235,23.5939,1.8208,542.3,3.282,545.58,0.0,0.4563
2.904724,23.5212,1.6307,454.35,3.1822,457.53,0.0,0.4268
3.10515,23.4551,1.4474,377.25,3.0777,380.33,0.0,0.3993
3.319406,23.3672,1.2756,311.01,2.9691,313.98,0.0,0.3735
3.548445,23.2625,1.1254,256.67,2.8575,259.53,0.0,0.3494
3.793288,23.1453,0.9938,212.03,2.7434,214.77,0.0,0.3269
4.055024,23.0137,0.87851,175.33,2.6278,177.96,0.0,0.3058
4.334821,22.8622,0.77738,145.14,2.5113,147.65,0.0,0.286
4.633924,22.679,0.6886,120.26,2.3946,122.65,0.0,0.2676
4.953664,22.44,0.61057,99.752,2.2784,102.03,0.0,0.2503
5.295467,22.0858,0.54194,82.824,2.1633,84.987,0.0,0.2341
5.660855,21.3981,0.48151,68.838,2.0499,70.888,0.0,0.219
5.869416,20.4015,0.4518,62.295,1.9892,64.284,0.0,0.2112
5.959254,18.9371,0.43991,59.743,1.964,61.707,0.0,0.2081
5.983211,17.1703,0.43683,59.086,1.9573,61.043,0.0,0.2072
6.019146,18.9719,3.9165,526.58,1.9474,528.53,468.5,0.206
6.051453,19.8252,3.8773,518.54,1.9386,520.48,461.3,0.2049
6.108984,20.6031,3.8091,504.62,1.923,506.54,448.8,0.203
6.469004,22.2661,3.4413,430.52,1.8299,432.35,382.8,0.1917
6.915365,23.0221,3.0935,362.03,1.7242,363.75,322.3,0.1793
7.392525,23.4637,2.7898,305.41,1.6218,307.03,272.2,0.1677
7.902609,23.7651,2.5128,257.33,1.523,258.85,229.6,0.1569
8.44789,23.9746,2.2524,215.78,1.428,217.21,192.6,0.1468
9.030794,24.1269,2.0153,180.61,1.3371,181.95,161.3,0.1373
9.653919,24.227,1.7961,150.57,1.2502,151.82,134.7,0.1284
10.32004,24.2944,1.6008,125.54,1.1677,126.71,112.4,0.1201
11.03212,24.3392,1.4269,104.67,1.0893,105.76,93.85,0.1124
11.79334,24.3684,1.2717,87.268,1.0153,88.283,78.35,0.1051
