E,f1,f2,PE,C+i,Total,K,lambda
2.080733,50.4447,12.563,1911.7,7.5911,1919.3,0.0,0.5959
2.224304,50.647,11.459,1631.2,7.5161,1638.7,0.0,0.5574
2.377781,50.7185,10.455,1392.2,7.4207,1399.6,0.0,0.5214
2.541848,50.7506,9.5448,1188.9,7.3059,1196.2,0.0,0.4878
2.717235,50.7159,8.7209,1016.2,7.1729,1023.4,0.0,0.4563
2.904724,50.6493,7.9771,869.52,7.0231,876.54,0.0,0.4268
3.10515,50.5732,7.1995,734.1,6.8577,740.96,0.0,0.3993
3.319406,50.3418,6.4441,614.67,6.6784,621.35,0.0,0.3735
3.548445,50.0012,5.778,515.56,6.4867,522.05,0.0,0.3494
3.793288,49.5485,5.191,433.29,6.2841,439.57,0.0,0.3269
4.055024,48.946,4.6666,364.37,6.0723,370.44,0.0,0.3058
4.334821,48.076,4.1851,305.68,5.8528,311.53,0.0,0.286
4.633924,46.6164,3.7579,256.77,5.6272,262.4,0.0,0.2676
4.911662,43.379,3.4164,220.23,5.4267,225.66,0.0,0.2524
4.953664,42.088,3.3694,215.36,5.3971,220.76,0.0,0.2503
4.98684,40.1016,3.3331,211.62,5.3739,216.99,0.0,0.2486
5.006888,36.3183,3.3114,209.4,5.36,214.76,0.0,0.2476
5.036959,40.0489,10.623,667.75,5.3391,673.09,0.0,0.2461
5.112138,43.2059,10.283,636.88,5.2874,642.17,0.0,0.2425
5.252212,44.433,9.692,584.26,5.1928,589.45,0.0,0.2361
5.295467,44.2277,9.5385,570.31,5.164,575.47,0.0,0.2341
5.332603,43.5105,9.4138,558.93,5.1395,564.07,0.0,0.2325
5.35404,41.7843,9.3437,552.55,5.1254,557.68,0.0,0.2316
5.386197,43.8628,12.901,758.38,5.1044,763.48,0.0,0.2302
5.466588,45.9086,12.529,725.65,5.0523,730.7,0.0,0.2268
5.600014,47.1111,11.957,676.02,4.9674,680.99,0.0,0.2214
5.660855,47.1838,11.722,655.65,4.9293,660.58,0.0,0.219
5.685729,47.0101,11.632,647.75,4.9139,652.66,0.0,0.2181
5.708586,46.2463,11.551,640.63,4.8997,645.53,0.0,0.2172
5.742872,47.3775,13.236,729.76,4.8786,734.64,0.0,0.2159
5.828586,48.6805,12.933,702.56,4.8264,707.39,0.0,0.2127
6.051453,50.3007,12.217,639.23,4.6943,643.92,0.0,0.2049
6.469004,51.989,11.075,542.04,4.4604,546.5,0.0,0.1917
6.915365,53.0921,10.007,458.18,4.2287,462.41,0.0,0.1793
7.392525,53.8505,9.011,385.94,4.0002,389.94,0.0,0.1677
7.902609,54.3753,8.1009,324.56,3.776,328.34,0.0,0.1569
8.44789,54.7429,7.2827,272.95,3.5569,276.51,0.0,0.1468
9.030794,55.0192,6.5399,229.29,3.3438,232.63,0.0,0.1373
9.653919,55.1931,5.8397,191.52,3.1371,194.66,0.0,0.1284
10.32004,55.3657,5.2103,159.85,2.9376,162.79,0.0,0.1201
11.03212,55.4449,4.6386,133.13,2.7456,135.88,0.0,0.1124
11.79334,55.4785,4.1219,110.66,2.5616,113.22,0.0,0.1051
12.60708,55.4399,3.6594,91.903,2.3858,94.289,0.0,0.09834
13.47697,55.3771,3.2515,76.389,2.2183,78.607,0.0,0.092
14.40688,55.2986,2.8911,63.536,2.0593,65.595,0.0,0.08606
15.40095,55.2096,2.5727,52.89,1.9088,54.799,0.0,0.0805
16.46362,55.1139,2.2914,44.067,1.7669,45.834,0.0,0.07531
17.59961,55.0136,2.0427,36.749,1.6332,38.382,0.0,0.07045
18.81398,54.9102,1.8226,30.673,1.5079,32.181,0.0,0.0659
20.11215,54.8037,1.6265,25.606,1.3906,26.997,0.0,0.06165
21.49988,54.6938,1.4529,21.396,1.2811,22.677,0.0,0.05767
22.98338,54.5784,1.2958,17.851,1.1791,19.03,0.0,0.05395
24.56923,54.4532,1.1546,14.88,1.0845,15.964,0.0,0.05046
26.2645,54.3136,1.026,12.369,0.99677,13.366,0.0,0.04721
28.07676,54.146,0.90351,10.189,0.91571,11.105,0.0,0.04416
30.01405,53.9188,0.79396,8.3754,0.84095,9.2164,0.0,0.04131
32.08502,53.5825,0.69828,6.8907,0.77215,7.6628,0.0,0.03864
34.29889,52.9105,0.61464,5.6739,0.70896,6.3829,0.0,0.03615
35.26491,52.195,0.58299,5.2343,0.68423,5.9185,0.0,0.03516
35.80468,50.9706,0.56641,5.0088,0.67109,5.6799,0.0,0.03463
35.94862,49.5025,0.56212,4.9509,0.66766,5.6186,0.0,0.03449
36.16452,50.9879,3.4469,30.177,0.66258,30.84,25.31,0.03428
36.66551,52.2763,3.3719,29.117,0.65105,29.768,24.44,0.03381
36.70429,52.3309,3.3662,29.038,0.65017,29.688,24.38,0.03378
39.19543,53.829,3.027,24.452,0.59807,25.05,20.6,0.03163
41.89992,54.4128,2.7121,20.494,0.54969,21.044,17.31,0.02959
44.79101,54.7513,2.4284,17.166,0.50559,17.672,14.54,0.02768
47.88159,54.9722,2.1715,14.359,0.46545,14.824,12.19,0.02589
51.18542,55.1185,1.9375,11.985,0.42897,12.414,10.19,0.02422
54.71721,55.2163,1.7284,10.001,0.39586,10.397,8.512,0.02266
58.4927,55.281,1.5415,8.3441,0.36584,8.7099,7.11,0.0212
62.5287,55.3226,1.3747,6.9608,0.33866,7.2995,5.937,0.01983
66.84318,55.3477,1.2258,5.8063,0.31407,6.1204,4.957,0.01855
71.45536,55.3613,1.093,4.843,0.29184,5.1348,4.138,0.01735
76.38578,55.3958,0.97171,4.0277,0.27175,4.2994,3.441,0.01623
81.6564,55.3951,0.86233,3.3437,0.25359,3.5973,2.858,0.01518
87.29069,55.3844,0.76264,2.7662,0.2372,3.0034,2.366,0.0142
93.31374,55.3689,0.67454,2.2888,0.22238,2.5112,1.959,0.01329
99.75239,55.3507,0.59667,1.8939,0.20899,2.1029,1.622,0.01243
106.6353,55.331,0.52783,1.5672,0.19688,1.7641,1.342,0.01163
113.9931,55.3105,0.46698,1.297,0.1859,1.4829,1.111,0.01088
121.8587,55.2899,0.41317,1.0735,0.17595,1.2494,0.9202,0.01017
