E,f1,f2,PE,C+i,Total,K,lambda
2.080733,25.9787,3.7984,1375.5,4.0017,1379.5,0.0,0.5959
2.224304,25.9575,3.4173,1157.6,3.9259,1161.5,0.0,0.5574
2.377781,25.9217,3.076,974.76,3.8409,978.6,0.0,0.5214
2.541848,25.8778,2.7704,821.25,3.7476,825.0,0.0,0.4878
2.717235,25.8293,2.4969,692.39,3.6468,696.04,0.0,0.4563
2.904724,25.7812,2.2482,583.2,3.5395,586.74,0.0,0.4268
3.10515,25.7281,2.0033,486.11,3.4266,489.54,0.0,0.3993
3.319406,25.6539,1.7751,402.95,3.3088,406.26,0.0,0.3735
3.548445,25.5677,1.5695,333.27,3.1872,336.46,0.0,0.3494
3.793288,25.4704,1.387,275.51,3.0626,278.57,0.0,0.3269
4.055024,25.3646,1.2269,227.98,2.9359,230.92,0.0,0.3058
4.334821,25.2504,1.0864,188.83,2.8079,191.64,0.0,0.286
4.633924,25.1258,0.96283,156.56,2.6794,159.24,0.0,0.2676
4.953664,24.9864,0.85419,129.93,2.5511,132.48,0.0,0.2503
5.295467,24.8241,0.75854,107.93,2.4237,110.35,0.0,0.2341
5.660855,24.6232,0.67426,89.748,2.2979,92.046,0.0,0.219
6.051453,24.3495,0.59992,74.699,2.1743,76.873,0.0,0.2049
6.469004,23.9082,0.5343,62.234,2.0532,64.287,0.0,0.1917
6.915365,22.789,0.47631,51.899,1.9353,53.834,0.0,0.1793
6.96976,22.4649,0.46996,50.807,1.9217,52.729,0.0,0.1779
7.07644,21.0168,0.4579,48.757,1.8954,50.652,0.0,0.1752
7.104888,19.2682,0.45477,48.23,1.8885,50.118,0.0,0.1745
7.14756,21.0548,3.8992,411.05,1.8782,412.93,363.6,0.1735
7.25424,22.6714,3.7877,393.42,1.8529,395.27,347.8,0.1709
7.392525,23.4808,3.6502,372.05,1.8209,373.87,328.7,0.1677
7.902609,24.683,3.265,311.31,1.7103,313.02,275.1,0.1569
8.44789,25.2655,2.9475,262.89,1.6038,264.49,232.6,0.1468
9.030794,25.6451,2.6546,221.49,1.5016,222.99,196.2,0.1373
9.653919,25.8973,2.3704,185.01,1.404,186.41,164.2,0.1284
10.32004,26.066,2.1145,154.39,1.3109,155.7,137.3,0.1201
11.03212,26.1815,1.8865,128.85,1.2226,130.07,114.7,0.1124
11.79334,26.2607,1.6832,107.54,1.1389,108.68,95.9,0.1051
12.60708,26.3142,1.502,89.77,1.06,90.83,80.15,0.09834
13.47697,26.3498,1.3404,74.939,0.98577,75.925,66.99,0.092
14.40688,26.4121,1.194,62.448,0.91611,63.364,55.89,0.08606
15.40095,26.4211,1.0562,51.676,0.85093,52.527,46.26,0.0805
16.46362,26.4188,0.93409,42.751,0.79012,43.541,38.29,0.07531
17.59961,26.4094,0.82587,35.358,0.73352,36.092,31.69,0.07045
18.81398,26.3951,0.73023,29.245,0.68098,29.926,26.23,0.0659
20.11215,26.3778,0.64572,24.191,0.63231,24.823,21.71,0.06165
21.49988,26.3587,0.57102,20.012,0.58734,20.599,17.97,0.05767
22.98338,26.3387,0.505,16.556,0.54588,17.102,14.87,0.05395
24.56923,26.3183,0.44663,13.697,0.50773,14.205,12.31,0.05046
26.2645,26.2983,0.39503,11.333,0.4727,11.806,10.19,0.04721
28.07676,26.2809,0.34777,9.333,0.44058,9.7736,8.397,0.04416
30.01405,26.2618,0.30571,7.6746,0.4112,8.0858,6.911,0.04131
32.08502,26.243,0.26786,6.2905,0.38435,6.6748,5.667,0.03864
34.29889,26.2243,0.2342,5.145,0.35985,5.5048,4.636,0.03615
36.66551,26.2062,0.20478,4.2083,0.33752,4.5458,3.793,0.03381
39.19543,26.1889,0.17906,3.4423,0.31719,3.7595,3.102,0.03163
41.89992,26.1725,0.15658,2.8158,0.2987,3.1145,2.538,0.02959
44.79101,26.1573,0.13691,2.3032,0.28189,2.5851,2.076,0.02768
47.88159,26.1431,0.11972,1.884,0.26661,2.1506,1.698,0.02589
51.18542,26.13,0.10469,1.5411,0.25271,1.7938,1.389,0.02422
54.71721,26.1179,0.09155,1.2607,0.24008,1.5008,1.137,0.02266
58.4927,26.1068,0.080062,1.0313,0.22859,1.2599,0.9298,0.0212
62.5287,26.0966,0.070017,0.84372,0.21812,1.0618,0.7606,0.01983
66.84318,26.0873,0.061234,0.69026,0.20857,0.89883,0.6222,0.01855
71.45536,26.0789,0.053554,0.56472,0.19985,0.76457,0.509,0.01735
76.38578,26.0712,0.046838,0.46203,0.19186,0.65389,0.4164,0.01623
81.6564,26.0643,0.040894,0.37736,0.18452,0.56188,0.34,0.01518
87.29069,26.0579,0.035564,0.30699,0.17777,0.48476,0.2766,0.0142
93.31374,26.0521,0.03093,0.24975,0.17153,0.42128,0.225,0.01329
99.75239,26.0468,0.0269,0.20319,0.16575,0.36894,0.183,0.01243
106.6353,26.042,0.023395,0.16531,0.16036,0.32567,0.1489,0.01163
113.9931,26.0376,0.020347,0.1345,0.15533,0.28983,0.1211,0.01088
121.8587,26.0337,0.017697,0.10943,0.1506,0.26003,0.09853,0.01017
130.2669,26.0302,0.015392,0.089031,0.14615,0.23518,0.08015,0.009518
139.2553,26.027,0.013387,0.072438,0.14192,0.21436,0.0652,0.008903
