E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,65.0079,14.748,1391.1,11.812,1403.0,0.0,0.6198
2.0104868,64.986,14.677,1377.6,11.811,1389.4,0.0,0.6167
2.0205393,64.9632,14.607,1364.2,11.809,1376.0,0.0,0.6136
2.030642,64.9394,14.538,1351.0,11.808,1362.8,0.0,0.6106
2.0407952,64.9146,14.469,1337.8,11.806,1349.6,0.0,0.6075
2.0509992,64.8887,14.4,1324.9,11.804,1336.7,0.0,0.6045
2.0612542,64.8619,14.332,1312.0,11.801,1323.8,0.0,0.6015
2.0715604,64.834,14.264,1299.3,11.799,1311.1,0.0,0.5985
2.0819182,64.805,14.197,1286.8,11.796,1298.6,0.0,0.5955
2.0923278,64.7749,14.13,1274.4,11.794,1286.2,0.0,0.5926
2.1027895,64.7437,14.064,1262.1,11.791,1273.9,0.0,0.5896
2.1133034,64.7114,13.998,1249.9,11.787,1261.7,0.0,0.5867
2.1238699,64.6779,13.933,1237.9,11.784,1249.7,0.0,0.5838
2.1344893,64.6433,13.868,1226.0,11.781,1237.7,0.0,0.5809
2.1451617,64.6074,13.803,1214.2,11.777,1226.0,0.0,0.578
2.1558875,64.5702,13.739,1202.5,11.773,1214.3,0.0,0.5751
2.166667,64.5318,13.675,1191.0,11.769,1202.8,0.0,0.5722
2.1775003,64.4921,13.612,1179.6,11.764,1191.4,0.0,0.5694
2.1883878,64.4511,13.549,1168.3,11.76,1180.1,0.0,0.5666
2.1993297,64.4086,13.487,1157.2,11.755,1168.9,0.0,0.5637
2.2103264,64.3648,13.425,1146.1,11.75,1157.9,0.0,0.5609
2.221378,64.3196,13.363,1135.2,11.745,1146.9,0.0,0.5581
2.2324849,64.2728,13.302,1124.4,11.74,1136.1,0.0,0.5554
2.2436473,64.2245,13.241,1113.7,11.735,1125.4,0.0,0.5526
2.2548656,64.1747,13.181,1103.1,11.729,1114.8,0.0,0.5499
2.2661399,64.1233,13.121,1092.6,11.723,1104.3,0.0,0.5471
2.2774706,64.0702,13.062,1082.2,11.717,1093.9,0.0,0.5444
2.2888579,64.0154,13.003,1072.0,11.711,1083.7,0.0,0.5417
2.3003022,63.9588,12.944,1061.8,11.705,1073.5,0.0,0.539
2.3118037,63.8966,12.883,1051.5,11.698,1063.2,0.0,0.5363
2.3233628,63.8359,12.816,1040.9,11.691,1052.6,0.0,0.5336
