E,f1,f2,PE,C+i,Total,K,lambda
2.0089931,30.595,8.9998,2596.9,4.8501,2601.8,0.0,0.6171
2.0190381,30.6327,8.9329,2564.8,4.8454,2569.6,0.0,0.6141
2.0291333,30.6695,8.8666,2533.1,4.8407,2537.9,0.0,0.611
2.039279,30.7056,8.8007,2501.7,4.8359,2506.6,0.0,0.608
2.0494754,30.7409,8.7353,2470.8,4.831,2475.6,0.0,0.605
2.0597227,30.7755,8.6704,2440.2,4.8261,2445.1,0.0,0.6019
2.0700213,30.8093,8.6059,2410.0,4.8211,2414.9,0.0,0.599
2.0803714,30.8423,8.542,2380.2,4.816,2385.0,0.0,0.596
2.0907733,30.8747,8.4785,2350.8,4.8109,2355.6,0.0,0.593
2.1012272,30.9064,8.4155,2321.7,4.8056,2326.5,0.0,0.5901
2.1117333,30.9374,8.3529,2293.0,4.8003,2297.8,0.0,0.5871
2.122292,30.9677,8.2909,2264.6,4.795,2269.4,0.0,0.5842
2.1329034,30.9974,8.2293,2236.6,4.7895,2241.4,0.0,0.5813
2.143568,31.0265,8.1681,2209.0,4.784,2213.7,0.0,0.5784
2.1542858,31.0549,8.1074,2181.6,4.7784,2186.4,0.0,0.5755
2.1650572,31.0828,8.0472,2154.7,4.7728,2159.4,0.0,0.5727
2.1758825,31.11,7.9874,2128.0,4.7671,2132.8,0.0,0.5698
2.1867619,31.1367,7.9281,2101.7,4.7613,2106.4,0.0,0.567
2.1976957,31.1629,7.8692,2075.7,4.7554,2080.4,0.0,0.5642
2.2086842,31.1885,7.8107,2050.0,4.7495,2054.8,0.0,0.5613
2.2197276,31.2135,7.7527,2024.7,4.7435,2029.4,0.0,0.5586
2.2308263,31.2381,7.6951,1999.6,4.7374,2004.4,0.0,0.5558
2.2419804,31.2621,7.638,1974.9,4.7313,1979.6,0.0,0.553
2.2531903,31.2857,7.5813,1950.5,4.7251,1955.2,0.0,0.5503
2.2644562,31.3088,7.525,1926.4,4.7188,1931.1,0.0,0.5475
2.2757785,31.3314,7.4687,1902.5,4.7125,1907.2,0.0,0.5448
2.2871574,31.3535,7.4127,1878.8,4.7061,1883.5,0.0,0.5421
2.2985932,31.3752,7.3571,1855.4,4.6997,1860.1,0.0,0.5394
2.3100862,31.3964,7.3019,1832.4,4.6931,1837.0,0.0,0.5367
2.3216366,31.4172,7.2471,1809.6,4.6865,1814.3,0.0,0.534
2.3332448,31.4375,7.1928,1787.1,4.6799,1791.7,0.0,0.5314
2.344911,31.4574,7.1389,1764.8,4.6732,1769.5,0.0,0.5287
2.3566356,31.477,7.0854,1742.9,4.6664,1747.6,0.0,0.5261
2.3684187,31.4961,7.0323,1721.2,4.6595,1725.9,0.0,0.5235
2.3802608,31.5149,6.9796,1699.8,4.6526,1704.5,0.0,0.5209
2.3921621,31.5332,6.9273,1678.7,4.6456,1683.4,0.0,0.5183
2.404123,31.5513,6.8754,1657.8,4.6386,1662.5,0.0,0.5157
2.4161436,31.569,6.8236,1637.2,4.6315,1641.8,0.0,0.5131
2.4282243,31.5864,6.7722,1616.8,4.6244,1621.4,0.0,0.5106
2.4403654,31.7109,6.7203,1596.4,4.6171,1601.0,0.0,0.5081
2.4525672,31.7274,6.6681,1576.1,4.6099,1580.7,0.0,0.5055
2.4648301,31.7435,6.6163,1556.1,4.6025,1560.7,0.0,0.503
2.4771542,31.7591,6.565,1536.3,4.5951,1540.9,0.0,0.5005
2.48954,31.7742,6.514,1516.8,4.5877,1521.4,0.0,0.498
2.5019877,31.8434,6.463,1497.5,4.5801,1502.0,0.0,0.4955
2.5144976,31.8576,6.4121,1478.3,4.5726,1482.8,0.0,0.4931
2.5270701,31.8714,6.3615,1459.3,4.5649,1463.9,0.0,0.4906
2.5397055,31.8847,6.3114,1440.6,4.5572,1445.2,0.0,0.4882
2.552404,31.8976,6.2616,1422.1,4.5495,1426.7,0.0,0.4858
2.565166,31.91,6.2123,1403.9,4.5417,1408.5,0.0,0.4833
2.5779919,31.9221,6.1634,1385.9,4.5338,1390.5,0.0,0.4809
2.5908818,31.9338,6.1148,1368.2,4.5259,1372.7,0.0,0.4785
2.6038362,31.9451,6.0666,1350.6,4.5179,1355.1,0.0,0.4762
2.6168554,31.9561,6.0189,1333.3,4.5099,1337.8,0.0,0.4738
2.6299397,31.9667,5.9715,1316.3,4.5018,1320.8,0.0,0.4714
2.6430894,31.977,5.9245,1299.4,4.4936,1303.9,0.0,0.4691
2.6563048,31.987,5.8779,1282.8,4.4854,1287.2,0.0,0.4668
2.6695863,31.9966,5.8317,1266.3,4.4772,1270.8,0.0,0.4644
2.6829343,32.006,5.7858,1250.1,4.4689,1254.6,0.0,0.4621
2.6963489,32.0152,5.7403,1234.1,4.4605,1238.6,0.0,0.4598
2.7098307,32.024,5.6952,1218.3,4.4521,1222.8,0.0,0.4575
2.7233798,32.0326,5.6505,1202.8,4.4436,1207.2,0.0,0.4553
2.7369967,32.041,5.6061,1187.4,4.4351,1191.8,0.0,0.453
2.7506817,32.0491,5.5621,1172.2,4.4266,1176.6,0.0,0.4507
2.7644351,32.057,5.5185,1157.2,4.4179,1161.6,0.0,0.4485
2.7782573,32.0647,5.4752,1142.4,4.4093,1146.8,0.0,0.4463
2.7921486,32.0722,5.4323,1127.8,4.4006,1132.2,0.0,0.444
2.8061093,32.0795,5.3897,1113.4,4.3918,1117.8,0.0,0.4418
2.8201399,32.0866,5.3475,1099.2,4.383,1103.6,0.0,0.4396
2.8342406,32.1349,5.3054,1085.1,4.3741,1089.5,0.0,0.4375
2.8484118,32.1419,5.2633,1071.2,4.3652,1075.5,0.0,0.4353
2.8626539,32.1487,5.2215,1057.4,4.3562,1061.7,0.0,0.4331
2.8769671,32.1554,5.1801,1043.8,4.3472,1048.1,0.0,0.431
2.891352,32.162,5.139,1030.3,4.3382,1034.7,0.0,0.4288
2.9058087,32.1684,5.0983,1017.1,4.3291,1021.4,0.0,0.4267
2.9203378,32.1748,5.0579,1004.0,4.3199,1008.3,0.0,0.4246
2.9349394,32.1811,5.0179,991.11,4.3107,995.42,0.0,0.4224
2.9496141,32.1874,4.9781,978.37,4.3015,982.67,0.0,0.4203
2.9643622,32.1937,4.9388,965.8,4.2922,970.1,0.0,0.4182
2.979184,32.2002,4.8997,953.4,4.2829,957.68,0.0,0.4162
2.9940799,32.2068,4.861,941.16,4.2735,945.44,0.0,0.4141
3.0090503,32.2124,4.8201,928.6,4.2641,932.86,0.0,0.412
3.0240956,32.2167,4.7779,915.9,4.2546,920.15,0.0,0.41
3.0392161,32.2206,4.7361,903.37,4.2451,907.61,0.0,0.4079
3.0544122,32.2241,4.6947,891.02,4.2355,895.25,0.0,0.4059
3.0696842,32.2271,4.6537,878.84,4.226,883.07,0.0,0.4039
3.0850326,32.2298,4.6131,866.83,4.2163,871.05,0.0,0.4019
3.1004578,32.2321,4.5729,854.99,4.2067,859.2,0.0,0.3999
3.1159601,32.2341,4.533,843.32,4.1969,847.52,0.0,0.3979
3.1315399,32.2358,4.4935,831.81,4.1872,836.0,0.0,0.3959
3.1471976,32.2372,4.4543,820.46,4.1774,824.64,0.0,0.394
3.1629336,32.2382,4.4155,809.28,4.1676,813.44,0.0,0.392
3.1787482,32.239,4.3771,798.24,4.1577,802.4,0.0,0.39
3.194642,32.2396,4.3391,787.36,4.1478,791.51,0.0,0.3881
3.2106152,32.2398,4.3013,776.64,4.1379,780.78,0.0,0.3862
3.2266683,32.2399,4.264,766.06,4.1279,770.19,0.0,0.3842
3.2428016,32.2397,4.227,755.63,4.1179,759.75,0.0,0.3823
3.2590156,32.2393,4.1903,745.35,4.1078,749.46,0.0,0.3804
3.2753107,32.2386,4.154,735.21,4.0977,739.31,0.0,0.3785
3.2916873,32.2378,4.118,725.21,4.0876,729.3,0.0,0.3767
3.3081457,32.2368,4.0823,715.36,4.0774,719.43,0.0,0.3748
3.3246864,32.2355,4.047,705.64,4.0672,709.7,0.0,0.3729
3.3413099,32.2341,4.0119,696.05,4.057,700.11,0.0,0.3711
3.3580164,32.2325,3.9773,686.6,4.0467,690.65,0.0,0.3692
3.3748065,32.2308,3.9429,677.28,4.0364,681.32,0.0,0.3674
3.3916805,32.2288,3.9088,668.08,4.0261,672.1,0.0,0.3656
3.4086389,32.2268,3.8749,658.99,4.0157,663.01,0.0,0.3637
3.4256821,32.2245,3.8413,650.04,4.0053,654.04,0.0,0.3619
3.4428105,32.2221,3.8081,641.21,3.9949,645.2,0.0,0.3601
3.4600246,32.2196,3.7752,632.5,3.9845,636.48,0.0,0.3583
3.4773247,32.2169,3.7425,623.91,3.974,627.89,0.0,0.3566
3.4947113,32.214,3.7102,615.45,3.9634,619.41,0.0,0.3548
3.5121849,32.2111,3.6782,607.1,3.9529,611.05,0.0,0.353
3.5297458,32.2079,3.6464,598.86,3.9423,602.81,0.0,0.3513
3.5473945,32.2047,3.615,590.75,3.9317,594.68,0.0,0.3495
3.5651315,32.2014,3.5838,582.74,3.9211,586.66,0.0,0.3478
3.5829572,32.1979,3.553,574.85,3.9104,578.76,0.0,0.346
3.6008719,32.1943,3.5224,567.06,3.8997,570.96,0.0,0.3443
3.6188763,32.1906,3.4921,559.39,3.889,563.28,0.0,0.3426
3.6369707,32.1868,3.462,551.82,3.8783,555.7,0.0,0.3409
3.6551555,32.1829,3.4323,544.35,3.8675,548.22,0.0,0.3392
3.6734313,32.1789,3.4028,536.99,3.8567,540.85,0.0,0.3375
3.6917985,32.1748,3.3736,529.73,3.8459,533.58,0.0,0.3358
3.7102575,32.1705,3.3447,522.58,3.835,526.41,0.0,0.3342
3.7288088,32.1662,3.316,515.52,3.8241,519.34,0.0,0.3325
3.7474528,32.1619,3.2876,508.56,3.8132,512.37,0.0,0.3308
3.7661901,32.1574,3.2594,501.69,3.8023,505.5,0.0,0.3292
3.785021,32.1528,3.2315,494.93,3.7914,498.72,0.0,0.3276
3.8039461,32.1482,3.2039,488.25,3.7804,492.03,0.0,0.3259
3.8229659,32.1435,3.1765,481.67,3.7694,485.44,0.0,0.3243
3.8420807,32.1387,3.1493,475.18,3.7584,478.94,0.0,0.3227
3.8612911,32.1338,3.1224,468.78,3.7474,472.52,0.0,0.3211
3.8805975,32.1288,3.0958,462.46,3.7363,466.2,0.0,0.3195
3.9000005,32.1238,3.0694,456.24,3.7253,459.96,0.0,0.3179
3.9195005,32.1187,3.0432,450.1,3.7142,453.81,0.0,0.3163
3.939098,32.1136,3.0173,444.04,3.7031,447.75,0.0,0.3148
3.9587935,32.1084,2.9916,438.07,3.6919,441.76,0.0,0.3132
3.9785875,32.1031,2.9662,432.18,3.6808,435.86,0.0,0.3116
3.9984804,32.0978,2.9409,426.38,3.6696,430.05,0.0,0.3101
4.0184728,32.0924,2.9159,420.65,3.6584,424.31,0.0,0.3085
4.0385652,32.087,2.8912,415.0,3.6472,418.65,0.0,0.307
4.058758,32.0815,2.8666,409.43,3.636,413.07,0.0,0.3055
4.0790518,32.0759,2.8423,403.94,3.6247,407.56,0.0,0.304
4.0994471,32.0703,2.8182,398.52,3.6135,402.13,0.0,0.3024
4.1199443,32.0647,2.7943,393.18,3.6022,396.78,0.0,0.3009
4.140544,32.059,2.7707,387.91,3.5909,391.5,0.0,0.2994
4.1612467,32.0532,2.7472,382.71,3.5796,386.29,0.0,0.2979
4.182053,32.0475,2.724,377.59,3.5683,381.16,0.0,0.2965
4.2029632,32.0416,2.701,372.53,3.557,376.09,0.0,0.295
