E,f1,f2,PE,C+i,Total,K,lambda
2.080733,1.00017,2.898e-05,0.58144,0.39676,0.9782,0.5814,0.5959
2.224304,1.00015,2.4677e-05,0.46314,0.38743,0.85057,0.4631,0.5574
2.377781,1.00013,2.1007e-05,0.36881,0.37944,0.74825,0.3688,0.5214
2.541848,1.00011,1.7878e-05,0.29362,0.37272,0.66634,0.2936,0.4878
2.717235,1.0001,1.5211e-05,0.2337,0.36721,0.60091,0.2337,0.4563
2.904724,1.00009,1.294e-05,0.18597,0.36283,0.5488,0.186,0.4268
3.10515,1.00008,1.1005e-05,0.14795,0.3595,0.50745,0.1479,0.3993
3.319406,1.00007,9.3572e-06,0.11768,0.35714,0.47482,0.1177,0.3735
3.548445,1.00006,7.9549e-06,0.093586,0.35567,0.44926,0.09359,0.3494
3.793288,1.00005,6.7615e-06,0.074412,0.355,0.42941,0.07441,0.3269
4.055024,1.00005,5.7461e-06,0.059156,0.35506,0.41422,0.05916,0.3058
4.334821,1.00004,4.8825e-06,0.047021,0.35575,0.40277,0.04702,0.286
4.633924,1.00004,4.1481e-06,0.03737,0.357,0.39437,0.03737,0.2676
4.953664,1.00003,3.5237e-06,0.029696,0.35872,0.38842,0.0297,0.2503
5.295467,1.00003,2.993e-06,0.023595,0.36084,0.38444,0.02359,0.2341
5.660855,1.00002,2.5419e-06,0.018745,0.36328,0.38202,0.01875,0.219
6.051453,1.00002,2.1586e-06,0.014891,0.36596,0.38085,0.01489,0.2049
6.469004,1.00002,1.833e-06,0.011829,0.36882,0.38065,0.01183,0.1917
6.915365,1.00002,1.5564e-06,0.0093954,0.3718,0.3812,0.009395,0.1793
7.392525,1.00001,1.3214e-06,0.0074622,0.37482,0.38228,0.007462,0.1677
7.902609,1.00001,1.1219e-06,0.0059266,0.37783,0.38376,0.005927,0.1569
8.44789,1.00001,9.5248e-07,0.0047068,0.38077,0.38548,0.004707,0.1468
9.030794,1.00001,8.0863e-07,0.003738,0.3836,0.38734,0.003738,0.1373
9.653919,1.00001,6.8651e-07,0.0029687,0.38627,0.38924,0.002969,0.1284
10.32004,1.00001,5.8283e-07,0.0023577,0.38874,0.3911,0.002358,0.1201
11.03212,1.00001,4.9482e-07,0.0018724,0.39097,0.39284,0.001872,0.1124
11.79334,1.00001,4.2012e-07,0.0014872,0.39293,0.39442,0.001487,0.1051
12.60708,1.00001,3.5671e-07,0.0011812,0.39459,0.39577,0.001181,0.09834
13.47697,1.0,3.0289e-07,0.00093824,0.39593,0.39687,0.0009382,0.092
