E,f1,f2,PE,C+i,Total,K,lambda
2.0035635,49.3949,29.453,3465.7,10.302,3476.0,0.0,0.6188
2.0135813,49.5668,29.236,3423.1,10.298,3433.4,0.0,0.6157
2.0236492,49.7109,29.021,3381.0,10.294,3391.2,0.0,0.6127
2.0337675,49.8232,28.807,3339.4,10.29,3349.7,0.0,0.6096
2.0439363,49.8973,28.595,3298.3,10.285,3308.6,0.0,0.6066
2.054156,49.9234,28.385,3257.7,10.281,3268.0,0.0,0.6036
2.0644268,49.8846,28.176,3217.7,10.276,3228.0,0.0,0.6006
2.0747489,49.7497,27.969,3178.1,10.271,3188.4,0.0,0.5976
2.0851227,49.45,27.763,3139.1,10.266,3149.4,0.0,0.5946
2.0955483,48.7803,27.559,3100.5,10.261,3110.8,0.0,0.5917
2.1052605,46.5603,27.372,3065.2,10.256,3075.5,0.0,0.5889
2.106026,45.9823,27.357,3062.4,10.256,3072.7,0.0,0.5887
2.1099394,46.61,32.023,3578.1,10.254,3588.4,0.0,0.5876
2.1165562,48.8117,31.865,3549.4,10.25,3559.6,0.0,0.5858
2.1271389,50.2415,31.616,3504.1,10.245,3514.4,0.0,0.5829
2.1377746,51.131,31.369,3459.4,10.239,3469.7,0.0,0.58
2.1484635,51.8076,31.124,3415.3,10.233,3425.5,0.0,0.5771
2.1592058,52.3662,30.88,3371.7,10.227,3382.0,0.0,0.5742
2.1700018,52.8464,30.634,3328.2,10.221,3338.5,0.0,0.5714
2.1808519,53.2687,30.39,3285.2,10.214,3295.5,0.0,0.5685
2.1917561,53.6453,30.147,3242.8,10.208,3253.0,0.0,0.5657
2.2027149,53.9832,29.907,3200.9,10.201,3211.1,0.0,0.5629
2.2137285,54.2854,29.672,3160.0,10.194,3170.2,0.0,0.5601
2.2247971,54.5633,29.456,3121.4,10.187,3131.6,0.0,0.5573
2.2359211,54.8228,29.241,3083.2,10.18,3093.4,0.0,0.5545
2.2471007,55.0631,29.027,3045.4,10.173,3055.6,0.0,0.5518
2.2583362,55.2843,28.816,3008.2,10.165,3018.4,0.0,0.549
2.2696279,55.4865,28.607,2971.6,10.158,2981.7,0.0,0.5463
2.280976,55.6691,28.401,2935.4,10.15,2945.6,0.0,0.5436
2.2923809,55.8303,28.197,2899.9,10.142,2910.0,0.0,0.5409
2.3038428,55.9673,27.995,2864.8,10.134,2874.9,0.0,0.5382
2.315362,56.0743,27.796,2830.3,10.126,2840.4,0.0,0.5355
2.3269388,56.1405,27.599,2796.2,10.117,2806.3,0.0,0.5328
2.3385735,56.1421,27.404,2762.7,10.109,2772.8,0.0,0.5302
2.3502664,56.0115,27.211,2729.6,10.1,2739.7,0.0,0.5275
2.3620177,55.3232,27.02,2696.9,10.091,2707.0,0.0,0.5249
2.3625852,55.2231,27.011,2695.4,10.091,2705.5,0.0,0.5248
2.3682149,55.2961,28.804,2867.5,10.087,2877.6,0.0,0.5235
2.3738278,56.0536,28.704,2850.7,10.082,2860.8,0.0,0.5223
2.385697,56.776,28.494,2815.8,10.073,2825.9,0.0,0.5197
2.3976254,57.236,28.286,2781.3,10.064,2791.4,0.0,0.5171
2.4096136,57.5983,28.08,2747.3,10.055,2757.4,0.0,0.5145
2.4216616,57.9062,27.876,2713.8,10.045,2723.9,0.0,0.512
2.4337699,58.1776,27.674,2680.8,10.035,2690.8,0.0,0.5094
2.4459388,58.4214,27.474,2648.1,10.026,2658.2,0.0,0.5069
2.4581685,58.6426,27.276,2615.9,10.016,2626.0,0.0,0.5044
2.4704593,58.8438,27.079,2584.2,10.006,2594.2,0.0,0.5019
2.4828116,59.0255,26.886,2552.9,9.9954,2562.9,0.0,0.4994
2.4952257,59.1919,26.704,2523.1,9.985,2533.1,0.0,0.4969
2.5077018,59.3466,26.526,2493.8,9.9745,2503.8,0.0,0.4944
2.5202403,59.4879,26.349,2464.9,9.9638,2474.8,0.0,0.492
2.5328415,59.614,26.175,2436.4,9.953,2446.3,0.0,0.4895
2.5455057,59.7214,26.002,2408.3,9.9421,2418.2,0.0,0.4871
2.5582333,59.8036,25.832,2380.6,9.931,2390.5,0.0,0.4846
2.5710244,59.8462,25.663,2353.3,9.9198,2363.2,0.0,0.4822
2.5838796,59.8088,25.496,2326.3,9.9085,2336.2,0.0,0.4798
2.5957502,59.5217,25.344,2301.9,9.8979,2311.8,0.0,0.4776
2.596799,59.4512,25.331,2299.7,9.897,2309.6,0.0,0.4775
2.6060497,59.6441,26.371,2385.6,9.8887,2395.5,0.0,0.4758
2.6097829,59.8917,26.323,2377.9,9.8854,2387.8,0.0,0.4751
2.6228319,60.3839,26.156,2351.1,9.8736,2361.0,0.0,0.4727
2.635946,60.7114,25.991,2324.6,9.8617,2334.5,0.0,0.4704
2.6491257,60.9801,25.828,2298.5,9.8497,2308.4,0.0,0.468
2.6623714,61.2172,25.666,2272.7,9.8376,2282.6,0.0,0.4657
2.6756832,61.4339,25.505,2247.2,9.8253,2257.1,0.0,0.4634
2.6890617,61.6361,25.345,2222.1,9.8129,2231.9,0.0,0.4611
2.702507,61.8272,25.186,2197.2,9.8003,2207.0,0.0,0.4588
2.7160195,62.0092,25.029,2172.6,9.7877,2182.4,0.0,0.4565
2.7295996,62.1837,24.873,2148.3,9.7749,2158.1,0.0,0.4542
2.7432476,62.3521,24.718,2124.3,9.7619,2134.1,0.0,0.452
2.7569638,62.5148,24.563,2100.4,9.7489,2110.2,0.0,0.4497
2.7707486,62.6724,24.408,2076.8,9.7357,2086.6,0.0,0.4475
2.7846024,62.8253,24.254,2053.5,9.7224,2063.2,0.0,0.4452
2.7985254,62.9741,24.102,2030.4,9.7089,2040.1,0.0,0.443
2.812518,63.1191,23.951,2007.6,9.6954,2017.3,0.0,0.4408
2.8265806,63.2608,23.8,1985.1,9.6817,1994.8,0.0,0.4386
2.8407135,63.3993,23.651,1962.8,9.6679,1972.5,0.0,0.4365
2.8549171,63.5351,23.503,1940.8,9.6539,1950.5,0.0,0.4343
2.8691917,63.6683,23.355,1919.1,9.6399,1928.7,0.0,0.4321
2.8835376,63.7992,23.209,1897.5,9.6257,1907.2,0.0,0.43
2.8979553,63.9282,23.063,1876.3,9.6114,1885.9,0.0,0.4278
2.9124451,64.0556,22.919,1855.2,9.597,1864.8,0.0,0.4257
2.9270073,64.1816,22.775,1834.4,9.5824,1844.0,0.0,0.4236
2.9416424,64.307,22.632,1813.9,9.5678,1823.4,0.0,0.4215
2.9563506,64.4323,22.49,1793.5,9.553,1803.1,0.0,0.4194
2.9711323,64.5588,22.349,1773.4,9.5381,1782.9,0.0,0.4173
2.985988,64.6888,22.209,1753.5,9.5231,1763.0,0.0,0.4152
3.0009179,64.8273,22.068,1733.7,9.508,1743.2,0.0,0.4132
3.0159225,64.9674,21.91,1712.7,9.4927,1722.2,0.0,0.4111
3.0310021,65.0948,21.753,1692.0,9.4774,1701.4,0.0,0.4091
3.0461571,65.2135,21.597,1671.5,9.4619,1680.9,0.0,0.407
3.0613879,65.3258,21.442,1651.2,9.4463,1660.7,0.0,0.405
3.0766949,65.433,21.288,1631.2,9.4306,1640.6,0.0,0.403
3.0920783,65.5355,21.133,1611.3,9.4148,1620.7,0.0,0.401
3.1075387,65.6339,20.98,1591.7,9.3989,1601.1,0.0,0.399
3.1230764,65.7287,20.828,1572.3,9.3829,1581.7,0.0,0.397
3.1386918,65.8203,20.678,1553.2,9.3668,1562.5,0.0,0.395
3.1543853,65.909,20.528,1534.3,9.3505,1543.6,0.0,0.3931
3.1701572,65.9951,20.38,1515.6,9.3342,1524.9,0.0,0.3911
3.186008,66.0786,20.232,1497.2,9.3177,1506.5,0.0,0.3892
3.201938,66.1599,20.086,1478.9,9.3011,1488.2,0.0,0.3872
3.2179477,66.239,19.941,1461.0,9.2845,1470.3,0.0,0.3853
3.2340374,66.3161,19.798,1443.2,9.2677,1452.5,0.0,0.3834
3.2502076,66.3913,19.655,1425.7,9.2508,1434.9,0.0,0.3815
3.2664587,66.4647,19.513,1408.4,9.2338,1417.6,0.0,0.3796
3.282791,66.5365,19.373,1391.3,9.2167,1400.5,0.0,0.3777
3.2992049,66.6066,19.234,1374.4,9.1996,1383.6,0.0,0.3758
