E,f1,f2,PE,C+i,Total,K,lambda
2.0035635,52.9608,27.169,3459.7,9.5441,3469.3,0.0,0.6188
2.0135813,53.157,26.97,3417.3,9.5397,3426.8,0.0,0.6157
2.0236492,53.3351,26.78,3376.4,9.5351,3385.9,0.0,0.6127
2.0337675,53.5019,26.597,3336.7,9.5304,3346.2,0.0,0.6096
2.0439363,53.6573,26.417,3297.6,9.5255,3307.1,0.0,0.6066
2.054156,53.8004,26.24,3259.2,9.5205,3268.7,0.0,0.6036
2.0644268,53.93,26.065,3221.3,9.5153,3230.8,0.0,0.6006
2.0747489,54.0439,25.892,3184.0,9.51,3193.5,0.0,0.5976
2.0851227,54.138,25.721,3147.3,9.5046,3156.8,0.0,0.5946
2.0955483,54.2047,25.552,3111.1,9.499,3120.6,0.0,0.5917
2.106026,54.2263,25.386,3075.4,9.4933,3084.9,0.0,0.5887
2.1165562,54.1485,25.221,3040.2,9.4874,3049.7,0.0,0.5858
2.1244052,53.8523,25.1,3014.5,9.4829,3024.0,0.0,0.5836
2.1271389,53.4378,25.058,3005.6,9.4813,3015.1,0.0,0.5829
2.1321947,53.9589,26.163,3130.7,9.4784,3140.2,0.0,0.5815
2.1377746,54.3759,26.076,3112.2,9.4752,3121.7,0.0,0.58
2.1484635,54.8132,25.912,3077.2,9.4689,3086.6,0.0,0.5771
2.1592058,55.1226,25.749,3042.6,9.4624,3052.1,0.0,0.5742
2.1700018,55.3804,25.588,3008.6,9.4558,3018.0,0.0,0.5714
2.1808519,55.6091,25.429,2974.9,9.4491,2984.4,0.0,0.5685
2.1917561,55.8188,25.271,2941.7,9.4422,2951.2,0.0,0.5657
2.2027149,56.0145,25.114,2909.0,9.4352,2918.4,0.0,0.5629
2.2137285,56.1996,24.959,2876.6,9.428,2886.0,0.0,0.5601
2.2247971,56.3761,24.805,2844.7,9.4207,2854.1,0.0,0.5573
2.2359211,56.5451,24.653,2813.2,9.4133,2822.6,0.0,0.5545
2.2471007,56.7088,24.504,2782.2,9.4057,2791.6,0.0,0.5518
2.2583362,56.8683,24.356,2751.6,9.398,2761.0,0.0,0.549
2.2696279,57.0237,24.205,2721.0,9.3901,2730.4,0.0,0.5463
2.280976,57.1737,24.053,2690.4,9.3821,2699.8,0.0,0.5436
2.2923809,57.3191,23.901,2660.2,9.374,2669.6,0.0,0.5409
2.3038428,57.4601,23.751,2630.4,9.3657,2639.7,0.0,0.5382
2.315362,57.5972,23.602,2600.8,9.3573,2610.2,0.0,0.5355
2.3269388,57.7308,23.454,2571.7,9.3488,2581.0,0.0,0.5328
2.3385735,57.861,23.308,2542.9,9.3401,2552.2,0.0,0.5302
2.3502664,57.9882,23.162,2514.4,9.3313,2523.7,0.0,0.5275
2.3620177,58.1124,23.017,2486.2,9.3224,2495.6,0.0,0.5249
2.3738278,58.234,22.873,2458.4,9.3133,2467.7,0.0,0.5223
2.385697,58.353,22.73,2430.9,9.3041,2440.2,0.0,0.5197
2.3976254,58.4696,22.589,2403.7,9.2948,2413.0,0.0,0.5171
2.4096136,58.5839,22.448,2376.9,9.2853,2386.1,0.0,0.5145
2.4216616,58.696,22.308,2350.3,9.2757,2359.6,0.0,0.512
2.4337699,58.8061,22.169,2324.0,9.266,2333.3,0.0,0.5094
2.4459388,58.9142,22.03,2298.0,9.2561,2307.3,0.0,0.5069
2.4581685,59.0205,21.893,2272.3,9.2461,2281.6,0.0,0.5044
2.4704593,59.1251,21.757,2246.9,9.236,2256.2,0.0,0.5019
2.4828116,59.2282,21.621,2221.8,9.2258,2231.0,0.0,0.4994
2.4952257,59.3298,21.486,2197.0,9.2154,2206.2,0.0,0.4969
2.5077018,59.4298,21.35,2172.2,9.2049,2181.4,0.0,0.4944
2.5202403,59.5276,21.214,2147.6,9.1942,2156.8,0.0,0.492
2.5328415,59.6233,21.078,2123.3,9.1835,2132.5,0.0,0.4895
2.5455057,59.7171,20.944,2099.2,9.1726,2108.4,0.0,0.4871
2.5582333,59.8091,20.81,2075.4,9.1616,2084.6,0.0,0.4846
2.5710244,59.8993,20.677,2051.9,9.1505,2061.1,0.0,0.4822
2.5838796,59.9879,20.545,2028.7,9.1392,2037.8,0.0,0.4798
2.596799,60.0748,20.414,2005.7,9.1278,2014.8,0.0,0.4775
2.6097829,60.1603,20.283,1982.9,9.1163,1992.0,0.0,0.4751
2.6228319,60.2443,20.153,1960.4,9.1047,1969.5,0.0,0.4727
2.635946,60.3268,20.024,1938.2,9.093,1947.3,0.0,0.4704
2.6491257,60.4081,19.896,1916.2,9.0811,1925.3,0.0,0.468
2.6623714,60.488,19.769,1894.5,9.0691,1903.5,0.0,0.4657
2.6756832,60.5667,19.642,1873.0,9.057,1882.0,0.0,0.4634
2.6890617,60.6442,19.516,1851.7,9.0448,1860.8,0.0,0.4611
2.702507,60.7206,19.391,1830.7,9.0324,1839.7,0.0,0.4588
2.7160195,60.9983,19.263,1809.6,9.02,1818.6,0.0,0.4565
2.7295996,61.0715,19.136,1788.7,9.0074,1797.7,0.0,0.4542
2.7432476,61.1433,19.01,1768.1,8.9947,1777.1,0.0,0.452
2.7569638,61.2137,18.885,1747.7,8.9819,1756.7,0.0,0.4497
2.7707486,61.283,18.76,1727.5,8.969,1736.5,0.0,0.4475
2.7846024,61.4922,18.636,1707.5,8.9559,1716.4,0.0,0.4452
2.7985254,61.5586,18.51,1687.5,8.9428,1696.5,0.0,0.443
2.812518,61.6236,18.385,1667.8,8.9295,1676.7,0.0,0.4408
2.8265806,61.6872,18.261,1648.3,8.9161,1657.2,0.0,0.4386
2.8407135,61.7495,18.138,1629.1,8.9026,1638.0,0.0,0.4365
2.8549171,61.8106,18.016,1610.1,8.889,1619.0,0.0,0.4343
2.8691917,61.8707,17.895,1591.3,8.8753,1600.2,0.0,0.4321
2.8835376,61.9297,17.774,1572.7,8.8615,1581.6,0.0,0.43
2.8979553,61.9878,17.655,1554.4,8.8476,1563.2,0.0,0.4278
2.9124451,62.0452,17.537,1536.3,8.8335,1545.1,0.0,0.4257
2.9270073,62.102,17.419,1518.4,8.8194,1527.2,0.0,0.4236
2.9416424,62.1583,17.302,1500.7,8.8051,1509.5,0.0,0.4215
2.9563506,62.2144,17.187,1483.3,8.7908,1492.1,0.0,0.4194
2.9711323,62.2708,17.072,1466.0,8.7763,1474.8,0.0,0.4173
2.985988,62.3279,16.958,1449.0,8.7618,1457.8,0.0,0.4152
3.0009179,62.3911,16.844,1432.1,8.7471,1440.8,0.0,0.4132
3.0159225,62.4781,16.713,1413.9,8.7323,1422.6,0.0,0.4111
3.0310021,62.5382,16.583,1395.9,8.7174,1404.6,0.0,0.4091
3.0461571,62.5903,16.452,1378.0,8.7024,1386.7,0.0,0.407
3.0613879,62.638,16.322,1360.3,8.6874,1369.0,0.0,0.405
3.0766949,62.6828,16.194,1342.9,8.6722,1351.6,0.0,0.403
3.0920783,62.7251,16.067,1325.8,8.6569,1334.4,0.0,0.401
3.1075387,62.7655,15.941,1308.8,8.6415,1317.5,0.0,0.399
3.1230764,62.804,15.816,1292.1,8.626,1300.7,0.0,0.397
3.1386918,62.8409,15.693,1275.6,8.6105,1284.3,0.0,0.395
3.1543853,62.8762,15.57,1259.4,8.5948,1268.0,0.0,0.3931
3.1701572,62.9101,15.449,1243.4,8.579,1251.9,0.0,0.3911
3.186008,62.9427,15.329,1227.6,8.5631,1236.1,0.0,0.3892
3.201938,62.974,15.21,1212.0,8.5472,1220.5,0.0,0.3872
3.2179477,63.0041,15.092,1196.6,8.5311,1205.1,0.0,0.3853
3.2340374,63.033,14.975,1181.4,8.515,1189.9,0.0,0.3834
3.2502076,63.0608,14.859,1166.4,8.4987,1174.9,0.0,0.3815
3.2664587,63.0876,14.744,1151.6,8.4824,1160.1,0.0,0.3796
3.282791,63.1133,14.63,1137.1,8.466,1145.5,0.0,0.3777
3.2992049,63.1381,14.518,1122.7,8.4495,1131.1,0.0,0.3758
3.3157009,63.1619,14.406,1108.5,8.4329,1116.9,0.0,0.3739
3.3322794,63.1848,14.295,1094.5,8.4162,1102.9,0.0,0.3721
3.3489408,63.2068,14.185,1080.7,8.3994,1089.1,0.0,0.3702
3.3656856,63.228,14.077,1067.1,8.3825,1075.5,0.0,0.3684
3.382514,63.2485,13.969,1053.7,8.3656,1062.0,0.0,0.3665
3.3994265,63.2681,13.862,1040.4,8.3486,1048.8,0.0,0.3647
3.4164237,63.287,13.757,1027.3,8.3314,1035.7,0.0,0.3629
3.4335058,63.3053,13.652,1014.5,8.3142,1022.8,0.0,0.3611
3.4506733,63.3228,13.548,1001.7,8.2969,1010.0,0.0,0.3593
3.4679267,63.3398,13.445,989.17,8.2796,997.45,0.0,0.3575
3.4852663,63.459,13.342,976.74,8.2621,985.0,0.0,0.3557
3.5026927,63.4754,13.237,964.23,8.2446,972.48,0.0,0.354
3.5202061,63.4908,13.133,951.9,8.227,960.12,0.0,0.3522
3.5378072,63.5051,13.03,939.73,8.2093,947.94,0.0,0.3505
3.5554962,63.5186,12.928,927.72,8.1915,935.92,0.0,0.3487
3.5732737,63.5312,12.827,915.88,8.1737,924.06,0.0,0.347
3.59114,63.543,12.727,904.2,8.1557,912.35,0.0,0.3453
