E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,36.0335,8.3477,913.51,10.988,924.49,0.0,0.6198
2.0104868,34.2637,8.3014,903.92,10.985,914.91,0.0,0.6167
2.0205393,31.8011,8.2555,894.45,10.981,905.43,0.0,0.6136
2.030642,27.6452,8.2099,885.09,10.977,896.07,0.0,0.6106
2.0399144,10.7769,8.1686,876.63,10.973,887.6,0.0,0.6078
2.0407952,9.32243,25.629,2749.2,10.973,2760.2,0.0,0.6075
2.0408856,10.4675,25.627,2748.9,10.973,2759.9,0.0,0.6075
2.0509992,27.3377,25.448,2716.2,10.969,2727.2,0.0,0.6045
2.0612542,30.6781,25.268,2683.6,10.964,2694.6,0.0,0.6015
2.0715604,32.3347,25.09,2651.4,10.959,2662.4,0.0,0.5985
2.0819182,33.1343,24.913,2619.6,10.955,2630.6,0.0,0.5955
2.0923278,33.2153,24.737,2588.2,10.95,2599.1,0.0,0.5926
2.1027895,32.2773,24.563,2557.2,10.944,2568.1,0.0,0.5896
2.1133034,27.5966,24.39,2526.5,10.939,2537.5,0.0,0.5867
2.1153256,23.0704,24.357,2520.7,10.938,2531.6,0.0,0.5861
2.1168746,23.0261,35.877,3710.2,10.937,3721.1,0.0,0.5857
2.1238699,32.1225,35.705,3680.3,10.934,3691.3,0.0,0.5838
2.1344893,36.1133,35.448,3635.6,10.928,3646.6,0.0,0.5809
2.1451617,38.5261,35.193,3591.5,10.922,3602.4,0.0,0.578
2.1558875,40.3384,34.939,3547.9,10.916,3558.8,0.0,0.5751
2.166667,41.8173,34.688,3504.8,10.91,3515.7,0.0,0.5722
2.1775003,43.0778,34.438,3462.3,10.904,3473.2,0.0,0.5694
2.1883878,44.1813,34.191,3420.3,10.897,3431.2,0.0,0.5666
2.1993297,45.1648,33.945,3378.8,10.891,3389.7,0.0,0.5637
2.2103264,46.0525,33.701,3337.9,10.884,3348.8,0.0,0.5609
2.221378,46.8616,33.459,3297.4,10.877,3308.3,0.0,0.5581
2.2324849,47.6044,33.219,3257.5,10.87,3268.3,0.0,0.5554
2.2436473,48.2902,32.981,3218.0,10.862,3228.9,0.0,0.5526
2.2548656,48.9263,32.744,3179.0,10.855,3189.9,0.0,0.5499
2.2661399,49.5183,32.51,3140.6,10.847,3151.4,0.0,0.5471
2.2774706,50.071,32.277,3102.5,10.84,3113.4,0.0,0.5444
2.2888579,50.588,32.046,3065.0,10.832,3075.8,0.0,0.5417
2.3003022,51.0723,31.816,3027.9,10.824,3038.7,0.0,0.539
2.3118037,51.5265,31.588,2991.3,10.815,3002.1,0.0,0.5363
2.3233628,51.9525,31.361,2955.0,10.807,2965.8,0.0,0.5336
2.3349796,52.352,31.136,2919.2,10.798,2930.0,0.0,0.531
2.3466545,52.7262,30.913,2883.8,10.79,2894.6,0.0,0.5283
2.3583878,53.0763,30.691,2848.9,10.781,2859.7,0.0,0.5257
2.3701797,53.4029,30.471,2814.4,10.772,2825.2,0.0,0.5231
2.3820306,53.7065,30.252,2780.3,10.762,2791.1,0.0,0.5205
2.3939407,53.987,30.036,2746.7,10.753,2757.4,0.0,0.5179
2.4059104,54.2442,29.821,2713.4,10.744,2724.2,0.0,0.5153
2.41794,54.4774,29.607,2680.6,10.734,2691.3,0.0,0.5128
2.4300297,54.6854,29.395,2648.2,10.724,2658.9,0.0,0.5102
2.4421798,54.8659,29.185,2616.1,10.714,2626.8,0.0,0.5077
2.4543907,55.016,28.976,2584.5,10.704,2595.2,0.0,0.5052
2.4666627,55.1307,28.769,2553.3,10.694,2564.0,0.0,0.5026
2.478996,55.2025,28.564,2522.4,10.683,2533.1,0.0,0.5001
2.491391,55.2192,28.36,2491.9,10.673,2502.6,0.0,0.4977
2.5038479,55.159,28.157,2461.8,10.662,2472.5,0.0,0.4952
2.5163672,54.979,27.956,2432.1,10.651,2442.8,0.0,0.4927
2.528949,54.5741,27.757,2402.8,10.64,2413.4,0.0,0.4903
2.5415938,53.5405,27.559,2373.8,10.629,2384.4,0.0,0.4878
2.5483176,51.6624,27.455,2358.5,10.623,2369.2,0.0,0.4865
2.5530823,51.6985,32.14,2755.9,10.619,2766.5,0.0,0.4856
2.5543017,52.3543,32.117,2752.6,10.618,2763.2,0.0,0.4854
2.5670732,54.9291,31.877,2718.4,10.606,2729.0,0.0,0.483
2.5799086,56.0628,31.639,2684.7,10.595,2695.3,0.0,0.4806
2.5928082,56.8583,31.402,2651.4,10.583,2661.9,0.0,0.4782
2.6057722,57.4933,31.168,2618.5,10.571,2629.0,0.0,0.4758
2.6188011,58.0317,30.935,2586.0,10.559,2596.5,0.0,0.4734
2.6318951,58.5039,30.704,2553.9,10.547,2564.5,0.0,0.4711
2.6450545,58.9267,30.475,2522.3,10.534,2532.8,0.0,0.4687
2.6582798,59.3094,30.244,2490.7,10.522,2501.2,0.0,0.4664
2.6715712,59.6553,30.01,2459.2,10.509,2469.7,0.0,0.4641
2.6849291,59.9687,29.791,2429.1,10.496,2439.6,0.0,0.4618
2.6983537,60.2631,29.582,2400.0,10.484,2410.5,0.0,0.4595
2.7118455,60.5404,29.376,2371.4,10.47,2381.9,0.0,0.4572
2.7254047,60.8014,29.172,2343.3,10.457,2353.7,0.0,0.4549
2.7390317,61.0473,28.972,2315.6,10.444,2326.0,0.0,0.4527
2.7527269,61.2786,28.773,2288.2,10.431,2298.6,0.0,0.4504
2.7664905,61.4945,28.571,2260.9,10.417,2271.3,0.0,0.4482
2.780323,61.6946,28.372,2234.0,10.403,2244.4,0.0,0.4459
2.7942246,61.8786,28.175,2207.4,10.389,2217.8,0.0,0.4437
2.8081957,62.0453,27.98,2181.2,10.375,2191.6,0.0,0.4415
2.8222367,62.1927,27.787,2155.4,10.361,2165.7,0.0,0.4393
2.8363479,62.3171,27.595,2129.9,10.347,2140.2,0.0,0.4371
2.8505296,62.4121,27.406,2104.7,10.333,2115.1,0.0,0.435
2.8647823,62.465,27.218,2079.9,10.318,2090.2,0.0,0.4328
2.8791062,62.4469,27.032,2055.4,10.303,2065.7,0.0,0.4306
2.8935017,62.267,26.847,2031.2,10.289,2041.5,0.0,0.4285
2.9045696,61.6647,26.706,2012.9,10.277,2023.1,0.0,0.4269
2.9079692,60.6972,26.663,2007.3,10.274,2017.5,0.0,0.4264
2.9128303,61.7623,28.444,2137.7,10.269,2148.0,0.0,0.4256
2.9225091,62.6103,28.302,2120.0,10.259,2130.3,0.0,0.4242
2.9371216,63.2269,28.091,2093.7,10.243,2104.0,0.0,0.4221
2.9518072,63.6512,27.881,2067.8,10.228,2078.0,0.0,0.42
2.9665662,63.9929,27.674,2042.2,10.213,2052.4,0.0,0.4179
2.9813991,64.2848,27.468,2016.9,10.197,2027.1,0.0,0.4159
2.9963061,64.5374,27.264,1991.9,10.181,2002.1,0.0,0.4138
3.0112876,64.7643,27.057,1967.0,10.166,1977.2,0.0,0.4117
3.026344,64.973,26.853,1942.5,10.15,1952.6,0.0,0.4097
3.0414758,65.1638,26.653,1918.4,10.134,1928.5,0.0,0.4076
3.0566831,65.3382,26.455,1894.7,10.117,1904.8,0.0,0.4056
3.0719666,65.4971,26.261,1871.5,10.101,1881.6,0.0,0.4036
3.0873264,65.6398,26.07,1848.6,10.085,1858.6,0.0,0.4016
3.102763,65.7637,25.88,1826.0,10.068,1836.1,0.0,0.3996
3.1182768,65.8635,25.692,1803.7,10.051,1813.8,0.0,0.3976
3.1338682,65.928,25.506,1781.7,10.035,1791.8,0.0,0.3956
3.1495376,65.9274,25.321,1760.0,10.018,1770.1,0.0,0.3937
3.1652853,65.7257,25.138,1738.6,10.001,1748.6,0.0,0.3917
3.1671623,65.6566,25.117,1736.1,9.9987,1746.1,0.0,0.3915
3.1802379,65.7879,26.078,1795.1,9.9846,1805.1,0.0,0.3899
3.1811117,65.8414,26.068,1793.9,9.9836,1803.9,0.0,0.3898
3.1970172,66.4097,25.885,1772.5,9.9664,1782.4,0.0,0.3878
3.2130023,66.7523,25.703,1751.3,9.949,1761.2,0.0,0.3859
3.2290673,67.027,25.523,1730.4,9.9315,1740.3,0.0,0.384
