E,f1,f2,PE,C+i,Total,K,lambda
2.080733,11.2505,1.5228,1339.6,1.7269,1341.3,1262.0,0.5959
2.224304,11.3511,1.3668,1124.8,1.6851,1126.5,1060.0,0.5574
2.377781,11.3777,1.2171,936.91,1.64,938.55,883.3,0.5214
2.541848,11.3894,1.0838,780.44,1.592,782.03,735.7,0.4878
2.717235,11.3918,0.96513,650.13,1.5416,651.67,612.8,0.4563
2.904724,11.388,0.85948,541.6,1.4891,543.09,510.5,0.4268
3.10515,11.3852,0.76236,449.39,1.4351,450.83,423.6,0.3993
3.319406,11.3721,0.6737,371.49,1.3799,372.87,350.4,0.3735
3.548445,11.3556,0.59538,307.11,1.3238,308.43,289.8,0.3494
3.793288,11.3373,0.52617,253.9,1.2674,255.17,239.7,0.3269
4.055024,11.3182,0.46503,209.91,1.211,211.12,198.3,0.3058
4.334821,11.2991,0.411,173.55,1.1548,174.7,164.0,0.286
4.633924,11.2804,0.36326,143.49,1.0993,144.59,135.6,0.2676
4.953664,11.2619,0.31883,117.81,1.0446,118.85,111.3,0.2503
5.295467,11.243,0.27975,96.698,0.99105,97.689,91.38,0.2341
5.660855,11.2245,0.24548,79.372,0.93888,80.311,75.0,0.219
6.051453,11.2068,0.2154,65.153,0.88826,66.041,61.55,0.2049
6.469004,11.1899,0.18902,53.482,0.83936,54.321,50.52,0.1917
6.915365,11.174,0.16587,43.902,0.79232,44.694,41.46,0.1793
7.392525,11.1591,0.14555,36.039,0.74724,36.786,34.03,0.1677
7.902609,11.1453,0.12773,29.585,0.7042,30.289,27.93,0.1569
8.44789,11.1325,0.11209,24.287,0.66327,24.95,22.92,0.1468
9.030794,11.1217,0.098173,19.898,0.62448,20.522,18.77,0.1373
9.653919,11.1112,0.085365,16.185,0.58783,16.773,15.27,0.1284
10.32004,11.1009,0.074228,13.165,0.55333,13.718,12.42,0.1201
11.03212,11.0913,0.064546,10.709,0.52095,11.23,10.11,0.1124
11.79334,11.0825,0.056127,8.7112,0.49065,9.2018,8.22,0.1051
12.60708,11.0744,0.048806,7.0861,0.46237,7.5485,6.686,0.09834
13.47697,11.0671,0.042441,5.7642,0.43606,6.2003,5.439,0.092
14.40688,11.0604,0.036907,4.689,0.41165,5.1006,4.424,0.08606
15.40095,11.0543,0.032094,3.8143,0.38904,4.2033,3.599,0.0805
16.46362,11.0487,0.027909,3.1029,0.36816,3.4711,2.927,0.07531
17.59961,11.0438,0.02427,2.5241,0.34891,2.873,2.381,0.07045
18.81398,11.0393,0.021106,2.0533,0.33119,2.3845,1.937,0.0659
20.11215,11.0352,0.018354,1.6704,0.31493,1.9853,1.576,0.06165
21.49988,11.0315,0.015961,1.3589,0.30001,1.6589,1.282,0.05767
22.98338,11.0283,0.013875,1.105,0.28634,1.3913,1.042,0.05395
24.56923,11.0253,0.012014,0.89501,0.27384,1.1688,0.8438,0.05046
26.2645,11.0226,0.010402,0.72491,0.2624,0.98731,0.6832,0.04721
28.07676,11.0202,0.00898,0.58543,0.25194,0.83737,0.5515,0.04416
30.01405,11.0181,0.0077433,0.47222,0.24237,0.71459,0.4447,0.04131
32.08502,11.0161,0.0066761,0.38086,0.23361,0.61447,0.3586,0.03864
34.29889,11.0143,0.005756,0.30717,0.22559,0.53276,0.2892,0.03615
36.66551,11.0128,0.0049627,0.24775,0.21823,0.46598,0.2332,0.03381
39.19543,11.0114,0.0042788,0.19982,0.21147,0.41129,0.1881,0.03163
41.89992,11.0101,0.0036891,0.16116,0.20523,0.36639,0.1517,0.02959
44.79101,11.009,0.0031807,0.12998,0.19946,0.32944,0.1223,0.02768
47.88159,11.008,0.0027424,0.10484,0.1941,0.29894,0.09865,0.02589
51.18542,11.0071,0.0023645,0.084554,0.18912,0.27367,0.07955,0.02422
54.71721,11.0063,0.0020387,0.068197,0.18445,0.25265,0.06416,0.02266
58.4927,11.0056,0.0017577,0.055004,0.18006,0.23506,0.05174,0.0212
62.5287,11.0049,0.0015155,0.044364,0.17591,0.22027,0.04172,0.01983
66.84318,11.0044,0.0013067,0.035782,0.17196,0.20774,0.03365,0.01855
71.45536,11.0039,0.0011267,0.02886,0.1682,0.19706,0.02713,0.01735
76.38578,11.0034,0.00097142,0.023278,0.16458,0.18786,0.02188,0.01623
81.6564,11.003,0.00083757,0.018775,0.1611,0.17988,0.01765,0.01518
87.29069,11.0027,0.00072216,0.015143,0.15772,0.17286,0.01423,0.0142
93.31374,11.0024,0.00062266,0.012214,0.15443,0.16664,0.01148,0.01329
99.75239,11.0021,0.00053687,0.0098513,0.15121,0.16106,0.009255,0.01243
106.6353,11.0019,0.0004629,0.0079457,0.14806,0.15601,0.007464,0.01163
113.9931,11.0016,0.00039913,0.0064088,0.14496,0.15137,0.006019,0.01088
121.8587,11.0015,0.00034414,0.0051691,0.14191,0.14708,0.004854,0.01017
130.2669,11.0013,0.00029672,0.0041693,0.13889,0.14306,0.003914,0.009518
139.2553,11.0011,0.00025584,0.0033628,0.1359,0.13926,0.003157,0.008903
148.864,11.001,0.0002206,0.0027124,0.13294,0.13565,0.002546,0.008329
159.1356,11.0009,0.0001902,0.0021877,0.13,0.13219,0.002053,0.007791
170.1159,11.0008,0.000164,0.0017646,0.12708,0.12884,0.001656,0.007288
181.8539,11.0007,0.00014141,0.0014233,0.12418,0.1256,0.001335,0.006818
194.4018,11.0006,0.00012193,0.001148,0.1213,0.12245,0.001077,0.006378
207.8156,11.0005,0.00010513,0.00092595,0.11844,0.11937,0.0008683,0.005966
222.1548,11.0005,9.0646e-05,0.00074686,0.11561,0.11636,0.0007002,0.005581
237.4835,11.0004,7.8159e-05,0.0006024,0.11279,0.11339,0.0005647,0.005221
253.8699,11.0004,6.7391e-05,0.00048589,0.11,0.11049,0.0004554,0.004884
271.3869,11.0003,5.8108e-05,0.00039191,0.10723,0.10762,0.0003672,0.004569
290.1126,11.0003,5.0103e-05,0.00031611,0.10448,0.1048,0.0002962,0.004274
310.1304,11.0002,4.3201e-05,0.00025497,0.10177,0.10202,0.0002388,0.003998
331.5294,11.0002,3.725e-05,0.00020566,0.099087,0.099293,0.0001926,0.00374
354.4049,11.0002,3.2118e-05,0.00016588,0.096437,0.096603,0.0001553,0.003498
378.8588,11.0002,2.7694e-05,0.0001338,0.093822,0.093956,0.0001253,0.003273
405.0001,11.0001,2.3879e-05,0.00010792,0.091244,0.091352,0.000101,0.003061
432.9451,11.0001,2.059e-05,8.7048e-05,0.088704,0.088791,8.146e-05,0.002864
