E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,60.5161,12.864,1294.7,11.933,1306.6,0.0,0.6198
2.0104868,60.4632,12.79,1280.9,11.93,1292.8,0.0,0.6167
2.0205393,60.4077,12.717,1267.2,11.928,1279.1,0.0,0.6136
2.030642,60.3497,12.644,1253.7,11.925,1265.6,0.0,0.6106
2.0407952,60.2891,12.572,1240.3,11.922,1252.3,0.0,0.6075
2.0509992,60.2259,12.5,1227.1,11.919,1239.0,0.0,0.6045
2.0612542,60.1601,12.429,1214.1,11.916,1226.0,0.0,0.6015
2.0715604,60.0915,12.358,1201.2,11.913,1213.1,0.0,0.5985
2.0819182,60.02,12.288,1188.4,11.909,1200.3,0.0,0.5955
2.0923278,59.9458,12.219,1175.8,11.905,1187.7,0.0,0.5926
2.1027895,59.8685,12.149,1163.3,11.901,1175.2,0.0,0.5896
2.1133034,59.7882,12.081,1151.0,11.897,1162.9,0.0,0.5867
2.1238699,59.708,12.013,1138.8,11.893,1150.7,0.0,0.5838
2.1344893,59.6213,11.945,1126.7,11.888,1138.6,0.0,0.5809
2.1451617,59.5313,11.878,1114.8,11.884,1126.7,0.0,0.578
2.1558875,59.4378,11.811,1103.0,11.879,1114.9,0.0,0.5751
2.166667,59.3407,11.745,1091.4,11.874,1103.3,0.0,0.5722
2.1775003,59.2399,11.679,1079.9,11.868,1091.7,0.0,0.5694
2.1883878,59.1351,11.613,1068.5,11.863,1080.4,0.0,0.5666
2.1993297,59.0262,11.549,1057.2,11.857,1069.1,0.0,0.5637
2.2103264,58.913,11.484,1046.1,11.851,1058.0,0.0,0.5609
2.221378,58.7954,11.42,1035.1,11.845,1047.0,0.0,0.5581
2.2324849,58.6731,11.357,1024.2,11.839,1036.1,0.0,0.5554
2.2436473,58.5458,11.294,1013.5,11.833,1025.3,0.0,0.5526
2.2548656,58.4134,11.231,1002.8,11.826,1014.7,0.0,0.5499
2.2661399,58.2755,11.169,992.34,11.819,1004.2,0.0,0.5471
2.2774706,58.1319,11.107,981.94,11.812,993.76,0.0,0.5444
