E,f1,f2,PE,C+i,Total,K,lambda
2.023798,27.5287,13.09,3184.6,5.4059,3190.0,0.0,0.6126
2.054774,27.3506,12.769,3059.8,5.3916,3065.2,0.0,0.6034
2.063035,26.531,12.687,3027.9,5.3877,3033.3,0.0,0.601
2.075425,27.7221,14.48,3435.0,5.3818,3440.4,0.0,0.5974
2.080733,28.072,14.424,3413.0,5.3792,3418.4,0.0,0.5959
2.106402,29.0967,14.161,3310.1,5.3667,3315.5,0.0,0.5886
2.224304,31.4076,13.092,2897.9,5.3052,2903.2,0.0,0.5574
2.377781,33.1215,11.929,2470.0,5.2179,2475.2,0.0,0.5214
2.541848,34.3107,10.816,2095.0,5.118,2100.1,0.0,0.4878
2.717235,35.1644,9.7911,1774.1,5.0066,1779.1,0.0,0.4563
2.904724,35.7995,8.8531,1500.6,4.8847,1505.5,0.0,0.4268
3.10515,36.2964,7.9746,1264.5,4.7534,1269.3,0.0,0.3993
3.319406,36.615,7.1601,1062.0,4.6137,1066.6,0.0,0.3735
3.548445,36.8409,6.4342,892.76,4.4669,897.23,0.0,0.3494
3.793288,37.1467,5.7579,747.35,4.3139,751.66,0.0,0.3269
4.055024,37.2307,5.1392,623.99,4.156,628.15,0.0,0.3058
4.334821,37.3083,4.5792,520.11,3.9943,524.1,0.0,0.286
4.633924,37.3012,4.0776,433.24,3.8298,437.07,0.0,0.2676
4.953664,37.2647,3.6308,360.87,3.6636,364.53,0.0,0.2503
5.295467,37.2079,3.2358,300.85,3.4966,304.35,0.0,0.2341
5.660855,37.1377,2.8864,251.04,3.3299,254.37,0.0,0.219
6.051453,37.0586,2.577,209.67,3.1642,212.83,0.0,0.2049
6.469004,36.9737,2.3017,175.18,3.0004,178.18,0.0,0.1917
6.915365,36.8848,2.0576,146.5,2.8391,149.34,0.0,0.1793
7.392525,36.7938,1.8411,122.62,2.6812,125.3,0.0,0.1677
7.902609,36.7023,1.648,102.67,2.5271,105.2,0.0,0.1569
8.44789,36.6083,1.4703,85.691,2.3773,88.068,0.0,0.1468
9.030794,36.5147,1.3082,71.32,2.2324,73.552,0.0,0.1373
9.653919,36.4009,1.1491,58.603,2.0926,60.696,0.0,0.1284
10.32004,36.2685,1.0103,48.201,1.9582,50.159,0.0,0.1201
11.03212,36.1154,0.88918,39.683,1.8296,41.513,0.0,0.1124
11.79334,35.9319,0.78333,32.703,1.7068,34.41,0.0,0.1051
12.60708,35.6954,0.69075,26.976,1.59,28.566,0.0,0.09834
13.47697,35.3489,0.6097,22.274,1.4791,23.753,0.0,0.092
14.40688,34.6753,0.53867,18.409,1.3743,19.783,0.0,0.08606
14.89571,33.7901,0.5065,16.742,1.3242,18.066,0.0,0.08323
15.1237,32.428,0.49254,16.035,1.3018,17.337,0.0,0.08198
15.1845,30.7845,0.48892,15.853,1.296,17.149,0.0,0.08165
15.2757,32.4638,3.7245,120.04,1.2873,121.33,104.5,0.08116
15.40095,33.5245,3.6643,117.14,1.2755,118.42,101.9,0.0805
15.50369,33.982,3.6159,114.83,1.266,116.1,99.89,0.07997
16.46362,35.5543,3.2333,96.694,1.1826,97.877,84.08,0.07531
17.59961,36.2184,2.8978,81.066,1.0955,82.162,70.61,0.07045
18.81398,36.605,2.6097,68.293,1.014,69.307,59.62,0.0659
20.11215,36.8702,2.3484,57.49,0.93799,58.428,50.29,0.06165
21.49988,37.052,2.1007,48.106,0.86725,48.973,42.12,0.05767
22.98338,37.1762,1.8765,40.198,0.80158,41.0,35.22,0.05395
24.56923,37.2613,1.6749,33.564,0.74076,34.305,29.42,0.05046
26.2645,37.3198,1.4947,28.02,0.68455,28.705,24.57,0.04721
28.07676,37.3592,1.3296,23.316,0.63272,23.949,20.47,0.04416
30.01405,37.3806,1.1815,19.381,0.58501,19.966,17.04,0.04131
32.08502,37.4248,1.0446,16.029,0.54119,16.57,14.11,0.03864
34.29889,37.4215,0.92254,13.243,0.50102,13.744,11.66,0.03615
