E,f1,f2,PE,C+i,Total,K,lambda
2.080733,38.6746,5.2173,1025.3,6.6891,1032.0,0.0,0.5959
2.224304,38.2656,4.7367,870.81,6.6089,877.42,0.0,0.5574
2.377781,37.7071,4.3058,740.49,6.5112,747.0,0.0,0.5214
2.541848,36.909,3.918,630.32,6.3968,636.72,0.0,0.4878
2.717235,35.6223,3.5657,536.61,6.2671,542.88,0.0,0.4563
2.904724,32.7378,3.2488,457.36,6.1232,463.48,0.0,0.4268
2.943724,31.4079,3.1893,443.04,6.0929,449.13,0.0,0.4212
2.988781,27.8447,3.1231,427.3,6.0577,433.36,0.0,0.4148
3.000796,23.8203,3.1056,423.2,6.0483,429.25,0.0,0.4132
3.018819,27.6279,10.824,1466.2,6.0342,1472.2,0.0,0.4107
3.063876,30.7009,10.604,1415.2,5.9989,1421.2,0.0,0.4047
3.083178,31.1221,10.512,1394.2,5.9837,1400.2,0.0,0.4021
3.10515,31.2624,10.409,1370.7,5.9665,1376.7,0.0,0.3993
3.13037,30.7066,10.293,1344.6,5.9467,1350.5,0.0,0.3961
3.142954,28.999,10.236,1331.8,5.9368,1337.7,0.0,0.3945
3.161831,31.2954,13.993,1809.8,5.922,1815.7,0.0,0.3921
3.209022,33.7259,13.691,1744.7,5.8849,1750.6,0.0,0.3864
3.319406,35.9162,13.008,1602.4,5.7983,1608.2,0.0,0.3735
3.343662,36.1407,12.857,1572.4,5.7794,1578.2,0.0,0.3708
3.394841,36.0599,12.545,1511.1,5.7394,1516.8,0.0,0.3652
3.408488,35.2798,12.463,1495.2,5.7287,1500.9,0.0,0.3638
3.42896,36.4699,14.209,1694.5,5.7128,1700.2,0.0,0.3616
3.480138,37.865,13.89,1632.0,5.673,1637.7,0.0,0.3563
3.548445,38.9158,13.477,1553.1,5.6202,1558.7,0.0,0.3494
3.793288,41.1094,12.138,1308.5,5.4334,1313.9,0.0,0.3269
4.055024,42.4388,10.918,1101.0,5.2395,1106.2,0.0,0.3058
4.334821,43.3289,9.8125,925.65,5.0399,930.69,0.0,0.286
4.633924,43.95,8.8157,777.95,4.836,782.79,0.0,0.2676
4.953664,44.3826,7.9204,653.82,4.6291,658.45,0.0,0.2503
5.295467,44.6862,7.1193,549.76,4.4206,554.18,0.0,0.2341
5.660855,44.8983,6.402,462.46,4.2116,466.67,0.0,0.219
6.051453,45.13,5.7551,388.9,4.0034,392.9,0.0,0.2049
6.469004,45.261,5.1523,325.69,3.797,329.49,0.0,0.1917
6.915365,45.3329,4.6094,272.57,3.5934,276.16,0.0,0.1793
7.392525,45.3324,4.1209,227.95,3.3935,231.34,0.0,0.1677
7.902609,45.3055,3.6875,190.81,3.198,194.01,0.0,0.1569
8.44789,45.2629,3.3029,159.88,3.0078,162.89,0.0,0.1468
9.030794,45.2202,2.954,133.76,2.8233,136.58,0.0,0.1373
9.653919,45.1573,2.6207,111.01,2.6451,113.66,0.0,0.1284
10.32004,45.0732,2.3256,92.148,2.4737,94.622,0.0,0.1201
11.03212,44.9788,2.0656,76.564,2.3093,78.873,0.0,0.1124
11.79334,44.8783,1.8364,63.677,2.1522,65.829,0.0,0.1051
12.60708,44.7736,1.6333,52.979,2.0026,54.982,0.0,0.09834
13.47697,44.6648,1.4515,44.041,1.8605,45.902,0.0,0.092
