E,f1,f2,PE,C+i,Total,K,lambda
2.0035635,53.6323,21.529,3007.3,8.743,3016.0,0.0,0.6188
2.0135813,53.7358,21.396,2973.8,8.7385,2982.5,0.0,0.6157
2.0236492,53.837,21.263,2940.6,8.7338,2949.3,0.0,0.6127
2.0337675,53.936,21.131,2907.8,8.7291,2916.5,0.0,0.6096
2.0439363,54.0331,20.999,2875.3,8.7241,2884.1,0.0,0.6066
2.054156,54.1284,20.869,2843.2,8.7191,2852.0,0.0,0.6036
2.0644268,54.2218,20.739,2811.5,8.7139,2820.2,0.0,0.6006
2.0747489,54.3136,20.61,2780.1,8.7086,2788.8,0.0,0.5976
2.0851227,54.4038,20.482,2749.0,8.7031,2757.7,0.0,0.5946
2.0955483,54.4924,20.354,2718.3,8.6975,2727.0,0.0,0.5917
2.106026,54.5796,20.227,2687.9,8.6918,2696.6,0.0,0.5887
2.1165562,54.6653,20.101,2657.9,8.6859,2666.6,0.0,0.5858
2.1271389,54.7497,19.976,2628.2,8.6799,2636.9,0.0,0.5829
2.1377746,54.8329,19.851,2598.8,8.6738,2607.4,0.0,0.58
2.1484635,54.9148,19.727,2569.7,8.6676,2578.4,0.0,0.5771
2.1592058,54.9955,19.604,2540.9,8.6612,2549.6,0.0,0.5742
2.1700018,55.2956,19.476,2511.8,8.6547,2520.5,0.0,0.5714
2.1808519,55.3737,19.348,2482.9,8.648,2491.6,0.0,0.5685
2.1917561,55.4502,19.221,2454.4,8.6413,2463.0,0.0,0.5657
2.2027149,55.525,19.095,2426.1,8.6344,2434.8,0.0,0.5629
2.2137285,55.7481,18.969,2398.1,8.6273,2406.8,0.0,0.5601
2.2247971,55.8202,18.841,2370.1,8.6202,2378.7,0.0,0.5573
2.2359211,55.8904,18.713,2342.3,8.6129,2350.9,0.0,0.5545
2.2471007,55.9589,18.586,2314.8,8.6055,2323.4,0.0,0.5518
2.2583362,56.0256,18.459,2287.5,8.5979,2296.1,0.0,0.549
2.2696279,56.0905,18.333,2260.6,8.5903,2269.2,0.0,0.5463
2.280976,56.1536,18.208,2234.0,8.5825,2242.6,0.0,0.5436
2.2923809,56.2152,18.084,2207.7,8.5746,2216.3,0.0,0.5409
2.3038428,56.2753,17.96,2181.8,8.5665,2190.3,0.0,0.5382
2.315362,56.3339,17.838,2156.1,8.5583,2164.6,0.0,0.5355
2.3269388,56.391,17.716,2130.7,8.5501,2139.2,0.0,0.5328
2.3385735,56.4468,17.595,2105.6,8.5416,2114.2,0.0,0.5302
2.3502664,56.5012,17.475,2080.8,8.5331,2089.4,0.0,0.5275
2.3620177,56.5543,17.355,2056.3,8.5244,2064.9,0.0,0.5249
2.3738278,56.6062,17.237,2032.1,8.5156,2040.7,0.0,0.5223
2.385697,56.6569,17.119,2008.2,8.5067,2016.7,0.0,0.5197
2.3976254,56.7064,17.002,1984.6,8.4977,1993.1,0.0,0.5171
2.4096136,56.7547,16.886,1961.3,8.4886,1969.8,0.0,0.5145
2.4216616,56.802,16.771,1938.2,8.4793,1946.7,0.0,0.512
2.4337699,56.8482,16.654,1915.1,8.4699,1923.6,0.0,0.5094
2.4459388,56.8933,16.538,1892.3,8.4604,1900.7,0.0,0.5069
2.4581685,56.9372,16.423,1869.7,8.4508,1878.2,0.0,0.5044
2.4704593,56.9801,16.308,1847.4,8.441,1855.9,0.0,0.5019
2.4828116,57.0218,16.194,1825.4,8.4312,1833.9,0.0,0.4994
2.4952257,57.0626,16.082,1803.7,8.4212,1812.1,0.0,0.4969
2.5077018,57.1023,15.97,1782.2,8.4111,1790.6,0.0,0.4944
2.5202403,57.1411,15.858,1761.0,8.4009,1769.4,0.0,0.492
2.5328415,57.1789,15.748,1740.1,8.3906,1748.5,0.0,0.4895
2.5455057,57.2158,15.639,1719.4,8.3801,1727.8,0.0,0.4871
2.5582333,57.2518,15.53,1699.0,8.3696,1707.3,0.0,0.4846
2.5710244,57.2869,15.422,1678.8,8.3589,1687.1,0.0,0.4822
2.5838796,57.3213,15.315,1658.8,8.3481,1667.2,0.0,0.4798
2.596799,57.3548,15.209,1639.2,8.3372,1647.5,0.0,0.4775
2.6097829,57.3875,15.104,1619.7,8.3262,1628.0,0.0,0.4751
2.6228319,57.4195,15.0,1600.5,8.3151,1608.8,0.0,0.4727
2.635946,57.4507,14.896,1581.6,8.3039,1589.9,0.0,0.4704
2.6491257,57.4813,14.794,1562.8,8.2925,1571.1,0.0,0.468
2.6623714,57.5112,14.692,1544.4,8.2811,1552.6,0.0,0.4657
2.6756832,57.5404,14.591,1526.1,8.2695,1534.4,0.0,0.4634
2.6890617,57.5691,14.49,1508.1,8.2579,1516.3,0.0,0.4611
2.702507,57.5971,14.391,1490.3,8.2461,1498.5,0.0,0.4588
2.7160195,57.6247,14.292,1472.7,8.2342,1480.9,0.0,0.4565
2.7295996,57.6516,14.194,1455.3,8.2222,1463.5,0.0,0.4542
2.7432476,57.6781,14.097,1438.2,8.2101,1446.4,0.0,0.452
2.7569638,57.7042,14.001,1421.3,8.1979,1429.5,0.0,0.4497
2.7707486,57.7298,13.905,1404.5,8.1856,1412.7,0.0,0.4475
2.7846024,57.7551,13.811,1388.0,8.1732,1396.2,0.0,0.4452
2.7985254,57.78,13.717,1371.7,8.1607,1379.9,0.0,0.443
2.812518,57.8046,13.624,1355.7,8.1481,1363.8,0.0,0.4408
2.8265806,57.8289,13.531,1339.8,8.1354,1347.9,0.0,0.4386
2.8407135,57.9556,13.44,1324.1,8.1226,1332.2,0.0,0.4365
2.8549171,57.9802,13.347,1308.4,8.1096,1316.5,0.0,0.4343
2.8691917,58.0046,13.255,1292.9,8.0966,1301.0,0.0,0.4321
2.8835376,58.0289,13.164,1277.6,8.0835,1285.7,0.0,0.43
2.8979553,58.0531,13.073,1262.5,8.0703,1270.6,0.0,0.4278
2.9124451,58.0774,12.983,1247.6,8.057,1255.7,0.0,0.4257
2.9270073,58.1021,12.894,1232.9,8.0436,1240.9,0.0,0.4236
2.9416424,58.1275,12.806,1218.3,8.0301,1226.4,0.0,0.4215
2.9563506,58.154,12.718,1204.0,8.0165,1212.0,0.0,0.4194
2.9711323,58.183,12.632,1189.8,8.0028,1197.8,0.0,0.4173
2.985988,58.2179,12.545,1175.8,7.989,1183.8,0.0,0.4152
3.0009179,58.2834,12.459,1161.9,7.9751,1169.9,0.0,0.4132
3.0159225,58.301,12.36,1147.0,7.9611,1154.9,0.0,0.4111
3.0310021,58.3166,12.262,1132.2,7.947,1140.1,0.0,0.4091
3.0461571,58.3307,12.165,1117.6,7.9328,1125.6,0.0,0.407
3.0613879,58.3436,12.069,1103.3,7.9186,1111.2,0.0,0.405
3.0766949,58.3556,11.973,1089.1,7.9042,1097.0,0.0,0.403
3.0920783,58.4146,11.877,1075.0,7.8898,1082.9,0.0,0.401
3.1075387,58.4249,11.782,1061.1,7.8753,1069.0,0.0,0.399
3.1230764,58.4343,11.687,1047.3,7.8607,1055.2,0.0,0.397
3.1386918,58.4427,11.594,1033.8,7.8459,1041.6,0.0,0.395
3.1543853,58.4503,11.501,1020.4,7.8312,1028.2,0.0,0.3931
3.1701572,58.457,11.409,1007.2,7.8163,1015.0,0.0,0.3911
3.186008,58.4629,11.318,994.16,7.8013,1002.0,0.0,0.3892
3.201938,58.4681,11.227,981.32,7.7863,989.1,0.0,0.3872
3.2179477,58.4725,11.138,968.65,7.7711,976.42,0.0,0.3853
3.2340374,58.4763,11.049,956.15,7.7559,963.91,0.0,0.3834
3.2502076,58.4793,10.961,943.82,7.7406,951.56,0.0,0.3815
3.2664587,58.4817,10.874,931.66,7.7252,939.39,0.0,0.3796
3.282791,58.4834,10.788,919.67,7.7097,927.38,0.0,0.3777
3.2992049,58.4846,10.702,907.83,7.6942,915.53,0.0,0.3758
3.3157009,58.4851,10.617,896.16,7.6786,903.84,0.0,0.3739
3.3322794,58.485,10.533,884.64,7.6629,892.3,0.0,0.3721
3.3489408,58.4844,10.45,873.28,7.6471,880.93,0.0,0.3702
3.3656856,58.4832,10.367,862.07,7.6312,869.7,0.0,0.3684
3.382514,58.4816,10.286,851.01,7.6153,858.63,0.0,0.3665
3.3994265,58.4793,10.205,840.11,7.5992,847.71,0.0,0.3647
3.4164237,58.4766,10.124,829.35,7.5832,836.93,0.0,0.3629
3.4335058,58.4735,10.045,818.73,7.567,826.3,0.0,0.3611
3.4506733,58.4903,9.9655,808.24,7.5507,815.79,0.0,0.3593
3.4679267,58.4863,9.8865,797.85,7.5344,805.38,0.0,0.3575
3.4852663,58.4818,9.8083,787.6,7.518,795.12,0.0,0.3557
3.5026927,58.4768,9.7308,777.49,7.5016,784.99,0.0,0.354
3.5202061,58.4713,9.654,767.51,7.485,775.0,0.0,0.3522
3.5378072,58.4653,9.5778,757.67,7.4684,765.14,0.0,0.3505
3.5554962,58.4588,9.5024,747.96,7.4517,755.41,0.0,0.3487
3.5732737,58.4519,9.4276,738.38,7.435,745.81,0.0,0.347
3.59114,58.4445,9.3534,728.93,7.4182,736.35,0.0,0.3453
3.6090957,58.4367,9.2799,719.6,7.4013,727.01,0.0,0.3435
3.6271412,58.4285,9.2071,710.4,7.3844,717.79,0.0,0.3418
3.6452769,58.4198,9.1349,701.33,7.3673,708.7,0.0,0.3401
3.6635033,58.4107,9.0634,692.37,7.3503,699.72,0.0,0.3384
3.6818208,58.4012,8.9925,683.54,7.3331,690.87,0.0,0.3367
3.7002299,58.3914,8.9222,674.82,7.3159,682.14,0.0,0.3351
3.7187311,58.3811,8.8525,666.22,7.2986,673.52,0.0,0.3334
3.7373247,58.3704,8.7834,657.73,7.2813,665.02,0.0,0.3317
3.7560114,58.3594,8.715,649.36,7.2639,656.63,0.0,0.3301
3.7747914,58.348,8.6472,641.1,7.2464,648.35,0.0,0.3285
3.7936654,58.3362,8.5799,632.95,7.2289,640.18,0.0,0.3268
3.8126337,58.3241,8.5132,624.91,7.2113,632.12,0.0,0.3252
3.8316969,58.3116,8.4472,616.97,7.1937,624.17,0.0,0.3236
3.8508554,58.2987,8.3817,609.14,7.176,616.32,0.0,0.322
