E,f1,f2,PE,C+i,Total,K,lambda
2.080733,35.5373,4.2,866.73,6.2965,873.03,0.0,0.5959
2.224304,34.7971,3.8225,737.91,6.2179,744.13,0.0,0.5574
2.377781,33.6483,3.4791,628.27,6.1232,634.39,0.0,0.5214
2.541848,31.3904,3.1701,535.51,6.0134,541.52,0.0,0.4878
2.623362,28.7881,3.0348,496.73,5.9565,502.69,0.0,0.4726
2.663515,25.0323,2.972,479.12,5.9281,485.05,0.0,0.4655
2.674223,20.7808,2.9556,474.58,5.9205,480.5,0.0,0.4636
2.690284,24.844,11.112,1773.5,5.909,1779.4,0.0,0.4609
2.717235,27.5114,10.908,1723.8,5.8896,1729.7,0.0,0.4563
2.730438,28.0698,10.811,1700.1,5.8801,1706.0,0.0,0.4541
2.737336,28.2666,10.76,1687.9,5.8751,1693.8,0.0,0.4529
2.779234,28.0038,10.462,1616.3,5.8448,1622.1,0.0,0.4461
2.790407,26.2259,10.384,1598.0,5.8367,1603.8,0.0,0.4443
2.807166,28.6758,14.318,2190.1,5.8245,2195.9,0.0,0.4417
2.849064,31.257,13.966,2104.9,5.7938,2110.7,0.0,0.4352
2.904724,32.8473,13.532,2000.4,5.753,2006.2,0.0,0.4268
2.98165,33.965,13.001,1872.4,5.6962,1878.1,0.0,0.4158
3.027288,33.8793,12.694,1800.6,5.6624,1806.3,0.0,0.4096
3.039458,33.0922,12.611,1781.6,5.6534,1787.3,0.0,0.4079
3.057713,34.2883,14.368,2017.7,5.6398,2023.3,0.0,0.4055
3.10515,35.7277,14.032,1940.4,5.6046,1946.0,0.0,0.3993
3.319406,38.4624,12.651,1636.5,5.446,1641.9,0.0,0.3735
3.548445,39.9967,11.386,1377.8,5.2782,1383.1,0.0,0.3494
3.793288,41.0105,10.235,1158.5,5.1027,1163.6,0.0,0.3269
4.055024,41.7156,9.1995,974.14,4.9208,979.06,0.0,0.3058
4.334821,42.2095,8.2654,818.74,4.7338,823.47,0.0,0.286
4.633924,42.5576,7.4299,688.48,4.5429,693.02,0.0,0.2676
4.953664,42.803,6.6808,579.1,4.3495,583.45,0.0,0.2503
5.295467,42.9757,6.0099,487.32,4.1546,491.47,0.0,0.2341
5.660855,43.223,5.3838,408.38,3.9594,412.34,0.0,0.219
6.051453,43.2768,4.813,341.52,3.765,345.28,0.0,0.2049
6.469004,43.3256,4.2974,285.25,3.5723,288.82,0.0,0.1917
6.915365,43.3043,3.8397,238.42,3.3823,241.8,0.0,0.1793
7.392525,43.2619,3.434,199.46,3.1957,202.66,0.0,0.1677
7.902609,43.2061,3.074,167.03,3.0133,170.04,0.0,0.1569
8.44789,43.1423,2.7519,139.87,2.8357,142.71,0.0,0.1468
9.030794,43.0782,2.4588,116.91,2.6635,119.57,0.0,0.1373
9.653919,43.0003,2.1809,97.003,2.4972,99.5,0.0,0.1284
10.32004,42.9078,1.9363,80.563,2.337,82.9,0.0,0.1201
11.03212,42.808,1.7198,66.936,2.1834,69.119,0.0,0.1124
11.79334,42.7034,1.5276,55.619,2.0365,57.656,0.0,0.1051
12.60708,42.5915,1.3533,46.092,1.8966,47.989,0.0,0.09834
13.47697,42.4704,1.1976,38.155,1.7637,39.919,0.0,0.092
14.40688,42.3348,1.0573,31.512,1.6378,33.15,0.0,0.08606
15.40095,42.1793,0.93432,26.05,1.519,27.569,0.0,0.0805
16.46362,41.9933,0.8264,21.554,1.4071,22.961,0.0,0.07531
17.59961,41.7525,0.73162,17.85,1.302,19.152,0.0,0.07045
18.81398,41.3935,0.64823,14.794,1.2037,15.998,0.0,0.0659
20.11215,40.6536,0.57486,12.273,1.1118,13.385,0.0,0.06165
20.62312,39.9411,0.5496,11.443,1.0789,12.522,0.0,0.06012
20.93878,38.6303,0.53488,10.969,1.0594,12.028,0.0,0.05921
21.02296,37.0523,0.53106,10.847,1.0544,11.901,0.0,0.05898
21.14922,38.6579,3.6354,73.809,1.0468,74.856,63.14,0.05862
21.46488,40.11,3.539,70.796,1.0283,71.824,60.56,0.05776
21.49988,40.1953,3.5286,70.472,1.0263,71.498,60.28,0.05767
22.98338,41.7384,3.1461,58.778,0.94677,59.725,50.31,0.05395
24.56923,42.3426,2.8263,49.395,0.87306,50.268,42.35,0.05046
26.2645,42.7056,2.5402,41.529,0.80489,42.334,35.66,0.04721
28.07676,42.952,2.2694,34.707,0.74198,35.449,29.88,0.04416
30.01405,43.1118,2.021,28.912,0.68404,29.596,24.95,0.04131
32.08502,43.218,1.7999,24.088,0.63079,24.719,20.83,0.03864
34.29889,43.2885,1.6032,20.071,0.58195,20.653,17.39,0.03615
36.66551,43.3341,1.4282,16.726,0.53724,17.263,14.52,0.03381
39.19543,43.3624,1.2725,13.94,0.49637,14.436,12.13,0.03163
41.89992,43.3789,1.1338,11.62,0.45907,12.079,10.12,0.02959
44.79101,43.4189,1.0031,9.6163,0.4251,10.041,8.384,0.02768
47.88159,43.4135,0.88705,7.9548,0.39418,8.349,6.938,0.02589
51.18542,43.4018,0.78449,6.581,0.36609,6.9471,5.742,0.02422
54.71721,43.3859,0.69384,5.4449,0.34058,5.7855,4.751,0.02266
58.4927,43.3675,0.61369,4.5051,0.31745,4.8226,3.932,0.0212
62.5287,43.3477,0.54278,3.7273,0.29648,4.0238,3.254,0.01983
66.84318,43.3271,0.47993,3.083,0.27749,3.3605,2.693,0.01855
71.45536,43.3064,0.42419,2.549,0.26028,2.8093,2.228,0.01735
76.38578,43.286,0.37495,2.1077,0.2447,2.3524,1.844,0.01623
81.6564,43.2669,0.331,1.7405,0.23058,1.9711,1.524,0.01518
87.29069,43.2479,0.29131,1.433,0.21778,1.6508,1.255,0.0142
93.31374,43.2291,0.25624,1.1791,0.20616,1.3853,1.033,0.01329
99.75239,43.2109,0.22515,0.96919,0.19561,1.1648,0.8491,0.01243
106.6353,43.1935,0.19785,0.79669,0.18601,0.9827,0.6979,0.01163
113.9931,43.1771,0.17387,0.65493,0.17725,0.83218,0.5737,0.01088
