E,f1,f2,PE,C+i,Total,K,lambda
2.080733,21.6125,1.9839,837.97,3.1364,841.11,0.0,0.5959
2.224304,21.5408,1.7785,702.72,3.0733,705.79,0.0,0.5574
2.377781,21.4645,1.5901,587.72,3.0033,590.72,0.0,0.5214
2.541848,21.3815,1.4215,491.51,2.9272,494.44,0.0,0.4878
2.717235,21.2933,1.272,411.44,2.8457,414.29,0.0,0.4563
2.904724,21.2005,1.1394,344.73,2.7593,347.49,0.0,0.4268
3.10515,21.1027,1.0116,286.33,2.6689,289.0,0.0,0.3993
3.319406,20.9847,0.89095,235.89,2.575,238.46,0.0,0.3735
3.548445,20.8432,0.78546,194.54,2.4786,197.02,0.0,0.3494
3.793288,20.6701,0.69316,160.6,2.3801,162.98,0.0,0.3269
4.055024,20.4452,0.61232,132.71,2.2803,134.99,0.0,0.3058
4.334821,20.1195,0.54145,109.78,2.1798,111.96,0.0,0.286
4.633924,19.5302,0.47926,90.896,2.0792,92.975,0.0,0.2676
4.867072,18.3295,0.43839,79.162,2.0055,81.168,0.0,0.2547
4.941568,16.8446,0.42651,75.855,1.9827,77.838,0.0,0.2509
4.953664,16.1067,0.42463,75.337,1.9791,77.316,0.0,0.2503
4.961434,15.0532,0.42343,75.006,1.9767,76.983,0.0,0.2499
4.991232,16.8795,3.9516,695.81,1.9678,697.78,622.1,0.2484
5.065728,18.5331,3.8444,666.98,1.9457,668.93,596.2,0.2448
5.295467,19.9941,3.55,589.19,1.8799,591.07,526.7,0.2341
5.660855,20.8781,3.1852,494.51,1.7822,496.29,442.6,0.219
6.051453,21.3665,2.8699,416.81,1.6864,418.5,373.7,0.2049
6.469004,21.6932,2.5886,351.68,1.5928,353.27,315.8,0.1917
6.915365,21.9215,2.3196,294.79,1.5018,296.29,264.9,0.1793
7.392525,22.0793,2.076,246.81,1.4137,248.22,221.9,0.1677
7.902609,22.1897,1.8566,206.48,1.3288,207.81,185.7,0.1569
8.44789,22.2671,1.6599,172.69,1.2471,173.94,155.3,0.1468
9.030794,22.3223,1.4823,144.26,1.1689,145.43,129.8,0.1373
9.653919,22.3587,1.319,120.08,1.0942,121.17,108.2,0.1284
10.32004,22.4196,1.1692,99.571,1.0233,100.59,89.79,0.1201
11.03212,22.425,1.033,82.293,0.95597,83.249,74.26,0.1124
11.79334,22.4203,0.9125,68.002,0.89237,68.894,61.42,0.1051
12.60708,22.4091,0.80612,56.196,0.83244,57.028,50.8,0.09834
13.47697,22.3936,0.71218,46.444,0.77613,47.22,42.02,0.092
14.40688,22.3754,0.62924,38.386,0.72338,39.109,34.75,0.08606
15.40095,22.3555,0.55599,31.728,0.67409,32.402,28.74,0.0805
16.46362,22.3348,0.49128,26.226,0.62815,26.854,23.77,0.07531
17.59961,22.3139,0.43414,21.679,0.58545,22.264,19.66,0.07045
18.81398,22.2934,0.38365,17.922,0.54584,18.468,16.26,0.0659
20.11215,22.2735,0.33906,14.816,0.5092,15.325,13.45,0.06165
21.49988,22.2547,0.29966,12.25,0.47537,12.725,11.12,0.05767
22.98338,22.2365,0.2632,10.064,0.4442,10.508,9.136,0.05395
24.56923,22.2186,0.23115,8.2686,0.41554,8.6841,7.503,0.05046
26.2645,22.2014,0.20302,6.7934,0.38923,7.1826,6.162,0.04721
28.07676,22.1864,0.17732,5.5507,0.36511,5.9158,5.035,0.04416
30.01405,22.1708,0.1546,4.5269,0.34305,4.87,4.107,0.04131
32.08502,22.1559,0.13479,3.6921,0.32288,4.015,3.35,0.03864
34.29889,22.142,0.11752,3.0113,0.30447,3.3158,2.733,0.03615
36.66551,22.1289,0.10247,2.4561,0.28768,2.7438,2.229,0.03381
39.19543,22.1169,0.089345,2.0034,0.27237,2.2758,1.819,0.03163
41.89992,22.1058,0.077906,1.6341,0.25842,1.8925,1.483,0.02959
44.79101,22.0957,0.067933,1.3329,0.24571,1.5786,1.21,0.02768
47.88159,22.0863,0.059238,1.0873,0.23413,1.3214,0.9871,0.02589
51.18542,22.0779,0.051657,0.88697,0.22357,1.1105,0.8052,0.02422
54.71721,22.0701,0.045047,0.72355,0.21393,0.93748,0.6568,0.02266
58.4927,22.0631,0.039284,0.59026,0.20512,0.79538,0.5358,0.0212
62.5287,22.0568,0.034259,0.48153,0.19706,0.67859,0.437,0.01983
66.84318,22.051,0.029877,0.39284,0.18966,0.5825,0.3565,0.01855
71.45536,22.0458,0.026057,0.32048,0.18285,0.50333,0.2908,0.01735
76.38578,22.0411,0.022725,0.26146,0.17657,0.43803,0.2372,0.01623
81.6564,22.0369,0.019787,0.21297,0.17076,0.38373,0.1932,0.01518
87.29069,22.0331,0.017165,0.17282,0.16536,0.33818,0.1568,0.0142
93.31374,22.0297,0.014891,0.14025,0.16033,0.30058,0.1272,0.01329
99.75239,22.0266,0.012918,0.11382,0.15561,0.26943,0.1033,0.01243
106.6353,22.0237,0.011207,0.092368,0.15118,0.24355,0.0838,0.01163
113.9931,22.0212,0.0097228,0.074961,0.14699,0.22195,0.068,0.01088
121.8587,22.0189,0.0084351,0.060836,0.14302,0.20386,0.05519,0.01017
130.2669,22.0169,0.007318,0.049372,0.13923,0.1886,0.04478,0.009518
139.2553,22.015,0.0063489,0.040069,0.1356,0.17567,0.03634,0.008903
148.864,22.0134,0.0055082,0.03252,0.13211,0.16463,0.02949,0.008329
159.1356,22.0119,0.0047789,0.026393,0.12875,0.15514,0.02394,0.007791
