E,f1,f2,PE,C+i,Total,K,lambda
2.0004844,54.5047,10.974,1129.5,11.444,1140.9,0.0,0.6198
2.0104868,54.3632,10.914,1117.6,11.441,1129.1,0.0,0.6167
2.0205393,54.2161,10.853,1105.9,11.438,1117.4,0.0,0.6136
2.030642,54.0629,10.793,1094.4,11.434,1105.8,0.0,0.6106
2.0407952,53.9034,10.734,1082.9,11.431,1094.4,0.0,0.6075
2.0509992,53.7372,10.675,1071.6,11.427,1083.0,0.0,0.6045
2.0612542,53.5638,10.617,1060.4,11.423,1071.9,0.0,0.6015
2.0715604,53.3827,10.558,1049.4,11.419,1060.8,0.0,0.5985
2.0819182,53.1934,10.501,1038.5,11.414,1049.9,0.0,0.5955
2.0923278,52.9954,10.443,1027.6,11.41,1039.1,0.0,0.5926
2.1027895,52.788,10.386,1017.0,11.405,1028.4,0.0,0.5896
2.1133034,52.5704,10.33,1006.4,11.4,1017.8,0.0,0.5867
2.1238699,52.3419,10.274,995.94,11.395,1007.3,0.0,0.5838
2.1344893,52.1016,10.218,985.61,11.39,997.0,0.0,0.5809
2.1451617,51.8483,10.163,975.39,11.385,986.77,0.0,0.578
2.1558875,51.581,10.108,965.28,11.379,976.66,0.0,0.5751
2.166667,51.3005,10.053,955.29,11.373,966.67,0.0,0.5722
2.1775003,51.0009,9.9988,945.42,11.367,956.78,0.0,0.5694
2.1883878,50.6824,9.9449,935.65,11.361,947.01,0.0,0.5666
2.1993297,50.3432,9.8915,925.99,11.355,937.34,0.0,0.5637
2.2103264,49.9805,9.8384,916.43,11.349,927.78,0.0,0.5609
2.221378,49.5916,9.7856,906.99,11.342,918.33,0.0,0.5581
2.2324849,49.1729,9.7313,897.46,11.335,908.8,0.0,0.5554
2.2436473,48.7199,9.6763,887.95,11.328,899.28,0.0,0.5526
2.2548656,48.2272,9.6218,878.55,11.321,889.88,0.0,0.5499
2.2661399,47.6881,9.5677,869.27,11.314,880.58,0.0,0.5471
2.2774706,47.0938,9.5139,860.09,11.306,871.39,0.0,0.5444
2.2888579,46.4329,9.4607,851.01,11.299,862.31,0.0,0.5417
2.3003022,45.6899,9.4078,842.05,11.291,853.34,0.0,0.539
2.3118037,44.8428,9.3542,833.08,11.283,844.37,0.0,0.5363
2.3233628,43.8592,9.2999,824.13,11.275,835.41,0.0,0.5336
2.3349796,42.6879,9.2461,815.29,11.266,826.56,0.0,0.531
2.3466545,41.2408,9.1928,806.55,11.258,817.81,0.0,0.5283
2.3583878,39.3445,9.1399,797.92,11.249,809.17,0.0,0.5257
2.3701797,36.5691,9.0874,789.39,11.24,800.63,0.0,0.5231
2.3820306,31.1333,9.0354,780.97,11.231,792.2,0.0,0.5205
2.388655,17.8561,9.0066,776.32,11.226,787.54,0.0,0.5191
2.3899452,17.56,26.11,2249.3,11.225,2260.6,0.0,0.5188
2.3939407,28.2573,26.045,2240.0,11.222,2251.2,0.0,0.5179
2.4059104,34.9344,25.852,2212.3,11.213,2223.6,0.0,0.5153
2.41794,37.5104,25.661,2185.1,11.204,2196.3,0.0,0.5128
2.4300297,38.8982,25.471,2158.1,11.194,2169.3,0.0,0.5102
2.4421798,39.5964,25.282,2131.4,11.184,2142.6,0.0,0.5077
2.4543907,39.6905,25.094,2105.0,11.174,2116.2,0.0,0.5052
2.4666627,38.9611,24.907,2079.0,11.164,2090.1,0.0,0.5026
2.478996,35.959,24.722,2053.3,11.154,2064.4,0.0,0.5001
2.4843943,28.5815,24.642,2042.1,11.149,2053.3,0.0,0.4991
2.4858058,28.5013,35.959,2978.3,11.148,2989.5,0.0,0.4988
2.491391,36.8012,35.836,2961.5,11.143,2972.6,0.0,0.4977
2.5038479,41.5359,35.563,2924.3,11.133,2935.4,0.0,0.4952
2.5163672,44.0836,35.293,2887.6,11.122,2898.8,0.0,0.4927
2.528949,45.9357,35.024,2851.4,11.111,2862.5,0.0,0.4903
2.5415938,47.4244,34.758,2815.7,11.1,2826.8,0.0,0.4878
2.5543017,48.6821,34.494,2780.4,11.089,2791.5,0.0,0.4854
2.5670732,49.7767,34.233,2745.6,11.077,2756.7,0.0,0.483
2.5799086,50.7481,33.973,2711.2,11.066,2722.3,0.0,0.4806
2.5928082,51.6222,33.715,2677.3,11.054,2688.3,0.0,0.4782
2.6057722,52.4165,33.46,2643.8,11.042,2654.8,0.0,0.4758
2.6188011,53.1438,33.206,2610.7,11.03,2621.7,0.0,0.4734
2.6318951,53.8137,32.955,2578.0,11.018,2589.1,0.0,0.4711
2.6450545,54.4335,32.706,2545.8,11.006,2556.8,0.0,0.4687
2.6582798,55.009,32.459,2514.0,10.993,2525.0,0.0,0.4664
2.6715712,55.5447,32.213,2482.6,10.981,2493.6,0.0,0.4641
2.6849291,56.0442,31.97,2451.6,10.968,2462.5,0.0,0.4618
2.6983537,56.5106,31.729,2421.0,10.955,2431.9,0.0,0.4595
2.7118455,56.9461,31.489,2390.7,10.942,2401.7,0.0,0.4572
2.7254047,57.3529,31.252,2360.9,10.929,2371.8,0.0,0.4549
2.7390317,57.7321,31.016,2331.5,10.915,2342.4,0.0,0.4527
2.7527269,58.0851,30.783,2302.4,10.902,2313.3,0.0,0.4504
2.7664905,58.4124,30.551,2273.7,10.888,2284.6,0.0,0.4482
2.780323,58.7144,30.321,2245.4,10.875,2256.2,0.0,0.4459
2.7942246,58.9909,30.093,2217.4,10.861,2228.2,0.0,0.4437
2.8081957,59.2412,29.867,2189.8,10.847,2200.6,0.0,0.4415
2.8222367,59.4642,29.643,2162.5,10.832,2173.3,0.0,0.4393
2.8363479,59.6574,29.42,2135.6,10.818,2146.4,0.0,0.4371
2.8505296,59.8175,29.2,2109.0,10.803,2119.8,0.0,0.435
2.8647823,59.9389,28.981,2082.8,10.789,2093.6,0.0,0.4328
2.8791062,60.0127,28.763,2056.9,10.774,2067.7,0.0,0.4306
2.8935017,60.0239,28.548,2031.3,10.759,2042.1,0.0,0.4285
2.9079692,59.9446,28.333,2006.0,10.744,2016.8,0.0,0.4264
2.9225091,59.716,28.12,1981.1,10.729,1991.8,0.0,0.4242
2.9371216,59.1734,27.909,1956.4,10.713,1967.1,0.0,0.4221
2.9518072,57.3502,27.7,1932.1,10.698,1942.8,0.0,0.42
2.9536434,56.6537,27.674,1929.1,10.696,1939.8,0.0,0.4198
2.9595566,56.7161,32.38,2252.6,10.69,2263.3,0.0,0.4189
2.9665662,58.725,32.253,2238.5,10.682,2249.2,0.0,0.4179
2.9813991,60.4119,31.988,2209.0,10.667,2219.7,0.0,0.4159
2.9963061,61.4038,31.725,2180.0,10.651,2190.6,0.0,0.4138
3.0112876,62.2697,31.455,2150.7,10.635,2161.3,0.0,0.4117
3.026344,62.9126,31.187,2121.7,10.619,2132.4,0.0,0.4097
3.0414758,63.4445,30.924,2093.4,10.602,2104.0,0.0,0.4076
3.0566831,63.9078,30.665,2065.5,10.586,2076.1,0.0,0.4056
3.0719666,64.3214,30.409,2038.1,10.569,2048.6,0.0,0.4036
3.0873264,64.6956,30.156,2011.1,10.553,2021.6,0.0,0.4016
3.102763,65.0359,29.907,1984.5,10.536,1995.0,0.0,0.3996
3.1182768,65.35,29.67,1959.0,10.519,1969.6,0.0,0.3976
3.1338682,65.645,29.436,1933.9,10.502,1944.4,0.0,0.3956
3.1495376,65.922,29.204,1909.1,10.485,1919.6,0.0,0.3937
3.1652853,66.1822,28.975,1884.7,10.467,1895.2,0.0,0.3917
3.1811117,66.427,28.748,1860.7,10.45,1871.1,0.0,0.3898
3.1970172,66.6571,28.524,1837.0,10.433,1847.4,0.0,0.3878
3.2130023,66.8732,28.302,1813.6,10.415,1824.0,0.0,0.3859
3.2290673,67.0758,28.082,1790.6,10.397,1800.9,0.0,0.384
3.2452127,67.2644,27.861,1767.6,10.379,1778.0,0.0,0.3821
3.2614387,67.4384,27.643,1745.0,10.361,1755.4,0.0,0.3802
3.2777459,67.5971,27.426,1722.7,10.343,1733.1,0.0,0.3783
3.2941347,67.7395,27.211,1700.7,10.325,1711.1,0.0,0.3764
3.3106053,67.8635,26.998,1679.0,10.306,1689.3,0.0,0.3745
3.3271584,67.966,26.787,1657.6,10.288,1667.9,0.0,0.3726
3.3437941,68.041,26.578,1636.5,10.269,1646.8,0.0,0.3708
3.3605131,68.0778,26.371,1615.7,10.25,1625.9,0.0,0.3689
3.3773157,68.0529,26.165,1595.1,10.232,1605.3,0.0,0.3671
3.3942023,67.8992,25.961,1574.8,10.213,1585.0,0.0,0.3653
3.410713,67.2314,25.764,1555.2,10.194,1565.4,0.0,0.3635
3.4111733,67.1804,25.758,1554.7,10.194,1564.9,0.0,0.3635
3.4206869,67.3136,27.454,1652.4,10.183,1662.6,0.0,0.3625
3.4282291,67.9227,27.355,1642.9,10.174,1653.0,0.0,0.3617
3.4453703,68.5836,27.133,1621.4,10.155,1631.6,0.0,0.3599
3.4625971,68.9994,26.913,1600.2,10.136,1610.4,0.0,0.3581
3.4799101,69.3225,26.694,1579.4,10.116,1589.5,0.0,0.3563
3.4973097,69.5934,26.478,1558.8,10.097,1568.9,0.0,0.3545
3.5147962,69.8287,26.263,1538.4,10.077,1548.5,0.0,0.3527
3.5323702,70.0367,26.05,1518.4,10.057,1528.4,0.0,0.351
3.5500321,70.2218,25.839,1498.6,10.037,1508.6,0.0,0.3492
3.5677822,70.3858,25.629,1479.0,10.017,1489.0,0.0,0.3475
3.5856211,70.5286,25.423,1459.8,9.9969,1469.8,0.0,0.3458
3.6035492,70.6528,25.227,1441.3,9.9767,1451.3,0.0,0.3441
3.621567,70.759,25.033,1423.2,9.9563,1433.1,0.0,0.3423
3.6396748,70.8416,24.842,1405.3,9.9359,1415.2,0.0,0.3406
3.6578732,70.8892,24.653,1387.6,9.9154,1397.5,0.0,0.339
3.6761626,70.8727,24.465,1370.2,9.8947,1380.1,0.0,0.3373
3.6945434,70.6565,24.28,1353.1,9.874,1363.0,0.0,0.3356
3.6962102,70.6044,24.263,1351.5,9.8721,1361.4,0.0,0.3354
3.7119896,70.7221,25.181,1396.7,9.8543,1406.5,0.0,0.334
3.7130161,70.7719,25.17,1395.7,9.8531,1405.6,0.0,0.3339
3.7315812,71.2981,24.987,1378.7,9.8322,1388.5,0.0,0.3323
3.7502391,71.6117,24.806,1361.8,9.8112,1371.6,0.0,0.3306
3.7689903,71.8606,24.626,1345.3,9.7901,1355.0,0.0,0.329
3.7878352,72.0763,24.448,1328.9,9.7688,1338.7,0.0,0.3273
3.8067744,72.2709,24.272,1312.8,9.7475,1322.5,0.0,0.3257
3.8258083,72.4508,24.098,1296.9,9.7261,1306.6,0.0,0.3241
3.8449373,72.6195,23.925,1281.2,9.7046,1290.9,0.0,0.3225
3.864162,72.7784,23.751,1265.5,9.6831,1275.2,0.0,0.3209
3.8834828,72.9288,23.578,1250.0,9.6614,1259.7,0.0,0.3193
3.9029002,73.072,23.406,1234.8,9.6397,1244.4,0.0,0.3177
3.9224147,73.2088,23.237,1219.7,9.6178,1229.3,0.0,0.3161
3.9420268,73.34,23.069,1204.9,9.5959,1214.5,0.0,0.3145
3.9617369,73.4662,22.903,1190.2,9.5739,1199.8,0.0,0.313
3.9815456,73.5878,22.738,1175.8,9.5518,1185.4,0.0,0.3114
4.0014533,73.7053,22.575,1161.6,9.5296,1171.1,0.0,0.3098
4.0214606,73.8189,22.414,1147.5,9.5073,1157.0,0.0,0.3083
4.0415679,73.9289,22.254,1133.7,9.485,1143.2,0.0,0.3068
4.0617757,74.0356,22.095,1120.0,9.4626,1129.5,0.0,0.3052
4.0820846,74.1391,21.938,1106.5,9.4401,1116.0,0.0,0.3037
4.102495,74.2398,21.783,1093.2,9.4175,1102.6,0.0,0.3022
4.1230075,74.3377,21.629,1080.1,9.3949,1089.5,0.0,0.3007
4.1436226,74.433,21.476,1067.1,9.3721,1076.5,0.0,0.2992
4.1643407,74.5259,21.325,1054.3,9.3493,1063.7,0.0,0.2977
4.1851624,74.6164,21.175,1041.7,9.3264,1051.0,0.0,0.2962
4.2060882,74.7047,21.027,1029.3,9.3035,1038.6,0.0,0.2948
4.2271186,74.791,20.879,1017.0,9.2805,1026.3,0.0,0.2933
4.2482542,74.8753,20.734,1004.8,9.2574,1014.1,0.0,0.2918
4.2694955,74.9577,20.589,992.87,9.2342,1002.1,0.0,0.2904
4.290843,75.0383,20.445,981.05,9.211,990.26,0.0,0.289
4.3122972,75.1173,20.303,969.38,9.1877,978.57,0.0,0.2875
4.3338587,75.1947,20.162,957.86,9.1643,967.02,0.0,0.2861
4.355528,75.2707,20.023,946.49,9.1408,955.63,0.0,0.2847
4.3773056,75.3453,19.884,935.26,9.1173,944.38,0.0,0.2832
4.3991921,75.4186,19.747,924.18,9.0937,933.27,0.0,0.2818
4.4211881,75.491,19.61,913.23,9.0701,922.3,0.0,0.2804
4.443294,75.5624,19.475,902.41,9.0464,911.45,0.0,0.279
4.4655105,75.632,19.337,891.56,9.0226,900.59,0.0,0.2776
4.4878381,75.6998,19.2,880.86,8.9988,889.86,0.0,0.2763
4.5102772,75.7659,19.065,870.28,8.9749,879.26,0.0,0.2749
4.5328286,75.8303,18.93,859.84,8.951,868.79,0.0,0.2735
4.5554928,75.8933,18.797,849.53,8.927,858.46,0.0,0.2722
4.5782702,75.9549,18.664,839.34,8.9029,848.25,0.0,0.2708
4.6011616,76.015,18.533,829.28,8.8788,838.16,0.0,0.2695
4.6241674,76.074,18.402,819.35,8.8546,828.2,0.0,0.2681
4.6472882,76.1317,18.273,809.54,8.8304,818.37,0.0,0.2668
4.6705247,76.1882,18.144,799.84,8.8061,808.65,0.0,0.2655
4.6938773,76.2437,18.017,790.27,8.7818,799.05,0.0,0.2641
4.7173467,76.2981,17.89,780.82,8.7574,789.57,0.0,0.2628
