E,f1,f2,PE,C+i,Total,K,lambda
2.080733,22.7317,2.3764,943.43,3.2745,946.7,0.0,0.5959
2.224304,22.672,2.1275,790.09,3.2088,793.3,0.0,0.5574
2.377781,22.6035,1.9068,662.45,3.136,665.59,0.0,0.5214
2.541848,22.5308,1.7099,555.67,3.0567,558.73,0.0,0.4878
2.717235,22.4528,1.5291,464.85,2.9716,467.82,0.0,0.4563
2.904724,22.3715,1.3687,389.23,2.8815,392.11,0.0,0.4268
3.10515,22.2923,1.215,323.23,2.7871,326.02,0.0,0.3993
3.319406,22.1901,1.0704,266.38,2.6892,269.07,0.0,0.3735
3.548445,22.0721,0.94397,219.75,2.5884,222.34,0.0,0.3494
3.793288,21.9364,0.83331,181.47,2.4856,183.96,0.0,0.3269
4.055024,21.7762,0.73636,150.01,2.3813,152.39,0.0,0.3058
4.334821,21.5764,0.65136,124.12,2.2763,126.4,0.0,0.286
4.633924,21.3044,0.57675,102.81,2.1711,104.98,0.0,0.2676
4.953664,20.8694,0.51121,85.246,2.0664,87.312,0.0,0.2503
5.295467,19.8136,0.45356,70.752,1.9627,72.715,0.0,0.2341
5.355798,19.367,0.44449,68.556,1.9452,70.501,0.0,0.2315
5.437774,17.8916,0.43262,65.72,1.9218,67.642,0.0,0.228
5.459635,16.1109,0.42954,64.991,1.9157,66.907,0.0,0.2271
5.492425,17.9281,3.9371,592.13,1.9065,594.04,528.2,0.2257
5.574402,19.5732,3.8274,567.17,1.8839,569.05,505.8,0.2224
5.660855,20.2817,3.7167,542.35,1.8604,544.21,483.6,0.219
6.051453,21.5912,3.3154,452.57,1.7602,454.33,403.7,0.2049
6.469004,22.1944,2.9844,381.09,1.6622,382.75,340.4,0.1917
6.915365,22.5734,2.6931,321.7,1.567,323.27,287.8,0.1793
7.392525,22.8396,2.4213,270.56,1.4747,272.03,242.3,0.1677
7.902609,23.0228,2.1691,226.73,1.3857,228.12,203.1,0.1569
8.44789,23.1513,1.9414,189.84,1.3001,191.14,170.1,0.1468
9.030794,23.2454,1.7355,158.75,1.2181,159.97,142.3,0.1373
9.653919,23.309,1.5457,132.26,1.1399,133.4,118.7,0.1284
10.32004,23.3493,1.3765,110.18,1.0654,111.25,99.03,0.1201
11.03212,23.4148,1.2246,91.698,0.99485,92.693,82.51,0.1124
11.79334,23.4254,1.0823,75.812,0.92813,76.74,68.24,0.1051
12.60708,23.424,0.95604,62.642,0.86524,63.507,56.43,0.09834
13.47697,23.4149,0.84453,51.764,0.80615,52.57,46.67,0.092
14.40688,23.4008,0.74607,42.778,0.75077,43.529,38.6,0.08606
15.40095,23.3833,0.65914,35.354,0.69901,36.053,31.92,0.0805
16.46362,23.3639,0.58237,29.22,0.65077,29.871,26.4,0.07531
17.59961,23.3434,0.51457,24.152,0.60591,24.758,21.83,0.07045
18.81398,23.3225,0.45469,19.964,0.5643,20.528,18.05,0.0659
20.11215,23.3018,0.4018,16.503,0.52579,17.029,14.93,0.06165
21.49988,23.2816,0.35508,13.643,0.49023,14.133,12.35,0.05767
22.98338,23.2624,0.3138,11.279,0.45746,11.736,10.21,0.05395
24.56923,23.2443,0.27646,9.2949,0.42733,9.7222,8.415,0.05046
26.2645,23.2271,0.24293,7.6406,0.39966,8.0403,6.915,0.04721
28.07676,23.2099,0.21236,6.248,0.3743,6.6223,5.655,0.04416
30.01405,23.1928,0.18533,5.1006,0.3511,5.4517,4.617,0.04131
32.08502,23.1764,0.16172,4.1637,0.32989,4.4936,3.77,0.03864
34.29889,23.161,0.14113,3.399,0.31053,3.7095,3.078,0.03615
36.66551,23.1466,0.12316,2.7748,0.29287,3.0677,2.513,0.03381
39.19543,23.1332,0.10749,2.2653,0.27678,2.5421,2.052,0.03163
41.89992,23.1208,0.093808,1.8494,0.26212,2.1115,1.675,0.02959
44.79101,23.1094,0.081873,1.5099,0.24876,1.7587,1.368,0.02768
47.88159,23.0989,0.071458,1.2328,0.2366,1.4694,1.117,0.02589
51.18542,23.0894,0.06237,1.0065,0.22551,1.232,0.9119,0.02422
54.71721,23.0806,0.054438,0.82184,0.2154,1.0372,0.7446,0.02266
58.4927,23.0727,0.047517,0.67105,0.20617,0.87722,0.6079,0.0212
62.5287,23.0654,0.041476,0.54793,0.19772,0.74565,0.4964,0.01983
66.84318,23.0589,0.036204,0.44742,0.18999,0.63741,0.4053,0.01855
71.45536,23.053,0.031603,0.36535,0.18288,0.54823,0.3309,0.01735
76.38578,23.0476,0.027587,0.29834,0.17633,0.47467,0.2702,0.01623
81.6564,23.0431,0.024042,0.24321,0.17029,0.4135,0.2202,0.01518
87.29069,23.0386,0.020874,0.19753,0.16468,0.36221,0.1789,0.0142
93.31374,23.0346,0.018123,0.16043,0.15946,0.31989,0.1453,0.01329
99.75239,23.031,0.015735,0.1303,0.15459,0.28489,0.118,0.01243
106.6353,23.0277,0.013662,0.10583,0.15001,0.25584,0.09584,0.01163
113.9931,23.0247,0.011862,0.08596,0.1457,0.23166,0.07784,0.01088
121.8587,23.0221,0.0103,0.06982,0.14163,0.21145,0.06322,0.01017
130.2669,23.0197,0.0089431,0.05671,0.13775,0.19446,0.05135,0.009518
139.2553,23.0176,0.0077653,0.046063,0.13405,0.18011,0.04171,0.008903
148.864,23.0157,0.0067426,0.037415,0.1305,0.16792,0.03387,0.008329
159.1356,23.014,0.0058547,0.030391,0.12709,0.15748,0.02751,0.007791
170.1159,23.0124,0.0050838,0.024686,0.12379,0.14848,0.02234,0.007288
181.8539,23.0111,0.0044144,0.020052,0.12059,0.14064,0.01815,0.006818
194.4018,23.0099,0.0038332,0.016288,0.11749,0.13378,0.01474,0.006378
207.8156,23.0088,0.0033286,0.013231,0.11446,0.12769,0.01197,0.005966
222.1548,23.0078,0.0028904,0.010747,0.11151,0.12226,0.009723,0.005581
237.4835,23.0069,0.0025099,0.0087303,0.10862,0.11735,0.007897,0.005221
253.8699,23.0062,0.0021795,0.0070918,0.10578,0.11287,0.006414,0.004884
271.3869,23.0055,0.0018926,0.0057609,0.103,0.10876,0.00521,0.004569
290.1126,23.0049,0.0016435,0.0046797,0.10027,0.10495,0.004231,0.004274
310.1304,23.0043,0.0014272,0.0038015,0.097579,0.10138,0.003437,0.003998
331.5294,23.0038,0.0012394,0.0030881,0.094935,0.098023,0.002791,0.00374
354.4049,23.0034,0.0010763,0.0025087,0.092333,0.094842,0.002267,0.003498
378.8588,23.003,0.00093467,0.0020379,0.089772,0.09181,0.001841,0.003273
405.0001,23.0027,0.00081168,0.0016555,0.087251,0.088906,0.001495,0.003061
432.9451,23.0024,0.00070488,0.0013449,0.08477,0.086115,0.001215,0.002864
