E,f1,f2,PE,C+i,Total,K,lambda
2.0035635,45.3419,32.907,3759.3,10.577,3769.8,0.0,0.6188
2.0135813,45.9281,32.67,3713.7,10.573,3724.2,0.0,0.6157
2.0236492,46.4771,32.436,3668.6,10.569,3679.2,0.0,0.6127
2.0337675,46.9922,32.202,3624.1,10.565,3634.7,0.0,0.6096
2.0439363,47.4762,31.971,3580.2,10.56,3590.8,0.0,0.6066
2.054156,47.9314,31.742,3536.8,10.556,3547.4,0.0,0.6036
2.0644268,48.3597,31.514,3493.9,10.551,3504.5,0.0,0.6006
2.0747489,48.7627,31.288,3451.6,10.546,3462.2,0.0,0.5976
2.0851227,49.1417,31.063,3409.8,10.541,3420.3,0.0,0.5946
2.0955483,49.4977,30.84,3368.5,10.536,3379.1,0.0,0.5917
2.106026,49.8314,30.619,3327.7,10.531,3338.3,0.0,0.5887
2.1165562,50.1433,30.4,3287.5,10.526,3298.0,0.0,0.5858
2.1271389,50.4338,30.182,3247.7,10.52,3258.2,0.0,0.5829
2.1377746,50.7027,29.966,3208.4,10.514,3218.9,0.0,0.58
2.1484635,50.9498,29.752,3169.6,10.508,3180.1,0.0,0.5771
2.1592058,51.1743,29.539,3131.3,10.502,3141.8,0.0,0.5742
2.1700018,51.3749,29.328,3093.4,10.496,3103.9,0.0,0.5714
2.1808519,51.5496,29.118,3056.0,10.489,3066.5,0.0,0.5685
2.1917561,51.6957,28.91,3019.1,10.483,3029.6,0.0,0.5657
2.2027149,51.8086,28.704,2982.6,10.476,2993.1,0.0,0.5629
2.2137285,51.8817,28.499,2946.6,10.469,2957.1,0.0,0.5601
2.2247971,51.9041,28.296,2911.0,10.462,2921.5,0.0,0.5573
2.2359211,51.8573,28.094,2875.9,10.455,2886.3,0.0,0.5545
2.2471007,51.7061,27.893,2841.1,10.448,2851.6,0.0,0.5518
2.2583362,51.3704,27.695,2806.9,10.44,2817.3,0.0,0.549
2.2696279,50.5932,27.497,2773.0,10.433,2783.4,0.0,0.5463
2.2786505,48.3982,27.341,2746.4,10.426,2756.8,0.0,0.5441
2.280976,41.3917,27.301,2739.6,10.425,2750.0,0.0,0.5436
2.2833493,48.4449,32.09,3216.7,10.423,3227.1,0.0,0.543
2.2923809,51.101,31.891,3184.1,10.417,3194.6,0.0,0.5409
2.3038428,52.4327,31.641,3143.5,10.409,3153.9,0.0,0.5382
2.315362,53.3017,31.393,3103.4,10.4,3113.8,0.0,0.5355
2.3269388,53.9744,31.148,3063.8,10.392,3074.2,0.0,0.5328
2.3385735,54.5346,30.904,3024.7,10.383,3035.1,0.0,0.5302
2.3502664,55.0199,30.663,2986.2,10.375,2996.5,0.0,0.5275
2.3620177,55.4489,30.417,2947.5,10.366,2957.9,0.0,0.5249
2.3738278,55.8317,30.172,2909.2,10.357,2919.6,0.0,0.5223
2.385697,56.1749,29.929,2871.4,10.348,2881.7,0.0,0.5197
2.3976254,56.4813,29.696,2834.9,10.338,2845.2,0.0,0.5171
2.4096136,56.7657,29.481,2800.4,10.329,2810.7,0.0,0.5145
2.4216616,57.0327,29.27,2766.4,10.319,2776.8,0.0,0.512
2.4337699,57.2825,29.061,2733.0,10.309,2743.3,0.0,0.5094
2.4459388,57.5145,28.85,2699.7,10.3,2710.0,0.0,0.5069
2.4581685,57.7286,28.642,2666.9,10.289,2677.2,0.0,0.5044
2.4704593,57.9246,28.436,2634.6,10.279,2644.9,0.0,0.5019
2.4828116,58.1017,28.233,2602.8,10.269,2613.0,0.0,0.4994
2.4952257,58.2584,28.033,2571.4,10.258,2581.7,0.0,0.4969
2.5077018,58.3915,27.835,2540.5,10.248,2550.8,0.0,0.4944
2.5202403,58.4954,27.639,2510.1,10.237,2520.3,0.0,0.492
2.5328415,58.5591,27.445,2480.1,10.226,2490.3,0.0,0.4895
2.5455057,58.5592,27.253,2450.5,10.215,2460.7,0.0,0.4871
2.5582333,58.4289,27.064,2421.4,10.204,2431.6,0.0,0.4846
2.5710244,57.7597,26.876,2392.6,10.192,2402.8,0.0,0.4822
2.5716555,57.6629,26.867,2391.2,10.192,2401.4,0.0,0.4821
2.5781443,57.7438,28.665,2544.9,10.186,2555.1,0.0,0.4809
2.5838796,58.4515,28.571,2530.9,10.181,2541.1,0.0,0.4798
2.596799,59.1845,28.362,2499.8,10.169,2510.0,0.0,0.4775
2.6097829,59.6478,28.154,2469.2,10.158,2479.3,0.0,0.4751
2.6228319,60.0117,27.949,2439.0,10.146,2449.1,0.0,0.4727
2.635946,60.3202,27.745,2409.2,10.134,2419.3,0.0,0.4704
2.6491257,60.5917,27.544,2379.8,10.121,2389.9,0.0,0.468
2.6623714,60.8352,27.344,2350.7,10.109,2360.9,0.0,0.4657
2.6756832,61.0555,27.146,2322.1,10.097,2332.2,0.0,0.4634
2.6890617,61.2549,26.95,2293.9,10.084,2303.9,0.0,0.4611
2.702507,61.4337,26.756,2266.0,10.071,2276.1,0.0,0.4588
2.7160195,61.5963,26.578,2239.7,10.059,2249.8,0.0,0.4565
2.7295996,61.747,26.402,2213.9,10.046,2223.9,0.0,0.4542
2.7432476,61.8834,26.228,2188.4,10.033,2198.4,0.0,0.452
2.7569638,62.0023,26.057,2163.3,10.019,2173.3,0.0,0.4497
2.7707486,62.0982,25.888,2138.5,10.006,2148.5,0.0,0.4475
2.7846024,62.159,25.72,2114.1,9.9924,2124.1,0.0,0.4452
2.7985254,62.1531,25.554,2090.0,9.9788,2100.0,0.0,0.443
2.812518,61.9324,25.39,2066.3,9.965,2076.2,0.0,0.4408
2.8140455,61.8632,25.373,2063.7,9.9635,2073.7,0.0,0.4406
2.8251547,61.9917,26.383,2137.4,9.9525,2147.4,0.0,0.4389
2.8265806,62.0919,26.366,2135.0,9.9511,2145.0,0.0,0.4386
2.8407135,62.6619,26.201,2111.1,9.9371,2121.1,0.0,0.4365
2.8549171,63.0133,26.038,2087.5,9.9229,2097.5,0.0,0.4343
2.8691917,63.298,25.876,2064.2,9.9087,2074.1,0.0,0.4321
2.8835376,63.549,25.715,2041.2,9.8943,2051.1,0.0,0.43
2.8979553,63.7792,25.556,2018.4,9.8798,2028.3,0.0,0.4278
2.9124451,63.9949,25.397,1995.9,9.8651,2005.7,0.0,0.4257
2.9270073,64.2001,25.239,1973.6,9.8503,1983.5,0.0,0.4236
2.9416424,64.3972,25.082,1951.6,9.8355,1961.4,0.0,0.4215
2.9563506,64.5879,24.926,1929.8,9.8205,1939.6,0.0,0.4194
2.9711323,64.7745,24.772,1908.3,9.8053,1918.1,0.0,0.4173
2.985988,64.961,24.619,1887.1,9.7901,1896.9,0.0,0.4152
3.0009179,65.1549,24.466,1866.0,9.7747,1875.8,0.0,0.4132
3.0159225,65.3159,24.291,1843.5,9.7592,1853.2,0.0,0.4111
3.0310021,65.4708,24.117,1821.2,9.7436,1830.9,0.0,0.4091
3.0461571,65.6203,23.944,1799.1,9.7279,1808.9,0.0,0.407
3.0613879,65.7647,23.773,1777.4,9.712,1787.1,0.0,0.405
3.0766949,65.9045,23.603,1755.9,9.6961,1765.6,0.0,0.403
3.0920783,66.04,23.434,1734.6,9.68,1744.3,0.0,0.401
3.1075387,66.1714,23.266,1713.6,9.6638,1723.3,0.0,0.399
3.1230764,66.299,23.099,1692.9,9.6475,1702.5,0.0,0.397
3.1386918,66.4231,22.934,1672.4,9.6311,1682.0,0.0,0.395
3.1543853,66.5437,22.769,1652.2,9.6146,1661.8,0.0,0.3931
3.1701572,66.661,22.606,1632.2,9.598,1641.8,0.0,0.3911
3.186008,66.7752,22.444,1612.4,9.5812,1622.0,0.0,0.3892
3.201938,66.8864,22.283,1592.9,9.5644,1602.4,0.0,0.3872
3.2179477,66.9948,22.123,1573.6,9.5474,1583.1,0.0,0.3853
3.2340374,67.1004,21.964,1554.5,9.5304,1564.0,0.0,0.3834
3.2502076,67.2033,21.807,1535.7,9.5132,1545.2,0.0,0.3815
3.2664587,67.3037,21.65,1517.0,9.4959,1526.5,0.0,0.3796
3.282791,67.4017,21.495,1498.7,9.4785,1508.1,0.0,0.3777
3.2992049,67.4973,21.34,1480.5,9.4611,1490.0,0.0,0.3758
3.3157009,67.5906,21.187,1462.5,9.4435,1472.0,0.0,0.3739
3.3322794,67.6819,21.035,1444.8,9.4258,1454.2,0.0,0.3721
3.3489408,67.7711,20.884,1427.3,9.408,1436.7,0.0,0.3702
3.3656856,67.8581,20.733,1409.9,9.3901,1419.3,0.0,0.3684
3.382514,67.9429,20.583,1392.8,9.3721,1402.1,0.0,0.3665
