E,f1,f2,PE,C+i,Total,K,lambda
2.080733,49.5404,11.509,1772.9,7.4919,1780.4,0.0,0.5959
2.224304,49.6205,10.509,1514.3,7.4143,1521.7,0.0,0.5574
2.377781,49.663,9.5998,1294.0,7.3167,1301.3,0.0,0.5214
2.541848,49.6398,8.7741,1106.4,7.2,1113.6,0.0,0.4878
2.717235,49.583,8.0226,946.31,7.0656,953.38,0.0,0.4563
2.904724,49.4927,7.2962,805.08,6.9146,811.99,0.0,0.4268
3.10515,49.346,6.5778,678.97,6.7485,685.72,0.0,0.3993
3.319406,49.0369,5.8878,568.52,6.5689,575.09,0.0,0.3735
3.548445,48.6191,5.2812,477.03,6.3772,483.41,0.0,0.3494
3.793288,48.0668,4.742,400.68,6.175,406.86,0.0,0.3269
4.055024,47.2888,4.243,335.37,5.964,341.33,0.0,0.3058
4.334821,46.0511,3.7928,280.44,5.7456,286.19,0.0,0.286
4.633924,43.2904,3.3957,234.87,5.5216,240.39,0.0,0.2676
4.686556,42.2221,3.3332,227.96,5.4832,233.44,0.0,0.2646
4.758289,38.9074,3.2512,219.0,5.4314,224.43,0.0,0.2606
4.777418,35.0859,3.2299,216.69,5.4176,222.11,0.0,0.2595
4.806111,38.8484,10.612,707.71,5.3971,713.11,0.0,0.258
4.877844,42.0237,10.271,674.88,5.3463,680.23,0.0,0.2542
4.953664,43.039,9.9278,642.36,5.2933,647.65,0.0,0.2503
5.001626,43.2058,9.7191,622.82,5.26,628.08,0.0,0.2479
5.078182,42.3055,9.433,595.37,5.2075,600.58,0.0,0.2442
5.098596,40.5721,9.3624,588.55,5.1937,593.74,0.0,0.2432
5.129219,42.6732,12.947,809.03,5.1729,814.2,0.0,0.2417
5.205774,44.7523,12.575,774.23,5.1216,779.35,0.0,0.2382
5.295467,45.7697,12.166,736.39,5.0622,741.45,0.0,0.2341
5.343744,46.0586,11.958,717.21,5.0307,722.24,0.0,0.232
5.425536,45.9458,11.638,687.49,4.9778,692.47,0.0,0.2285
5.447347,45.1763,11.557,679.97,4.9638,684.93,0.0,0.2276
5.480064,46.3112,13.252,775.07,4.943,780.01,0.0,0.2262
5.561856,47.6166,12.949,746.24,4.8914,751.13,0.0,0.2229
5.660855,48.4989,12.605,713.69,4.8299,718.52,0.0,0.219
6.051453,50.5102,11.42,604.87,4.5975,609.47,0.0,0.2049
6.469004,51.7598,10.336,512.09,4.3664,516.46,0.0,0.1917
6.915365,52.6129,9.3148,431.73,4.1376,435.87,0.0,0.1793
7.392525,53.2022,8.3751,363.12,3.9123,367.03,0.0,0.1677
7.902609,53.6109,7.5253,305.21,3.6914,308.9,0.0,0.1569
8.44789,53.8997,6.7644,256.64,3.4758,260.12,0.0,0.1468
9.030794,54.1224,6.0747,215.6,3.2661,218.87,0.0,0.1373
9.653919,54.3248,5.4221,180.02,3.063,183.08,0.0,0.1284
10.32004,54.4259,4.8271,149.92,2.867,152.79,0.0,0.1201
11.03212,54.4732,4.2915,124.68,2.6787,127.36,0.0,0.1124
11.79334,54.4466,3.8087,103.51,2.4982,106.01,0.0,0.1051
12.60708,54.3916,3.3831,86.011,2.3259,88.337,0.0,0.09834
13.47697,54.3183,3.007,71.513,2.1619,73.675,0.0,0.092
14.40688,54.2329,2.6749,59.51,2.0063,61.516,0.0,0.08606
15.40095,54.1397,2.3817,49.566,1.8592,51.425,0.0,0.0805
16.46362,54.0413,2.1226,41.322,1.7204,43.042,0.0,0.07531
17.59961,53.9394,1.8933,34.48,1.59,36.07,0.0,0.07045
18.81398,53.8345,1.689,28.774,1.4676,30.242,0.0,0.0659
20.11215,53.7261,1.5075,24.024,1.3532,25.377,0.0,0.06165
21.49988,53.6131,1.3446,20.045,1.2464,21.291,0.0,0.05767
22.98338,53.4914,1.1978,16.705,1.1471,17.852,0.0,0.05395
24.56923,53.3563,1.065,13.893,1.0549,14.948,0.0,0.05046
26.2645,53.1993,0.94548,11.538,0.96958,12.508,0.0,0.04721
28.07676,53.0051,0.83239,9.5022,0.89072,10.393,0.0,0.04416
30.01405,52.7236,0.73122,7.8085,0.81803,8.6265,0.0,0.04131
32.08502,52.2415,0.64288,6.4221,0.75116,7.1733,0.0,0.03864
33.87017,51.1766,0.57946,5.4835,0.70094,6.1844,0.0,0.03661
34.29889,50.322,0.56569,5.2863,0.68977,5.9761,0.0,0.03615
34.38859,49.9447,0.56288,5.2462,0.68748,5.9337,0.0,0.03605
34.52684,48.4666,0.55858,5.1853,0.68397,5.8693,0.0,0.03591
34.73421,49.9634,3.4633,31.958,0.67876,32.637,26.86,0.0357
35.25263,51.3169,3.38,30.73,0.66605,31.396,25.85,0.03517
36.66551,52.4379,3.1686,27.698,0.63353,28.332,23.34,0.03381
39.19543,53.2174,2.8388,23.214,0.5821,23.796,19.62,0.03163
41.89992,53.6296,2.5432,19.454,0.53515,19.989,16.49,0.02959
44.79101,53.8905,2.2781,16.302,0.49236,16.794,13.86,0.02768
47.88159,54.065,2.0335,13.612,0.45341,14.065,11.59,0.02589
51.18542,54.1809,1.8141,11.36,0.41803,11.778,9.687,0.02422
54.71721,54.2583,1.6179,9.4768,0.38591,9.8627,8.092,0.02266
58.4927,54.3087,1.4425,7.904,0.3568,8.2608,6.757,0.0212
62.5287,54.3398,1.2859,6.5913,0.33044,6.9217,5.641,0.01983
66.84318,54.3573,1.1462,5.4963,0.30659,5.8029,4.708,0.01855
71.45536,54.3963,1.02,4.5753,0.28501,4.8603,3.921,0.01735
76.38578,54.3945,0.90616,3.8022,0.26552,4.0677,3.258,0.01623
81.6564,54.3894,0.80382,3.1551,0.2479,3.403,2.704,0.01518
87.29069,54.3768,0.71056,2.6091,0.23197,2.8411,2.238,0.0142
