E,f1,f2,PE,C+i,Total,K,lambda
2.0384,23.7509,2.7303,633.97,5.6671,639.64,0.0,0.6082
2.0696,19.7463,2.6724,611.17,5.6532,616.82,0.0,0.5991
2.07792,15.2496,2.6573,605.29,5.6494,610.94,0.0,0.5967
2.080733,12.2125,11.347,2581.2,5.6482,2586.8,0.0,0.5959
2.0904,19.4878,11.25,2547.2,5.6437,2552.8,0.0,0.5931
2.11239,22.2543,11.032,2471.9,5.6333,2477.5,0.0,0.5869
2.1216,22.6814,10.943,2441.3,5.6289,2446.9,0.0,0.5844
2.144722,22.4813,10.724,2366.6,5.6176,2372.2,0.0,0.5781
2.153344,20.6853,10.644,2339.6,5.6133,2345.2,0.0,0.5758
2.166277,23.3438,14.777,3228.6,5.6068,3234.2,0.0,0.5723
2.19861,26.2,14.387,3097.2,5.5902,3102.8,0.0,0.5639
2.224304,27.3921,14.1,3000.5,5.5767,3006.1,0.0,0.5574
2.32505,29.6519,13.101,2667.0,5.5213,2672.5,0.0,0.5333
2.360637,29.506,12.787,2563.8,5.5009,2569.3,0.0,0.5252
2.370127,28.6977,12.706,2537.3,5.4954,2542.8,0.0,0.5231
2.377781,29.2895,14.549,2896.1,5.4909,2901.6,0.0,0.5214
2.384362,29.8931,14.489,2876.2,5.4871,2881.7,0.0,0.52
2.41995,31.2811,14.173,2772.1,5.466,2777.6,0.0,0.5123
2.541848,33.4545,13.193,2456.7,5.3916,2462.1,0.0,0.4878
2.717235,35.2232,11.997,2089.7,5.2796,2095.0,0.0,0.4563
2.904724,36.4368,10.88,1772.8,5.1562,1778.0,0.0,0.4268
3.10515,37.3289,9.8107,1495.4,5.0224,1500.4,0.0,0.3993
3.319406,37.9344,8.8048,1255.5,4.8793,1260.4,0.0,0.3735
3.548445,38.357,7.9085,1054.9,4.7282,1059.6,0.0,0.3494
3.793288,38.6559,7.1093,887.08,4.5703,891.65,0.0,0.3269
4.055024,38.8701,6.3963,746.59,4.4066,751.0,0.0,0.3058
4.334821,39.1683,5.7359,626.29,4.2385,630.53,0.0,0.286
4.633924,39.251,5.121,523.06,4.067,527.13,0.0,0.2676
4.953664,39.3244,4.5662,436.29,3.8933,440.18,0.0,0.2503
5.295467,39.3154,4.0696,363.74,3.7184,367.46,0.0,0.2341
5.660855,39.2785,3.6301,303.52,3.5433,307.06,0.0,0.219
6.051453,39.2227,3.2375,253.22,3.369,256.59,0.0,0.2049
6.469004,39.153,2.8894,211.4,3.1964,214.6,0.0,0.1917
6.915365,39.0743,2.5811,176.66,3.0262,179.69,0.0,0.1793
7.392525,38.9901,2.3079,147.77,2.8592,150.63,0.0,0.1677
7.902609,38.9024,2.0645,123.65,2.6961,126.35,0.0,0.1569
8.44789,38.8129,1.8485,103.57,2.5373,106.11,0.0,0.1468
9.030794,38.7295,1.6525,86.612,2.3834,88.995,0.0,0.1373
9.653919,38.6362,1.46,71.579,2.2348,73.814,0.0,0.1284
10.32004,38.5263,1.2899,59.158,2.0918,61.25,0.0,0.1201
11.03212,38.403,1.1357,48.724,1.9547,50.679,0.0,0.1124
11.79334,38.2634,1.0008,40.167,1.8238,41.991,0.0,0.1051
12.60708,38.1022,0.88275,33.141,1.699,34.84,0.0,0.09834
13.47697,37.9068,0.77932,27.37,1.5806,28.951,0.0,0.092
14.40688,37.6486,0.68866,22.625,1.4685,24.094,0.0,0.08606
15.40095,37.2495,0.6091,18.719,1.3627,20.082,0.0,0.0805
16.46362,36.3315,0.53924,15.502,1.2632,16.765,0.0,0.07531
16.69763,35.8476,0.52558,14.898,1.2429,16.141,0.0,0.07425
16.95321,34.5036,0.51129,14.275,1.2214,15.496,0.0,0.07313
17.02136,32.883,0.50758,14.114,1.2158,15.33,0.0,0.07284
17.12359,34.5372,3.6974,102.2,1.2074,103.41,88.32,0.07241
