E,f1,f2,PE,C+i,Total,K,lambda
2.0035635,50.6968,30.722,3728.9,10.06,3738.9,0.0,0.6188
2.0135813,51.131,30.461,3678.8,10.056,3688.9,0.0,0.6157
2.0236492,51.5135,30.202,3629.4,10.051,3639.5,0.0,0.6127
2.0337675,51.853,29.946,3580.8,10.047,3590.8,0.0,0.6096
2.0439363,52.1534,29.692,3532.7,10.042,3542.8,0.0,0.6066
2.054156,52.4207,29.461,3487.8,10.038,3497.8,0.0,0.6036
2.0644268,52.6687,29.237,3444.0,10.033,3454.0,0.0,0.6006
2.0747489,52.897,29.016,3401.0,10.028,3411.0,0.0,0.5976
2.0851227,53.1051,28.799,3358.7,10.023,3368.7,0.0,0.5946
2.0955483,53.2923,28.584,3317.1,10.017,3327.1,0.0,0.5917
2.106026,53.4572,28.373,3276.2,10.012,3286.2,0.0,0.5887
2.1165562,53.5967,28.164,3235.9,10.006,3245.9,0.0,0.5858
2.1271389,53.7051,27.958,3196.3,10.001,3206.3,0.0,0.5829
2.1377746,53.7715,27.755,3157.3,9.9946,3167.3,0.0,0.58
2.1484635,53.7716,27.554,3118.9,9.9886,3128.9,0.0,0.5771
2.1592058,53.6356,27.356,3081.0,9.9823,3091.0,0.0,0.5742
2.1700018,52.9164,27.161,3043.8,9.976,3053.8,0.0,0.5714
2.170436,52.8293,27.153,3042.3,9.9757,3052.3,0.0,0.5712
2.1755642,52.9028,28.982,3239.6,9.9726,3249.5,0.0,0.5699
2.1808519,53.6916,28.875,3219.8,9.9694,3229.8,0.0,0.5685
2.1917561,54.4223,28.658,3179.7,9.9628,3189.6,0.0,0.5657
2.2027149,54.8883,28.443,3140.1,9.9559,3150.1,0.0,0.5629
2.2137285,55.2548,28.23,3101.1,9.949,3111.1,0.0,0.5601
2.2247971,55.5658,28.02,3062.8,9.9418,3072.7,0.0,0.5573
2.2359211,55.8396,27.812,3024.9,9.9346,3034.9,0.0,0.5545
2.2471007,56.0852,27.607,2987.6,9.9271,2997.6,0.0,0.5518
2.2583362,56.3078,27.404,2950.9,9.9196,2960.8,0.0,0.549
2.2696279,56.5101,27.203,2914.7,9.9119,2924.6,0.0,0.5463
2.280976,56.6927,27.005,2879.1,9.904,2889.0,0.0,0.5436
2.2923809,56.8603,26.821,2845.3,9.896,2855.2,0.0,0.5409
2.3038428,57.017,26.64,2812.0,9.8878,2821.9,0.0,0.5382
2.315362,57.1615,26.461,2779.2,9.8795,2789.1,0.0,0.5355
2.3269388,57.2923,26.284,2746.9,9.8711,2756.8,0.0,0.5328
2.3385735,57.4073,26.11,2715.1,9.8625,2725.0,0.0,0.5302
2.3502664,57.5023,25.938,2683.8,9.8538,2693.7,0.0,0.5275
2.3620177,57.569,25.768,2653.0,9.8449,2662.8,0.0,0.5249
2.3738278,57.5888,25.6,2622.6,9.8359,2632.4,0.0,0.5223
2.385697,57.5021,25.434,2592.6,9.8267,2602.4,0.0,0.5197
2.3931119,57.262,25.331,2574.1,9.821,2583.9,0.0,0.5181
2.3976254,56.4412,25.27,2563.0,9.8175,2572.8,0.0,0.5171
2.4030879,57.3875,26.372,2668.7,9.8132,2678.5,0.0,0.5159
2.4096136,57.7872,26.28,2652.3,9.808,2662.1,0.0,0.5145
2.4216616,58.2101,26.114,2622.4,9.7984,2632.2,0.0,0.512
2.4337699,58.5158,25.95,2592.9,9.7887,2602.7,0.0,0.5094
2.4459388,58.7724,25.786,2563.8,9.7789,2573.5,0.0,0.5069
