E,f1,f2,PE,C+i,Total,K,lambda
2.0089931,29.4126,7.1156,2279.6,4.8099,2284.5,0.0,0.6171
2.0190381,29.432,7.0632,2251.6,4.8049,2256.4,0.0,0.6141
2.0291333,29.451,7.0112,2223.9,4.7999,2228.7,0.0,0.611
2.039279,29.4697,6.9596,2196.5,4.7948,2201.3,0.0,0.608
2.0494754,29.6021,6.906,2168.8,4.7896,2173.6,0.0,0.605
2.0597227,29.6199,6.8528,2141.4,4.7843,2146.2,0.0,0.6019
2.0700213,29.6373,6.8,2114.3,4.779,2119.1,0.0,0.599
2.0803714,29.6541,6.7476,2087.6,4.7736,2092.3,0.0,0.596
2.0907733,29.7278,6.695,2061.0,4.7681,2065.8,0.0,0.593
2.1012272,29.7436,6.6423,2034.6,4.7625,2039.4,0.0,0.5901
2.1117333,29.7589,6.59,2008.5,4.7569,2013.3,0.0,0.5871
2.122292,29.7737,6.538,1982.8,4.7512,1987.5,0.0,0.5842
2.1329034,29.7879,6.4865,1957.4,4.7455,1962.1,0.0,0.5813
2.143568,29.8017,6.4354,1932.3,4.7396,1937.0,0.0,0.5784
2.1542858,29.8149,6.3847,1907.5,4.7337,1912.3,0.0,0.5755
2.1650572,29.8278,6.3345,1883.1,4.7278,1887.8,0.0,0.5727
2.1758825,29.8401,6.2846,1859.0,4.7217,1863.7,0.0,0.5698
2.1867619,29.8521,6.2351,1835.2,4.7156,1839.9,0.0,0.567
2.1976957,29.8637,6.186,1811.7,4.7094,1816.4,0.0,0.5642
2.2086842,29.8748,6.1373,1788.5,4.7032,1793.2,0.0,0.5613
2.2197276,29.8856,6.089,1765.5,4.6969,1770.2,0.0,0.5586
2.2308263,29.896,6.0411,1742.9,4.6905,1747.6,0.0,0.5558
2.2419804,29.9061,5.9935,1720.6,4.684,1725.3,0.0,0.553
2.2531903,29.9158,5.9464,1698.6,4.6775,1703.3,0.0,0.5503
2.2644562,29.9252,5.8996,1676.9,4.671,1681.5,0.0,0.5475
2.2757785,29.9343,5.8532,1655.4,4.6643,1660.1,0.0,0.5448
2.2871574,29.943,5.8072,1634.2,4.6576,1638.9,0.0,0.5421
2.2985932,29.9515,5.7616,1613.3,4.6508,1617.9,0.0,0.5394
2.3100862,29.9596,5.7163,1592.7,4.644,1597.3,0.0,0.5367
2.3216366,29.9675,5.6714,1572.3,4.6371,1576.9,0.0,0.534
2.3332448,29.9751,5.6269,1552.2,4.6301,1556.8,0.0,0.5314
2.344911,29.9824,5.5827,1532.3,4.6231,1537.0,0.0,0.5287
2.3566356,29.9895,5.5389,1512.8,4.616,1517.4,0.0,0.5261
2.3684187,29.9964,5.4955,1493.4,4.6088,1498.0,0.0,0.5235
2.3802608,30.003,5.4524,1474.3,4.6016,1478.9,0.0,0.5209
2.3921621,30.0496,5.4093,1455.4,4.5943,1460.0,0.0,0.5183
