E,f1,f2,PE,C+i,Total,K,lambda
2.080733,28.4688,2.9969,664.43,5.795,670.22,0.0,0.5959
2.177854,25.0258,2.81,595.2,5.7466,600.95,0.0,0.5693
2.211189,21.0778,2.7507,573.86,5.7289,579.59,0.0,0.5607
2.220078,16.6305,2.7353,568.36,5.7241,574.08,0.0,0.5585
2.224304,16.201,11.335,2350.8,5.7218,2356.5,0.0,0.5574
2.233412,20.8476,11.245,2322.6,5.7169,2328.3,0.0,0.5551
2.260566,23.823,10.983,2241.3,5.7018,2247.0,0.0,0.5485
2.266746,24.0772,10.925,2223.4,5.6984,2229.1,0.0,0.547
2.295166,23.9079,10.663,2143.2,5.6823,2148.9,0.0,0.5402
2.304393,22.1098,10.581,2118.1,5.677,2123.8,0.0,0.538
2.318233,24.7235,14.67,2919.1,5.669,2924.8,0.0,0.5348
2.352834,27.5108,14.271,2798.1,5.6487,2803.7,0.0,0.527
2.377781,28.5758,14.007,2717.4,5.6339,2723.0,0.0,0.5214
2.480968,30.7315,13.041,2424.8,5.5706,2430.4,0.0,0.4997
2.518942,30.5892,12.728,2331.0,5.5467,2336.5,0.0,0.4922
2.529068,29.784,12.648,2307.0,5.5402,2312.5,0.0,0.4902
2.541848,30.8105,14.446,2621.8,5.5321,2627.3,0.0,0.4878
2.544258,30.9762,14.426,2615.6,5.5306,2621.1,0.0,0.4873
2.582232,32.3607,14.114,2521.4,5.5061,2526.9,0.0,0.4801
2.717235,34.5926,13.113,2226.2,5.4174,2231.6,0.0,0.4563
2.904724,36.3503,11.927,1894.1,5.291,1899.4,0.0,0.4268
3.10515,37.5776,10.765,1599.3,5.1539,1604.5,0.0,0.3993
3.319406,38.4098,9.6735,1344.4,5.0073,1349.4,0.0,0.3735
3.548445,38.9875,8.6866,1129.3,4.8525,1134.2,0.0,0.3494
3.793288,39.3928,7.8053,949.21,4.6907,953.9,0.0,0.3269
4.055024,39.6799,7.0192,798.51,4.523,803.03,0.0,0.3058
4.334821,39.8855,6.3175,672.3,4.3506,676.65,0.0,0.286
4.633924,40.1747,5.6673,564.18,4.1749,568.35,0.0,0.2676
4.953664,40.2531,5.0616,471.36,3.9968,475.36,0.0,0.2503
5.295467,40.322,4.5149,393.31,3.8175,397.13,0.0,0.2341
5.660855,40.311,4.0262,328.1,3.638,331.74,0.0,0.219
6.051453,40.2733,3.5936,273.94,3.4593,277.4,0.0,0.2049
6.469004,40.2179,3.2086,228.81,3.2822,232.09,0.0,0.1917
6.915365,40.1495,2.8651,191.13,3.1077,194.24,0.0,0.1793
7.392525,40.0724,2.5609,159.8,2.9364,162.74,0.0,0.1677
7.902609,39.9904,2.2911,133.74,2.7689,136.51,0.0,0.1569
8.44789,39.9071,2.051,112.0,2.606,114.61,0.0,0.1468
9.030794,39.8312,1.8332,93.641,2.448,96.089,0.0,0.1373
9.653919,39.7383,1.6261,77.7,2.2955,79.996,0.0,0.1284
10.32004,39.6345,1.4376,64.262,2.1487,66.411,0.0,0.1201
