kev,photons
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,49817.24
13,120341.2
14,256185.7
15,458801.5
16,735498.6
17,1069204
18,1443793
19,1852560
20,2279379
21,2709949
22,3134190
23,3536127
24,3912919
25,4245247
26,4560850
27,4834830
28,5071249
29,5275066
30,5431787
31,5566339
32,5661649
33,5736080
34,5794250
35,5815914
36,5805836
37,5794119
38,5764353
39,5717385
40,5654561
41,5592177
42,5514251
43,5429562
44,5340725
45,5244023
46,5146549
47,5043106
48,4938571
49,4832682
50,4724987
51,4618107
52,4509500
53,4403744
54,4296434
55,4190885
56,4085477
57,3980578
58,13093030
59,19800650
60,3679180
61,3580737
62,3485380
63,3390801
64,3298835
65,3208123
66,3119825
67,8238267
68,2947421
69,4217044
70,2187789
71,2144453
72,2097529
73,2056669
74,2012864
75,1969413
76,1924681
77,1880722
78,1836748
79,1792144
80,1748135
81,1704036
82,1660837
83,1616772
84,1573925
85,1529811
86,1486749
87,1444387
88,1401713
89,1359759
90,1317559
91,1276028
92,1234790
93,1193550
94,1153035
95,1112483
96,1072647
97,1032402
98,992837.2
99,953424.2
100,914156.3
101,875567.9
102,836180.2
103,797639.6
104,758766.4
105,720099.8
106,681789.7
107,642607.5
108,604447.7
109,564860.1
110,526038
111,486566.9
112,446530.6
113,406712.1
114,362250.9
115,319244.1
116,276116.6
117,233468.1
118,173276.9
119,85263.57
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
